trial,generation,score,mean_signed,min_signed,max_signed,mean_abs_vx,mean_abs_yaw,mean_abs_err,below_count,wrong_count,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,-3.762651632551461,0.01633838101896416,0.006712132458588076,0.024335874131654972,0.007917797444200519,0.04345424852894649,0.02116161898103584,3,0,-0.5542320074863026,0.005142664633023942,1.0243689675127392,0.0003144483929680142,-1.8040848955254438,0.2898040699494081,0.7909946141894146,-2.873340468572186,0.600878014629076,-0.08354951731472887,-0.33908201041827873
1,0,0.2971101961162219,0.03531836655863741,0.019462796438102524,0.0549052797635046,0.007712289760380051,0.1338388481777196,0.013785153283698988,1,0,-0.7734513318922167,0.07955815219830611,0.9837905104938718,0.5197719278215382,0.09049829581593327,0.4493415904857992,0.9330235586627301,-2.920172415852597,1.0215473272584523,-0.021036662193967715,-0.3996406893316206
2,0,-3.2731709542279477,0.021955257382770096,0.010757153763243793,0.027969804335992804,0.009783238104509692,0.09217521156432655,0.015544742617229905,3,0,-0.762987392976709,0.0014407726672975682,0.9728960410989623,1.491110254192754,-0.8059469371717158,0.5412022890470723,0.9292092120805456,-2.9875660061545926,0.181985924196701,-0.04315138613162667,-0.2894730902519659
3,0,-3.3845532044108757,0.017992230612308875,0.015983515210315727,0.02133287230751854,0.011753503989901472,0.06708272625847926,0.019507769387691123,3,0,-0.934658359201503,0.0010962514857327619,1.3369974898981982,1.3159510039643783,0.010873526639913589,0.25771548930821475,0.8413113841303269,-2.9883213941183704,0.29297064309400866,-0.022193458704962588,-0.379546790525709
4,0,-4.384159954428442,0.009504837794536808,0.002133709162577974,0.014280092514961117,0.013396936541590063,0.030518208236967936,0.027995162205463192,3,0,-0.6901279456788487,0.011019260477115055,1.175791672227771,-0.030351691151082605,-1.3373878513208213,0.23545827044792492,1.0963320162832866,-2.9541768326033475,-0.5410332897189116,-0.18373221214091073,-0.3448248942949193
5,0,-1.2684239752244606,0.02404235200563734,0.015334297909912314,0.03324063750063158,0.006601812943175657,0.07526464426587379,0.013457647994362656,2,0,-0.8507674353147454,0.07182966739471003,1.1776794355734936,0.3412590633507633,-1.906416775874404,0.3526113747549284,0.8276417709465405,-2.197577612787741,0.0050636022856003216,0.02585882013135632,-0.3954135574821803
6,0,-0.9848251765356739,0.02836828405084588,0.02076354155378626,0.03857056594510737,0.02324170322586593,0.11027139778841422,0.009845426579225698,2,0,-0.8574158263259073,0.07192879263630574,1.1076660351615017,1.41878504681784,-1.2231566318567932,0.28464904727510165,0.8619852038392253,-2.7006121172367332,1.3679694810830911,-0.10933331486839937,-0.39645424359982373
7,0,-11.20281059642493,-0.0074620252206604,-0.010680983314263717,-0.0025731334261516873,0.01173152701581779,0.009524382857011293,0.044962025220660395,3,3,-0.738736322579149,0.0710868098878458,1.2326119133562166,0.9163123226466237,-0.9880901701889333,0.33195178433748285,0.6724010387208016,-2.9970067016741404,0.037901710659566046,-0.16790329781040747,-0.3497751674211084
8,0,1.0358613356684991,0.06228192564147723,0.05858417599442067,0.06609222800252687,0.04240993448410026,0.21058610008919032,0.024781925641477232,0,0,-0.6893609081894254,0.07107690545184178,1.1975343756475127,1.1642315317063314,-0.43287687238571637,0.4496919643800755,0.9895724366821722,-2.426584112990014,0.472429048521656,-0.04676083976818496,-0.3025279520462465
9,0,-1.340072778359175,0.0300904696572129,0.018218370339251208,0.04923285368913216,0.013560828081257886,0.07939199633830714,0.01523143280220854,2,0,-0.8923520171126719,0.003932896185145957,1.2805168216103244,0.8177641540150336,-0.8437088050441233,0.366158329641612,0.9493685110431981,-2.0613518631139645,0.3164937537643331,-0.07923199041905177,-0.39740630392426923
10,1,2.8745816181271113,0.04338407623307533,0.033692995448716616,0.05583307830459252,0.010868957855570432,0.14928454516952094,0.008422079267264251,0,0,-0.586486847099394,0.0025419097823901017,1.1053753782662188,1.6224808968164988,-1.126962855746278,0.34808214082669753,1.1004705505386023,-2.870151637611505,0.8812710307300211,-0.04117032958852984,-0.3473923544325757
11,1,2.1456428724306984,0.05434318283268779,0.05187478072540563,0.058678399892969496,0.01347503372300726,0.15975635865557697,0.01684318283268779,0,0,-0.7680345552939272,0.041224359966826815,1.0549201372276507,1.4618134455796037,0.20499568942070567,0.35666135228401213,0.9760921378748562,-2.0922910262928864,0.6121933486000302,0.09133108154016223,-0.3917613963031703
12,1,3.1973439759552864,0.040141914715364185,0.03819405327324828,0.04215630896063766,0.017137126736794708,0.14886959320917567,0.002641914715364182,0,0,-0.6994354958080502,0.11448330368107652,1.1045811293842573,0.7266439384517183,-0.4354076026941014,0.26909744690299897,1.0611177371151204,-2.972789001682564,1.2565780462705343,0.00352366180806174,-0.3458038780182806
13,1,-3.5012930647943765,0.017563699638474175,0.014661309837141548,0.01904829802137593,0.012335216293577046,0.07264167020242941,0.019936300361525824,3,0,-0.6783685459349816,0.11510861227873136,1.1784711823826397,1.0265353890772069,-0.5388228985411994,0.2775785696442841,0.8351448904826955,-2.925266344140673,1.2408840677436572,-0.05417003438557111,-0.3704448910126825
14,1,-11.552862171232047,-0.0122652622210689,-0.01428372412159288,-0.009926912373666982,0.018282560790361866,0.025829258748288727,0.0497652622210689,3,3,-0.9109568719870931,0.2022293028730583,1.08931054419967,0.9578127211434992,0.4687609810845097,0.2451579431309333,0.7408134250173045,-2.6928980039189403,0.4726042990151509,-0.23980142721389774,-0.3383351048033396
15,1,0.38307801423127064,0.08269290934838879,0.08127257013771384,0.0835610016638682,0.020339461265990424,0.21998873233215402,0.045192909348388786,0,0,-0.7126514309739017,0.03817146862495466,1.0804285912189842,-0.5397993277973061,-0.9945900591162293,0.37691899219246916,1.1605082315467985,-2.4656786274457083,0.4279509279920841,0.1123830612218295,-0.39617255660658196
16,1,2.555682051864336,0.045798129925296006,0.036765733189011045,0.05458902009318083,0.03367023785226428,0.18265918628416136,0.008787641132621982,0,0,-0.7536569395267806,7.50919769346324e-05,1.1350235974696898,0.35498154488164424,0.4770411739668705,0.3760212692944026,1.1496033877388427,-2.372911205327183,0.8331344557111593,-0.1207903448220356,-0.3945561662013378
17,1,-2.1998325688133757,0.02211817578497165,0.005099611559710099,0.036915193434398426,0.018938749497078012,0.12159147646686906,0.015381824215028345,2,0,-0.8662895322441508,0.00517074599690371,1.1563819377186852,1.2791258955737304,-0.8456347239958721,0.4748741421559193,1.013329067649916,-2.98670670139268,0.26540125127817804,-0.1581641010135792,-0.39693941381971526
18,1,-5.142059897322944,0.018672563820735698,-0.00745983336337198,0.039906135176059364,0.02274041161687772,0.10279783672849967,0.02043152629663721,2,1,-0.8354514525528289,0.20399387198496724,1.0803552113747918,1.1919408568170757,-0.6216765470432737,0.559814162886128,0.979467914281874,-2.5813532449712833,0.30700091838237764,-0.170056570426049,-0.31798805974857475
19,1,-5.122679349334837,0.015797294398492125,-0.010479449209031573,0.040729316786888924,0.006598949959417524,0.05055986140170276,0.023855583459433824,2,1,-0.6787691585641193,0.004875490122524129,1.0597456082991936,1.308337220541877,0.6586319574994528,0.5577815321210896,0.8690672536946782,-2.0268692409799254,0.5171032910464195,-0.07041498178833194,-0.35058884530690615
20,2,0.7453570289268572,0.07119619327925238,0.06593553315913228,0.07533286395478453,0.02289973990370169,0.2040727883868636,0.033696193279252384,0,0,-0.6263906023866176,0.0016343569822422,1.087432198855795,0.27179250910728925,-0.8070127667676306,0.39019375031616677,1.1422581014026585,-2.360365634881733,1.7462524933525074,0.002303313755726899,-0.34377961460730094
21,2,1.0114890905908185,0.03842872561534295,0.025606047783354447,0.045867245250284266,0.013652241853345426,0.12123448190849771,0.008858027093106655,1,0,-0.7987947942158743,0.06619764600487774,1.2501070870326096,1.708559984858871,-1.9952470895592587,0.34120195050621277,1.0105570377083744,-2.958536829832656,-0.28709345427343713,-0.015140300430024844,-0.37789957131300894
22,2,1.526181037426655,0.06274351915806814,0.06004841418502743,0.06409955173782751,0.011569728820974734,0.18543196449388358,0.025243519158068134,0,0,-0.7856539553001698,0.015347921049081326,1.0259120393874483,0.7659653914508557,-0.5145344809623791,0.3149843868400476,1.1353330499220686,-2.88208371913181,0.7807366309425539,0.007673509336160289,-0.3694419731610262
23,2,-0.7681526721459555,0.027523209777431723,0.023323187188868333,0.03184093204451972,0.010420693582598083,0.11679671570787602,0.009976790222568279,2,0,-0.5409422688722259,0.07770889038812107,1.173245280487984,0.5619556662005238,-0.9141270446233571,0.2561598290589946,1.0090204895421844,-2.997749215097232,0.7125358000029554,0.040717097165899774,-0.38606640801259523
24,2,2.865633951103485,0.045520092691247425,0.04357883009139823,0.04679183735441319,0.020606631892434408,0.15904650669920403,0.008020092691247422,0,0,-0.6655118164145333,1.466538576943814e-07,1.201233032953459,0.8587850720960271,-0.7089779753882879,0.2674974562888963,0.903562101399803,-2.719779390448168,0.01292268150161302,0.21784017882513684,-0.3823409962838384
25,2,1.7381937834890473,0.058243434151623585,0.05252283745564575,0.06426561211642244,0.019102774000110904,0.16943013959688966,0.02074343415162359,0,0,-0.7449252779634172,0.012845316179555533,1.1586581816002712,1.5068168266664923,-0.9576362897197237,0.36668500256952263,0.9037211712581892,-2.727861768177682,1.3487173069469547,0.02758079729362617,-0.37206132597016367
26,2,0.028425196624414673,0.08457142856351314,0.07247279454982007,0.09579231272821186,0.01944744554199052,0.2042538334248278,0.047071428563513144,0,0,-0.6467170586525351,0.2290095213359764,1.123837745022507,1.5995821330062219,-0.20402187138700079,0.4761278145428711,1.0756774982984652,-1.6352533756222387,0.12384249869566943,0.07895195349721729,-0.386769075807119
27,2,-1.1802268463602625,0.02392548996381659,0.019531106074068303,0.0311312907824942,0.00609369727317084,0.09622823305359167,0.013574510036183408,2,0,-0.6669904923586991,0.0014168193298777034,1.2070922065652199,0.7941863252277654,-0.5640869372146429,0.24811577721922168,1.1545503893161053,-1.9336691354121505,0.7659371959777088,-0.04705525746416006,-0.34751617906205967
28,2,1.2180239769507102,0.03389421589633707,0.026988531705740216,0.04148501520112416,0.012680501471238585,0.12197799234117807,0.006262460904412363,1,0,-0.5531378208044744,0.13057654200607208,1.1475304901720076,0.8974379159884593,-0.1258828840463515,0.25628778759005066,1.1689130904754934,-2.9285061791982088,2.1427627488079715,-0.03110839599574705,-0.3970702778475589
29,2,3.041743187516772,0.04383736842412336,0.039563693020700216,0.04678508290834838,0.016218255181077217,0.1562461692672279,0.006337368424123362,0,0,-0.8014056307952735,0.2360718604072778,1.017006140002334,1.1296101614630363,-0.41258088012126937,0.38708886916375446,1.0064820997154407,-2.9968555066703337,0.6939678333194492,-0.039900921231017905,-0.3561666332061021
30,3,3.152119652567221,0.04174024880680733,0.034959670314455085,0.05108592810484444,0.009691640573305028,0.13591598699876306,0.00593380193050394,0,0,-0.7326743013411696,0.02229198572944793,1.031530350537515,1.1255869558293234,0.18717208146498043,0.3887176799362579,0.8512131981122621,-2.979114242885234,0.1125289611118876,0.23845711316356832,-0.3350426722851943
