cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0670608794228635,-0.008194849373218804,-0.03944057261059027,6.0,-22053.475632129368,False,0.125,0.06755972990781994,0.03293912057713651,0.06680515062678119,0.07448431925353188,0.03944057261059027,0.05856561316222208,0.03368064815514305,True,True,0.4710858906,0.07711113,0.4684420452,0.4586941295,0.1101587572,0.4549172074,-0.027537247,0.0734391714,-0.0300551951,0.8038116199,0.0506338199,0.828176856,0.0961647245,0.0134933789,0.1039530188,0.7846946845,0.0583585975,0.805775404,0.5,0.0,0.5,0.0717615236,0.0404034136,0.0315579548,8.4908897754,1.7044540154,9.0,1.7532072655,1.2369661142,2.8678508564,1.0,0.0,1.0,1.5898518166,1.2899968366,2.3678508564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06484153756599147,0.01617531540091183,-0.029825793508449976,6.0,-20689.181262463695,False,0.10680004681646915,0.06682863025860142,0.03515846243400854,0.05367531540091183,0.06416507589110257,0.029825793508449976,0.055033491129131216,0.03791280359430958,True,True,0.4805639155,0.0805528515,0.4539102083,0.472234165,0.1150755022,0.4341574404,-0.0185105567,0.0767170014,-0.0438950397,0.7992912048,0.0561659683,0.8080016375,0.08440098,0.0143495666,0.0773322657,0.7812831388,0.0617976661,0.7899853587,0.5,0.0,0.5,0.0725520566,0.040034015,0.0460897917,8.4629768346,1.6533571518,9.0,1.6661721579,1.2551516238,2.2629724977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06320980962317795,0.04698106192137597,0.022030595418690496,6.0,-15584.132334933054,False,0.1,0.07875722323608522,0.03679019037682206,0.04698106192137597,0.05967192210095946,0.022030595418690496,0.06320980962317795,0.04698106192137597,True,True,0.484260431,0.0796098382,0.4667924564,0.4775149015,0.1137283403,0.452560652,-0.0149900657,0.0758188935,-0.031626232,0.8001420556,0.0563093828,0.8258844018,0.0467887787,0.0091084462,0.0402463265,0.7913775496,0.0571038973,0.8113566637,0.5,0.0,0.5,0.0712845494,0.0387810958,0.0332075436,8.6472362626,1.2837675637,9.0,0.8554125884,0.7743524982,0.7476257421,0.0,0.0,0.0,0.0,0.0,0.0,0.0132289429,0.0079426112,0.0235581321,0.0132289429,0.0079426112,0.0235581321,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.07074980895355913,0.012031807392914711,-0.02236652995417554,6.0,-20942.75564376776,False,0.10680004681646915,0.07176558963810799,0.029250191046440874,-0.025468192607085285,0.03878404969732897,0.02236652995417554,0.0704697600509819,0.013576184090617907,True,True,0.4952375731,0.0765221403,0.4694466948,0.4931965331,0.1093173433,0.4563524211,-0.0045356446,0.0728782289,-0.0290983859,0.8016259412,0.0590984031,0.8295733333,0.0918797979,0.0185469804,0.070834294,0.7944532247,0.0571352298,0.8138182163,0.5,0.0,0.5,0.0666683473,0.0378635727,0.0305533052,8.614622917,1.3857005457,9.0,1.52860677,1.1752519739,0.6139764771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06915854847406093,0.02957841999201212,-0.006399551910086047,6.0,-22915.335417476443,False,0.125,0.07521826743725821,0.030841451525939076,-0.04542158000798788,0.054902778278051595,0.006399551910086047,0.07307389077445602,0.01783239309082686,True,True,0.4998888232,0.0731410482,0.4607439253,0.499841176,0.1044872116,0.4439198934,-0.0001058827,0.0696581411,-0.0373867378,0.8037706137,0.0583091489,0.8174835443,0.1109901307,0.016351785,0.0821387321,0.8014911127,0.0536354784,0.8168008327,0.5,0.0,0.5,0.0635666939,0.0361787328,0.0392560747,8.6812355125,1.149606826,9.0,1.8026189786,1.0464629641,1.395187199,1.0,0.0,1.0,1.6017943788,1.1278739995,1.145187199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.029399463311481053,-0.0741604652728399,0.006321436676890076,6.0,-30171.853795874522,False,0.09013878188659974,0.0797753285952945,0.02060053668851895,0.0008395347271600989,0.02061763639249473,0.006321436676890076,0.07801312502629283,0.016674992537306137,True,True,0.0052926282,0.0136657828,0.0,0.4057568396,0.0930713993,0.4054098874,-0.0628287736,0.0620475996,-0.063060075,1.2707799137,0.1747256974,1.3118803501,0.1143257757,0.0201648433,0.0992688835,1.2842908414,0.1791921547,1.356295228,0.0,0.0,0.0,0.0052926282,0.0136657828,0.0,9.0,0.0,9.0,2.4068464456,1.0215436539,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03670620584353749,0.0235476643547609,0.025990076369334886,6.0,-17200.25992010858,False,0.0625,0.04361006814936916,0.013293794156462514,0.0610476643547609,0.062478334534828484,0.025990076369334886,0.015236366061973452,0.04086185498993121,True,True,0.5131559112,0.0656312059,0.4835791677,0.5187941589,0.0937588656,0.4765416682,0.0125294392,0.0625059104,-0.0156388879,0.4807244067,0.0375417192,0.5095433593,0.0457398919,0.0056907222,0.0508220755,0.482476237,0.0379879912,0.5067712665,0.5,0.0,0.5,0.0596993363,0.0302741214,0.0164208323,7.9792911351,2.2113413077,9.0,1.4024166593,1.3184844854,2.4889033903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.034817214835348526,0.015458852067509575,0.010492882914633128,6.0,-12011.920469972974,False,0.05,0.0380948100944992,0.015182785164651477,0.015458852067509575,0.021667788825837905,0.010492882914633128,0.034817214835348526,0.015458852067509575,True,True,0.445204119,0.0627339621,0.4232831482,0.5288630272,0.0896199459,0.4975473545,0.0192420181,0.0597466306,-0.001635097,0.4886305467,0.0271287392,0.4593838155,0.0250545185,0.0037559513,0.0220292173,0.4900572415,0.0295571221,0.4578737915,0.425,0.0,0.425,0.0572165536,0.0327111971,0.0017168518,7.9724100578,2.3081430965,9.0,0.313469818,0.4348938076,0.2468850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0012028204,0.0020400871,0.0034014272,0.0012028204,0.0020400871,0.0034014272,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.036513900255375195,0.023754183278453602,0.026650806164967584,6.0,-17137.942703639994,False,0.0625,0.0435606030156362,0.013486099744624808,-0.013745816721546397,0.019256748522643013,0.026650806164967584,0.043463630171372315,0.0029049935304622356,True,True,0.5313493625,0.0658674166,0.5015368792,0.5447848036,0.0940963094,0.5021955417,0.0298565358,0.062730873,0.0014636945,0.4762426552,0.0444692228,0.5219150782,0.0555071002,0.0095093496,0.0429895446,0.483357588,0.0362070361,0.5226153135,0.5,0.0,0.5,0.0615381194,0.0391708944,0.0015368792,7.8787253814,2.4408630017,9.0,1.3536410288,1.1054260395,0.4866552561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.029371029869547507,0.05028947943688946,0.10341850507787613,6.0,-19663.68890130844,False,0.09013878188659974,0.058238210288702894,0.020628970130452496,-0.024710520563110537,0.032189505046567736,0.10341850507787613,0.05813549219953588,0.0034574100637446087,True,False,0.027180167,0.0439604068,0.0032034597,0.4552411297,0.1338928664,0.5045763711,-0.0298392468,0.0892619109,0.003050914,0.921458112,0.1161030183,0.8790714741,0.1189518461,0.0126354578,0.1142227277,0.9458297394,0.1061790788,0.8683882356,0.0,0.0,0.0,0.027180167,0.0439604068,0.0032034597,8.5796619693,1.3602243417,9.0,2.0704649432,1.1546188629,1.7531227219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
