cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05576240775152211,0.01690602779852487,-0.04302778058606638,6.0,-23605.308267071796,False,0.125,0.05826885869975066,0.0442375922484779,0.09190602779852486,0.10199844368246908,0.04302778058606638,0.03446630952210277,0.04698226688973316,True,True,0.487831437,0.0674468651,0.5610932877,0.4826163386,0.0963526644,0.5872761253,-0.0115891076,0.0642351096,0.0581840836,0.8121386796,0.0538645355,0.782531321,0.0613564354,0.0133327999,0.0542141944,0.8046387482,0.0740082755,0.8370000124,0.5,0.0,0.5,0.0566682155,0.0385469439,0.0610932877,8.6998374003,1.2021229678,9.0,1.9179204322,1.2139877323,3.0,1.0,0.0,1.0,1.7850774713,1.2671785371,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05031254558410144,-0.03306572021413717,-0.10560076529265916,6.0,-21762.73796776106,False,0.10680004681646915,0.0602054324495048,0.049687454415898565,0.0044342797858628255,0.04988492721806167,0.10560076529265916,0.058719253908353454,0.013294484453268654,True,False,0.4888285765,0.0673976531,0.4563629527,0.4840408235,0.0962823616,0.4376613609,-0.010639451,0.0641882411,-0.0415590927,0.8149294931,0.054379218,0.8114036918,0.0618506419,0.0161033466,0.0470603891,0.8079948173,0.0736937523,0.7706822157,0.5,0.0,0.5,0.0557722755,0.0394550078,0.0436370473,8.670292154,1.3410992924,9.0,1.9601548304,1.1178101294,1.9216903704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06322891184611455,0.016968062845055195,-0.04152686860863001,6.0,-15102.685019076214,False,0.1,0.06546610153321693,0.03677108815388545,0.016968062845055195,0.04049726016330682,0.04152686860863001,0.06322891184611455,0.016968062845055195,True,True,0.4905235865,0.0685167294,0.6005381927,0.4864622664,0.0978810419,0.6436259896,-0.0090251558,0.065254028,0.0957506597,0.8149294088,0.0566159809,0.725943923,0.0351512068,0.0087551094,0.0183295067,0.8106648763,0.0739988255,0.7415106297,0.5,0.0,0.5,0.0563167256,0.0401593206,0.1005381927,8.5629151646,1.5426894519,9.0,0.6615388162,0.7345154335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062293371,0.0067274309,0.0,0.0062293371,0.0067274309,0.0,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0648158593090289,0.01648308623265927,-0.02556986596952271,6.0,-21298.2692209182,False,0.10680004681646915,0.06687890362230163,0.0351841406909711,-0.021016913767340727,0.04098334320752621,0.02556986596952271,0.06647657820626349,0.007324773014069723,True,True,0.4862077492,0.0668125272,0.5056589236,0.4802967846,0.0954464674,0.5080841766,-0.0131354769,0.0636309782,0.005389451,0.8140346674,0.0527773166,0.8637529612,0.063022557,0.014820255,0.0552694537,0.8102457563,0.0707427836,0.8408899903,0.5,0.0,0.5,0.0565960296,0.0380923798,0.0056589236,8.6473173409,1.5076551943,9.0,1.6735560161,1.1742914742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.04833222570627469,-0.02898714856307266,-0.0864927086177912,6.0,-22177.597636742066,False,0.125,0.056358307493571215,0.051667774293725315,-0.10398714856307266,0.11611582995761555,0.0864927086177912,0.02127349142717616,0.05218905427422295,True,False,0.4869150554,0.0669769888,0.4534348918,0.481307222,0.0956814126,0.4334784169,-0.012461852,0.0637876084,-0.0443477221,0.8139710347,0.0550578351,0.8073424697,0.0614643779,0.0145837685,0.0559719503,0.8045750368,0.0724752297,0.7696724534,0.5,0.0,0.5,0.0561472416,0.0387894324,0.0465651082,8.7445542421,1.1951490202,9.0,1.6222105451,1.2403330074,0.0,1.0,0.0,1.0,1.4758220668,1.272371904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.06003716342946464,-0.05819881905095758,0.026514975933673506,6.0,-30132.79514771766,False,0.09013878188659974,0.08361556991124529,-0.01003716342946464,0.01680118094904242,0.01957100740872192,0.026514975933673506,0.08172697085659435,0.017671043155052506,True,True,0.0131724107,0.0257994795,0.0237473622,0.4571501008,0.0891881092,0.5339248031,-0.0285665995,0.0594587395,0.0226165354,1.2707799137,0.1747256974,1.3118803501,0.0678577775,0.0150040224,0.0607456751,1.2722675292,0.1906783934,1.3013505936,0.0,0.0,0.0,0.0131724107,0.0257994795,0.0237473622,8.9741599509,0.4468162177,9.0,2.1903995166,1.191248896,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.028421706254813522,0.004882945597603899,-0.017647156693972876,6.0,-17611.321826302952,False,0.0625,0.02883810923316689,0.02157829374518648,0.042382945597603895,0.04755982378523921,0.017647156693972876,0.01980759764528848,0.02095938023097123,True,True,0.5044483498,0.0632938744,0.5990821086,0.5063547854,0.0904198206,0.6415458694,0.0042365236,0.0602798804,0.0943639129,0.4878176113,0.0347512521,0.4368070066,0.0352387302,0.0088990365,0.0313299261,0.4864122931,0.0464227931,0.474876374,0.5,0.0,0.5,0.0516122071,0.0369064009,0.0990821086,8.3796043491,1.8290293553,9.0,1.5463881963,1.2380141047,1.3218404927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.02373145843837156,0.016532164851383983,-0.0006516593009825064,6.0,-11438.123541980907,False,0.05,0.02892221627547745,0.02626854156162844,0.016532164851383983,0.03103785995277923,0.0006516593009825064,0.02373145843837156,0.016532164851383983,True,True,0.4212692774,0.0648530477,0.4345786115,0.4946703963,0.092647211,0.5136837307,-0.0035530691,0.0617648073,0.0091224872,0.4867488279,0.0344791151,0.4687418342,0.0181337288,0.0042630729,0.0138466079,0.4867303632,0.0443619122,0.4472158849,0.425,0.0,0.425,0.0533363789,0.0370818928,0.0095786115,7.9759933007,2.4044636319,9.0,0.3790790618,0.4635209008,0.2659501404,0.0,0.0,0.0,0.0,0.0,0.0,0.0023473607,0.004478591,0.0074962534,0.0023473607,0.004478591,0.0074962534,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.027642284751328027,0.0064050414871401175,-0.002102353884975668,6.0,-16623.57870921218,False,0.0625,0.02837464471540548,0.022357715248671976,-0.031094958512859882,0.03829835343793747,0.002102353884975668,0.025956852693346494,0.011461337661084722,True,True,0.4948258055,0.062876779,0.4368051317,0.4926082936,0.08982397,0.4097216167,-0.0049278043,0.0598826467,-0.0601855889,0.4902694796,0.0321182954,0.4705887437,0.0354144147,0.0090581637,0.0394236371,0.4896245074,0.0430540882,0.4819287658,0.5,0.0,0.5,0.0512339935,0.0368149363,0.0631948683,8.0747918191,2.1764919949,9.0,1.2860879977,1.1548538871,0.2338875521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.031459430353927696,0.02069343104478658,0.02615865605665091,6.0,-18242.629930040344,False,0.09013878188659974,0.03765519680733277,0.018540569646072307,-0.05430656895521342,0.05738428490874665,0.02615865605665091,0.034668527582132166,0.014697178024570068,True,True,0.0194807621,0.034949236,0.0412064111,0.4691598972,0.0997910877,0.5588663016,-0.0205600686,0.0665273918,0.039244201,0.921458112,0.1161030183,0.8790714741,0.0657890859,0.0162674814,0.0449907631,0.9284286022,0.12342252,0.9223499298,0.0,0.0,0.0,0.0194807621,0.034949236,0.0412064111,8.608171948,1.4358980613,9.0,2.030517047,1.1164143702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
