cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.062039853750043346,0.04124648709191975,0.0013115972837081842,6.0,-21898.41201894068,False,0.125,0.07449977282348363,0.03796014624995666,0.11624648709191975,0.1222874419739409,0.0013115972837081842,0.024883990744882834,0.0702211019235618,True,True,0.4728588353,0.075910718,0.4593039099,0.4612269075,0.1084438829,0.4418627284,-0.0258487283,0.0722959219,-0.038758181,0.8053486933,0.0499333095,0.815484643,0.0956317629,0.0135816849,0.1050504819,0.7876339056,0.0577367177,0.7947413921,0.5,0.0,0.5,0.070019465,0.0399544047,0.0406960901,8.3859351791,1.9460096669,9.0,1.7487796637,1.3316480774,3.0,1.0,0.0,1.0,1.6292210445,1.3649630381,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06774112759876479,0.026422205033965477,-0.027772553329500644,6.0,-21842.850700029514,False,0.10680004681646915,0.0727117135488433,0.03225887240123522,0.06392220503396548,0.07160085994597758,0.027772553329500644,0.05415053872627104,0.04852537936857024,True,True,0.4820433495,0.0797481644,0.4624748822,0.4743476422,0.1139259491,0.4463926889,-0.0171015719,0.0759506327,-0.0357382074,0.8012178367,0.0567395641,0.8198868632,0.0825112414,0.0153761313,0.0757512078,0.7846708294,0.0619163234,0.7958766222,0.5,0.0,0.5,0.071142904,0.0402603803,0.0375251178,8.7430434927,1.1713618992,9.0,1.7556910755,1.2536089981,2.384834868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07033177697674568,0.02178695975064564,-0.006937563944368508,6.0,-15382.450566060794,False,0.1,0.0736290056151986,0.029668223023254323,0.02178695975064564,0.036808627691531925,0.006937563944368508,0.07033177697674568,0.02178695975064564,True,True,0.483145264,0.0822854165,0.4662638254,0.4759218058,0.1175505951,0.4518054649,-0.0160521295,0.0783670634,-0.0321296901,0.7979720738,0.0567511733,0.8251498938,0.0476550491,0.0083564935,0.0392223708,0.7885885988,0.0584701469,0.8115917444,0.5,0.0,0.5,0.0739742521,0.0397841918,0.0337361746,8.5358830072,1.5444701346,9.0,0.5884494134,0.6275821233,0.7940928057,0.0,0.0,0.0,0.0,0.0,0.0,0.0141549681,0.0083972403,0.0214693169,0.0141549681,0.0083972403,0.0214693169,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0694319873274102,0.004101820273349257,-0.04820356269113524,6.0,-20962.53999235436,False,0.10680004681646915,0.06955304302321005,0.03056801267258981,-0.03339817972665074,0.04527517871643662,0.04820356269113524,0.06645144084241372,0.020538544343640722,True,True,0.4918914994,0.0790867248,0.4692437437,0.4884164277,0.1129810354,0.4560624911,-0.0077223815,0.0753206903,-0.0292916726,0.8000309306,0.0589187086,0.8292911649,0.0934449114,0.0177743216,0.0677937567,0.7911943086,0.0578574604,0.8145484328,0.5,0.0,0.5,0.0698157041,0.0380292688,0.0307562563,8.7465865382,0.9640832417,9.0,1.5228389456,1.1953542387,0.7950667137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06254331374546132,-0.042051873297837584,-0.07400700349068463,6.0,-22291.23869145141,False,0.125,0.07536594816042984,0.037456686254538685,-0.11705187329783759,0.12289891939192944,0.07400700349068463,0.024803527017666506,0.07116748688554686,True,False,0.5007613939,0.0737289616,0.4708477922,0.5010877055,0.105327088,0.4583539888,0.000725137,0.0702180586,-0.0277640074,0.8050411304,0.0604711167,0.8315211535,0.1098926159,0.0153331394,0.0869017169,0.8024934151,0.0555516012,0.827878356,0.5,0.0,0.5,0.0630504334,0.0382254149,0.0291522078,8.6270615217,1.4875710518,9.0,1.6375065578,1.296039048,0.2276775341,1.0,0.0,1.0,1.4979402086,1.3167473823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07211692015110473,-0.04708460085339889,0.006103861457995056,6.0,-29465.05594152752,False,0.09013878188659974,0.08612670787627208,-0.022116920151104724,0.027915399146601107,0.03561499215898271,0.006103861457995056,0.0791800257578274,0.0338870673058985,True,True,0.005667384,0.0142788421,0.0,0.4066831804,0.0917551893,0.436372146,-0.0622112131,0.0611701262,-0.0424185693,1.2707799137,0.1747256974,1.3118803501,0.1142500404,0.0214186782,0.1093018204,1.2839239528,0.1792773481,1.3328720331,0.0,0.0,0.0,0.005667384,0.0142788421,0.0,9.0,0.0,9.0,2.2715696741,1.0973131213,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03575052017657902,0.025120892849627794,0.024824668616163354,6.0,-16980.063269613172,False,0.0625,0.043693923495818784,0.01424947982342098,0.0626208928496278,0.06422167777723226,0.024824668616163354,0.013527880431486543,0.041547026385649645,True,True,0.5137830873,0.0664510071,0.487204076,0.5196901247,0.0949300101,0.4817201085,0.0131267498,0.0632866734,-0.0121865943,0.4802148274,0.0378106496,0.5125736594,0.0459488486,0.0055631305,0.0487169027,0.4821709997,0.0380027443,0.5101512671,0.5,0.0,0.5,0.0606846945,0.0303821936,0.012795924,7.8334580266,2.432234066,9.0,1.387553276,1.3119747674,2.2918962681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03540911079267098,0.012758166377942045,0.0065495875393539,6.0,-11964.378264135854,False,0.05,0.037637427335763786,0.014590889207329025,0.012758166377942045,0.01938207566768331,0.0065495875393539,0.03540911079267098,0.012758166377942045,True,True,0.4445056115,0.0626664898,0.417174055,0.5278651593,0.0895235569,0.4888200785,0.0185767729,0.0596823713,-0.007453281,0.4889974995,0.027295111,0.4543308318,0.0250227739,0.0037664465,0.021043051,0.4903050143,0.0296896333,0.452355355,0.425,0.0,0.425,0.0572244994,0.0321389871,0.007825945,7.922060976,2.3568275298,9.0,0.3118540428,0.4309645228,0.1170418831,0.0,0.0,0.0,0.0,0.0,0.0,0.0011940817,0.0020183068,0.0040463235,0.0011940817,0.0020183068,0.0040463235,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.037645474888058285,0.02169380699203448,0.011417812750466494,6.0,-17455.991029398218,False,0.0625,0.04344885546657209,0.012354525111941718,-0.01580619300796552,0.020061655668131097,0.011417812750466494,0.043132664105667316,0.005232239339207384,True,True,0.5311217861,0.065684249,0.5096424148,0.5444596944,0.0938346415,0.5137748783,0.0296397963,0.0625564277,0.0091832522,0.4764596182,0.044315218,0.5147163272,0.0548549902,0.0091231075,0.0431645103,0.4832328167,0.0359548977,0.5143789649,0.5,0.0,0.5,0.06147332,0.0387816589,0.0096424148,7.961337964,2.2791123308,9.0,1.3561140013,1.0843311065,0.414923128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.025568523139036084,0.06535652044288269,0.11617576605355939,6.0,-19781.20073511585,False,0.09013878188659974,0.07017994115067615,0.02443147686096392,-0.009643479557117307,0.026265828743375963,0.11617576605355939,0.06856277687381046,0.014978977510646288,True,False,0.0278213424,0.0450450235,0.0,0.4559021038,0.1351152777,0.4645859338,-0.0293985975,0.0900768518,-0.0236093774,0.921458112,0.1161030183,0.8790714741,0.1204151609,0.0133815038,0.1043155119,0.9463855749,0.1064991388,0.8670605421,0.0,0.0,0.0,0.0278213424,0.0450450235,0.0,8.6066314482,1.3006940352,9.0,2.0551947169,1.1325777577,1.1594383902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
