cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.051099549791683484,-0.03117160816648824,-0.08415391928785325,6.0,-23336.38355287973,False,0.125,0.059856771919289266,0.04890045020831652,0.043828391833511754,0.0656672061328018,0.08415391928785325,0.05958260473323973,0.005722443341819493,True,False,0.4880957513,0.0648077632,0.5227676761,0.4829939304,0.0925825188,0.5325252516,-0.0113373797,0.0617216792,0.0216835011,0.8146144782,0.0532133959,0.8385026455,0.0615489885,0.0129962116,0.0447067469,0.8067863975,0.0739442149,0.8183759451,0.5,0.0,0.5,0.0545628472,0.0369412102,0.0227676761,8.7749874554,1.1026446476,9.0,1.9685214424,1.114639873,2.8612090942,1.0,0.0,1.0,1.8147123592,1.1839559776,2.3612090942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05039011945822162,-0.03726852541822558,-0.08170244159254463,6.0,-22031.98164628947,False,0.10680004681646915,0.06267461308905521,0.04960988054177839,0.0002314745817744157,0.04961042055709193,0.08170244159254463,0.06026759201769437,0.017202455587837236,True,False,0.4888804346,0.0678826835,0.4599711508,0.4841149065,0.0969752622,0.4428159297,-0.0105900623,0.0646501748,-0.0381227136,0.813512343,0.0544979752,0.81641078,0.0620919909,0.0159683019,0.0445782058,0.8065993154,0.0741287466,0.7504351735,0.5,0.0,0.5,0.0568507325,0.0387259302,0.0400288492,8.7292522731,1.2135747932,9.0,1.8822694657,1.1873038985,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.061217601033633696,-0.00842318348917881,-0.05302375617736491,6.0,-15316.778003055902,False,0.1,0.06179437431033285,0.03878239896636631,-0.00842318348917881,0.0396865782057207,0.05302375617736491,0.061217601033633696,0.00842318348917881,True,False,0.4905813547,0.0688468261,0.5927150127,0.4865447924,0.0983526087,0.6324500181,-0.0089701384,0.0655684058,0.0883000121,0.8147423067,0.0577261658,0.7370736599,0.0349721303,0.0090847724,0.0183161609,0.8100171852,0.0750044191,0.7631306052,0.5,0.0,0.5,0.0563986421,0.0405929737,0.0927150127,8.693555306,1.2438009038,9.0,0.656324037,0.7245716872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066471923,0.006754098,0.0,0.0066471923,0.006754098,0.0,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05383310572364428,-0.02397425754058088,-0.08187824192363406,6.0,-22177.93302080766,False,0.10680004681646915,0.0589301985104001,0.04616689427635572,-0.061474257540580876,0.07687955818870106,0.08187824192363406,0.04198758379103206,0.04134986219887828,True,False,0.4853886913,0.0659815527,0.5196685552,0.4791267019,0.094259361,0.528097936,-0.0139155321,0.062839574,0.0187319573,0.81487312,0.0528186423,0.8430652618,0.061323312,0.0137453454,0.0472164303,0.8110440153,0.0705772934,0.8525105715,0.5,0.0,0.5,0.0561025419,0.0376770545,0.0196685552,8.6589273882,1.3752163678,9.0,1.6776496473,1.2035478276,0.5009156032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05653212276781139,-0.004490201109500596,-0.053799919985526655,6.0,-22595.680346394485,False,0.125,0.05671016496747879,0.04346787723218862,-0.0794902011095006,0.09059883235175535,0.053799919985526655,0.042531577548548756,0.03751143454828731,True,False,0.4858323889,0.0673306274,0.4535949018,0.4797605556,0.0961866106,0.4337070026,-0.0134929629,0.064124407,-0.0441953316,0.8142537089,0.0536479842,0.8075643778,0.0618155295,0.0148439159,0.0548627861,0.8059674466,0.0714187704,0.7632151246,0.5,0.0,0.5,0.0568558686,0.0387497715,0.0464050982,8.6629619978,1.2846081525,9.0,1.7733590408,1.1119736958,0.4791179532,1.0,0.0,1.0,1.6046253679,1.1702256354,0.0686444556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.057228323886096076,-0.07016276711835939,0.03643791161960874,6.0,-29870.494811833156,False,0.09013878188659974,0.09054222741084432,-0.007228323886096073,0.004837232881640605,0.008697556447274837,0.03643791161960874,0.09012351352164698,0.008697543045628675,True,True,0.012972191,0.0258521712,0.0504777934,0.455833919,0.0893387035,0.5721111335,-0.029444054,0.0595591357,0.048074089,1.2707799137,0.1747256974,1.3118803501,0.0675376813,0.0151887315,0.0566577129,1.2723869385,0.1902387195,1.3025503159,0.0,0.0,0.0,0.012972191,0.0258521712,0.0504777934,8.9741599509,0.4468162177,9.0,2.2270131385,1.1635082061,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.030516655754825404,0.007215172575589685,-0.012238491655426342,6.0,-17132.45684299669,False,0.0625,0.031358013230338114,0.0194833442451746,0.044715172575589685,0.04877547910006365,0.012238491655426342,0.02008422105850651,0.02408213151336699,True,True,0.5043453223,0.0628727296,0.5944737259,0.5062076032,0.0898181851,0.6349624656,0.0041384021,0.0598787901,0.0899749771,0.4877142993,0.0342330204,0.4407403767,0.0351599414,0.0091790865,0.0304078571,0.486284631,0.0461154754,0.4762359262,0.5,0.0,0.5,0.0515148299,0.0363054301,0.0944737259,8.195751212,2.0567798895,9.0,1.5134159287,1.2271766077,1.6733614972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.02617511274561934,0.0018817292683540323,-0.02188329551237156,6.0,-11641.37783992008,False,0.05,0.02624266435187678,0.023824887254380662,0.0018817292683540323,0.02389908277995895,0.02188329551237156,0.02617511274561934,0.0018817292683540323,True,True,0.4212284161,0.0639643327,0.4440565337,0.494612023,0.0913776181,0.5272236196,-0.0035919847,0.0609184121,0.0181490798,0.486859446,0.0346045179,0.4766087532,0.0182710808,0.0043816643,0.0142020341,0.4870051121,0.044537631,0.4498556256,0.425,0.0,0.425,0.0525864355,0.0366104834,0.0190565337,8.1645050969,2.1696232205,9.0,0.3254418101,0.4004274474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022408564,0.0041593893,0.0072536517,0.0022408564,0.0041593893,0.0072536517,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.02759470213606467,0.01615691786130971,0.015220527454469076,6.0,-16662.175197351957,False,0.0625,0.03197676626482485,0.022405297863935334,-0.021343082138690288,0.03094389321902701,0.015220527454469076,0.031769912425637564,0.0036312869925910303,True,True,0.4953160755,0.0635035401,0.4448719077,0.4933086792,0.090719343,0.4212455824,-0.0044608805,0.060479562,-0.0525029451,0.4898628575,0.0321978563,0.4772861302,0.0354024471,0.009210818,0.0391872041,0.4891577804,0.0431052487,0.4848349094,0.5,0.0,0.5,0.0518820486,0.0369173643,0.0551280923,8.1208271084,2.1867988003,9.0,1.3304500519,1.0706729483,0.3837708419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.032158452545161045,-0.0006566594292998555,-0.001453826349580763,6.0,-18445.181545478183,False,0.09013878188659974,0.03216515617411896,0.017841547454838957,-0.07565665942929985,0.07773191707133136,0.001453826349580763,0.017291926265671886,0.0271216990199366,True,True,0.0190236783,0.0346560929,0.0410606626,0.4675170797,0.0997227304,0.5586580895,-0.0216552802,0.0664818203,0.039105393,0.921458112,0.1161030183,0.8790714741,0.0657103226,0.0163961851,0.0445450507,0.9277819145,0.1242552455,0.9222763181,0.0,0.0,0.0,0.0190236783,0.0346560929,0.0410606626,8.718678393,1.1058673223,9.0,2.034121419,1.1500577825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
