cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06076914744984671,0.04642936525043332,0.022367466448669566,6.0,-21695.00737817678,False,0.125,0.07647597818491345,0.039230852550153295,0.12142936525043332,0.12760936696393024,0.022367466448669566,0.020757698809617378,0.07360498067025469,True,True,0.4754814227,0.0779172597,0.4399346923,0.464973461,0.111310371,0.4141924176,-0.023351026,0.074206914,-0.0572050549,0.8027636474,0.0518736229,0.7886432409,0.0960082912,0.0122858249,0.0986706614,0.7838131648,0.0596460824,0.7724949121,0.5,0.0,0.5,0.0714155963,0.0396493707,0.0600653077,8.5091602935,1.7744534908,9.0,1.7705170806,1.3011555463,3.0,1.0,0.0,1.0,1.6297668965,1.3321761142,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06030160308830579,0.04955032637763277,0.02018007267896856,6.0,-20435.011509364274,False,0.10680004681646915,0.07804817857675796,0.03969839691169422,0.08705032637763277,0.09567508578418313,0.02018007267896856,0.03906386929622583,0.06756872275510974,True,True,0.4849742512,0.0807550293,0.4594864583,0.4785346445,0.1153643276,0.4421235118,-0.014310237,0.0769095517,-0.0385843255,0.798638283,0.0572810378,0.8157379627,0.0851182449,0.0156270829,0.0811393708,0.782355926,0.0628490512,0.7917428017,0.5,0.0,0.5,0.0724276588,0.0387476726,0.0405135417,8.4346323813,1.7683143334,9.0,1.6584658392,1.321053235,2.6795368863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07030286006102929,-0.01072452902185818,-0.05180726389568657,6.0,-15545.738932249747,False,0.1,0.07111615607934209,0.029697139938970718,-0.01072452902185818,0.03157428769260659,0.05180726389568657,0.07030286006102929,0.01072452902185818,True,False,0.4872288509,0.086273381,0.4663740257,0.4817555013,0.1232476871,0.4519628938,-0.0121629992,0.0821651247,-0.0320247374,0.7946913201,0.0607773873,0.8253030181,0.0466057349,0.0084733517,0.0369453691,0.7857570998,0.0617258308,0.8117781281,0.5,0.0,0.5,0.0765443956,0.0417989715,0.0336259743,8.4977633428,1.5805717889,9.0,0.5428055434,0.612591425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135590571,0.008770352,0.0208151347,0.0135590571,0.008770352,0.0208151347,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06819998221830463,-0.011160310457542691,-0.032917633874662844,6.0,-20682.78745952812,False,0.10680004681646915,0.06910709156147295,0.031800017781695375,-0.04866031045754269,0.05812974234194214,0.032917633874662844,0.05993898664364133,0.03439633678488439,True,True,0.4974880874,0.0799582499,0.4855462818,0.4964115535,0.1142260713,0.4793518311,-0.0023922977,0.0761507142,-0.0137654459,0.7987926358,0.0625705264,0.8519793749,0.0931196099,0.0166837148,0.0756982788,0.790455537,0.0621978505,0.832218051,0.5,0.0,0.5,0.0691927358,0.0401496793,0.0144537182,8.5822271865,1.4122846489,9.0,1.5713842562,1.1796095661,0.5563529268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07322362962050218,0.007081606055036438,-0.040860662708504414,6.0,-21792.583844013105,False,0.125,0.07356527087640752,0.02677637037949783,-0.06791839394496356,0.07300604253596624,0.040860662708504414,0.06282786732942361,0.03826889292827215,True,True,0.5044413705,0.0723973879,0.4951024508,0.506344815,0.1034248398,0.4930035011,0.0042298767,0.0689498932,-0.0046643326,0.8035917596,0.060312297,0.8653025031,0.1065719764,0.01602659,0.0899746642,0.8006324619,0.0548658131,0.8535782099,0.5,0.0,0.5,0.0622449514,0.0372380661,0.0048975492,8.4977743013,1.7035962785,9.0,1.5975841015,1.2274326132,0.7064302238,1.0,0.0,1.0,1.4210213348,1.2502072287,0.4564302238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.05594200455216856,-0.06508212064147702,0.019003155590270254,6.0,-30314.897935550223,False,0.09013878188659974,0.0858206869030225,-0.005942004552168555,0.00991787935852298,0.01156164992845779,0.019003155590270254,0.08518263853819256,0.010445496262899508,True,True,0.0055422516,0.0138678832,0.0,0.4068847584,0.0918919023,0.4135224409,-0.0620768277,0.0612612682,-0.057651706,1.2707799137,0.1747256974,1.3118803501,0.113124243,0.0198041366,0.1134654284,1.2860355612,0.1789097624,1.3493833542,0.0,0.0,0.0,0.0055422516,0.0138678832,0.0,9.0,0.0,9.0,2.3440558666,1.0823094615,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.037298016858402894,0.01712039176236321,0.011620432368687927,6.0,-16910.417784616442,False,0.0625,0.04103961349314222,0.012701983141597109,0.054620391762363205,0.05607787060867639,0.011620432368687927,0.01956617842930439,0.0360751235249323,True,True,0.518214737,0.0663013387,0.4954067541,0.5260210528,0.0947161982,0.4934382201,0.0173473685,0.0631441321,-0.0043745199,0.4792958205,0.0391668549,0.5194361806,0.0456305584,0.0057510768,0.0494488142,0.48030371,0.0396014501,0.5167807937,0.5,0.0,0.5,0.060983538,0.0317592861,0.0045932459,7.9319774094,2.2893551485,9.0,1.4018176986,1.2884277417,2.1372641754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.0345135134730161,0.020828220582982466,0.016813317790344673,6.0,-12125.185563329684,False,0.05,0.04031125630522371,0.015486486526983902,0.020828220582982466,0.02595469201519888,0.016813317790344673,0.0345135134730161,0.020828220582982466,True,True,0.4509383088,0.0632053171,0.4299894864,0.5370547269,0.0902933101,0.5071278377,0.0247031512,0.0601955401,0.0047518918,0.4887395396,0.0259119528,0.4649375081,0.0250397673,0.003668753,0.0218264591,0.489939384,0.0282432887,0.462677598,0.425,0.0,0.425,0.0580882788,0.0359647027,0.0049894864,7.832545229,2.4426637132,9.0,0.3598661131,0.4865688587,0.2718717714,0.0,0.0,0.0,0.0,0.0,0.0,0.0014114032,0.0022670639,0.00481489,0.0014114032,0.0022670639,0.00481489,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03826513019947706,0.011899595928305168,0.0063521229511055806,6.0,-17167.073824674444,False,0.0625,0.04007269110553805,0.011734869800522942,-0.02560040407169483,0.028161815599660377,0.0063521229511055806,0.03775186171656475,0.0134394013770421,True,True,0.535292269,0.0654868859,0.516984765,0.5504175271,0.0935526941,0.5242639501,0.0336116848,0.0623684627,0.0161759667,0.4751688786,0.0458743083,0.508212328,0.0543651128,0.0095214439,0.0428725965,0.481223828,0.0379911152,0.5083873272,0.5,0.0,0.5,0.0621782668,0.0408404163,0.016984765,7.883102957,2.2790024116,9.0,1.329526711,1.1279099141,0.448829991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.008825075722073302,0.06458927738863601,0.13965589991798014,6.0,-20428.499802739723,False,0.09013878188659974,0.06518939112375952,0.0411749242779267,-0.010410722611363984,0.04247066675464094,0.13965589991798014,0.05863679849701979,0.028484777989417297,True,False,0.0296680479,0.0471470764,0.0085831863,0.4608442665,0.1369363385,0.5122616948,-0.0261038223,0.0912908924,0.0081744632,0.921458112,0.1161030183,0.8790714741,0.1212122409,0.0122586202,0.1158047989,0.9479113559,0.1068440853,0.8673193455,0.0,0.0,0.0,0.0296680479,0.0471470764,0.0085831863,8.5692544787,1.4274080812,9.0,2.1129853782,1.1166855175,2.7209536341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
