cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0548903350408971,-0.021341804385491634,-0.05485216984277567,6.0,-23160.481591755415,False,0.125,0.05889330603159009,0.04510966495910291,0.05365819561450837,0.07010052659807459,0.05485216984277567,0.05671735066401266,0.01586075751614495,True,False,0.4865361688,0.0667876557,0.4772383027,0.4807659554,0.0954109367,0.4674832895,-0.0128226964,0.0636072911,-0.021677807,0.812848108,0.0556938691,0.8404105902,0.0680778166,0.0122966463,0.088357091,0.8015880273,0.0770723288,0.8176631331,0.5,0.0,0.5,0.0572074105,0.0370024038,0.0227616973,8.5355932375,1.6090873106,9.0,1.9844177197,1.1175867999,2.8089840877,1.0,0.0,1.0,1.8237869887,1.1708049847,2.5589840877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05629232371771983,-0.04463804480341518,-0.09958757975252956,6.0,-21599.94952237303,False,0.10680004681646915,0.07184275017990517,0.04370767628228017,-0.007138044803415185,0.04428670962729292,0.09958757975252956,0.06838160908721498,0.022030349340298266,True,False,0.4822797189,0.0720691409,0.4330289871,0.4746853127,0.1029559155,0.4043271244,-0.0168764582,0.068637277,-0.0637819171,0.8145106691,0.0565207128,0.7790948153,0.0684840393,0.014541654,0.0746425018,0.8019341604,0.0766085372,0.7779386044,0.5,0.0,0.5,0.0595354967,0.0443113311,0.0669710129,8.6303226928,1.3561422516,9.0,1.9472934406,1.108630281,1.5193056277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06053739477010032,0.0035029284667771055,-0.059066914074042964,6.0,-15339.481402759564,False,0.1,0.06063865659292203,0.03946260522989969,0.0035029284667771055,0.03961777024738095,0.059066914074042964,0.06053739477010032,0.0035029284667771055,True,False,0.4831239225,0.0628530721,0.5024795141,0.4758913178,0.089790103,0.5035421629,-0.0160724548,0.0598600687,0.002361442,0.8209421661,0.0507048204,0.8684615493,0.0373413671,0.008253,0.0372675955,0.81164518,0.0692593282,0.8469959497,0.5,0.0,0.5,0.0525538811,0.0383848961,0.0024795141,8.7648410103,1.1026957991,9.0,0.6528298515,0.7210316717,0.2810156182,0.0,0.0,0.0,0.0,0.0,0.0,0.0104333618,0.0077712585,0.0126912794,0.0104333618,0.0077712585,0.0126912794,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05421124510138526,-0.033674575883668616,-0.07423813190904904,6.0,-20783.931935784665,False,0.10680004681646915,0.06381877589226718,0.045788754898614746,-0.07117457588366861,0.08463114277490005,0.07423813190904904,0.03893563756247077,0.050565326894932046,True,False,0.4897486992,0.0716399933,0.5815260805,0.4853552846,0.1023428476,0.6164658293,-0.0097631436,0.0682285651,0.0776438862,0.8113719529,0.0576850668,0.7530751228,0.0670760593,0.015108546,0.0619640052,0.8026603474,0.0758164737,0.7996869087,0.5,0.0,0.5,0.0591746188,0.0416622408,0.0815260805,8.620677097,1.4782999678,9.0,1.4801166849,1.2781325045,0.6243245164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0470336239306513,-0.04596457341092781,-0.1133930041869251,6.0,-21856.875291356395,False,0.125,0.06576400070630213,0.0529663760693487,-0.12096457341092781,0.13205250855022566,0.1133930041869251,0.010048155097964364,0.06499183308713302,True,False,0.4874294609,0.0658516826,0.4593087055,0.482042087,0.0940738323,0.4418695793,-0.011971942,0.0627158882,-0.0387536138,0.8174823966,0.0543748035,0.8154913187,0.0736056984,0.0155380036,0.0837180391,0.8084416189,0.0713568321,0.8086179495,0.5,0.0,0.5,0.0539404071,0.0398107401,0.0406912945,8.6805327171,1.3568279039,9.0,1.6200538524,1.3088636703,0.0,1.0,0.0,1.0,1.4983388428,1.3250290965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.02758104484802035,-0.12332931285851652,-0.021050458286336005,6.0,-30578.508582495742,False,0.09013878188659974,0.12637576288617355,0.022418955151979652,-0.04832931285851652,0.053275998643693624,0.021050458286336005,0.1179154020537064,0.04546197755900119,True,True,0.0108953895,0.0239073866,0.009312795,0.4483092311,0.0876205727,0.5133039928,-0.0344605126,0.0584137152,0.0088693285,1.2707799137,0.1747256974,1.3118803501,0.0813701973,0.017845663,0.0758702829,1.2745249065,0.1934161884,1.3015078306,0.0,0.0,0.0,0.0108953895,0.0239073866,0.009312795,8.9743223363,0.4440083121,9.0,2.3844694822,1.0932138749,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.029007180452621278,0.007228093366740251,-0.01156862335596968,6.0,-17602.820306665333,False,0.0625,0.029894177552313567,0.020992819547378725,0.044728093366740246,0.04940952143840941,0.01156862335596968,0.018868888342052872,0.02318678296496497,True,True,0.5013331274,0.067789815,0.5376046045,0.5019044678,0.0968425929,0.5537208635,0.0012696452,0.0645617286,0.035813909,0.4862332178,0.0354322494,0.4900390804,0.0340822527,0.0075606162,0.0323160999,0.4863460613,0.0464290059,0.5028886199,0.5,0.0,0.5,0.0555186267,0.038921952,0.0376046045,8.2658932096,1.9179345731,9.0,1.6071841352,1.2401628476,2.5487338497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.027395911801933983,0.005130002423480209,-0.02749816176301323,6.0,-11802.566541520702,False,0.05,0.027872081162415168,0.02260408819806602,0.005130002423480209,0.023178906965835563,0.02749816176301323,0.027395911801933983,0.005130002423480209,True,True,0.4266494479,0.0621021166,0.4756405728,0.5023563542,0.0887173094,0.5723436754,0.0015709028,0.0591448729,0.0482291169,0.4882217638,0.0342864961,0.5029123425,0.0189357415,0.0046459977,0.0169191565,0.4861679032,0.0447055613,0.4293416739,0.425,0.0,0.425,0.0511335057,0.0352811304,0.0506405728,8.3349184018,1.8794351327,9.0,0.3240187346,0.3911263377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044429565,0.0059578808,0.0,0.0044429565,0.0059578808,0.0,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03123943217948562,-0.011503839293507692,-0.04467724141760606,6.0,-16458.603848559775,False,0.0625,0.03329024543898007,0.018760567820514384,-0.04900383929350769,0.052472232375343514,0.04467724141760606,0.018089242167483883,0.027946730742497525,True,True,0.5044770379,0.0637987954,0.5097216893,0.5063957685,0.0911411363,0.5138881276,0.0042638456,0.0607607575,0.0092587518,0.486643371,0.0331022144,0.5146459937,0.035543196,0.0084025956,0.0351264738,0.486260077,0.0429783232,0.4641078413,0.5,0.0,0.5,0.0524227619,0.0366358321,0.0097216893,7.9981591225,2.3031073057,9.0,1.2083827328,1.1872041428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.036502600468536824,-0.0024053751161726062,0.0049542042721471,6.0,-18042.115296378837,False,0.09013878188659974,0.03658176691215348,0.01349739953146318,-0.0774053751161726,0.07857335356841615,0.0049542042721471,0.018246606569224177,0.031706261512879,True,True,0.0254297846,0.0397136689,0.0,0.4764808989,0.1116508624,0.435532989,-0.0156794008,0.0744339083,-0.0429780073,0.921458112,0.1161030183,0.8790714741,0.0689307531,0.0165870158,0.0585148893,0.928888786,0.1247100048,0.9010390639,0.0,0.0,0.0,0.0254297846,0.0397136689,0.0,8.6730172011,1.2735766845,9.0,1.9739513651,1.2285218207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
