cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.062198539335931426,0.03108923315515757,0.0027097545239562018,6.0,-22214.611903658464,False,0.125,0.06953559314264283,0.03780146066406858,0.10608923315515757,0.11262271449306534,0.0027097545239562018,0.0311052915756506,0.06219051012568491,True,True,0.4788325876,0.0775411701,0.4590121783,0.4697608394,0.1107731002,0.441445969,-0.0201594404,0.0738487335,-0.0390360206,0.8047598149,0.0527351249,0.815079689,0.0958134073,0.0129439753,0.1043285057,0.7866449738,0.061491386,0.7975552678,0.5,0.0,0.5,0.0694234683,0.0405101772,0.0409878217,8.6376708197,1.4633166822,9.0,1.7533356058,1.30344827,3.0,1.0,0.0,1.0,1.6206369721,1.3350773086,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06228013218811512,0.037122889451595614,0.008033486648236924,6.0,-21180.81972900244,False,0.10680004681646915,0.0725046466552626,0.03771986781188488,0.07462288945159562,0.08361437710018015,0.008033486648236924,0.04527998824463955,0.05662725890567003,True,True,0.4850000771,0.0811241018,0.4440505829,0.4785715388,0.1158915739,0.4200722612,-0.0142856408,0.0772610493,-0.0532851592,0.7991564868,0.0572607761,0.7943397164,0.0832102969,0.0161563895,0.0741114095,0.7822466111,0.0628385197,0.7764463425,0.5,0.0,0.5,0.0721909069,0.0399323244,0.0559494171,8.6364052223,1.4898292089,9.0,1.7218041674,1.2901554607,2.9376153357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06896159245048006,0.05592350672861209,0.022837572206090506,6.0,-15960.623241627722,False,0.1,0.08878704769351907,0.031038407549519947,0.05592350672861209,0.06395952898540778,0.022837572206090506,0.06896159245048006,0.05592350672861209,True,True,0.4891437354,0.08509622,0.4768292675,0.4844910506,0.1215660286,0.4668989535,-0.0103392996,0.0810440191,-0.0220673643,0.7939767998,0.0597537264,0.8398413658,0.0469702506,0.0091047843,0.0382024609,0.7849428155,0.0608026434,0.8254065514,0.5,0.0,0.5,0.0761646288,0.0394737187,0.0231707325,8.5685149491,1.4576957096,9.0,0.6981070623,0.7863661471,1.0670993498,0.0,0.0,0.0,0.0,0.0,0.0,0.0134257023,0.0083926748,0.0218925166,0.0134257023,0.0083926748,0.0218925166,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06980918417367758,0.004850047624884584,-0.03209931805739993,6.0,-20481.34181106347,False,0.10680004681646915,0.06997746177847611,0.030190815826322423,-0.032649952375115414,0.04446914380057508,0.03209931805739993,0.06706734141802256,0.019970399897760675,True,True,0.4980923377,0.0788792516,0.4856164766,0.4972747681,0.1126846452,0.4794521094,-0.0018168213,0.0751230968,-0.0136985937,0.7997444648,0.0618483538,0.8520771265,0.0926411641,0.0164904845,0.0661974177,0.7903132117,0.0604209195,0.8329417109,0.5,0.0,0.5,0.068583276,0.0390116619,0.0143835234,8.5225472132,1.5328618592,9.0,1.5541708235,1.1548129824,0.738464225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06894338038326568,0.007326779469935214,-0.03283503620874987,6.0,-22604.773421867118,False,0.125,0.06933160459756234,0.031056619616734324,-0.06767322053006478,0.07445923984925785,0.03283503620874987,0.05955077198857368,0.035504604654011236,True,True,0.5034539296,0.0717956225,0.4655368708,0.5049341851,0.102565175,0.4507669583,0.0032894568,0.0683767833,-0.0328220278,0.8060777084,0.0601301503,0.8241398335,0.1074249654,0.0170653576,0.0909448713,0.8023828183,0.0547061411,0.8141128421,0.5,0.0,0.5,0.0610961958,0.0378654975,0.0344631292,8.6171595407,1.4002874492,9.0,1.7933747573,1.0345039065,0.5115903035,1.0,0.0,1.0,1.5883682989,1.117429724,0.2615903035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04537943613918782,-0.10009769929696875,0.019805762116407388,6.0,-30284.091273645663,False,0.09013878188659974,0.10990378805508481,0.00462056386081218,-0.025097699296968756,0.02551948511222179,0.019805762116407388,0.10845830229358155,0.017766240245225946,True,True,0.006003597,0.0145030459,0.0,0.4087023697,0.0960362234,0.4543716544,-0.0608650869,0.0640241489,-0.030418897,1.2707799137,0.1747256974,1.3118803501,0.1133751073,0.0205051192,0.1097452566,1.284616373,0.1785852851,1.3601913452,0.0,0.0,0.0,0.006003597,0.0145030459,0.0,9.0,0.0,9.0,2.3517078023,1.0947939324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03656501247083598,0.028391238880593358,0.02876323353030689,6.0,-17045.89027203916,False,0.0625,0.046293223933609406,0.01343498752916402,0.06589123888059335,0.06724696462390113,0.02876323353030689,0.012217266648312772,0.04465199858697627,True,True,0.5208840467,0.0676171094,0.4947945684,0.5298343525,0.0965958706,0.4925636691,0.0198895683,0.064397247,-0.0049575539,0.478011031,0.0410090588,0.5189237595,0.0465989284,0.0055319883,0.050504975,0.4797353455,0.0408417174,0.5151318312,0.5,0.0,0.5,0.0623134766,0.0335447094,0.0052054316,7.9000350866,2.3763977978,9.0,1.3963645204,1.3069857981,2.3443349321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.034273836211176294,0.015595951031932183,0.008645802020420238,6.0,-11813.64588473244,False,0.05,0.037655405152792684,0.01572616378882371,0.015595951031932183,0.022148271176399673,0.008645802020420238,0.034273836211176294,0.015595951031932183,True,True,0.4517694391,0.0632127236,0.4295389438,0.5382420559,0.0903038908,0.5064842054,0.0254947039,0.0602025939,0.0043228036,0.4888614712,0.025692322,0.4645641744,0.0252047874,0.0035200346,0.0212721992,0.4898486454,0.0278019893,0.4625700116,0.425,0.0,0.425,0.0580852264,0.0365863058,0.0045389438,7.8349139249,2.4758039495,9.0,0.31595383,0.4300332709,0.2611197837,0.0,0.0,0.0,0.0,0.0,0.0,0.0014522944,0.0023001057,0.0045575653,0.0014522944,0.0023001057,0.0045575653,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.035549023329603475,0.024427176875869108,0.018770231547297955,6.0,-17272.452986476896,False,0.0625,0.043132586634859804,0.014450976670396527,-0.01307282312413089,0.019486647509593745,0.018770231547297955,0.04309552478920425,0.0017876724970668002,True,True,0.5381822911,0.0667847341,0.5113611168,0.5545461302,0.095406763,0.5162301669,0.0363640868,0.0636045087,0.0108201113,0.4739881833,0.0476416137,0.5131924152,0.0550758494,0.0092815555,0.0431814902,0.4804815505,0.0395102707,0.5136270523,0.5,0.0,0.5,0.063371964,0.0436128679,0.0113611168,7.9808144826,2.3119478255,9.0,1.3653453609,1.1024720389,0.5845676466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02128914748585305,0.05806836789365292,0.11729815656196403,6.0,-20078.532230763194,False,0.09013878188659974,0.06184790336387341,0.028710852514146953,-0.01693163210634708,0.033331564887862396,0.11729815656196403,0.06012489688550263,0.014496893633282278,True,False,0.0294657482,0.0466579555,0.0,0.4597377528,0.1374068999,0.4989590026,-0.0268414981,0.0916046,-0.0006939983,0.921458112,0.1161030183,0.8790714741,0.119055306,0.0122960341,0.1087994874,0.9468145549,0.1072684112,0.8700268269,0.0,0.0,0.0,0.0294657482,0.0466579555,0.0,8.550262215,1.4240293828,9.0,2.1205703371,1.1173624773,2.2055165288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.0259317754462829,-0.09287961431246716,-0.03989113344818285,6.0,-27395.63690504482,False,0.075,0.09643173612783862,-0.0259317754462829,-0.017879614312467165,0.03149821559642739,0.03989113344818285,0.09287961431246716,0.0259317754462829,True,True,0.0053871236,0.0131366024,0.0,0.4086553914,0.0900888785,0.3928301483,-0.0608964057,0.0600592524,-0.0714465678,1.2707799137,0.1747256974,1.3118803501,0.0615479167,0.010565777,0.0619436651,1.2763166241,0.1765273352,1.3276430368,0.0,0.0,0.0,0.0053871236,0.0131366024,0.0,9.0,0.0,9.0,1.129056148,1.4036878578,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.004410218879457451,-0.026189910595788058,-0.08695424449289553,6.0,-15394.00545571506,False,0.0375,0.02655864167422902,0.004410218879457451,0.01131008940421194,0.01213952852857104,0.08695424449289553,0.026189910595788058,0.004410218879457451,True,False,0.0008667948,0.0078429917,0.0,0.4188414751,0.0463890988,0.4551059091,-0.0541056832,0.0309260659,-0.0299293939,1.1413779688,0.023411709,1.1148432493,0.0374436631,0.0052426927,0.0440867245,1.1385835,0.0250723685,1.1064802408,0.0,0.0,0.0,0.0008667948,0.0078429917,0.0,6.9821699009,3.2257527327,9.0,0.503353795,0.5349641167,0.0548243489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.323900108551047e-05,1.282135459152081e-05,5.547906356325368e-05,6.0,1795.9927162874678,False,0.0,1.8429820490272257e-05,1.323900108551047e-05,1.282135459152081e-05,1.8429820490272257e-05,5.547906356325368e-05,0.0,1.8429820490272257e-05,True,True,0.5903609714,0.022838439,0.5639112696,0.629087102,0.0326263415,0.5913018137,0.086058068,0.0217508943,0.0608678758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.1007e-06,1.55994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0375,0.0,-0.029661296641326215,0.02955201157530854,0.04305070500105934,6.0,-12602.84305711834,False,0.0375,0.0418702030875409,-0.029661296641326215,-0.007947988424691459,0.0307077032427334,0.04305070500105934,0.02955201157530854,0.029661296641326215,True,True,0.0409838432,0.0489726674,0.0245272773,0.5202408598,0.1088636966,0.5350389676,0.0134939065,0.0725757977,0.0233593117,0.5528748882,0.0696618143,0.5274428725,0.0307872698,0.0067049117,0.0194892455,0.5615473922,0.0678019923,0.5285445452,0.0,0.0,0.0,0.0409838432,0.0489726674,0.0245272773,7.7389413602,2.4727785386,9.0,1.0095655307,0.8518965093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.022877003541032198,0.06829405635852287,0.11522594038048324,6.0,-18049.95109469755,False,0.075,0.07202385316627748,-0.022877003541032198,-0.006705943641477127,0.023839609290822433,0.11522594038048324,0.06829405635852287,0.022877003541032198,True,False,0.0311886736,0.0481541934,0.0,0.4548157052,0.1460668047,0.4863410601,-0.0301228632,0.0973778698,-0.0091059599,0.921458112,0.1161030183,0.8790714741,0.0590407804,0.0075957927,0.0496313237,0.9300098938,0.1095155186,0.8693784475,0.0,0.0,0.0,0.0311886736,0.0481541934,0.0,8.6311293278,1.2706597498,9.0,1.5347387468,1.3202695999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.03527683470185862,-0.11030297485491623,-0.013263584918414395,6.0,-26633.300091276542,False,0.09013878188659974,0.11580674129093928,-0.08527683470185862,-0.035302974854916236,0.09229538758992763,0.013263584918414395,0.07220955556304687,0.09053718249323749,True,True,0.0047376151,0.0119053103,0.0,0.4028984591,0.0914100846,0.3868488334,-0.0647343606,0.0609400564,-0.0754341111,1.2707799137,0.1747256974,1.3118803501,0.1119936129,0.018587492,0.1143339798,1.2829006439,0.1740721646,1.3364520073,0.0,0.0,0.0,0.0047376151,0.0119053103,0.0,9.0,0.0,9.0,1.4549836047,1.4595281164,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0375,0.0,0.05309744608717585,0.015451618347148378,0.048217701318101026,6.0,-22710.282620610116,False,0.0625,0.05530001166841177,0.0030974460871758466,0.05295161834714838,0.053042134740647666,0.048217701318101026,0.033206985861451654,0.044219762330024205,True,True,0.4652861167,0.0422586862,0.4270924751,0.4504087381,0.0603695517,0.395846393,-0.0330608413,0.0402463678,-0.069435738,0.8509724025,0.0507311612,0.8088038564,0.0670833829,0.0110207573,0.0729674995,0.8561120548,0.053405412,0.8079879284,0.5,0.0,0.5,0.048440335,0.0253847237,0.0729075249,8.6848766088,1.3038740025,9.0,1.7337392005,1.276725545,1.7717938865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.04762344074563298,0.0008304833262118691,0.01827527885919918,6.0,-16815.14384237153,False,0.05,0.047630681403985096,-0.002376559254367021,0.0008304833262118691,0.0025174861359366927,0.01827527885919918,0.04762344074563298,0.0008304833262118691,True,True,0.3638030112,0.0468256187,0.3455172375,0.4125757303,0.066893741,0.3864531964,-0.0582828465,0.0445958273,-0.0756978691,1.1553205331,0.1083122376,0.9982304573,0.0393802038,0.0063109133,0.0460993312,1.1533962297,0.1102891243,0.9926255345,0.425,0.0,0.425,0.0712755786,0.0292831335,0.0794827625,8.7708800602,1.145218655,9.0,0.7838428556,0.9658537986,0.9007637266,0.0,0.0,0.0,0.0,0.0,0.0,0.0042486599,0.0055613926,0.0117074515,0.0042486599,0.0055613926,0.0117074515,0.0,0.0,0.0
0.05,0.0375,0.0,0.051124493419701544,0.006654253606186912,0.04102362516223194,6.0,-22588.758501427023,False,0.0625,0.051555726340306356,0.0011244934197015416,-0.030845746393813087,0.03086623650596854,0.04102362516223194,0.044892146899473385,0.025351293166871396,True,True,0.4760128185,0.0453410502,0.4097506829,0.4657325978,0.0647729289,0.3710724041,-0.0228449348,0.0431819526,-0.0859517306,0.851675117,0.0553174053,0.785194397,0.0664128418,0.0103760303,0.0720221996,0.8598662154,0.0544378217,0.7877479792,0.5,0.0,0.5,0.0436669235,0.0269145966,0.0902493171,8.7897069605,1.1356720438,9.0,1.7241709494,1.2845261258,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.075,0.0,-0.025585195582929248,0.06183736645327955,0.10330965285787792,6.0,-19286.350064359376,False,0.09013878188659974,0.06692131291968147,-0.07558519558292925,-0.013162633546720447,0.07672272618458574,0.10330965285787792,0.037259685948216624,0.055589368821153146,True,False,0.0311362981,0.0481814534,0.0,0.4583422708,0.1425375863,0.4894057536,-0.0277718195,0.0950250575,-0.007062831,0.921458112,0.1161030183,0.8790714741,0.0986344053,0.0151644657,0.0850929171,0.933562326,0.1052143191,0.8618530631,0.0,0.0,0.0,0.0311362981,0.0481814534,0.0,8.5336596087,1.5281717785,9.0,2.0143154649,1.1693509582,0.4269784286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
