cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05054547786402964,-0.028251465502160348,-0.06501330349322847,6.0,-23508.43444599871,False,0.125,0.05790501390659419,0.04945452213597037,0.04674853449783965,0.0680527386472645,0.06501330349322847,0.05738726159251992,0.007726114316689503,True,False,0.4859366639,0.0672273607,0.4667229716,0.4799095198,0.0960390867,0.452461388,-0.0133936535,0.0640260578,-0.031692408,0.8125980337,0.0559100186,0.8257878423,0.0709004118,0.011661773,0.0936832353,0.7988308634,0.0771981814,0.8277087808,0.5,0.0,0.5,0.0574609754,0.0376235533,0.0332770284,8.6762505762,1.2413824933,9.0,2.0748819173,1.0699418395,3.0,1.0,0.0,1.0,1.9007350973,1.1313476281,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0478871221868133,-0.03310861662405007,-0.09715106108362696,6.0,-22174.865920565495,False,0.10680004681646915,0.05821818415317598,0.05211287781318671,0.00439138337594993,0.05229757434075405,0.09715106108362696,0.05646332114859433,0.014186272624047884,True,False,0.4835523493,0.0747624547,0.4733253182,0.4765033561,0.1068035067,0.4618933117,-0.0156644293,0.0712023378,-0.0254044589,0.8132132097,0.0589822206,0.8349664807,0.0690129184,0.0143159726,0.0762906522,0.7991898342,0.0782829247,0.7899944186,0.5,0.0,0.5,0.0606050176,0.046765176,0.0266746818,8.6660042562,1.361513759,9.0,2.0810028009,1.0526983984,0.8687679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0510409404607557,0.04740942123610476,-0.004317032393909607,6.0,-15516.007155071184,False,0.1,0.06966226256059178,0.04895905953924431,0.04740942123610476,0.06815161577622125,0.004317032393909607,0.0510409404607557,0.04740942123610476,True,True,0.4844960816,0.0649096672,0.4982718438,0.4778515451,0.092728096,0.4975312054,-0.0147656366,0.0618187307,-0.0016458631,0.8173912237,0.0528645265,0.8697248697,0.0378494657,0.0081996273,0.0304014031,0.8079394595,0.0710929432,0.8599763513,0.5,0.0,0.5,0.0551681621,0.037551435,0.0017281562,8.6853090387,1.3417624257,9.0,0.9010729603,0.8613837071,0.7205630465,0.0,0.0,0.0,0.0,0.0,0.0,0.0103939933,0.007404982,0.0109867827,0.0103939933,0.007404982,0.0109867827,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05289044823786251,-0.007731809015847611,-0.06417069641393154,6.0,-20683.906374823655,False,0.10680004681646915,0.053452599426590613,0.0471095517621375,-0.04523180901584761,0.06530870090635417,0.06417069641393154,0.04680805050846734,0.025810594589360483,True,False,0.4903337076,0.0711524193,0.5797251772,0.4861910108,0.1016463133,0.6138931103,-0.0092059928,0.0677642089,0.0759287402,0.8112744188,0.0559466339,0.755659461,0.0683336391,0.0152106655,0.0592471659,0.8004860145,0.0740226714,0.7665805817,0.5,0.0,0.5,0.0591052307,0.0407759204,0.0797251772,8.6988103376,1.3061169936,9.0,1.5467425428,1.2417407629,1.3622061913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05969125382321345,-0.0024016533699927722,-0.04764120469515717,6.0,-22709.743388387258,False,0.125,0.05973954906003971,0.04030874617678656,-0.07740165336999277,0.08726861384686431,0.04764120469515717,0.0463120110365751,0.037736074989922284,True,True,0.4901348501,0.0660977317,0.4818623394,0.4859069287,0.0944253309,0.4740890563,-0.0093953809,0.0629502206,-0.0172739625,0.817027457,0.0562721288,0.8468478322,0.077339257,0.0151999209,0.0808403045,0.8076146793,0.0725184707,0.8259834647,0.5,0.0,0.5,0.053580145,0.0399424508,0.0181376606,8.7002496237,1.3085943886,9.0,1.6793184118,1.1880838089,0.0,1.0,0.0,1.0,1.5296946614,1.2408921199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03656539122373831,-0.1005859244776214,-0.006198316551327669,6.0,-30344.778231407603,False,0.09013878188659974,0.1070259596470071,0.013434608776261694,-0.025585924477621397,0.028898585507698357,0.006198316551327669,0.1039753777547089,0.025370787514942802,True,True,0.0094484812,0.0212775896,0.0180098564,0.4409819427,0.0857008015,0.5257283663,-0.0393453715,0.0571338677,0.0171522442,1.2707799137,0.1747256974,1.3118803501,0.0849895325,0.0172177128,0.0741915926,1.27442834,0.1932956424,1.2854810953,0.0,0.0,0.0,0.0094484812,0.0212775896,0.0180098564,8.9743223363,0.4440083121,9.0,2.3932107505,1.0961290022,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.02941351528757344,0.010576900075251883,-0.004261456221225017,6.0,-17119.519259092685,False,0.0625,0.0312574102697933,0.020586484712426564,0.04807690007525188,0.05229905996918804,0.004261456221225017,0.017184672184907622,0.02610962923274557,True,True,0.504046223,0.0679634738,0.5240651741,0.5057803186,0.0970906768,0.5343788201,0.0038535457,0.0647271179,0.0229192134,0.4850728618,0.0357765598,0.5019563437,0.0343995878,0.0074206771,0.0329368301,0.4850923582,0.0466062267,0.5038435459,0.5,0.0,0.5,0.0565943443,0.0378481953,0.0240651741,8.2132350703,1.9832346378,9.0,1.5873985831,1.2308791805,2.1374361479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.026683971515618184,-0.0025412802440444833,-0.026549151767616113,6.0,-11699.939304496544,False,0.05,0.026804709308722103,0.02331602848438182,-0.0025412802440444833,0.02345411029144519,0.026549151767616113,0.026683971515618184,0.0025412802440444833,True,True,0.4289134391,0.0616388304,0.4687400777,0.5055906273,0.088055472,0.5624858253,0.0037270849,0.058703648,0.0416572168,0.488845674,0.0332593087,0.4971546233,0.019175945,0.0046385118,0.0170174111,0.4866838641,0.0439653808,0.4280145764,0.425,0.0,0.425,0.0508134671,0.0351091438,0.0437400777,8.2384383342,2.0730429527,9.0,0.3334721878,0.3884679462,0.0902533983,0.0,0.0,0.0,0.0,0.0,0.0,0.0043208608,0.0058428667,0.0,0.0043208608,0.0058428667,0.0,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.030959232071616896,-0.012359723458879925,-0.04717038029319901,6.0,-16552.26527485041,False,0.0625,0.03333521883000348,0.019040767928383107,-0.04985972345887992,0.05337174221157225,0.04717038029319901,0.017351551581965562,0.02846331801007408,True,True,0.5083672542,0.063979202,0.5090869467,0.5119532203,0.0913988599,0.5129813524,0.0079688136,0.0609325733,0.0086542349,0.4856859726,0.0348713415,0.5152090192,0.0366983546,0.0081325244,0.0369939543,0.4856948214,0.0442556085,0.4629715383,0.5,0.0,0.5,0.0524932558,0.0375207585,0.0090869467,7.9591102979,2.3103573968,9.0,1.249586584,1.2277883588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.033285735699506096,-0.012752640887173277,0.006158205912518551,6.0,-17892.194171211526,False,0.09013878188659974,0.03564505646866867,0.016714264300493907,-0.08775264088717327,0.08933024467547349,0.006158205912518551,0.007852765520259802,0.03476929858853061,True,True,0.0265218667,0.042021257,0.0,0.474585757,0.1170614229,0.4597705472,-0.0169428287,0.0780409486,-0.0268196352,0.921458112,0.1161030183,0.8790714741,0.0723734238,0.0168329377,0.0582082011,0.9297173228,0.1250346819,0.9015262723,0.0,0.0,0.0,0.0265218667,0.042021257,0.0,8.6383998824,1.2395850017,9.0,2.0115290557,1.2186237306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
