cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06230311393628082,0.014441646294670325,-0.012355623972428509,6.0,-21775.12901504701,False,0.125,0.06395497755341295,0.03769688606371919,0.08944164629467033,0.09706113182320687,0.012355623972428509,0.04117750337222246,0.04893518539750475,True,True,0.4785362014,0.0773290886,0.4530681444,0.4693374306,0.1104701266,0.432954492,-0.0204417129,0.073646751,-0.0446970053,0.8034438703,0.0531824935,0.8068339825,0.0942074792,0.0132793449,0.1009208709,0.784514881,0.0610257187,0.7870865464,0.5,0.0,0.5,0.069809892,0.0395861285,0.0469318556,8.5832980123,1.4292550062,9.0,1.793344106,1.2783736178,3.0,1.0,0.0,1.0,1.6580153949,1.3067230866,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06763787995283388,0.015000167337396036,-0.021805130559582775,6.0,-20444.06733727414,False,0.10680004681646915,0.06928122274226871,0.032362120047166126,0.052500167337396035,0.061673125301072405,0.021805130559582775,0.05806441012884243,0.03779433953720359,True,True,0.4829392303,0.0810373808,0.4706157861,0.4756274719,0.1157676869,0.4580225516,-0.0162483521,0.0771784579,-0.0279849656,0.798088904,0.0552863995,0.8311985731,0.0850715159,0.0140678001,0.0834120587,0.7799731861,0.0613273374,0.8087210059,0.5,0.0,0.5,0.0736353894,0.0378940151,0.0293842139,8.4945464354,1.7135833094,9.0,1.6470882725,1.2692567597,2.4931099452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07113785781506649,0.03281359617776521,0.011454358164801151,6.0,-15483.731439264297,False,0.1,0.07834109335868414,0.02886214218493352,0.03281359617776521,0.04370074765516909,0.011454358164801151,0.07113785781506649,0.03281359617776521,True,True,0.4878069428,0.0837749759,0.4742594503,0.4825813469,0.119678537,0.4632277861,-0.0116124354,0.0797856914,-0.0245148093,0.7952763395,0.0586287391,0.836265862,0.0471991517,0.0083661793,0.0420785397,0.7856919674,0.0602405518,0.8227270842,0.5,0.0,0.5,0.0752264235,0.0388317196,0.0257405497,8.5321369999,1.4511714914,9.0,0.7182111608,0.7447126622,0.8461210957,0.0,0.0,0.0,0.0,0.0,0.0,0.0142153134,0.0082035813,0.0203760532,0.0142153134,0.0082035813,0.0203760532,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.07448637436155929,0.01112612397296203,-0.019513011919962908,6.0,-21108.201337446615,False,0.10680004681646915,0.0753127519095676,0.025513625638440715,-0.026373876027037967,0.036695046394684766,0.019513011919962908,0.0736504085869843,0.01573619760813727,True,True,0.496392776,0.0806159856,0.4879057884,0.4948468228,0.1151656937,0.4827225548,-0.0034354515,0.0767771291,-0.0115182968,0.7979133588,0.061834146,0.8552673459,0.0915304079,0.0173807121,0.0747515112,0.7881932034,0.0607749053,0.8437527418,0.5,0.0,0.5,0.0704312275,0.039387706,0.0120942116,8.5319673773,1.4602092965,9.0,1.6374434637,1.075285495,0.8971949376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0714784578734137,0.013959118170013551,-0.029341927101618943,6.0,-22795.35118781001,False,0.125,0.07282875064180203,0.028521542126586308,-0.061040881829986446,0.0673755713880113,0.029341927101618943,0.06555823720073908,0.03171978018803737,True,True,0.5023278966,0.0739096799,0.4992358651,0.5033255666,0.105585257,0.4989083786,0.0022170444,0.0703901713,-0.0007277476,0.8017618177,0.0601731886,0.871070385,0.1064335131,0.0157299548,0.0931004658,0.7978211103,0.0561526386,0.8604013324,0.5,0.0,0.5,0.0644019903,0.0363379076,0.0007641349,8.6515287867,1.3451938838,9.0,1.7494892261,1.1042487444,0.7443891096,1.0,0.0,1.0,1.5524525937,1.1769178024,0.4943891096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.045793026996735174,-0.09319226890072076,-0.018899867023198718,6.0,-30178.776049380347,False,0.09013878188659974,0.10383544820718964,0.004206973003264829,-0.01819226890072076,0.018672366470437827,0.018899867023198718,0.10294205582969239,0.013591668254649799,True,True,0.0056142424,0.0142323131,0.0,0.4099235342,0.0923723061,0.4074366596,-0.0600509772,0.0615815374,-0.0617088936,1.2707799137,0.1747256974,1.3118803501,0.1130861817,0.0208076471,0.1116462424,1.2841947337,0.1795858188,1.3379331827,0.0,0.0,0.0,0.0056142424,0.0142323131,0.0,9.0,0.0,9.0,2.3347980281,1.0891551988,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03664483597284019,0.023351103644072304,0.02131088598440874,6.0,-17128.12040341244,False,0.0625,0.04345248030748727,0.013355164027159812,0.0608511036440723,0.06229941589528727,0.02131088598440874,0.015305206591828772,0.04066778449896196,True,True,0.5212231823,0.067925368,0.5001343277,0.5303188319,0.09703624,0.5001918967,0.0202125546,0.0646908266,0.0001279311,0.4778447388,0.0411466454,0.523162663,0.0465545353,0.0050180647,0.0505539365,0.4793622053,0.0411815186,0.5198239088,0.5,0.0,0.5,0.0626290756,0.0337916849,0.0001343277,7.839498662,2.3938494002,9.0,1.4036124079,1.3177562449,2.03029832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03481737200285644,0.023654303657506027,0.018888724672886086,6.0,-12151.690609758882,False,0.05,0.04209246339556281,0.01518262799714356,0.023654303657506027,0.028107619508260576,0.018888724672886086,0.03481737200285644,0.023654303657506027,True,True,0.4528023384,0.0634363199,0.4287304948,0.5397176264,0.0906233142,0.5053292783,0.0264784176,0.0604155428,0.0035528522,0.4886462838,0.02537906,0.4638943672,0.0252422598,0.0034480878,0.0225891136,0.4897250732,0.0275909859,0.4618929625,0.425,0.0,0.425,0.0587192512,0.0367312708,0.0037304948,7.9121683669,2.2767089472,9.0,0.3575457514,0.4957840077,0.3040039953,0.0,0.0,0.0,0.0,0.0,0.0,0.0015537841,0.0024362627,0.0045243249,0.0015537841,0.0024362627,0.0045243249,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03945912275721124,0.013936698133391804,0.005616828834161147,6.0,-17266.889556433984,False,0.0625,0.04184798589693359,0.010540877242788765,-0.023563301866608197,0.025813548533753422,0.005616828834161147,0.03992931708580408,0.0125261151476133,True,True,0.5374990616,0.0680500438,0.5124080083,0.553570088,0.0972143483,0.5177257261,0.035713392,0.0648095655,0.0118171507,0.4732717189,0.0474834083,0.5122645497,0.0539233021,0.009392268,0.041625347,0.4791402574,0.0395478917,0.5117958188,0.5,0.0,0.5,0.0649309271,0.0426727405,0.0124080083,8.055789459,2.1622804316,9.0,1.3117556292,1.1674397789,0.4180516446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.0209299861842957,0.06081462174905599,0.12097742226146065,6.0,-19669.734502134485,False,0.09013878188659974,0.06431549222508962,0.0290700138157043,-0.014185378250944007,0.03234641648417324,0.12097742226146065,0.06221069136976682,0.016319081452434207,True,False,0.0295684027,0.0468835144,0.0,0.4588695742,0.1379851857,0.4789558882,-0.0274202838,0.0919901238,-0.0140294079,0.921458112,0.1161030183,0.8790714741,0.1184709796,0.0122898415,0.104678914,0.947718311,0.1066823224,0.868786931,0.0,0.0,0.0,0.0295684027,0.0468835144,0.0,8.5515416593,1.4642181044,9.0,2.0481129614,1.1299029434,1.9964838996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
