cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.050986763277007956,-0.011881494189408108,-0.05343551906027466,6.0,-22369.348450609938,False,0.125,0.052352840740867025,0.04901323672299205,0.06311850581059189,0.07991397343284702,0.05343551906027466,0.047918307135251234,0.021086862614678282,True,False,0.4781442055,0.0635024243,0.5216010999,0.4687774364,0.090717749,0.5308587141,-0.0208150424,0.0604784993,0.0205724761,0.8182278943,0.0489988875,0.8402194977,0.0715285931,0.0129797704,0.061441008,0.8046059291,0.0713164154,0.829020977,0.5,0.0,0.5,0.0553484644,0.0380365762,0.0216010999,8.6465900507,1.3915280903,9.0,1.8965783158,1.1663859051,3.0,1.0,0.0,1.0,1.7408944667,1.2213874069,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05411601776728597,-0.036579134217949484,-0.09631110108166678,6.0,-21563.359707540792,False,0.10680004681646915,0.06531903580981561,0.04588398223271403,0.0009208657820505145,0.045893221932226204,0.09631110108166678,0.06351419790628479,0.015248708254972338,True,False,0.4862364273,0.0692802394,0.4963219171,0.4803377533,0.0989717706,0.4947455958,-0.0131081644,0.0659811804,-0.0035029361,0.8134159134,0.0537930412,0.8670037985,0.0662596756,0.0142033417,0.0805905536,0.7980375691,0.0744478326,0.7893286943,0.5,0.0,0.5,0.0574994946,0.0410243296,0.0036780829,8.7586129504,1.1746671483,9.0,1.9186674943,1.1029746612,2.8970721462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06329565587922359,-0.007177913846858476,-0.05827617445773662,6.0,-14839.75281856068,False,0.1,0.0637013539916854,0.036704344120776417,-0.007177913846858476,0.0373996166361274,0.05827617445773662,0.06329565587922359,0.007177913846858476,True,False,0.4887619373,0.0731257152,0.4019051366,0.4839456247,0.1044653074,0.3598644808,-0.0107029168,0.0696435383,-0.0934236795,0.8091328347,0.0562858768,0.7362144589,0.0375867398,0.0088073353,0.0206005108,0.7999671998,0.074082728,0.7833200097,0.5,0.0,0.5,0.0616306494,0.0409307626,0.0980948634,8.7241896347,1.1786633647,9.0,0.5695745748,0.6540673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110681921,0.008514047,0.0,0.0110681921,0.008514047,0.0,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05794180773432892,-0.0038741038638352185,-0.07258525526510991,6.0,-20681.797192511916,False,0.10680004681646915,0.0580711784301793,0.042058192265671084,-0.041374103863835214,0.05899752543278047,0.07258525526510991,0.05289231650100719,0.023972163428172346,True,False,0.4929108648,0.0779826833,0.4066259999,0.489872664,0.1114038333,0.3666085713,-0.0067515573,0.0742692222,-0.0889276192,0.8038494921,0.0634208194,0.7427012324,0.0692027843,0.0139895004,0.0635111257,0.7945881857,0.0788327554,0.769900918,0.5,0.0,0.5,0.0648242397,0.043924625,0.0933740001,8.6043262528,1.4515499256,9.0,1.5350893915,1.2465491209,0.4990192688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06319017302146383,0.022188619416522032,-0.02332389713953768,6.0,-22082.241226655227,False,0.125,0.06697262723003924,0.03680982697853617,-0.052811380583477965,0.06437394877838956,0.02332389713953768,0.06386531006708429,0.020163208279660668,True,True,0.4934585229,0.0654457574,0.4609649204,0.4906550327,0.0934939391,0.4442356005,-0.0062299782,0.0623292927,-0.0371762663,0.8159005119,0.0571712027,0.8177903295,0.0816996728,0.0157964038,0.0856875554,0.8050806878,0.0731601817,0.767858088,0.5,0.0,0.5,0.0521100615,0.0401307808,0.0390350796,8.7176709362,1.2620845879,9.0,1.7209665049,1.1373812067,0.29761712,1.0,0.0,1.0,1.5369690618,1.187053405,0.04761712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.038925242086434005,-0.09384265691083743,-0.00676901619010839,6.0,-30377.512114441535,False,0.09013878188659974,0.1015953676481986,0.011074757913565998,-0.018842656910837433,0.02185625728032186,0.00676901619010839,0.09967364972756705,0.019666781067549145,True,True,0.0090431242,0.0201078771,0.0112350484,0.4367226388,0.0866437936,0.5160500691,-0.0421849074,0.0577625291,0.0107000461,1.2707799137,0.1747256974,1.3118803501,0.0910003588,0.016645397,0.0919979885,1.2740539241,0.1941179959,1.290060401,0.0,0.0,0.0,0.0090431242,0.0201078771,0.0112350484,8.9741577165,0.4468548552,9.0,2.3176036159,1.0910131255,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.028377648598624506,0.016233734292096454,-0.0004116367206973652,6.0,-17486.945180033243,False,0.0625,0.032692890191193,0.021622351401375497,0.05373373429209645,0.05792098308124774,0.0004116367206973652,0.012961878303641735,0.030013576592851865,True,True,0.5097331079,0.0650846729,0.5401954658,0.5139044399,0.0929781042,0.557422094,0.0092696266,0.0619854028,0.038281396,0.4836242332,0.0374121555,0.4877657294,0.0354041044,0.0079184258,0.0346166976,0.4824044094,0.0476351703,0.5063408017,0.5,0.0,0.5,0.0545256875,0.0368469461,0.0401954658,8.2615418102,1.9498953938,9.0,1.6052438275,1.2714015529,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.028475635492300585,0.006872737444785507,-0.020698756435655552,6.0,-11306.873519136801,False,0.05,0.02929328142553042,0.021524364507699418,0.006872737444785507,0.02259497261439516,0.020698756435655552,0.028475635492300585,0.006872737444785507,True,True,0.4293545998,0.0638637784,0.3622090232,0.5062208568,0.0912339691,0.4102986045,0.0041472379,0.0608226461,-0.0598009303,0.4892251888,0.0332112235,0.4091683924,0.0185467044,0.0045149198,0.0160672888,0.4878918058,0.043969462,0.445002526,0.425,0.0,0.425,0.0517785168,0.0376368161,0.0627909768,7.989754661,2.28534677,9.0,0.3156829059,0.3746225976,0.178706473,0.0,0.0,0.0,0.0,0.0,0.0,0.0037329694,0.0057521635,0.0,0.0037329694,0.0057521635,0.0,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.029921382852537166,-0.00659352974497814,-0.03240028403380868,6.0,-16342.543130116755,False,0.0625,0.03063925237837922,0.020078617147462837,-0.04409352974497814,0.04844987339432025,0.03240028403380868,0.019980988435042847,0.02322765350750481,True,True,0.5072496895,0.0659426434,0.4140201684,0.5103566993,0.0942037763,0.3771716692,0.0069044662,0.0628025175,-0.0818855539,0.4853738673,0.0364013839,0.4517245889,0.0372094725,0.0079087047,0.0267390236,0.486065325,0.0450793264,0.5278651118,0.5,0.0,0.5,0.0542522326,0.0381796474,0.0859798316,8.1212959094,2.2147182184,8.9031646469,1.2093551376,1.1983625859,0.4734384971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.033000080550763304,0.007967021460740764,0.013041926062350884,6.0,-17897.547823433324,False,0.09013878188659974,0.0339481773783626,0.0169999194492367,-0.06703297853925923,0.0691550249304078,0.013041926062350884,0.024934113708362043,0.02303841836783164,True,True,0.0207212893,0.035196164,0.0,0.4687307151,0.1062932877,0.3566550054,-0.02084619,0.0708621918,-0.0955633298,0.921458112,0.1161030183,0.8790714741,0.0801062829,0.014875557,0.0708800852,0.931235373,0.1248798034,0.9136784673,0.0,0.0,0.0,0.0207212893,0.035196164,0.0,8.7337120849,1.0964811629,9.0,1.9773799495,1.1927722965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
