cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06649569650976482,0.0244083710951525,-0.008800375189860432,6.0,-22382.47344230049,False,0.125,0.07083393419708822,0.033504303490235185,0.09940837109515249,0.10490263388570058,0.008800375189860432,0.03855153455072036,0.05942411478198089,True,True,0.4776221241,0.0807435473,0.4488086138,0.4680316058,0.1153479246,0.4268694483,-0.0213122628,0.0768986164,-0.0487537012,0.8008433417,0.0542122849,0.8009297848,0.0949181533,0.0135150013,0.0916699767,0.7814446958,0.0617768737,0.7826269865,0.5,0.0,0.5,0.0733572399,0.040484628,0.0511913862,8.575479899,1.6460888322,9.0,1.784732186,1.2758188409,3.0,1.0,0.0,1.0,1.6426878119,1.3128049478,2.8648656278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.059174073863689614,0.04946371982584267,0.02015865807870069,6.0,-20833.48006676109,False,0.10680004681646915,0.07712477291139894,0.04082592613631039,0.08696371982584267,0.09606999953593803,0.02015865807870069,0.038038540375184546,0.0670917285718613,True,True,0.4870279314,0.0821019438,0.4649794782,0.4814684734,0.1172884911,0.4499706831,-0.0123543511,0.0781923274,-0.0333528779,0.7983575422,0.0586727846,0.8233655095,0.0851451067,0.0136827206,0.0788060427,0.7818124912,0.0646017515,0.8082959056,0.5,0.0,0.5,0.0725583705,0.0405498041,0.0350205218,8.5012484444,1.6943986974,9.0,1.6923016124,1.3100180334,2.6199971001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0642989352058906,0.04754731649872201,0.023946027337090836,6.0,-15524.38323503637,False,0.1,0.07996937147959185,0.03570106479410941,0.04754731649872201,0.059458500936895815,0.023946027337090836,0.0642989352058906,0.04754731649872201,True,True,0.4891104318,0.0846637219,0.4686804583,0.484443474,0.1209481741,0.4552577976,-0.0103710174,0.0806321161,-0.0298281349,0.7935755757,0.059752036,0.8285082579,0.0472790402,0.0085656689,0.0370299891,0.7840284741,0.0615677018,0.8144421577,0.5,0.0,0.5,0.0761005866,0.0386681938,0.0313195417,8.4954619626,1.4394907598,9.0,0.8865511012,0.9073630701,1.0234893685,0.0,0.0,0.0,0.0,0.0,0.0,0.0141709146,0.0084302292,0.0220090503,0.0141709146,0.0084302292,0.0220090503,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.07265209955308956,0.019737679045923825,-0.016766958886745915,6.0,-21725.232412741123,False,0.10680004681646915,0.07528548029727868,0.027347900446910448,-0.017762320954076174,0.03260993260541546,0.016766958886745915,0.07495664241878054,0.00702889044551164,True,True,0.4976835242,0.0814408124,0.5019130153,0.4966907489,0.1163440177,0.502732879,-0.0022061674,0.0775626785,0.0018219193,0.796432205,0.0623104974,0.8693010807,0.0915422685,0.0187477674,0.0593165159,0.7871315638,0.0616350947,0.8555460572,0.5,0.0,0.5,0.0714596694,0.0391342259,0.0019130153,8.6804209888,1.1706375945,9.0,1.6581664458,1.1301189829,1.316814174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07487789143667412,-0.014700296154049663,-0.04175490745971899,6.0,-22381.341833226925,False,0.125,0.07630725609677708,0.02512210856332589,-0.08970029615404966,0.09315183019560994,0.04175490745971899,0.0510821354569095,0.05668697178524419,True,True,0.5029458158,0.0775114722,0.4688858306,0.5042083083,0.1107306746,0.4555511866,0.0028055389,0.0738204497,-0.0296325423,0.7988822456,0.0625060257,0.8287936449,0.1068195583,0.0159193269,0.0844652206,0.7943958873,0.0584547385,0.8186916113,0.5,0.0,0.5,0.0675857507,0.0380640573,0.0311141694,8.6253117195,1.3915335427,9.0,1.6670306888,1.2148724978,0.2946369413,1.0,0.0,1.0,1.49268425,1.2471122244,0.0446369413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03963023195850845,-0.1017228941050437,-0.022595312969914128,6.0,-30456.550447088845,False,0.09013878188659974,0.10917006215163166,0.010369768041491555,-0.026722894105043707,0.028664353447857834,0.022595312969914128,0.10662146142483489,0.023451363154911982,True,True,0.0060303711,0.0144458426,0.0,0.4075158184,0.0959292487,0.4176964443,-0.0616561211,0.0639528325,-0.0548690371,1.2707799137,0.1747256974,1.3118803501,0.111758524,0.0214221778,0.104468435,1.283880021,0.1795681626,1.3396418095,0.0,0.0,0.0,0.0060303711,0.0144458426,0.0,9.0,0.0,9.0,2.3966173772,1.0696359802,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03480920667190998,0.028442236856822692,0.027260613908800302,6.0,-17502.70051211271,False,0.0625,0.04495154843325584,0.015190793328090021,0.06594223685682268,0.06766933429270638,0.027260613908800302,0.010782023223434373,0.04363931348860414,True,True,0.5212892921,0.0680136355,0.5066746097,0.5304132744,0.0971623365,0.5095351567,0.0202755163,0.064774891,0.0063567711,0.4776806834,0.040954358,0.5173498392,0.0463949078,0.0052961279,0.0531411655,0.478676488,0.0416570655,0.51475209,0.5,0.0,0.5,0.0627813967,0.0337281011,0.0066746097,8.0403043399,2.2438988166,9.0,1.4323402655,1.321538715,2.366330271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030893511124150386,0.03619988104377513,0.03455423361062556,6.0,-12572.502211265137,False,0.05,0.047590339536102005,0.019106488875849616,0.03619988104377513,0.04093274123176257,0.03455423361062556,0.030893511124150386,0.03619988104377513,True,True,0.4531179942,0.0635572291,0.431714574,0.5401685632,0.0907960416,0.5095922486,0.0267790421,0.0605306944,0.0063948324,0.4886370392,0.0254354713,0.4663671851,0.0249941389,0.0034455952,0.0223969184,0.4896124011,0.0273402924,0.4644599855,0.425,0.0,0.425,0.0586100972,0.0373496918,0.006714574,7.7789495435,2.4470544866,9.0,0.435683074,0.611458786,0.3979329628,0.0,0.0,0.0,0.0,0.0,0.0,0.0013032322,0.0020866088,0.004516499,0.0013032322,0.0020866088,0.004516499,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03849835294888055,0.018329296208196746,0.015372279348534912,6.0,-17172.98324869345,False,0.0625,0.04263902296329496,0.011501647051119453,-0.019170703791803252,0.02235629148051135,0.015372279348534912,0.04179626008402249,0.008435574802770934,True,True,0.5388584013,0.067054991,0.5113117951,0.5555120019,0.0957928443,0.5161597072,0.0370080013,0.0638618962,0.0107731381,0.4730235809,0.047774423,0.5132361054,0.0535995343,0.0091198028,0.0418365747,0.4795942174,0.0400882525,0.5130044222,0.5,0.0,0.5,0.0644681873,0.0430139513,0.0113117951,8.0277864369,2.2795568729,9.0,1.3288273374,1.1188727907,0.5177282797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02267742824463989,0.05062475641561917,0.11440468279452554,6.0,-19611.519225907923,False,0.09013878188659974,0.0554719002192242,0.02732257175536011,-0.024375243584380826,0.03661523490467732,0.11440468279452554,0.05470151737358287,0.00921280147182043,True,False,0.0284923421,0.044981704,0.0164274428,0.4567395738,0.136827678,0.5234677754,-0.0288402841,0.091218452,0.0156451836,0.921458112,0.1161030183,0.8790714741,0.1166828371,0.0135021532,0.1022649705,0.9472570763,0.1080526795,0.868834734,0.0,0.0,0.0,0.0284923421,0.044981704,0.0164274428,8.6481342768,1.2881187958,9.0,2.0633339339,1.1674481341,1.1485749274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
