cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05735495394786538,-0.005435216942156872,-0.061180781652106164,6.0,-22223.693602861513,False,0.125,0.057611911316758684,0.04264504605213463,0.06956478305784312,0.08159570451116567,0.061180781652106164,0.04914509332358643,0.030064798814993726,True,False,0.477634616,0.0645644169,0.528075924,0.4680494514,0.0922348813,0.5401084628,-0.0213003658,0.0614899209,0.0267389752,0.8176076321,0.0505163762,0.8306995034,0.0717817242,0.0130230142,0.0524387471,0.8033425202,0.0724703413,0.8186304569,0.5,0.0,0.5,0.0559403868,0.0392357931,0.028075924,8.7519154176,1.1274606507,9.0,1.8733157927,1.2283298773,2.105903598,1.0,0.0,1.0,1.7414683962,1.2798359254,1.605903598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0469707093247527,-0.0372772759188112,-0.10302277718043366,6.0,-22008.62191158321,False,0.10680004681646915,0.05996534694636221,0.0530292906752473,0.00022272408118879927,0.053029758395981896,0.10302277718043366,0.057068971045533406,0.018411283991119708,True,False,0.4872145342,0.0680695962,0.5113489529,0.4817350488,0.0972422802,0.5162127898,-0.0121766341,0.0648281868,0.0108085265,0.8132774687,0.0543329754,0.8553386331,0.0650553113,0.0138564587,0.0830933377,0.7973683234,0.0750442412,0.8078765273,0.5,0.0,0.5,0.05688583,0.0395087383,0.0113489529,8.7605522199,1.0487836464,9.0,2.0199422334,1.0880714593,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0584004827716455,-0.03226609707259153,-0.0852146505651011,6.0,-15006.935423037545,False,0.1,0.06672119159801601,0.041599517228354504,-0.03226609707259153,0.05264618555916528,0.0852146505651011,0.0584004827716455,0.03226609707259153,True,False,0.4898658291,0.0745040673,0.4025300778,0.485522613,0.1064343818,0.3607572541,-0.0096515913,0.0709562545,-0.0928284973,0.8074720069,0.057350008,0.7370727658,0.037922882,0.009097509,0.0226866696,0.7985706341,0.0747224574,0.7666380405,0.5,0.0,0.5,0.0626424436,0.0415870379,0.0974699222,8.7544904341,1.0960599655,9.0,0.6036271254,0.7262181391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108798603,0.0085103871,0.0004377607,0.0108798603,0.0085103871,0.0004377607,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.061530746365215855,-0.0018563033209042339,-0.039048475382210825,6.0,-20071.732781510895,False,0.10680004681646915,0.06155874113624908,0.03846925363478415,-0.03935630332090423,0.05503455356686716,0.039048475382210825,0.056961241528684176,0.02334299838903796,True,True,0.4914292084,0.0768085189,0.40765168,0.487756012,0.1097264555,0.3680738285,-0.0081626587,0.0731509704,-0.087950781,0.80448427,0.0606619711,0.7441115379,0.0696595187,0.0143091816,0.0646168962,0.7944601272,0.0764240144,0.7217133641,0.5,0.0,0.5,0.0646979849,0.0422750256,0.09234832,8.6560307202,1.2997413241,9.0,1.4745972298,1.1864974867,1.7171504123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05918611087056219,-0.01733820118444844,-0.07150888357757101,6.0,-22163.078058874456,False,0.125,0.06167340545401145,0.040813889129437814,-0.09233820118444844,0.10095601489683374,0.07150888357757101,0.036945967985780696,0.04938222746989607,True,False,0.4916610776,0.0658781469,0.4953214489,0.4880872537,0.0941116385,0.4933163556,-0.0079418309,0.0627410923,-0.0044557629,0.8163680542,0.0564924242,0.8656079769,0.0813639499,0.0154685454,0.0797375441,0.805282289,0.0731780297,0.7895303965,0.5,0.0,0.5,0.0525839996,0.0405510894,0.0046785511,8.7123457279,1.2411818412,9.0,1.6454623955,1.2159592516,0.3687328301,1.0,0.0,1.0,1.4891226389,1.2621560079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.029487502159014082,-0.1351167017860875,-0.029044906133229114,6.0,-30642.462770315426,False,0.09013878188659974,0.13829691205926603,0.02051249784098592,-0.06011670178608751,0.06351992129492785,0.029044906133229114,0.12878061472486974,0.05041417614335304,True,True,0.0078523451,0.0193449931,0.0181104988,0.4314534473,0.0877916276,0.5258721411,-0.0456977018,0.0585277517,0.0172480941,1.2707799137,0.1747256974,1.3118803501,0.0905043144,0.0162979422,0.090372704,1.2738116843,0.1937753923,1.2943776846,0.0,0.0,0.0,0.0078523451,0.0193449931,0.0181104988,8.9741577165,0.4468548552,9.0,2.2972962969,1.1732377345,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.033389287330330884,0.008811472721572669,-0.013254800312851126,6.0,-17191.60582046511,False,0.0625,0.03453239869963298,0.01661071266966912,0.04631147272157267,0.04920028740805561,0.013254800312851126,0.02142454623132111,0.027082750575456664,True,True,0.5102248237,0.0646448536,0.5413943496,0.514606891,0.0923497909,0.5591347851,0.0097379274,0.0615665273,0.0394231901,0.4842880434,0.0373977448,0.4867146015,0.0357951466,0.0080783724,0.0384020768,0.4832070225,0.0477595444,0.5205785632,0.5,0.0,0.5,0.0535094393,0.0376861252,0.0413943496,8.0762472053,2.293039994,9.0,1.5432687521,1.2773305381,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.026500490775831786,0.013624450066876731,-0.0019616940116662374,6.0,-11476.677697348934,False,0.05,0.02979767861738164,0.023499509224168217,0.013624450066876731,0.027163441854845722,0.0019616940116662374,0.026500490775831786,0.013624450066876731,True,True,0.4310906409,0.0627714472,0.3590331223,0.5087009155,0.089673496,0.4057616033,0.0058006104,0.0597823307,-0.0628255978,0.4897234272,0.0330730462,0.4065774977,0.0187197371,0.0045046333,0.0162192993,0.4882694276,0.0437758937,0.4539574385,0.425,0.0,0.425,0.0511160126,0.0369391898,0.0659668777,7.9945727395,2.2834002628,9.0,0.3709408082,0.4165179744,0.285412645,0.0,0.0,0.0,0.0,0.0,0.0,0.0038457988,0.0058497118,0.0,0.0038457988,0.0058497118,0.0,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.031775075262030196,0.007472555359662407,-0.015339462945589336,6.0,-16186.508001577766,False,0.0625,0.03264191311046126,0.018224924737969807,-0.030027444640337592,0.035125422607183,0.015339462945589336,0.029903593425421603,0.013087000869488193,True,True,0.5082854068,0.0661084494,0.4013194125,0.5118362954,0.0944406421,0.3590277322,0.0078908636,0.062960428,-0.0939815119,0.4848427923,0.036270123,0.4412460327,0.0374052311,0.0079301803,0.0289838668,0.4853663976,0.045092523,0.5279633999,0.5,0.0,0.5,0.0545944252,0.0381893151,0.0986805875,8.1739854761,2.157567388,9.0,1.1777165489,1.2174259939,0.3947943367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.031126369659658287,0.019205296023468512,0.025121585619851523,6.0,-18286.364040775545,False,0.09013878188659974,0.03657450318922666,0.018873630340341715,-0.05579470397653148,0.058900449183793537,0.025121585619851523,0.033245575567163864,0.015245523564205608,True,True,0.0222230606,0.037826707,0.0,0.4692097629,0.1110208557,0.3667697385,-0.0205268247,0.0740139038,-0.0888201743,0.921458112,0.1161030183,0.8790714741,0.0822814393,0.0163799753,0.0640932098,0.9323985412,0.124820026,0.9191905856,0.0,0.0,0.0,0.0222230606,0.037826707,0.0,8.6999713807,1.2457714292,9.0,2.0162407185,1.1663437591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.02636990635372836,-0.12848512000359166,-0.016456281336097778,6.0,-27333.329180383073,False,0.075,0.1311632495154102,-0.02636990635372836,-0.053485120003591666,0.059632457796933075,0.016456281336097778,0.12848512000359166,0.02636990635372836,True,True,0.0088156412,0.0219688184,0.0,0.4359754759,0.0870211081,0.4668145981,-0.0426830161,0.0580140721,-0.0221236013,1.2707799137,0.1747256974,1.3118803501,0.0477322539,0.0103177671,0.049404636,1.2709448683,0.191131367,1.2925362587,0.0,0.0,0.0,0.0088156412,0.0219688184,0.0,8.9733153487,0.4614207561,9.0,1.0606770436,1.3756130018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.004766398920203011,-0.03359813884921834,-0.09657028193071948,6.0,-15491.489558951132,False,0.0375,0.033934547187164106,0.004766398920203011,0.0039018611507816575,0.006159795378621889,0.09657028193071948,0.03359813884921834,0.004766398920203011,True,False,0.0095726106,0.0205206297,0.0,0.451989214,0.0772301379,0.4513844028,-0.0320071907,0.0514867586,-0.0324103981,1.1413779688,0.023411709,1.1148432493,0.0278636533,0.0047293756,0.0346632451,1.1364098767,0.0702819669,1.1013309956,0.0,0.0,0.0,0.0095726106,0.0205206297,0.0,7.0539836348,3.0868812608,6.677270675,0.4350542751,0.5411451757,0.0565748721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.243730172191465e-06,0.00010054403232772473,0.0004366744389149672,6.0,1770.6588384785666,False,0.0,0.0001006806790940412,5.243730172191465e-06,0.00010054403232772473,0.0001006806790940412,0.0004366744389149672,0.0,0.0001006806790940412,True,True,0.5527655635,0.053457535,0.5023490363,0.5753793765,0.0763679072,0.5033557662,0.0502529177,0.0509119381,0.0022371775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,8.22572e-05,0.0002746434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
