cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.059335051840688484,0.038106514081726446,0.005248260404353407,6.0,-21688.72440853557,False,0.125,0.07051776224752176,0.04066494815931152,0.11310651408172645,0.12019451541779799,0.005248260404353407,0.024604133023514926,0.06608624236979424,True,True,0.4804469911,0.0798940551,0.4569601258,0.4720671301,0.1141343645,0.4385144655,-0.0186219132,0.0760895763,-0.0409903564,0.8013582279,0.055184604,0.8122321367,0.0941186567,0.0125880676,0.0999937877,0.7815605692,0.0644055951,0.7920604348,0.5,0.0,0.5,0.0715564991,0.0405591869,0.0430398742,8.4689585848,1.7099617969,9.0,1.74622,1.3159627678,3.0,1.0,0.0,1.0,1.6165036205,1.3380843582,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0667528137885135,0.0010703055162981222,-0.026015553536410163,6.0,-20770.191524889833,False,0.10680004681646915,0.0667613938034713,0.03324718621148651,0.03857030551629812,0.05092193887315992,0.026015553536410163,0.06212679787858477,0.024440635996954937,True,True,0.4860151005,0.0843063773,0.4694820024,0.4800215721,0.1204376819,0.4564028606,-0.0133189519,0.0802917879,-0.0290647596,0.7957551513,0.0600612327,0.8296223283,0.0855181162,0.0145836279,0.0778160244,0.777341151,0.0662594153,0.8044675589,0.5,0.0,0.5,0.0751161671,0.0407517376,0.0305179976,8.6477652096,1.3613425858,9.0,1.6684854372,1.2621536862,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0667123793210081,0.04472489599759776,0.011923089094902473,6.0,-15323.122976233783,False,0.1,0.0803172327503009,0.03328762067899191,0.04472489599759776,0.055752865508997704,0.011923089094902473,0.0667123793210081,0.04472489599759776,True,True,0.4893006283,0.0859021219,0.4623131942,0.4847151832,0.122717317,0.446161706,-0.0101898778,0.0818115447,-0.035892196,0.7928671541,0.0613121479,0.8196623921,0.0473659528,0.0088858216,0.0365336314,0.7833567824,0.0629390403,0.8074399829,0.5,0.0,0.5,0.0767411577,0.0400555342,0.0376868058,8.4998369571,1.5823783036,9.0,0.6887785246,0.7532215209,0.7143078229,0.0,0.0,0.0,0.0,0.0,0.0,0.0139533748,0.0079820389,0.0195759898,0.0139533748,0.0079820389,0.0195759898,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06065347538128466,0.04061036765064361,0.02468890232924285,6.0,-21000.44908179889,False,0.10680004681646915,0.07299346571131245,0.039346524618715344,0.003110367650643611,0.03946927142085781,0.02468890232924285,0.07105087077412642,0.0167278151229302,True,True,0.4981236246,0.0801697733,0.4800391715,0.4973194637,0.1145282476,0.4714845307,-0.0017870242,0.076352165,-0.0190103129,0.7968104529,0.0631677789,0.8443092704,0.0919864597,0.0170385225,0.0656748787,0.7873533342,0.0631576437,0.8250541091,0.5,0.0,0.5,0.0702982584,0.0385858549,0.0199608285,8.5488586492,1.451299502,9.0,1.8375109729,0.9510380676,1.3311163141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06906166997969733,0.0019037174291547377,-0.027406142353212,6.0,-22640.382798767874,False,0.125,0.0690879034305912,0.030938330020302676,-0.07309628257084526,0.07937409394835332,0.027406142353212,0.05639156644125071,0.03991402804449461,True,True,0.5035260908,0.0774392223,0.4664697727,0.5050372726,0.1106274604,0.4520996753,0.0033581817,0.0737516403,-0.0319335498,0.7985143306,0.0628051633,0.8254359961,0.1056854318,0.0166523476,0.0806196257,0.7940748505,0.0590873244,0.8157590032,0.5,0.0,0.5,0.0673343026,0.0384103913,0.0335302273,8.7150014855,1.1350503482,9.0,1.7313181363,1.169478299,0.5844716574,1.0,0.0,1.0,1.5422142617,1.2026870295,0.3344716574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04876427344465126,-0.03281725181836496,0.0132306469782885,6.0,-29825.943326964363,False,0.09013878188659974,0.058778621806696844,0.0012357265553487456,0.04218274818163504,0.04220084435499873,0.0132306469782885,0.05435515608335848,0.022370592049573364,True,True,0.0069989737,0.0163681436,0.0,0.4105158357,0.095860856,0.4564734641,-0.0596561095,0.0639072374,-0.0290176906,1.2707799137,0.1747256974,1.3118803501,0.1124040338,0.0217755177,0.1082068607,1.2832900469,0.1791963933,1.3346617222,0.0,0.0,0.0,0.0069989737,0.0163681436,0.0,9.0,0.0,9.0,2.2277514662,1.1641782878,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03570390816224018,0.02789105999986649,0.02637823948268155,6.0,-17361.61950479213,False,0.0625,0.04530651482925865,0.014296091837759824,0.0653910599998665,0.06693555833590845,0.02637823948268155,0.01182849052987225,0.0437351928972373,True,True,0.5223420401,0.0672312543,0.5047215997,0.5319172002,0.096044649,0.5067451424,0.0212781335,0.064029766,0.0044967616,0.4776026598,0.0412036635,0.5190843344,0.046221902,0.0054645979,0.0541798137,0.4783647391,0.0422052398,0.5164232254,0.5,0.0,0.5,0.0623224091,0.0336916256,0.0047215997,7.9072941105,2.4010172605,9.0,1.4262484652,1.3264826094,2.0266384432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.033852516796054964,0.026831987616388383,0.025180267381651394,6.0,-12194.525483548121,False,0.05,0.04319662548015994,0.01614748320394504,0.026831987616388383,0.031316078510370784,0.025180267381651394,0.033852516796054964,0.026831987616388383,True,True,0.4523614211,0.0641867899,0.4306083932,0.5390877444,0.0916954141,0.5080119902,0.0260584963,0.0611302761,0.0053413268,0.4883492133,0.0258129406,0.4654503763,0.0245686654,0.0035086436,0.0234655291,0.4890636748,0.0277889492,0.4633204043,0.425,0.0,0.425,0.0593514221,0.0366878733,0.0056083932,7.7613049981,2.4896658717,9.0,0.3707682165,0.5108523001,0.3447290922,0.0,0.0,0.0,0.0,0.0,0.0,0.0014148692,0.0022514117,0.004714814,0.0014148692,0.0022514117,0.004714814,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03610105149668149,0.03115076973195552,0.0290374762514245,6.0,-17305.22410885075,False,0.0625,0.04768287296356381,0.013898948503318513,-0.00634923026804448,0.01528049392181261,0.0290374762514245,0.047571303036518506,0.0032599848875555257,True,True,0.5384655845,0.0675224654,0.509120542,0.554950835,0.0964606648,0.5130293458,0.03663389,0.0643071099,0.0086862305,0.4732008204,0.0478153246,0.5151791573,0.0531173366,0.0089480806,0.0410259441,0.4789139395,0.0409059252,0.5141462088,0.5,0.0,0.5,0.0645330357,0.043294016,0.009120542,7.9885348246,2.2753670669,9.0,1.3450326374,1.1073315234,0.5162068931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.005744070037501635,0.07227956595905545,0.14709276520428682,6.0,-20620.223123479005,False,0.09013878188659974,0.0725074478645137,0.044255929962498365,-0.002720434040944547,0.04433946434291568,0.14709276520428682,0.06332647090777728,0.03531413425516203,True,False,0.0305457183,0.0473806371,0.0041939212,0.458366234,0.1415089234,0.5059913159,-0.027755844,0.0943392823,0.0039942106,0.921458112,0.1161030183,0.8790714741,0.1181819625,0.0127050558,0.1014401317,0.9485348469,0.1072787651,0.8703557849,0.0,0.0,0.0,0.0305457183,0.0473806371,0.0041939212,8.6492629448,1.295413362,9.0,2.1275852556,1.1244087387,2.8275746165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
