cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05174540364818636,-0.016385304478865877,-0.06586245721645412,6.0,-23915.396471953736,False,0.125,0.054277665771280924,0.048254596351813644,0.058614695521134116,0.07592225365537911,0.06586245721645412,0.05122750560586862,0.01793899860581911,True,False,0.4827432518,0.0691382668,0.5146110683,0.4753475025,0.0987689525,0.5208729547,-0.0164349983,0.0658459683,0.0139153032,0.8138884288,0.0556200721,0.8505219817,0.0747042189,0.0127517867,0.0664423853,0.7985529073,0.0770963873,0.7269862294,0.5,0.0,0.5,0.0580179832,0.0413740126,0.0146110683,8.6900424573,1.2648038045,9.0,2.0768977034,1.0867334777,3.0,1.0,0.0,1.0,1.9245028304,1.1551039925,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.04846886101886069,-0.041887782812745,-0.12486163083411617,6.0,-21760.340572963607,False,0.10680004681646915,0.06406103993406077,0.05153113898113931,-0.004387782812745003,0.051717607472748735,0.12486163083411617,0.06009059123721625,0.02220219994043648,True,False,0.4873174228,0.0710894646,0.4112540107,0.4818820326,0.101556378,0.3732200153,-0.0120786449,0.067704252,-0.0845199898,0.8084114401,0.0551858982,0.7490668297,0.0683979922,0.0148503892,0.0428119339,0.7964468247,0.0736349278,0.8147037625,0.5,0.0,0.5,0.0602846318,0.0397532755,0.0887459893,8.6803184679,1.3251033719,9.0,2.0235926788,1.0628723206,2.8336914786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0629630336007797,-0.0050426903349612895,-0.06400705288267224,6.0,-15418.48527368644,False,0.1,0.06316464458878263,0.0370369663992203,-0.0050426903349612895,0.03737867849284249,0.06400705288267224,0.0629630336007797,0.0050426903349612895,True,False,0.4904314603,0.0710281707,0.471435472,0.4863306576,0.1014688153,0.4591935314,-0.009112895,0.0676458768,-0.0272043124,0.8122172558,0.0599830445,0.8323382735,0.0400775526,0.0078959938,0.0319749862,0.8030724984,0.0774988396,0.8437589407,0.5,0.0,0.5,0.0568050174,0.0437006634,0.028564528,8.7050351748,1.2383168423,9.0,0.5939585581,0.6869842854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110245825,0.0092306342,0.0195671405,0.0110245825,0.0092306342,0.0195671405,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05854693469136888,0.0325764235575847,-0.010734197009153382,6.0,-20570.031129853356,False,0.10680004681646915,0.0669997532350573,0.041453065308631125,-0.004923576442415298,0.04174443949157713,0.010734197009153382,0.06625754916293827,0.009945054674529889,True,True,0.4894292941,0.0693865284,0.5992792431,0.4848989915,0.099123612,0.6418274902,-0.010067339,0.066082408,0.0945516601,0.8107591397,0.0570880992,0.7277316451,0.0702607851,0.0158823494,0.05793662,0.801769521,0.0732509807,0.6814263463,0.5,0.0,0.5,0.0574956562,0.0402551818,0.0992792431,8.5648780304,1.5366895562,9.0,1.7528023443,1.0613271441,0.7103323771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06209442673578566,0.01483453269148871,-0.026835370501414674,6.0,-21648.883060904325,False,0.125,0.06384184514736946,0.03790557326421434,-0.060165467308511286,0.07111058951337881,0.026835370501414674,0.058576261003521764,0.025389029888280425,True,True,0.4931902259,0.0671090908,0.4075506758,0.4902717513,0.0958701297,0.3679295368,-0.0064854991,0.0639134198,-0.0880469754,0.8123054932,0.0554147797,0.7439725995,0.0801428685,0.0165513884,0.0594058335,0.8032578899,0.0718945224,0.7648503184,0.5,0.0,0.5,0.0556083393,0.038180043,0.0924493242,8.4903422928,1.7409536658,9.0,1.5866274457,1.1745045471,0.0,1.0,0.0,1.0,1.421262658,1.2371116775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.026294771052007823,-0.11326073501666413,-0.04474627746885451,6.0,-30200.590663776667,False,0.09013878188659974,0.11627299377410266,0.02370522894799218,-0.03826073501666413,0.04500912933497065,0.04474627746885451,0.10882434256978211,0.04094717994498796,True,True,0.0089620435,0.0217549923,0.0,0.4314566401,0.0920617288,0.4337032754,-0.0456955733,0.0613744859,-0.0441978164,1.2707799137,0.1747256974,1.3118803501,0.0931043074,0.0177020387,0.0795959309,1.2743049828,0.1945560721,1.3053946495,0.0,0.0,0.0,0.0089620435,0.0217549923,0.0,8.974125974,0.4474037332,9.0,2.3603450511,1.1012489817,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.031005608581686925,0.01536870505319516,-0.0017041928501069965,6.0,-16716.756417475608,False,0.0625,0.03460556109258864,0.018994391418313078,0.05286870505319516,0.05617728081131934,0.0017041928501069965,0.015583263833432446,0.030898329191568284,True,True,0.5067190883,0.0633232002,0.5688951381,0.5095986976,0.0904617145,0.5984216258,0.0063991317,0.0603078097,0.0656144172,0.4867566786,0.0338521384,0.4627498984,0.0381929131,0.0082957613,0.0658767149,0.48557498,0.0451244131,0.4674878716,0.5,0.0,0.5,0.0523572987,0.0362448217,0.0688951381,7.973431704,2.2585104736,9.0,1.5045154503,1.2554217047,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.02895380604799995,0.014120632666945963,-0.00953089925028087,6.0,-11322.009367723047,False,0.05,0.03221358644392176,0.021046193952000053,0.014120632666945963,0.025344319812928992,0.00953089925028087,0.02895380604799995,0.014120632666945963,True,True,0.432798441,0.0623798523,0.4535253538,0.51114063,0.0891140748,0.5407505054,0.0074270866,0.0594093832,0.0271670036,0.487087948,0.0338418155,0.4844807684,0.0201997414,0.0043819251,0.0182257853,0.4859531645,0.044550852,0.3893284798,0.425,0.0,0.425,0.0516504591,0.0358370163,0.0285253538,8.0105355676,2.3338561606,9.0,0.3161258684,0.3721530275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037146857,0.006014676,0.0041612674,0.0037146857,0.006014676,0.0041612674,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.030917899922080373,0.013609323145896425,-0.011436306741622179,6.0,-16562.72588796568,False,0.0625,0.03378061888244811,0.01908210007791963,-0.023890676854103572,0.030575987047533566,0.011436306741622179,0.03289991382520215,0.007663281436531083,True,True,0.5178175327,0.0610045191,0.4128197983,0.5254536181,0.087149313,0.3754568547,0.0169690787,0.058099542,-0.0830287635,0.4839536674,0.0353217562,0.4507330656,0.0388738463,0.0084704243,0.0428179801,0.4840427336,0.0447326354,0.4310365319,0.5,0.0,0.5,0.0522004024,0.0362509836,0.0871802017,8.0882858063,2.2017477221,9.0,1.2969489356,1.0870708098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.030725172731754773,0.009416796997796033,0.026222473575086818,6.0,-17390.029065000163,False,0.09013878188659974,0.0321358414405764,0.01927482726824523,-0.06558320300220397,0.0683569709850355,0.026222473575086818,0.024878508057094344,0.02034138987254704,True,True,0.0236480435,0.0389024795,0.0,0.4697281484,0.1154613437,0.3859760314,-0.0201812344,0.0769742291,-0.0760159791,0.921458112,0.1161030183,0.8790714741,0.0813209837,0.0154693225,0.0678598061,0.9312817073,0.125977153,0.8999468684,0.0,0.0,0.0,0.0236480435,0.0389024795,0.0,8.6131807391,1.355540059,9.0,1.9196042983,1.2452025509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
