cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05878553934153725,-0.030031275159729684,-0.0634113359651139,6.0,-22083.80458003693,False,0.125,0.06601224979800961,0.04121446065846276,0.04496872484027031,0.06099850802378628,0.0634113359651139,0.06504719656906761,0.011246303477138597,True,False,0.4793869764,0.0811464203,0.4603802916,0.4705528234,0.1159234576,0.4434004165,-0.0196314511,0.0772823051,-0.0377330557,0.8001229533,0.0559762043,0.816978693,0.0945281596,0.0135808546,0.0982098654,0.7797000984,0.0649994976,0.7935886979,0.5,0.0,0.5,0.0728020268,0.0413461385,0.0396197084,8.4634617979,1.666915875,9.0,1.8030581994,1.1715255173,2.2833398147,1.0,0.0,1.0,1.6334803287,1.2352420823,1.8782112725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05950094000780107,0.050729104019237685,0.026824271600266385,6.0,-20144.415614858084,False,0.10680004681646915,0.07819081695702237,0.04049905999219894,0.08822910401923768,0.09708011462853343,0.026824271600266385,0.03790028863015918,0.06839131507843087,True,True,0.4865436813,0.08377875,0.4509279881,0.4807766875,0.1196839286,0.4298971258,-0.0128155416,0.0797892857,-0.0467352495,0.7958158147,0.0605690046,0.8038669825,0.0865934622,0.0142764212,0.0788418427,0.7775502445,0.0675203707,0.7822529078,0.5,0.0,0.5,0.0746596331,0.0403223344,0.0490720119,8.4512738875,1.8070288878,9.0,1.6701980823,1.2930557973,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0742470858577122,0.007194625303334457,-0.02670751267528641,6.0,-15159.551319040183,False,0.1,0.0745948549942814,0.02575291414228781,0.007194625303334457,0.0267390205519093,0.02670751267528641,0.0742470858577122,0.007194625303334457,True,True,0.4900140291,0.0854914752,0.466024055,0.4857343273,0.1221306789,0.4514629357,-0.0095104484,0.0814204526,-0.0323580429,0.7931217817,0.0610322472,0.8248167038,0.0465093576,0.0085670458,0.0406132378,0.7835697726,0.0630739786,0.8119988441,0.5,0.0,0.5,0.0764971216,0.0394550673,0.033975945,8.4595392849,1.6606006829,9.0,0.5282181272,0.5795564289,0.5616365915,0.0,0.0,0.0,0.0,0.0,0.0,0.0140167164,0.0076992688,0.0207694053,0.0140167164,0.0076992688,0.0207694053,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06538547953634774,0.03277937063646409,-0.009354689891451237,6.0,-20788.353920075446,False,0.10680004681646915,0.07314197203740704,0.034614520463652265,-0.004720629363535907,0.034934930492509626,0.009354689891451237,0.07273193771020281,0.007733906544561536,True,True,0.4998363235,0.0808466962,0.4910906633,0.4997661764,0.1154952803,0.4872723762,-0.0001558824,0.0769968536,-0.0084850825,0.7962075279,0.0641707437,0.8597071767,0.0905000642,0.0189361513,0.0687083453,0.7863561406,0.064991098,0.8422424793,0.5,0.0,0.5,0.070278627,0.0399641048,0.0089093367,8.6448429256,1.324881287,9.0,1.6908508507,1.0370265878,0.6124606782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06758455725278399,-0.004176543684885857,-0.03171960811551422,6.0,-22053.92463073199,False,0.125,0.06771348385814008,0.032415442747216014,-0.07917654368488586,0.08555516348171324,0.03171960811551422,0.051561719591295685,0.04389196929957908,True,True,0.5045077386,0.0762189187,0.4881018472,0.5064396266,0.1088841695,0.4830026389,0.0042930844,0.0725894464,-0.0113315741,0.7992337477,0.0629781964,0.8555406332,0.102843447,0.0171463885,0.0826045722,0.7948431875,0.0590421361,0.8418774009,0.5,0.0,0.5,0.0662462269,0.0379615687,0.0118981528,8.6842596753,1.243993914,9.0,1.6465178451,1.2169427824,0.6476754553,1.0,0.0,1.0,1.4653980735,1.2383191639,0.3976754553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.035332154686323,-0.10572557629832392,-0.01745131890234397,6.0,-30379.843254955347,False,0.09013878188659974,0.111473129669849,0.014667845313677,-0.030725576298323926,0.03404712506233208,0.01745131890234397,0.10756775001562208,0.02924786821236044,True,True,0.0057009182,0.014480077,0.0,0.4092605696,0.0928870145,0.4498975202,-0.0604929536,0.0619246764,-0.0334016532,1.2707799137,0.1747256974,1.3118803501,0.1110505236,0.0196451403,0.1120800152,1.2825924335,0.1792957623,1.3432329893,0.0,0.0,0.0,0.0057009182,0.014480077,0.0,9.0,0.0,9.0,2.3405021062,1.1217516105,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03475425712974803,0.030002002415743963,0.02725366042023536,6.0,-17289.937089580846,False,0.0625,0.04591272740313897,0.015245742870251974,0.06750200241574396,0.06920226156565219,0.02725366042023536,0.009802204254352048,0.04485415621044399,True,True,0.5231496978,0.0689477474,0.4962602006,0.5330709969,0.098496782,0.4946574294,0.0220473312,0.0656645214,-0.0035617137,0.4768542769,0.0425768329,0.5201506019,0.0462552374,0.0052421307,0.0510196611,0.4781570009,0.0435612288,0.5164857507,0.5,0.0,0.5,0.0634717352,0.0355111139,0.0037397994,7.9645403993,2.2706826475,9.0,1.4259594311,1.3097718317,2.3032784742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03547543183699333,0.01746337129130135,0.010249606507010567,6.0,-11942.54842473484,False,0.05,0.039540809309863756,0.014524568163006672,0.01746337129130135,0.022714145750603855,0.010249606507010567,0.03547543183699333,0.01746337129130135,True,True,0.4538688251,0.0646725746,0.430442464,0.5412411787,0.0923893922,0.5077749486,0.0274941192,0.0615929281,0.0051832991,0.4880570191,0.0253718284,0.4653128684,0.0250051646,0.0031012994,0.0226479135,0.4888463211,0.0273824361,0.4634150565,0.425,0.0,0.425,0.0597534293,0.0380194509,0.005442464,7.8617766192,2.3665002698,9.0,0.3036708953,0.4099153848,0.2712192556,0.0,0.0,0.0,0.0,0.0,0.0,0.0013549139,0.0022121488,0.0042736494,0.0013549139,0.0022121488,0.0042736494,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03606334474394888,0.03194191622409636,0.03574589573764708,6.0,-17532.362993865332,False,0.0625,0.048175209871759724,0.013936655256051124,-0.005558083775903638,0.015004087942490228,0.03574589573764708,0.04801582552961692,0.003915526132907766,True,True,0.5389754748,0.0676520628,0.5065596989,0.5556792497,0.096645804,0.5093709985,0.0371194998,0.064430536,0.0062473323,0.4728497344,0.0480887052,0.5174518824,0.0528721068,0.0092330244,0.0416384526,0.4786470389,0.0415679024,0.5158204436,0.5,0.0,0.5,0.064822001,0.0435200807,0.0065596989,7.907074803,2.3857470852,9.0,1.3920590901,1.0949384975,0.4532925644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.019970265316323583,0.06491460856659272,0.1300530769012036,6.0,-20005.005617780625,False,0.09013878188659974,0.06791699273494306,0.03002973468367642,-0.010085391433407281,0.03167806947301308,0.1300530769012036,0.06508972925429396,0.019391880975321053,True,False,0.0307788879,0.0482845735,0.0,0.4576884777,0.1428932034,0.4893161608,-0.0282076815,0.0952621356,-0.0071225595,0.921458112,0.1161030183,0.8790714741,0.1178056682,0.0132997803,0.0994224697,0.9485708753,0.1086130954,0.8680895567,0.0,0.0,0.0,0.0307788879,0.0482845735,0.0,8.5501735607,1.4838708226,9.0,2.1017371668,1.1206316913,2.605742548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.027878437124482305,-0.10908589240655164,-0.001423365989675629,6.0,-26849.393257839587,False,0.075,0.11259191435728177,-0.027878437124482305,-0.034085892406551646,0.04403470583136361,0.001423365989675629,0.10908589240655164,0.027878437124482305,True,True,0.0055161758,0.0142680746,0.0,0.4057633099,0.0933948811,0.4583342494,-0.0628244601,0.062263254,-0.027777167,1.2707799137,0.1747256974,1.3118803501,0.0623023139,0.011032448,0.0575721525,1.276101894,0.1766002066,1.3278503418,0.0,0.0,0.0,0.0055161758,0.0142680746,0.0,9.0,0.0,9.0,1.0836877475,1.4065178429,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,-0.0009317538147017753,-0.0250284551712953,-0.07942423244038539,6.0,-15200.340121192465,False,0.0375,0.02504579272917409,-0.0009317538147017753,0.0124715448287047,0.012506302234697602,0.07942423244038539,0.0250284551712953,0.0009317538147017753,True,False,0.0006296666,0.0073452082,0.0,0.418198095,0.0434457251,0.4272433817,-0.0545346034,0.0289638167,-0.0485044122,1.1413779688,0.023411709,1.1148432493,0.0374736596,0.0057043602,0.0397769362,1.1383076572,0.0254753823,1.1047358513,0.0,0.0,0.0,0.0006296666,0.0073452082,0.0,7.0081617694,3.1371548793,9.0,0.5540072997,0.608086267,0.1574361557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
