cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0497092056408624,-0.022604738104665848,-0.06986130357776325,6.0,-23531.020777273367,False,0.125,0.05460750232546878,0.05029079435913761,0.05239526189533415,0.07262525364054656,0.06986130357776325,0.05333020737548943,0.01174173290078476,True,False,0.4834189946,0.0682563294,0.5072555137,0.4763128494,0.0975090421,0.5103650196,-0.0157914337,0.065006028,0.006910013,0.8143716943,0.0543133385,0.8613902926,0.0744588117,0.0131262254,0.0764356479,0.7983810445,0.0758886273,0.7487798929,0.5,0.0,0.5,0.057702467,0.0400534837,0.0072555137,8.8099470853,0.9283304488,9.0,2.0122845262,1.1133824419,3.0,1.0,0.0,1.0,1.8529116605,1.1724008944,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05751547165362681,0.0012085826424780932,-0.04854371847164366,6.0,-21003.088998332616,False,0.10680004681646915,0.057528168331199704,0.042484528346373195,0.03870858264247809,0.05747425092163745,0.04854371847164366,0.05342905257406518,0.02132666154325677,True,True,0.4873618668,0.0706834774,0.4532061402,0.481945524,0.1009763963,0.4331516288,-0.0120363173,0.0673175975,-0.0445655808,0.809601046,0.0557324627,0.8070253134,0.0704507776,0.0146222739,0.0454084165,0.7962408441,0.0747385192,0.8027876019,0.5,0.0,0.5,0.0597181608,0.0398700095,0.0467938598,8.611092019,1.513719088,9.0,1.8336332189,1.2149724573,2.2358639517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06150656045334387,0.012559550105284272,-0.03610513612051802,6.0,-15310.654907396733,False,0.1,0.0627757857589054,0.038493439546656134,0.012559550105284272,0.04049058146012745,0.03610513612051802,0.06150656045334387,0.012559550105284272,True,True,0.4901242616,0.0718761901,0.4614349172,0.4858918022,0.1026802716,0.4449070245,-0.0094054652,0.0684535144,-0.0367286503,0.8122521116,0.0592660281,0.8184428811,0.0404997549,0.0082298167,0.0342108198,0.8031013689,0.0767629745,0.839717865,0.5,0.0,0.5,0.0578796426,0.0437454442,0.0385650828,8.6113341739,1.4244652905,9.0,0.6205358758,0.7273744561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011179502,0.008709508,0.0199316601,0.011179502,0.008709508,0.0199316601,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06155109612632547,0.022854834373558577,-0.026818109440130373,6.0,-20620.683366793506,False,0.10680004681646915,0.06565729882195089,0.038448903873674535,-0.014645165626441421,0.04114363967022079,0.026818109440130373,0.06565695531661209,0.00021238443294249127,True,True,0.4903816827,0.070849324,0.5982573729,0.4862595467,0.10121332,0.6403676756,-0.0091603022,0.0674755467,0.0935784504,0.8089374789,0.0582299594,0.7291836739,0.0710904275,0.0155105398,0.0723860562,0.8002407821,0.074630034,0.7566558719,0.5,0.0,0.5,0.0589382287,0.0404774497,0.0982573729,8.7361011332,1.2607225583,9.0,1.5649460584,1.1718748218,0.7870753199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.059076927215399595,-0.030622333371275942,-0.0895102051244192,6.0,-21890.090510654845,False,0.125,0.06654179611578863,0.04092307278460041,-0.10562233337127594,0.11327301175887684,0.0895102051244192,0.028888141749554112,0.05994402302626051,True,False,0.493338871,0.0693922425,0.4116010047,0.4904841014,0.099131775,0.3737157211,-0.0063439324,0.06608785,-0.0841895193,0.8109710521,0.0582254337,0.7495442629,0.0807052805,0.016856911,0.0612016134,0.8025910636,0.0732721426,0.7407684922,0.5,0.0,0.5,0.056640176,0.040639198,0.0883989953,8.4366446271,1.867719023,9.0,1.5658847364,1.2520311691,0.0,1.0,0.0,1.0,1.416890772,1.2896275576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04037547124402961,-0.06505989668761739,0.019968360808694536,6.0,-30196.670451326238,False,0.09013878188659974,0.0765700256966191,0.00962452875597039,0.009940103312382612,0.013836083536728909,0.019968360808694536,0.07652938801027107,0.0024943147263905194,True,True,0.0089961444,0.0218336135,0.0,0.4313264802,0.0911797518,0.4853275875,-0.0457823465,0.0607865012,-0.0097816084,1.2707799137,0.1747256974,1.3118803501,0.0937536827,0.0175417669,0.0784107,1.2736205564,0.19525692,1.3054009676,0.0,0.0,0.0,0.0089961444,0.0218336135,0.0,8.974125974,0.4474037332,9.0,2.3212412967,1.1015111833,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.030612272771124174,-0.0025969722540402267,-0.018095647972187434,6.0,-16839.561991717175,False,0.0625,0.030722231512407515,0.01938772722887583,0.03490302774595977,0.03992624842051318,0.018095647972187434,0.02604800156932348,0.01628978585944232,True,True,0.5072685344,0.0628099042,0.5581480473,0.5103836206,0.0897284346,0.583068639,0.0069224137,0.0598189564,0.0553790927,0.4866117435,0.0345193409,0.4720804393,0.0386150501,0.0082948435,0.0651132688,0.4852513919,0.0455283447,0.471034199,0.5,0.0,0.5,0.0522666082,0.0355825424,0.0581480473,8.0608820232,2.1561022088,9.0,1.4891149504,1.221266442,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.026673951790825327,0.0030918506371157444,-0.028075414160756356,6.0,-11362.165530510392,False,0.05,0.026852546331800765,0.023326048209174676,0.0030918506371157444,0.023530067263375476,0.028075414160756356,0.026673951790825327,0.0030918506371157444,True,True,0.4340150522,0.0622219008,0.4369848612,0.512878646,0.0888884297,0.5171212303,0.008585764,0.0592589532,0.0114141535,0.4875709988,0.0344088664,0.4707378447,0.0199522038,0.0042088478,0.0166126434,0.4864681901,0.0449677125,0.3862687051,0.425,0.0,0.425,0.0517596864,0.0356899281,0.0119848612,8.0043227376,2.3876795587,9.0,0.3064330746,0.3617971029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036930156,0.0059505054,0.0037862799,0.0036930156,0.0059505054,0.0037862799,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.034560262730958906,3.547592646060357e-05,-0.020093015969879263,6.0,-16911.1874697585,False,0.0625,0.03456028093887932,0.015439737269041097,-0.037464524073539396,0.040521303668488134,0.020093015969879263,0.027669495740643486,0.02070777689740686,True,True,0.5183839566,0.0626969611,0.4144738462,0.5262627952,0.0895670872,0.3778197803,0.0175085301,0.0597113915,-0.0814534798,0.482783289,0.0363768246,0.4520993531,0.0389171243,0.008524878,0.0443375483,0.482925206,0.0454456894,0.4378046691,0.5,0.0,0.5,0.0540020336,0.0367785149,0.0855261538,8.2404937583,1.9833306922,9.0,1.267211182,1.1712372354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03212017768587625,0.002786692283020198,0.02267812235274406,6.0,-17605.452947405305,False,0.09013878188659974,0.03224083541803014,0.01787982231412375,-0.0722133077169798,0.07439388319890186,0.02267812235274406,0.020135736999460738,0.025179824541506537,True,True,0.0230014518,0.0378468824,0.0,0.4662759222,0.1154619897,0.3559586704,-0.0224827185,0.0769746598,-0.0960275531,0.921458112,0.1161030183,0.8790714741,0.0813669357,0.016241413,0.0663443059,0.9318925313,0.1257357084,0.8915852904,0.0,0.0,0.0,0.0230014518,0.0378468824,0.0,8.5865046794,1.3833202656,9.0,1.9894352704,1.1559100219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
