time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06475971639156342,0.5971395745873451,0.5679977022111415,0.5,0.0,0.0,0.0,0.0,-0.07598984986543655,-0.022796954959630966,-0.0,-0.0,-0.0,-0.029222240671515465,-0.00876667257398367,-0.0,-0.0,-0.0,-0.026965204626321793,-0.008089561946690083,-0.0,-0.0,-0.0,0.08100438863039017,0.0243013184517622,-0.0,0.0,-0.0,-0.02227140963077545,-0.006681423168629408,-0.0,-0.0,-0.0,-0.039167772978544235,-0.011750332079827785,-0.0,-0.0,-0.0,0.03942765295505524,0.011828296817839146,0.0,0.0,0.0,0.02813686616718769,0.008441059850156307,0.0,0.0,0.0,-0.041370321065187454,-0.012411097064614296,0.0,-0.0,0.0,0.09990054368972778,0.029970163479447365,0.0,0.0,0.0,-0.03139606490731239,-0.009418820030987263,0.0,-0.0,0.0
0.04,0.0018852263493549686,7.2911999672921266e-06,1.2338689510945474e-05,0.09752434672130818,0.3996868804035038,1.7153351261989025,0.06769406050443649,0.6015410907566547,0.5710787635296584,0.5,0.07107876352965836,0.3626630902290344,0.006826580036431551,0.3642762303352356,-0.07817491888999939,-0.03941034525632858,-0.14681598544120789,-0.00296675693243742,-0.14978273212909698,-0.031111186370253563,-0.01547002699226141,-0.07325322180986404,-0.0011645624181255698,-0.07441778481006622,-0.030755002051591873,-0.014889193698763847,-0.12994273006916046,-0.0011208381038159132,-0.1310635805130005,0.08144158124923706,0.04144340008497238,-0.1839296817779541,0.0031198025681078434,-0.180809885263443,-0.018691815435886383,-0.010284541174769402,-0.001095977728255093,-0.0007742061861790717,-0.0018701839726418257,-0.037673622369766235,-0.019527319818735123,-0.1839296817779541,-0.0014699898893013597,-0.18539968132972717,0.03718775510787964,0.01943613588809967,0.01059533841907978,0.001463125692680478,0.012058463878929615,0.02979801408946514,0.014848146587610245,0.07371581345796585,0.0011177482083439827,0.07483355700969696,-0.044815123081207275,-0.022132305428385735,0.09780625253915787,-0.0016660896362736821,0.09614016860723495,0.1011471152305603,0.05132324993610382,0.07011645287275314,0.0038635439705103636,0.07397999614477158,-0.03406279906630516,-0.01681201346218586,0.005321752745658159,-0.0012655854225158691,0.004056167788803577
0.06,0.0030625611677986384,2.3690208337931988e-05,4.0087687098988516e-05,0.16779995681421678,0.6551114813391389,2.8959583583027086,0.10378168523311615,0.6556725278496742,0.6089707694947719,0.5,0.10897076949477191,0.3509518504142761,0.0053274319507181644,0.3526628613471985,-0.06026802957057953,-0.04566764831542969,-0.141798198223114,-0.00358834327198565,-0.14538654685020447,-0.00542125478386879,-0.012455394491553307,-0.06741214543581009,-0.000978684751316905,-0.06839083135128021,0.0043216608464717865,-0.009125936776399612,-0.12574458122253418,-0.0007170720491558313,-0.12646165490150452,-0.059044815599918365,0.011296933516860008,-0.17448081076145172,0.0008876585052348673,-0.17359314858913422,-0.03793761879205704,-0.018580464646220207,-0.001347303856164217,-0.0014599631540477276,-0.0028072670102119446,0.004804088734090328,-0.01222789753228426,-0.17448081076145172,-0.0009608091204427183,-0.17544163763523102,-0.04485493153333664,0.0001488151028752327,0.021757934242486954,1.1693172382365447e-05,0.021769627928733826,-0.052220769226551056,-0.00527252908796072,0.0835014060139656,-0.00041428988333791494,0.08308711647987366,-0.03724173083901405,-0.026665132492780685,0.10083386301994324,-0.002095217350870371,0.0987386405467987,-0.020025648176670074,0.029918581247329712,0.06453988701105118,0.002350857714191079,0.06689074635505676,0.025647297501564026,-0.004074219614267349,-0.006058159284293652,-0.00032013250165618956,-0.006378292106091976
0.08,0.004067701709080954,4.720146475475917e-05,7.986400437766759e-05,0.17702410301044522,0.6387725342575534,2.8816149496536436,0.09605517983436584,0.6440827697515488,0.6008579388260842,0.5,0.10085793882608418,0.37073731422424316,0.0060335006564855576,0.3721238672733307,-0.07028092443943024,-0.05305163189768791,-0.15212896466255188,-0.004317848943173885,-0.15644682943820953,-0.04706142470240593,-0.02283720299601555,-0.06889034062623978,-0.0018587099621072412,-0.07074905186891556,0.0031461920589208603,-0.005444298032671213,-0.13516205549240112,-0.0004431090201251209,-0.13560517132282257,-0.015215866267681122,0.0033430932089686394,-0.18391187489032745,0.0002720929041970521,-0.183639794588089,0.020534612238407135,-0.006845940835773945,-0.0017861543456092477,-0.0005571881192736328,-0.002343342639505863,0.03753291815519333,0.002700348384678364,-0.18391187489032745,0.0002197801659349352,-0.1836920976638794,-0.07803314179182053,-0.023305773735046387,0.033426668494939804,-0.0018968466902151704,0.03152982145547867,-0.023114198818802834,-0.010625030845403671,0.09219943732023239,-0.0008647665963508189,0.09133467078208923,-0.028935017064213753,-0.02734609879553318,0.10198596119880676,-0.002225687028840184,0.0997602790594101,0.01436454989016056,0.02525237202644348,0.05758633092045784,0.0020552794449031353,0.05964161083102226,0.025456160306930542,0.0047848946414887905,-0.01739288493990898,0.00038944047992117703,-0.01700344681739807
0.1,0.004975157276941537,7.698309169221314e-05,0.0001302344348620376,0.17345288014661897,0.5688528023289504,2.619109355392335,0.0868597999215126,0.6302896998822689,0.5912027899175882,0.5,0.09120278991758823,0.391324907541275,0.008181199431419373,0.3935827612876892,-0.10906650871038437,-0.06985609233379364,-0.16299423575401306,-0.0058630527928471565,-0.16885729134082794,-0.008022216148674488,-0.01839270628988743,-0.07028332352638245,-0.001543707912787795,-0.07182702422142029,-0.01819397136569023,-0.009269200265407562,-0.14508558809757233,-0.0007779680308885872,-0.14586354792118073,-0.0030310561414808035,0.0014308483805507421,-0.19364722073078156,0.00012009173224214464,-0.19352711737155914,-0.05360710620880127,-0.02087429165840149,-0.0023099901154637337,-0.0017519885441288352,-0.004061978776007891,-0.021380580961704254,-0.0045239306055009365,-0.19364722073078156,-0.0003796954988501966,-0.1940269023180008,-0.030738219618797302,-0.02553550712764263,0.045275088399648666,-0.0021432063076645136,0.04313188046216965,0.016059713438153267,-0.002619607374072075,0.09984321147203445,-0.0002198647998739034,0.09962333738803864,-0.0911351665854454,-0.04648282006382942,0.1014271154999733,-0.0039013235364109278,0.09752579033374786,0.04068361222743988,0.02988174557685852,0.049183350056409836,0.002507988130673766,0.05169133469462395,-0.028399210423231125,-0.005170336924493313,-0.02914947085082531,-0.00043394864769652486,-0.029583420604467392
0.12,0.0058162699870264395,0.00011251202454933389,0.0001903030194193289,0.16551538593752813,0.49346512492770434,2.367457634562413,0.07723534107208252,0.6158530116081238,0.5810971081256866,0.5,0.0810971081256866,0.41225504875183105,0.009953407570719719,0.4151431918144226,-0.11884674429893494,-0.08455328643321991,-0.17414742708206177,-0.007295727264136076,-0.18144315481185913,-0.006608513183891773,-0.01485744770616293,-0.07147839665412903,-0.001281983102671802,-0.07276038080453873,-0.016768164932727814,-0.011518890038132668,-0.15529721975326538,-0.0009939138544723392,-0.15629112720489502,0.026534264907240868,0.0089618731290102,-0.20338332653045654,0.0007732801605015993,-0.202610045671463,-0.03047342225909233,-0.023754030466079712,-0.0029229808133095503,-0.0020496295765042305,-0.0049726106226444244,-0.01801469922065735,-0.008571160957217216,-0.20338332653045654,-0.0007395673892460763,-0.2041228860616684,-0.015929490327835083,-0.022653702646493912,0.05708175152540207,-0.0019546872936189175,0.055127061903476715,0.02546105720102787,0.005804592277854681,0.10633070766925812,0.0005008524749428034,0.10683155804872513,-0.07762319594621658,-0.05582493543624878,0.09922163933515549,-0.004816885571926832,0.09440474957227707,0.04879161715507507,0.035554707050323486,0.03951755911111832,0.0030678575858473778,0.04258541762828827,-0.02989397943019867,-0.012587429955601692,-0.04112529009580612,-0.0010861133923754096,-0.04221140593290329
0.14,0.00660803401155329,0.00015341794202342003,0.00025943019782324124,0.1578148139791953,0.43241181596398426,2.1410931879085564,0.06968246400356293,0.6045236960053444,0.573166587203741,0.5,0.07316658720374103,0.4314655065536499,0.010839804075658321,0.4341920018196106,-0.09567338973283768,-0.08788932114839554,-0.18454140424728394,-0.0077784243039786816,-0.1923198252916336,-0.01100003719329834,-0.013700224459171295,-0.07207130640745163,-0.0012125041102990508,-0.07328381389379501,-0.01484781876206398,-0.012517569586634636,-0.16486214101314545,-0.0011078361421823502,-0.16596996784210205,0.041745737195014954,0.01879703253507614,-0.21191786229610443,0.0016635842621326447,-0.2102542668581009,-0.022472064942121506,-0.0233694389462471,-0.0036111189983785152,-0.0020682536996901035,-0.005679372698068619,-0.0036129476502537727,-0.0070836967788636684,-0.21191786229610443,-0.0006269248551689088,-0.21254479885101318,-0.03181751072406769,-0.025402845814824104,0.06860862672328949,-0.0022482152562588453,0.06636041402816772,0.035326212644577026,0.01466107927262783,0.11154231429100037,0.0012975421268492937,0.11283984780311584,-0.07200630754232407,-0.060679346323013306,0.09541146457195282,-0.005370273720473051,0.09004119038581848,0.03648911416530609,0.03583502769470215,0.02875102125108242,0.003171489341184497,0.03192250803112984,-0.012323965318500996,-0.012508390471339226,-0.053131453692913055,-0.0011070237960666418,-0.05423847213387489
0.16,0.0073609849865466075,0.00019941934693666632,0.0003371247719205752,0.15118541189172902,0.38545589824247206,1.961731669843953,0.08505373448133469,0.627580601722002,0.5893064212054014,0.5,0.08930642120540144,0.4298259913921356,0.01186795998364687,0.4325568377971649,-0.0765163004398346,-0.08447741717100143,-0.18428385257720947,-0.007654562592506409,-0.19193841516971588,-0.004481766372919083,-0.010934687219560146,-0.0684523656964302,-0.0009908003266900778,-0.06944315880537033,-0.021179556846618652,-0.015116165392100811,-0.1649230271577835,-0.0013696871465072036,-0.1662927120923996,0.04141866788268089,0.025583524256944656,-0.20813769102096558,0.0023181424476206303,-0.20581954717636108,-0.053493939340114594,-0.03240678831934929,-0.004148892592638731,-0.0029364037327468395,-0.0070852963253855705,-0.01622709259390831,-0.009826716035604477,-0.20813769102096558,-0.0008904061978682876,-0.20902809500694275,-0.027021262794733047,-0.025888370350003242,0.07936190068721771,-0.0023457647766917944,0.07701613008975983,0.05497511476278305,0.02675529010593891,0.11534103006124496,0.002424317179247737,0.11776534467935562,-0.08624143153429031,-0.06834796816110611,0.09012364596128464,-0.006193061359226704,0.08393058180809021,0.04858707636594772,0.03966064378619194,0.017078611999750137,0.003593680914491415,0.02067229151725769,-0.022327270358800888,-0.01545405387878418,-0.06502982974052429,-0.0014003035612404346,-0.06643012911081314
0.18,0.00808223052329482,0.00025029239972424616,0.00042299126301254274,0.1459199968994236,0.3474020103049431,1.820518460148679,0.08440206199884415,0.6266030929982662,0.5886221650987864,0.5,0.0886221650987864,0.4422377645969391,0.01289296243339777,0.4451236128807068,-0.06631879508495331,-0.07902982831001282,-0.19124510884284973,-0.007320552133023739,-0.19856567680835724,-0.016996771097183228,-0.012753312475979328,-0.06753578037023544,-0.0011813424061983824,-0.0687171220779419,-0.02858145907521248,-0.019155753776431084,-0.1714501827955246,-0.0017744022188708186,-0.17322459816932678,0.052876826375722885,0.033771514892578125,-0.21249845623970032,0.003128263633698225,-0.2093701958656311,-0.05215151607990265,-0.03833020478487015,-0.004898244980722666,-0.0035505362320691347,-0.008448781445622444,-0.02022063173353672,-0.012944890186190605,-0.21249845623970032,-0.001199088292196393,-0.21369753777980804,-0.027202486991882324,-0.026282604783773422,0.08965864032506943,-0.0024345640558749437,0.087224081158638,0.06412725895643234,0.037966880947351456,0.11773556470870972,0.0035168814938515425,0.12125244736671448,-0.08235375583171844,-0.07254970073699951,0.08334765583276749,-0.006720296572893858,0.07662735879421234,0.05546163022518158,0.04440093785524368,0.004725712351500988,0.004112869966775179,0.00883858185261488,-0.034915998578071594,-0.021292638033628464,-0.0764109194278717,-0.001972342375665903,-0.07838325947523117
0.2,0.008776854907590441,0.0003058534930568046,0.0005167005019397317,0.13996574164634099,0.3121359754664405,1.6900545042618014,0.07828403264284134,0.617426048964262,0.5821982342749834,0.5,0.0821982342749834,0.4596483111381531,0.013699729926884174,0.46282848715782166,-0.06789246946573257,-0.07568861544132233,-0.20093245804309845,-0.007158265449106693,-0.20809069275856018,-0.023535171523690224,-0.01598786935210228,-0.06742697209119797,-0.0015120558673515916,-0.06893902271986008,-0.029955394566059113,-0.022395646199584007,-0.1804424375295639,-0.0021180727053433657,-0.1825605034828186,0.05416397750377655,0.03988925367593765,-0.21969901025295258,0.0037725339643657207,-0.21592645347118378,-0.04326757788658142,-0.03981141746044159,-0.00579816522076726,-0.0037651725579053164,-0.009563337080180645,-0.015732910484075546,-0.013781296089291573,-0.21969901025295258,-0.0013033688301220536,-0.22100235521793365,-0.01924148201942444,-0.024170268326997757,0.09920746088027954,-0.0022859079763293266,0.09692154824733734,0.06691180169582367,0.04665035754442215,0.11861749738454819,0.004411966539919376,0.1230294480919838,-0.07532547414302826,-0.0733824297785759,0.075139619410038,-0.006940157618373632,0.06819945573806763,0.05245000869035721,0.0468156598508358,-0.008191685192286968,0.004427600186318159,-0.003764085005968809,-0.04424264654517174,-0.028177641332149506,-0.08719300478696823,-0.002664905972778797,-0.08985790610313416
