time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.0036488108321203767,0.0029715670515228867,0.08735967865656194,1.1422636997947366e-05,5.168560064759743e-06,-3.203969228815495e-08
0.02,1,seg1,-0.1473113787706468,0.0017117368861417977,0.08582669137911292,8.44229370441813e-06,1.8766791788642347e-06,-3.1920556489706264e-08
0.02,2,seg2,-0.3227827304290197,0.000229839520928123,0.0858287102688859,1.1893101892295931e-06,-1.4131261000206605e-06,3.647300245157581e-08
0.02,3,seg3,-0.4982599977286238,-0.0012969806175864968,0.08583061560619724,-3.967065805589883e-06,-2.955816365036686e-06,6.710043248814301e-08
0.02,4,seg4,-0.6737438218247792,-0.002882882547844928,0.08583239334653288,-5.892340775462062e-06,-2.10138682610789e-06,3.955051541826293e-08
0.02,5,seg5,-0.8492381627264143,-0.004518394119497249,0.08583397343323904,-6.499782094264581e-06,9.413558107209424e-07,-1.1694215193425173e-08
0.02,6,seg6,-1.024734551084776,-0.006177082425012914,0.0858355127245577,-6.683159311908858e-06,4.901630138858904e-06,-7.055200892946978e-08
0.04,0,head,0.0016318567163739126,0.010948793156104954,0.08844363056181404,0.0019619095714241107,0.007998906168134836,0.001083919865559807
0.04,1,seg1,-0.14752463147555572,0.004588991867132769,0.08690328086968867,0.0001977391862537936,0.002880806971534604,0.0010765575700192598
0.04,2,seg2,-0.3229716194916826,-0.0033156246033830806,0.08685688708190593,0.00021958199950134153,-0.003545182244993934,0.0010282132860224835
0.04,3,seg3,-0.498674771653774,-0.008139827006543008,0.08681964534924057,0.0004677479568067133,-0.006842112858667918,0.0009890968434758118
0.04,4,seg4,-0.6735410642873751,-0.008437751520870519,0.08681649551949615,-0.00016240768760688898,-0.005558465564292348,0.0009841417234786876
0.04,5,seg5,-0.8491174532215336,-0.0033410034997275423,0.08682007462857666,-0.00013700495010162547,0.0011772864825543429,0.0009860895011224308
0.04,6,seg6,-1.0227042568949984,0.0030809761508186666,0.08686442428775565,-0.0021139651626704927,0.009245740642302326,0.0010288410111890245
0.06,0,head,-0.0032810640531961265,0.029119252219882832,0.08772814640497385,0.006723420909566617,0.026209627813630308,0.00036843570871962494
0.06,1,seg1,-0.14920719898434437,0.010902433362070599,0.08627898393174122,0.0018276993729411768,0.009208034383366134,0.00045226063207180756
0.06,2,seg2,-0.3236839379199039,-0.009234932992169617,0.08629255621890307,0.0009811442802389301,-0.00945835670862109,0.00046388242301961813
0.06,3,seg3,-0.4985007561014814,-0.01955631607390907,0.08630366447630262,0.00038876196618301456,-0.018259654855565712,0.00047311597053786847
0.06,4,seg4,-0.6726371495939389,-0.015859362185219716,0.08631765471801398,-0.0010045183417993439,-0.012987342752138411,0.00048530092199651487
0.06,5,seg5,-0.8477186090577153,0.0007990108749526758,0.08628888859534085,-0.0015702594829810593,0.005305514366413989,0.00045490346788662483
0.06,6,seg6,-1.0175606005317388,0.019928106027533015,0.0863487674973628,-0.007397668056053361,0.026049474441646316,0.0005131842207961729
0.08,0,head,-0.007291271401267986,0.04120818538513425,0.08784418054165082,0.010632868817624659,0.038331520615517964,0.00048446984539658733
0.08,1,seg1,-0.1512790713166409,0.014824125957437933,0.08629773801992045,0.003866858281750896,0.013146836068905925,0.00047101472025104507
0.08,2,seg2,-0.32459792817885247,-0.0133880374883457,0.08618726073022065,0.0019296706572657636,-0.013603709873510684,0.0003585869343371989
0.08,3,seg3,-0.4985536520678973,-0.026977477324540446,0.08611538034320645,0.0005034250874851609,-0.025680118766921143,0.0002848318374416986
0.08,4,seg4,-0.6712681570593416,-0.02008823693863498,0.08610421609476492,-0.0023382650132294023,-0.017227465634325947,0.00027186229874745504
0.08,5,seg5,-0.8454558560303863,0.0038179478138959813,0.08606816638045506,-0.0038580618240964936,0.008305513025014684,0.0002341812530008286
0.08,6,seg6,-1.01274890845987,0.029551059111182085,0.08615806153217721,-0.012289288742331112,0.03563204474948216,0.0003224782556105893
0.1,0,head,-0.010605720185620605,0.04836271800105968,0.08758157303080034,0.013887653048727465,0.04551339274638079,0.00022186233454611626
0.1,1,seg1,-0.15329590963221199,0.01677025194146203,0.08612286428302365,0.005867428429779426,0.015109681508374202,0.00029614098335424555
0.1,2,seg2,-0.3256600812724277,-0.01578962788188938,0.08610086333794487,0.003011776256413392,-0.01599637639535892,0.00027218954206141566
0.1,3,seg3,-0.4987912679104742,-0.030353812182906267,0.08607352743108862,0.0007691351452753871,-0.029054358907997173,0.000242978925323864
0.1,4,seg4,-0.6700259800010389,-0.02151919939659955,0.08604862918689393,-0.003568488628923119,-0.018668717609346935,0.00021627539087647196
0.1,5,seg5,-0.8435742415194596,0.005569319469868748,0.08592109271284112,-0.005754188450821597,0.010041162661380373,8.710758538689467e-05
0.1,6,seg6,-1.0099935175522945,0.03286326715118185,0.08592485244322641,-0.015072152899393065,0.0389212039485097,8.926916665978613e-05
0.12,0,head,-0.013312883146197838,0.05217860580050503,0.08735354473924777,0.01656296123075076,0.04935168105283519,-6.165957006462608e-06
0.12,1,seg1,-0.15466941262492312,0.01682348824846271,0.08589339254452961,0.007240440739747343,0.015174348129381364,6.666924486020687e-05
0.12,2,seg2,-0.32649557984700356,-0.01816090617896022,0.08587458107634746,0.003866982889375514,-0.018360618397602852,4.5907280464010936e-05
0.12,3,seg3,-0.49896366133647285,-0.03214351104682907,0.08590446737610664,0.0009564189052422725,-0.030842560884874113,7.391887034188804e-05
0.12,4,seg4,-0.6687507952029622,-0.021623748784632163,0.0860027081353825,-0.004842759052798391,-0.018783877196311957,0.00017035433936503364
0.12,5,seg5,-0.8420409585661451,0.0064713299834495445,0.08601868732478558,-0.007294926048599369,0.010930379865516373,0.0001847021973313545
0.12,6,seg6,-1.0084282621302336,0.03225176443467282,0.08616377046543765,-0.016632264344859277,0.038296694231950076,0.0003281871888710236
0.14,0,head,-0.01572020508535334,0.05470156161393999,0.0874302545884597,0.018949200314501386,0.051894586475742875,7.054389220546853e-05
0.14,1,seg1,-0.15570250993370202,0.016671689080004624,0.08596768071701093,0.00827476574117854,0.015031153058692837,0.00014095741734151956
0.14,2,seg2,-0.3271284129535905,-0.01974798932925862,0.08593073008107473,0.004513003937127797,-0.019942379274786853,0.00010205628519127652
0.14,3,seg3,-0.49897862798709275,-0.032744853809292714,0.08594784187283454,0.0009763902289447925,-0.03144375824417278,0.00011729336706978177
0.14,4,seg4,-0.6676245549795159,-0.02085940683413235,0.08603519679372594,-0.005975322155750395,-0.018028935823800916,0.00020284299770848002
0.14,5,seg5,-0.8408401331731432,0.007179529136749086,0.0860173376180224,-0.008501604440851417,0.011628559586478893,0.00018335249056816716
0.14,6,seg6,-1.0069839658622304,0.030053117207503907,0.08613843823341605,-0.018058210453169028,0.0360861017694488,0.0003028549568494243
0.16,0,head,-0.01796557392976165,0.0567573516539314,0.08755028413922118,0.02117738030184001,0.05396899431401085,0.00019057344296695422
0.16,1,seg1,-0.15673044047912651,0.01640542663031495,0.08608346463759152,0.009304876877180663,0.014773455666927436,0.00025674133792211173
0.16,2,seg2,-0.3277914118278987,-0.02108853680071959,0.08602599048090852,0.00518713770277359,-0.021277361932562258,0.00019731668502506738
0.16,3,seg3,-0.4988410983413204,-0.03295222081350247,0.08602647298545112,0.0008405913371335689,-0.03165226277381643,0.00019592447968636018
0.16,4,seg4,-0.6668039887620072,-0.01979310722047864,0.08608411511129994,-0.006804735143197961,-0.016969503013474024,0.0002517613152824838
0.16,5,seg5,-0.8400355251350333,0.007728514798000829,0.08601977487711633,-0.009310754012092677,0.012170829189681497,0.00018578974966210193
0.16,6,seg6,-1.005983495760259,0.0271091711144779,0.08610686876084613,-0.01903414237968227,0.033133930382442264,0.0002712854842795015
0.18,0,head,-0.02016022817988905,0.05835963615694112,0.08752995500252916,0.023358622140905727,0.05558949020885565,0.00017024430627493592
0.18,1,seg1,-0.15810016739607666,0.015745448554673025,0.08606447631274622,0.01068004958133952,0.014124901181227082,0.00023775301307681074
0.18,2,seg2,-0.32846984741648755,-0.022415437355266552,0.08601064278136292,0.005876594059790498,-0.022598569660839174,0.0001819689854794665
0.18,3,seg3,-0.49861184346360976,-0.032865546471210906,0.08601793715199176,0.0006106229791225641,-0.031567499604485856,0.00018738864622699913
0.18,4,seg4,-0.6658674068084107,-0.018385891243878735,0.08607209422429708,-0.007752997417153461,-0.015570131290046215,0.00023974042827962228
0.18,5,seg5,-0.8393392283951848,0.008413832350418853,0.08598815110636057,-0.010012730776188661,0.012850327475335582,0.00015416597890634265
0.18,6,seg6,-1.0056197331503993,0.02409506219822112,0.08606003560408179,-0.019372804879154767,0.03011689814747842,0.00022445232751516775
0.2,0,head,-0.022011793501955607,0.05894439910579982,0.08738093319011286,0.025205256133339324,0.05618964414402406,2.1222493858635838e-05
0.2,1,seg1,-0.15937615577099856,0.014554957459140566,0.08593367038395328,0.011965902640723116,0.012945071832964426,0.00010694708428386768
