time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006834916181528481,0.0006775725454363738,0.09127728091182996,0.01051388023565437,-0.002201486662062708,0.003917570215575733
0.02,1,seg1,-0.14784196409607625,-0.0031794954015318035,0.08959425480027218,0.0005797207206689899,-0.004884769925439036,0.003767531500602772
0.02,2,seg2,-0.32398009345822343,0.0011327134559337632,0.08913885279730997,0.0011909959193440512,0.0009113956155771681,0.003310179001426522
0.02,3,seg3,-0.4983372646975812,0.005443523729084143,0.08872144354854745,1.719359102350231e-05,0.006737958161616873,0.0028908950427826985
0.02,4,seg4,-0.6730434868454603,0.004204490120465412,0.08831759101471365,-0.0007651938057188052,0.0070791966374136135,0.0024852372186961874
0.02,5,seg5,-0.8490336053658392,-0.002942406565485375,0.08790567695823796,-0.0002241675665910268,0.0015751717137181267,0.002071691830783734
0.02,6,seg6,-1.0157291650943412,-0.01754396796058249,0.08770065424460356,-0.008917146539197856,-0.011436545217282131,0.0018650709680369387
0.04,0,head,-0.028704551228596817,-0.011055492967577404,0.09188731423404495,0.032480416236154226,-0.013752116927242363,0.00452760353779072
0.04,1,seg1,-0.15426136653698747,-0.01189968968275638,0.09014720384220258,0.007071482099881953,-0.013551231152085123,0.004320480542533173
0.04,2,seg2,-0.3292880899450899,0.00609829835485013,0.08903792580904285,0.006457478193938523,0.005920988866668771,0.0032092520131594
0.04,3,seg3,-0.49855458882063974,0.02062830440929224,0.08810423572895304,0.00010812180936609822,0.02192402171144569,0.0022736872231882838
0.04,4,seg4,-0.6692605288455705,0.018184376288522153,0.08729638885989115,-0.004664380372126791,0.021027111629281982,0.0014640350638736865
0.04,5,seg5,-0.8442560781435892,-0.002696833425846998,0.08652606061072242,-0.005003573289606148,0.0017809712739422499,0.0006920754832681897
0.04,6,seg6,-0.9940274629041925,-0.03864869182991613,0.08642055468250666,-0.030442434799408658,-0.03272116907621583,0.0005849714059400352
0.06,0,head,-0.0490801281275291,-0.02838600307643505,0.08669319466878403,0.052999535381661515,-0.030912433476084352,-0.0006665160274701987
0.06,1,seg1,-0.1670279842850338,-0.018726328676561505,0.0859768873954344,0.0198944781800785,-0.020271372533777438,0.00015016409576498746
0.06,2,seg2,-0.3400713608837161,0.014714131634973407,0.0863775689514678,0.01716866293121769,0.014626276728577374,0.0005488951555843447
0.06,3,seg3,-0.49979609974668676,0.03684071275425636,0.08697702887523806,0.0012146480393933267,0.03814620200341303,0.0011464803694733045
0.06,4,seg4,-0.6632953180171318,0.03311306000068912,0.08742704405754959,-0.010753641356601448,0.03590562762606056,0.0015946902615321251
0.06,5,seg5,-0.836134261730076,-0.0004913802722848726,0.08753108332537787,-0.013143465142789421,0.003918747239763747,0.0016970981979236438
0.06,6,seg6,-0.9745312920081459,-0.05375469715747029,0.0879915545214592,-0.04981219765094155,-0.04798892475937382,0.002155971244892571
0.08,0,head,-0.06299882450843279,-0.039126549072195885,0.09181479702727756,0.06700714703891224,-0.04153675711924643,0.004455086331023331
0.08,1,seg1,-0.1796393407252846,-0.0169331174580998,0.08996577316389281,0.032490472225289016,-0.018373254588221123,0.004139049864223407
