time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.0009729185065604624,0.013489091829451537,0.0888159132964585,0.0025996811386438624,0.010544601425258147,0.0014562026002042788
0.02,1,seg1,-0.14790904177722494,0.0028957922233538314,0.08728582423928861,0.0005962292800446924,0.0011908655646016052,0.0014591009396192067
0.02,2,seg2,-0.3231360939011699,-0.005075639805118508,0.08727051671535342,0.0003986999495014721,-0.005303767500733213,0.0014418429194699711
0.02,3,seg3,-0.49834332235705625,-0.008316784544590203,0.0872741077854728,0.000137783022491922,-0.007021823038341237,0.0014435592797080454
0.02,4,seg4,-0.6737504330192668,-0.008073097532435384,0.0872860697264927,4.3918645841060037e-05,-0.005192081556321954,0.0014537159304752328
0.02,5,seg5,-0.8484725276722792,-0.004616470502935189,0.08732024509095036,-0.0007712919898662818,-0.00010350428548300634,0.0014862599634961338
0.02,6,seg6,-1.020611809001463,0.005841623457516481,0.0874177690462374,-0.004229318432065039,0.011988876126464787,0.0015821857696707714
0.04,0,head,-0.007507019110240549,0.036443827788745956,0.08814366757510114,0.010888264510475308,0.03356912380086027,0.0007839568788469142
0.04,1,seg1,-0.15122722604059483,0.008375673104200272,0.08650085589665563,0.003868687587887002,0.006698175061635309,0.0006741325969862183
0.04,2,seg2,-0.3243139565247248,-0.015097112739934977,0.08634013766628951,0.0016599340862529064,-0.01531508952110094,0.0005114638704060565
0.04,3,seg3,-0.49893127432939127,-0.023680117460872466,0.08625677647895692,0.000853589159254056,-0.02237973003743604,0.000426227973192167
0.04,4,seg4,-0.673381703201123,-0.01798045860490663,0.08625606066121771,-0.0002423358794240972,-0.01510216851082275,0.0004237068652002546
0.04,5,seg5,-0.8446324827497094,-0.002595877495483464,0.08635698239074144,-0.004628022014487754,0.0018850566577747418,0.0005229972632872087
0.04,6,seg6,-1.0090389561441033,0.02899400378507296,0.0866238771192325,-0.015994475974802132,0.035044129455705904,0.000788293842665877
0.06,0,head,-0.01666823663076991,0.05383388195631526,0.08844965716693078,0.019904421029341344,0.05103482768094665,0.0010899464706765477
0.06,1,seg1,-0.15698630723521476,0.01644218326624362,0.08726416579883024,0.00956042883143062,0.014812340700408537,0.0014374424991608348
0.06,2,seg2,-0.3267357387233504,-0.01957944383205517,0.08750476199842747,0.0041189404444093225,-0.019777107984432173,0.0016760882025440155
0.06,3,seg3,-0.5000879784524208,-0.03397250592528077,0.08751862454807971,0.002095920455541283,-0.03266213431273895,0.0016880760423149538
0.06,4,seg4,-0.6714966741918481,-0.022940943141812112,0.08732681598060388,-0.002086011699464154,-0.020078170990406905,0.0014944621845864176
0.06,5,seg5,-0.8382673868413673,0.0016779539266495239,0.08707076468519473,-0.011028470069233036,0.006105761058979606,0.0012367795577405
0.06,6,seg6,-0.996082300039621,0.046487965226792334,0.08669812701427897,-0.029096291779837427,0.052429642014516414,0.0008625437377123429
0.08,0,head,-0.025967491527902148,0.06756426561559596,0.08875700535443175,0.029089070893653195,0.06484213675741822,0.0013972946581775197
0.08,1,seg1,-0.16363895457536912,0.021558422468091105,0.08722900362898589,0.01617026143107628,0.019983775047196683,0.0014022803293164826
0.08,2,seg2,-0.33006241958267185,-0.026952642561394118,0.08712216492737493,0.007506875846107046,-0.02712236214989888,0.0012934911314914782
0.08,3,seg3,-0.5010040747317895,-0.04692206420682698,0.08691045425814128,0.0031197688203364604,-0.045603619026872086,0.0010799057523765282
0.08,4,seg4,-0.6687316783725489,-0.030894597642191123,0.08664265845361524,-0.004784710620348539,-0.02805456403021781,0.0008103046575977796
0.08,5,seg5,-0.8310289086025092,0.004178284099867346,0.08637406838666903,-0.018287508713627425,0.00854575617048116,0.0005400832592147992
0.08,6,seg6,-0.9830614704999309,0.060503237281531466,0.08610977900493746,-0.04223332441749005,0.06633605154875769,0.0002741957283708407
0.1,0,head,-0.03568182583872963,0.07776207108493775,0.08753494603069974,0.03871818870886773,0.07512044486643121,0.00017523533444550876
0.1,1,seg1,-0.17068092112425848,0.026148853131079775,0.0858294481228282,0.02317377624660485,0.02463265951242989,2.724823158786749e-06
0.1,2,seg2,-0.3328932710873612,-0.03239274311608501,0.08556005631354688,0.010382909199055932,-0.03253871206833373,-0.00026861748233657223
0.1,3,seg3,-0.5010157234144668,-0.057256435132302344,0.08551093899995323,0.0032174337758413564,-0.05593753501615403,-0.00031960950581153
0.1,4,seg4,-0.6662647244244024,-0.038506431330424126,0.08579600975143874,-0.007188223091426407,-0.03568666738906583,-3.634404457872331e-05
0.1,5,seg5,-0.8239661446595145,0.004361099281573897,0.08629428808887847,-0.02535154964025762,0.008669779101727315,0.00046030296142424154
0.1,6,seg6,-0.9715267826133883,0.06975265386426299,0.08695529881728044,-0.05384459895694781,0.07548914038910953,0.0011197155407138143
0.12,0,head,-0.043044758952199585,0.08247750259747395,0.08903368167559486,0.04604161854384981,0.07989699737106494,0.0016739709793406332
