time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0001651937519245311,0.010540222784858434,0.08774400280030704,0.003762298468022592,0.007605307445333266,0.00038429210405281633
0.02,1,seg1,-0.14769379283157089,0.004074799708455471,0.0864782684864683,0.0003711744883406793,0.002368040614991461,0.0006515451867988853
0.02,2,seg2,-0.3226447992545063,-0.003483256920801629,0.08673301964137237,-0.00010583165277813655,-0.0037155289977388634,0.0009043458454889158
0.02,3,seg3,-0.49807100011060035,-0.008097767644052106,0.08697296425253774,-0.00013635274700540573,-0.006805080360236117,0.0011424157467729845
0.02,4,seg4,-0.6735973423504089,-0.008978383851582795,0.08720159943049703,-0.00010163169721077132,-0.006098610745129466,0.0013692456344795711
0.02,5,seg5,-0.848650635917637,-0.005132584637632628,0.08742360148415582,-0.0005888941110593167,-0.0006181180833001753,0.001589616356701587
0.02,6,seg6,-1.0204344739687763,0.006334194982478215,0.08767158668486137,-0.0044107471713989484,0.012479954565782797,0.001836003408294748
0.04,0,head,-0.01010034168288709,0.023717334051345174,0.08790841472585653,0.01358742442355379,0.020864656060050786,0.0005487040296023038
0.04,1,seg1,-0.15111881281263984,0.009757568751029589,0.08638724020648529,0.0037487761021649493,0.008079120477759117,0.0005605169068158833
0.04,2,seg2,-0.3232076370176291,-0.011492108408384336,0.08625306527307287,0.0005236471576083254,-0.011719418360106842,0.00042439147718942305
0.04,3,seg3,-0.49761816492287453,-0.024604678899505978,0.08605544865715793,-0.0004517793049105409,-0.023315188930109258,0.00022490015139317587
0.04,4,seg4,-0.6728745910798436,-0.02289416905818519,0.08579488129171323,-0.0007085318597050586,-0.020019929630489937,-3.747250430423399e-05
0.04,5,seg5,-0.8454948690167455,-0.0052405866030555874,0.0855088250287629,-0.003743652757729217,-0.0007523828874862018,-0.0003251600986913239
0.04,6,seg6,-1.0086246058595965,0.030784045234758275,0.08528194339401497,-0.01642371106340523,0.03683066011275235,-0.0005536398825516514
0.06,0,head,-0.019633562756430557,0.03279842919087912,0.08822090649117661,0.023044730055868753,0.03002478505138177,0.000861195794922387
0.06,1,seg1,-0.1580418592929439,0.015891742063965097,0.08698290062515993,0.010620525844631624,0.014270704303690386,0.0011561773254905178
0.06,2,seg2,-0.3251775492247362,-0.016205174999227655,0.08708067596474382,0.002532719671255267,-0.01641592540557124,0.0012520021688603722
0.06,3,seg3,-0.4976307153410708,-0.03784550009481701,0.08720883632954726,-0.00032902121693122226,-0.036555447005046905,0.0013782878237825064
0.06,4,seg4,-0.6712135365255626,-0.035264601571876726,0.0875541158786231,-0.0022665653280894977,-0.03240375918838105,0.0017217620826056462
0.06,5,seg5,-0.8400991689489788,-0.007668481022008812,0.08815104402892412,-0.009118957683369275,-0.0032251035519434445,0.0023170589014698956
0.06,6,seg6,-0.9950902746214634,0.04752534004129075,0.08907766552917441,-0.030096917277142955,0.05345872391120454,0.003242082252607789
0.08,0,head,-0.029695972143272388,0.0419616589872539,0.08734371296308859,0.0330305220342949,0.03927145047858679,-1.5997733165643013e-05
0.08,1,seg1,-0.16817909358081998,0.021851913164091522,0.08632359169207851,0.020707800338695802,0.020315044782292492,0.0004968683924091027
0.08,2,seg2,-0.32957794501081766,-0.02160812142530251,0.08699595854229239,0.0069779336897624914,-0.021782058602333083,0.0011672847464089392
0.08,3,seg3,-0.4974941478997453,-0.05301032659596623,0.08750505380107995,-0.00033936163672599316,-0.05172088490019426,0.0016745052953151957
0.08,4,seg4,-0.6685040186585769,-0.049121742059760276,0.08772286375921555,-0.004860651386845712,-0.04628297195751798,0.0018905099631980893
0.08,5,seg5,-0.8320840724786569,-0.008861217167952833,0.08767565765173657,-0.017123848941587545,-0.004484510904830293,0.0018416725242823423
0.08,6,seg6,-0.9762208443320227,0.06938213312769045,0.08736615686746448,-0.049147615862650075,0.07515770284677824,0.0015305735908978518
0.1,0,head,-0.03775699117796326,0.042398511267591074,0.08813463667093381,0.04108762575869628,0.03977538237947136,0.0007749259746795828
0.1,1,seg1,-0.17689652147792204,0.02463447309264638,0.08655488913643518,0.02940176602143618,0.02317006660309028,0.0007281658367657706
0.1,2,seg2,-0.33630310450316026,-0.02371292007643251,0.08615805757367921,0.01372037921815547,-0.023830808428920294,0.0003293837777957609
0.1,3,seg3,-0.49745335320113043,-0.06408924700812749,0.08585042453009145,-0.00028794109342429364,-0.06279976109022825,1.987602432669544e-05
0.1,4,seg4,-0.6650279644619136,-0.06193416517552876,0.08589998894545632,-0.00822994278006442,-0.059123883700125675,6.763514943886051e-05
0.1,5,seg5,-0.825198424860552,-0.011527686209222707,0.08639714491792594,-0.02398706406392442,-0.007208199295360758,0.0005631597904717095
0.1,6,seg6,-0.9574752360932365,0.08555947962912971,0.08740470237176946,-0.06802722461542805,0.0911784625473473,0.0015691190952028394
0.12,0,head,-0.04662871922220678,0.04060523150673191,0.08839685724803051,0.049973972598822726,0.03805600731227347,0.0010371465517762801
0.12,1,seg1,-0.18440453722343786,0.029246784797011552,0.08750615467243189,0.0368711317659857,0.02784471044638664,0.0016794313727624827
0.12,2,seg2,-0.34093214959403884,-0.0184393148392748,0.08902447362955941,0.01830536985173222,-0.018518856665351063,0.0031957998336759608
0.12,3,seg3,-0.49808675848599054,-0.067608227390557,0.09058908117913449,0.0003747319864499782,-0.0663133475166605,0.004758532673369731
0.12,4,seg4,-0.6637977526785377,-0.06958936135842644,0.09092889419826004,-0.009396395005269832,-0.06678905420290208,0.005096540402242583
0.12,5,seg5,-0.8189752709998995,-0.012513067258245542,0.08978534484981954,-0.03020180067585294,-0.00824534375292554,0.003951359722365308
0.12,6,seg6,-0.936361825775902,0.09808684478818619,0.08732596540399924,-0.08924417332254773,0.10352965927391984,0.0014903821274326184
0.14,0,head,-0.05497904088630337,0.036754748352806996,0.09067578699826681,0.05835605396200877,0.03427516026068566,0.0033160763020125827
0.14,1,seg1,-0.19246131767817384,0.03360644135552926,0.0891982938284128,0.04489134615006868,0.032271275461269455,0.0033715705287433867
0.14,2,seg2,-0.34622260244404945,-0.01143236905135803,0.09022617828763776,0.023537318118227176,-0.011468119259473289,0.004397504491754314
0.14,3,seg3,-0.49960121554708925,-0.07034737740719453,0.09157249941771764,0.0019119355152356716,-0.06903979728045344,0.005741950911952884
0.14,4,seg4,-0.6620743857086663,-0.07813289005151734,0.09162001006977318,-0.011048591424032746,-0.07534663115177265,0.005787656273755715
0.14,5,seg5,-0.8127679913575785,-0.01491052475838269,0.0899370546478983,-0.036388910400490165,-0.010694383620815453,0.004103069520444078
0.14,6,seg6,-0.9150546032929172,0.10881233030866744,0.08690212966351926,-0.11063992979110568,0.11407742561040077,0.0010665463869526381
0.16,0,head,-0.06376393932860974,0.03158553446435126,0.08876112581665124,0.06718367331870945,0.029179245293482946,0.0014014151203970149
0.16,1,seg1,-0.2003996371825235,0.037827309676323646,0.0872412992426797,0.05279425887151685,0.036558071053035546,0.001414575943010296
0.16,2,seg2,-0.35291863108256916,-0.0038329604977759358,0.08759014073903651,0.030169862204247295,-0.0038132404992093404,0.0017614669431530589
0.16,3,seg3,-0.5015626633025696,-0.07109673865842987,0.0881329666744315,0.003879552529069502,-0.0697728067407405,0.0023024181686667478
0.16,4,seg4,-0.6602402304420918,-0.08591937345866649,0.08823358101367633,-0.012817873461295285,-0.08314811116929563,0.002401227217658869
0.16,5,seg5,-0.8078090478313447,-0.01841388893232064,0.08763890170152412,-0.0413185223931939,-0.014238901504889066,0.0018049165740698925
0.16,6,seg6,-0.8955448856284568,0.11570240717028765,0.08662064373964981,-0.13020632022424206,0.12080487742300834,0.000785060463083187
0.18,0,head,-0.07078306403867511,0.02479787473780648,0.08717701350419574,0.07425905101448642,0.022450243382575227,-0.00018269719205848967
0.18,1,seg1,-0.20517344653065286,0.04000773805513865,0.08573310227184332,0.0575497543683097,0.03877815802997789,-9.362102782609072e-05
0.18,2,seg2,-0.3585571198410215,0.0023027214580660553,0.08534565801112437,0.03575708616470338,0.002369160082665536,-0.00048301578475908047
0.18,3,seg3,-0.5028080878564136,-0.06811073289593217,0.08480307186323223,0.005100080344566533,-0.06677653829742795,-0.0010274766425325266
0.18,4,seg4,-0.6584872955794879,-0.09074921053481078,0.08454350014743377,-0.014530547136060066,-0.08799237124674766,-0.0012888536485836932
0.18,5,seg5,-0.8051118115420745,-0.022589935203570607,0.08481615413006334,-0.043980906519611944,-0.01843725318410243,-0.0010178309973908894
0.18,6,seg6,-0.8811102567147179,0.1175048408378701,0.0857700437053165,-0.1446554514273629,0.12248710406043035,-6.553957125012e-05
0.2,0,head,-0.07468976939799725,0.012904544196793565,0.0910820256035805,0.07826461350277493,0.010589841733646738,0.003722314907326274
0.2,1,seg1,-0.20585264961006022,0.04013040842084433,0.08923123194509316,0.05822791289080325,0.0389064773972802,0.0034045086454237566
0.2,2,seg2,-0.3613139529078096,0.009565731248170149,0.08939294557859508,0.038453371099502885,0.009654864394444658,0.0035642717827116255
0.2,3,seg3,-0.5027782790506008,-0.06079722906094611,0.09017281597118623,0.0050093996554219705,-0.059463535909772526,0.004342267465421476
0.2,4,seg4,-0.657512804007537,-0.09168789129708203,0.09040588198687348,-0.015497191975116033,-0.08893913053626576,0.004573528190856019
0.2,5,seg5,-0.8059135914689397,-0.025785998572474007,0.08938120353469593,-0.04315255238433542,-0.021626532340230074,0.0035472184072417035
0.2,6,seg6,-0.873798536120669,0.11534629034351004,0.08777070354145869,-0.15194895235482814,0.12026777026442222,0.0019351202648920651
