time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0006330133961572223,0.0008861038092121574,0.09127847971755278,0.004310456602417066,-0.0020445832833307816,0.003918769021298549
0.02,1,seg1,-0.1475940026087138,-0.003109338551980389,0.08950213902309143,0.00033118388201651075,-0.004816679378509188,0.003675415723422018
0.02,2,seg2,-0.3233205829524931,0.0009154916232703936,0.0890900914144353,0.0005333162741575942,0.0006886919649110368,0.003261417618551851
0.02,3,seg3,-0.49834954997153375,0.005286782194404371,0.0886923595102029,3.078305543576916e-05,0.006581324311166702,0.00286181100443815
0.02,4,seg4,-0.6736025939066032,0.004228193206251305,0.08831011172260521,-0.0002063034012161489,0.0071075525507582355,0.002477757926587748
0.02,5,seg5,-0.8492223769075459,-0.0027822533416754676,0.08793866394457125,-3.673557662356238e-05,0.0017368906031163815,0.0021046788171170255
0.02,6,seg6,-1.0208853453524371,-0.01779775307300807,0.08766552272169434,-0.0037590325456053524,-0.011647404800788446,0.0018299394451277151
0.04,0,head,-0.009776562715248995,-0.008288295185656313,0.09191378871191082,0.013530051004681897,-0.01114255943843452,0.00455407801565659
0.04,1,seg1,-0.1502422133793134,-0.010368029571583802,0.08992094624499582,0.0030397196083136223,-0.012053076950681904,0.004094222945326409
0.04,2,seg2,-0.3257080540955185,0.003094119942596211,0.08896711216955498,0.002902571210655517,0.002887116595831131,0.0031384383736715316
0.04,3,seg3,-0.49854832086659745,0.01818762631843621,0.08806280643807989,0.00012216871170935286,0.01948337599463956,0.0022322579323151293
0.04,4,seg4,-0.6726422052857159,0.018306038411596504,0.08726033802529568,-0.0012838337100555368,0.021176916444066378,0.0014279842292782147
0.04,5,seg5,-0.8474462904757322,-0.000668344552082229,0.08657737459419632,-0.001830355306318416,0.0038359431629632706,0.0007433894667420865
0.04,6,seg6,-1.0108162079913177,-0.039032183921043614,0.08624847630131781,-0.013651079328745677,-0.03296490913560657,0.0004128930247511847
0.06,0,head,-0.018225238055518872,-0.016946591662465815,0.08628203995971113,0.022050499792024617,-0.0197302346385263,-0.0010776707365430932
0.06,1,seg1,-0.15566682302430299,-0.016709866132934924,0.08531561310296104,0.008516926726562516,-0.018349542860455717,-0.000511110196708367
0.06,2,seg2,-0.33025214207979986,0.004226717274264644,0.08589873710391535,0.007437074774782551,0.00405749676891792,7.006330803190075e-05
0.06,3,seg3,-0.49929917764825427,0.02957016906895727,0.08660750977514875,0.0007782584974071343,0.03087177410705554,0.0007769612693839939
0.06,4,seg4,-0.6716449130865376,0.032612314645548916,0.08708475789905942,-0.0024001676322469986,0.0354743962914681,0.0012524041030419625
0.06,5,seg5,-0.844995083625133,0.004356858474641136,0.08721962144029234,-0.0043233038150340165,0.008840569844016065,0.0013856363128381122
0.06,6,seg6,-1.0007574644339448,-0.05193259043025047,0.08723675646815977,-0.023602099742313726,-0.04594859130876163,0.0014011731915931497
0.08,0,head,-0.022264904626354477,-0.01808390350138709,0.08640784746201846,0.026099492684044344,-0.020833883487307792,-0.0009518632342357669
0.08,1,seg1,-0.1589235870652233,-0.018362458835642227,0.08543551169002583,0.011787333075720463,-0.01997497110241493,-0.00039121160964357415
0.08,2,seg2,-0.332741319667879,0.005412051520540154,0.0857074575653702,0.009916300176126007,0.005263508273471827,-0.0001212162305132547
0.08,3,seg3,-0.5002455906023012,0.03871569467288284,0.08602400498978782,0.0016485171776381856,0.040024860246762474,0.00019345648402306626
0.08,4,seg4,-0.6705172595749138,0.0461039897544736,0.08644431349555728,-0.003640078133819155,0.048956218187456185,0.0006119596995398241
0.08,5,seg5,-0.8411449224137942,0.010445954559855426,0.08697035685025382,-0.008224013388558955,0.014897408731605178,0.001136371722799595
0.08,6,seg6,-0.9890623457198672,-0.06026887865214108,0.08778403645741886,-0.03522742742262098,-0.05438193343193344,0.0019484531808522387
0.1,0,head,-0.025537849031464357,-0.017028950195695638,0.08844344244352413,0.029363542960234457,-0.019751724834610844,0.0010837317472699032
0.1,1,seg1,-0.16253663178325903,-0.019374227462436885,0.08687674654323746,0.015408673951845071,-0.0209566320145701,0.0010500232435680518
0.1,2,seg2,-0.33591636749612114,0.00405800911494328,0.08651495013260914,0.013102508202020528,0.003935939833564666,0.0006862763367256886
0.1,3,seg3,-0.5012147236205861,0.04081477196749148,0.08629150549192845,0.002600145252053687,0.042131931271607435,0.00046095698616369085
0.1,4,seg4,-0.6679537996806447,0.051985906917961386,0.08608057105737016,-0.00625240653686106,0.05481659500656072,0.0002482172613526984
0.1,5,seg5,-0.8367214520574241,0.013394782855009993,0.08573302090905081,-0.012671874672516898,0.017809316749560527,-0.0001009642184034154
0.1,6,seg6,-0.9778187759038655,-0.06417255504796589,0.08566259260391344,-0.04643811606469917,-0.05837905887015234,-0.00017299067265318102
0.12,0,head,-0.029165975227585298,-0.012604774836324861,0.0866477333373695,0.032954719480258174,-0.015297504531791238,-0.00071197735888473
0.12,1,seg1,-0.1663834023195359,-0.019003974376264093,0.0855066061837414,0.019252229487523382,-0.02055437370281973,-0.00032011711592801195
0.12,2,seg2,-0.33988898560102215,0.001394325810343732,0.08564032680323788,0.017097159487896314,0.0013054143237984388,-0.00018834699264556887
0.12,3,seg3,-0.5017897699679024,0.03858470048782983,0.08590942801641363,0.0031937333647735207,0.039906723358089244,7.887951064887433e-05
0.12,4,seg4,-0.6640533899702734,0.05285465437175239,0.08625673040093718,-0.010159912034529442,0.055652847858017794,0.00042437660491971563
0.12,5,seg5,-0.8335678397881623,0.015255999844924963,0.08648430412481863,-0.01584086927795232,0.01964422062123136,0.0006503189973643964
