time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,0.0,0.125,0.0,0.0,0.0,0.06475463509559631,0.5971319526433945,0.9179923668503761,0.85,0.06799236685037613,0.6286745071411133,0.0061273216269910336,0.630383312702179,-0.11121776700019836,-0.03336533159017563,-0.15559999644756317,-0.0036493330262601376,-0.15924933552742004,-0.013193845748901367,-0.0039581540040671825,-0.11589878797531128,-0.0004329230869188905,-0.11633171141147614,-0.02675384283065796,-0.008026152849197388,-0.13577289879322052,-0.0008778604678809643,-0.13665075600147247,0.07996966689825058,0.023990901187062263,-0.1853993982076645,0.0026240048464387655,-0.18277539312839508,-0.01793644018471241,-0.005380932241678238,-0.19030916690826416,-0.0005885394639335573,-0.19089770317077637,-0.0038683926686644554,-0.0011605178005993366,-0.14313463866710663,-0.00012693164171651006,-0.14326156675815582,0.05486323684453964,0.016458971425890923,0.25,0.0018001999706029892,0.25180020928382874,0.003315117210149765,0.0009945351630449295,0.25,0.00010877728345803916,0.2501087784767151,-0.036512091755867004,-0.010953627526760101,0.25,-0.001198053010739386,0.24880194664001465,0.09498653560876846,0.02849596180021763,0.21136654913425446,0.0031167457345873117,0.21448329091072083,-0.03877188637852669,-0.011631566099822521,0.126093789935112,-0.001272202585823834,0.12482158839702606
0.04,0.0,0.0,0.125,0.3019264730879649,1.3171983461039318,6.925128255847768,0.0668787881731987,0.600318182259798,0.9202227275818586,0.85,0.07022272758185866,0.6493300199508667,0.008079109713435173,0.6507247686386108,-0.13005515933036804,-0.06237228214740753,-0.161698117852211,-0.0068219685927033424,-0.16852009296417236,0.027055421844124794,0.005345919169485569,-0.11786311119794846,0.0005847099237143993,-0.11727840453386307,-0.042340606451034546,-0.018320489674806595,-0.13065578043460846,-0.0020038036163896322,-0.13265958428382874,0.00907955877482891,0.019517498090863228,-0.18087954819202423,0.002134726382791996,-0.1787448227405548,0.012180548161268234,-0.00011248793452978134,-0.19316904246807098,-1.2303367839194834e-05,-0.1931813508272171,-0.0063781775534152985,-0.0027258158661425114,-0.1490827351808548,-0.0002981361176352948,-0.1493808776140213,-0.019792653620243073,0.005583483260124922,0.25,0.0006106934743002057,0.25061067938804626,0.0056212302297353745,0.002382543869316578,0.25,0.00026059075025841594,0.250260591506958,-0.04817229136824608,-0.022119227796792984,0.25,-0.0024192905984818935,0.24758070707321167,-0.014297284185886383,0.01565798744559288,0.24367065727710724,0.0017125923186540604,0.24538324773311615,0.005531027913093567,-0.0064827874302864075,0.1593354493379593,-0.0007090548751875758,0.15862639248371124
0.06,0.0,0.0,0.125,0.3305753319784677,1.245709885183786,6.660381202830457,0.02790803089737892,0.5418620463460684,0.8793034324422478,0.85,0.029303432442247868,0.6622844934463501,0.009266532957553864,0.6627722978591919,-0.1022539958357811,-0.07433679699897766,-0.16766057908535004,-0.008130587637424469,-0.1757911741733551,0.0038116269279271364,0.004885631613433361,-0.12066689878702164,0.0005343659431673586,-0.12013253569602966,-0.02287091314792633,-0.019685616716742516,-0.1260935515165329,-0.002153114415705204,-0.12824666500091553,0.014165988191962242,0.017912045121192932,-0.17579734325408936,0.001959129935130477,-0.17383821308612823,0.041002996265888214,0.012222157791256905,-0.19519315659999847,0.0013367985375225544,-0.1938563585281372,0.03748873621225357,0.00933855026960373,-0.1551758050918579,0.0010214039357379079,-0.15415440499782562,-0.0432739183306694,-0.009073738008737564,0.25,-0.000992440152913332,0.24900755286216736,-0.018953152000904083,-0.004018165171146393,0.25,-0.0004394868155941367,0.24956052005290985,-0.01774095743894577,-0.02080574631690979,0.25,-0.0022756285034120083,0.24772436916828156,0.002488633617758751,0.011707181110978127,0.25,0.001280472963117063,0.2512804865837097,0.027914155274629593,0.0038362955674529076,0.19226539134979248,0.00041959481313824654,0.19268499314785004
0.08,0.0,0.0,0.125,0.41261919707527167,1.2338601064697279,6.9155424831824615,0.06359779834747314,0.5953966975212097,0.9167776882648467,0.85,0.06677768826484676,0.6741751432418823,0.010732288472354412,0.6761754751205444,-0.11368069052696228,-0.08613996207714081,-0.17335474491119385,-0.009421558119356632,-0.1827763020992279,-0.017697306349873543,-0.0018892500083893538,-0.12424781173467636,-0.00020663671602960676,-0.12445444613695145,-0.036519523710012436,-0.024735789746046066,-0.12218772619962692,-0.0027054769452661276,-0.1248932033777237,-0.06443217396736145,-0.006791220977902412,-0.17026583850383759,-0.0007427898235619068,-0.1710086315870285,0.021783743053674698,0.015090633183717728,-0.1963365077972412,0.0016505380626767874,-0.19468596577644348,0.017452865839004517,0.011772844940423965,-0.16127832233905792,0.0012876549735665321,-0.15999066829681396,0.025024496018886566,0.001155732199549675,0.25,0.0001264082093257457,0.2501264214515686,0.001525145024061203,-0.0023551718331873417,0.25,-0.0002575969265308231,0.24974240362644196,-0.01984999142587185,-0.020519020035862923,0.25,-0.0022442678455263376,0.2477557361125946,0.05140168219804764,0.023615531623363495,0.25,0.0025829486548900604,0.25258293747901917,-0.05546310171484947,-0.013953523710370064,0.22481924295425415,-0.0015261666849255562,0.22329308092594147
0.1,0.0,0.0,0.125,0.5486460502587704,1.248897648464633,6.968785039768227,-0.009443644434213638,0.48583453334867954,0.8400841733440757,0.85,0.009915826655924276,0.6846520900726318,0.011880974285304546,0.6875959038734436,-0.10218355059623718,-0.0909530371427536,-0.17865394055843353,-0.009947988204658031,-0.18860192596912384,-0.025771556422114372,-0.009053941816091537,-0.12852618098258972,-0.000990274827927351,-0.12951645255088806,-0.06368302553892136,-0.03641996160149574,-0.11902517080307007,-0.003983433358371258,-0.1230086013674736,-0.016242049634456635,-0.009626469574868679,-0.16440807282924652,-0.0010528950951993465,-0.1654609739780426,0.016465995460748672,0.01550324261188507,-0.1965736597776413,0.0016956671606749296,-0.1948779970407486,0.004409561865031719,0.009563859552145004,-0.1672545075416565,0.001046047080308199,-0.16620846092700958,0.02997979149222374,0.00980295054614544,0.25,0.001072197686880827,0.2510721981525421,0.013871470466256142,0.0025128209963440895,0.25,0.00027483981102705,0.2502748370170593,-0.03457283601164818,-0.024735163897275925,0.25,-0.0027054084930568933,0.2472945898771286,0.032110102474689484,0.026163902133703232,0.25,0.00286167673766613,0.2528616786003113,-0.024742137640714645,-0.017190108075737953,0.25,-0.001880168099887669,0.24811983108520508
0.12,0.0,0.0,0.125,0.6878221608567304,1.2647830995263818,6.908607578039093,0.039279330521821976,0.558918995782733,0.891243297047913,0.85,0.041243297047913074,0.6862454414367676,0.010966812260448933,0.6864675879478455,-0.07380153238773346,-0.08580758422613144,-0.18344029784202576,-0.009385204873979092,-0.19282549619674683,0.008174484595656395,-0.003885413520038128,-0.13340680301189423,-0.000424967089202255,-0.13383176922798157,0.023337535560131073,-0.01849271170794964,-0.11667624861001968,-0.0020226403139531612,-0.11869888752698898,-0.010963557288050652,-0.010027595795691013,-0.15835435688495636,-0.0010967683047056198,-0.15945112705230713,0.02865535020828247,0.01944887638092041,-0.19589929282665253,0.00212722085416317,-0.1937720775604248,0.06045929342508316,0.02483249083161354,-0.1729714423418045,0.002716053742915392,-0.1702553927898407,-0.06299351900815964,-0.012035991996526718,0.25,-0.0013164365664124489,0.24868355691432953,-0.06393207609653473,-0.017420649528503418,0.25,-0.0019053835421800613,0.2480946183204651,-0.03139801323413849,-0.026734018698334694,0.25,-0.0029240332078188658,0.24707596004009247,-0.03670018911361694,0.007304673083126545,0.25,0.0007989486330188811,0.25079894065856934,0.055665865540504456,0.004666686058044434,0.25,0.0005104187875986099,0.25051042437553406
0.14,0.0,0.0,0.125,0.7272566377685201,1.1975304267606666,6.455805579562216,0.09190688282251358,0.6378603242337704,0.9465022269636392,0.85,0.09650222696363919,0.6877195239067078,0.011692722328007221,0.6864417791366577,-0.07062020897865295,-0.0812513679265976,-0.1876073181629181,-0.008886868134140968,-0.1964941918849945,-0.011651060543954372,-0.006215107627213001,-0.13878114521503448,-0.0006797774112783372,-0.13946092128753662,0.01027423795312643,-0.0098626259714365,-0.11519322544336319,-0.0010787247447296977,-0.11627195030450821,-0.025051278993487358,-0.01453470066189766,-0.1522393822669983,-0.0015897329431027174,-0.15382911264896393,0.0009661316871643066,0.013904052786529064,-0.19432847201824188,0.001520755817182362,-0.19280771911144257,0.05018405243754387,0.03243795782327652,-0.17830193042755127,0.003547901753336191,-0.17475402355194092,-0.08174137026071548,-0.0329476073384285,0.25,-0.0036036446690559387,0.24639636278152466,-0.07792653888463974,-0.035572417080402374,0.25,-0.0038907332345843315,0.2461092621088028,-0.02801961824297905,-0.027119699865579605,0.25,-0.0029662172310054302,0.24703378975391388,0.013349277898669243,0.009118054062128067,0.25,0.0009972872212529182,0.25099727511405945,0.0159049853682518,0.008038176223635674,0.25,0.0008791754953563213,0.250879168510437
0.16,0.0,0.0,0.125,0.6747954486910455,1.0571738254264769,5.726278571072304,0.07797189801931381,0.6169578470289707,0.9318704929202795,0.85,0.08187049292027948,0.6890303492546082,0.013057585805654526,0.6905214190483093,-0.11572642624378204,-0.09159388393163681,-0.1910623162984848,-0.010018081404268742,-0.20108039677143097,-0.04250911995768547,-0.01710331253707409,-0.14452962577342987,-0.001870674779638648,-0.1464003026485443,-0.019513051956892014,-0.01275775395333767,-0.11460906267166138,-0.0013953793095424771,-0.11600444465875626,-0.04424276947975159,-0.023447122424840927,-0.14619916677474976,-0.0025645289570093155,-0.14876370131969452,-0.04496088996529579,-0.003755430690944195,-0.19189608097076416,-0.0004107502172701061,-0.19230683147907257,0.052416764199733734,0.038431599736213684,-0.18312738835811615,0.004203456453979015,-0.17892393469810486,0.031674742698669434,-0.013560901395976543,0.25,-0.0014832236338406801,0.24851678311824799,-0.02022344246506691,-0.030967723578214645,0.25,-0.003387094708159566,0.24661290645599365,-0.0390816330909729,-0.030708279460668564,0.25,-0.0033587180078029633,0.24664127826690674,0.09802428632974625,0.03578992560505867,0.25,0.003914522938430309,0.2539145350456238,-0.019545700401067734,-0.0002369871363043785,0.25,-2.59204680332914e-05,0.2499740868806839
0.18,0.0,0.0,0.125,0.623381785614297,0.9323478670166165,5.079347122437467,0.08302801847457886,0.6245420277118683,0.9371794193983077,0.85,0.08717941939830776,0.6901373863220215,0.013419905677437782,0.6918866038322449,-0.09436944127082825,-0.09242655336856842,-0.19372843205928802,-0.010109154507517815,-0.203837588429451,-0.022161761298775673,-0.018620846793055534,-0.15052439272403717,-0.0020366550888866186,-0.15256105363368988,-0.01927146688103676,-0.014711868017911911,-0.11493678390979767,-0.0016091105062514544,-0.1165458932518959,0.04913107305765152,-0.0016736621037125587,-0.14036807417869568,-0.0001830567925935611,-0.1405511349439621,-0.052178140729665756,-0.018282243981957436,-0.1886562705039978,-0.001999620348215103,-0.1906558871269226,0.03530723601579666,0.03749429062008858,-0.18734049797058105,0.004100937861949205,-0.18323956429958344,-0.01895930990576744,-0.015180423855781555,0.25,-0.0016603588592261076,0.24833963811397552,-0.05671098828315735,-0.03869070112705231,0.25,-0.00423179566860199,0.245768204331398,-0.01324296835809946,-0.02546868473291397,0.25,-0.0027856375090777874,0.24721436202526093,0.05900781601667404,0.04275529086589813,0.25,0.004676359705626965,0.25467637181282043,0.004750160966068506,0.0012591573176905513,0.25,0.00013772032980341464,0.25013771653175354
0.2,0.0,0.0,0.125,0.5623853672433905,0.8253431097883563,4.520894706988495,0.08523689955472946,0.6278553493320942,0.9394987445324658,0.85,0.08949874453246587,0.691005527973175,0.01457420364022255,0.6938616037368774,-0.10500311851501465,-0.09619951993227005,-0.19554634392261505,-0.010521822609007359,-0.20606817305088043,-0.04587201029062271,-0.026796195656061172,-0.15663205087184906,-0.0029308339580893517,-0.159562885761261,0.001931075006723404,-0.009718984365463257,-0.11616907268762589,-0.0010630139149725437,-0.11723208427429199,0.014872148633003235,0.0032900813966989517,-0.1348758190870285,0.00035985265276394784,-0.13451597094535828,-0.0512189045548439,-0.02816324308514595,-0.18468110263347626,-0.0030803547706454992,-0.18776145577430725,0.045585762709379196,0.03992173448204994,-0.1908475160598755,0.004366439767181873,-0.1864810734987259,-0.01658647507429123,-0.015602239407598972,0.25,-0.0017064949497580528,0.24829350411891937,-0.050149597227573395,-0.042128369212150574,0.25,-0.004607790149748325,0.24539220333099365,0.016979090869426727,-0.012734351679682732,0.25,-0.0013928196858614683,0.24860717356204987,0.08603332936763763,0.05573870241641998,0.25,0.006096420809626579,0.25609642267227173,-0.009391778148710728,-0.001936123357154429,0.25,-0.00021176348673179746,0.24978823959827423
