time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.0020034377259272665,-0.007772200953126012,0.08878164111757016,0.001746162982886244,-0.010724532252566376,0.0014219304213159284
0.02,1,seg1,-0.14742707799901877,0.00028199018411399545,0.08720203679513179,0.00013603780895534118,-0.0014268574905997842,0.0013753134954623825
0.02,2,seg2,-0.322886923565432,0.005284908706399132,0.08713632366303717,6.330368319852313e-05,0.0050543481898859275,0.001307649867153718
0.02,3,seg3,-0.49847845185097733,0.005713396014930529,0.08708660026650056,0.00015612960988235569,0.007008996250477738,0.0012560517607358018
0.02,4,seg4,-0.6737821506240936,0.00300447085317266,0.08705331436489322,-1.656742341802247e-05,0.005885367102085041,0.001220960568875759
0.02,5,seg5,-0.8486201945032166,-0.004088563969464527,0.08704219338227712,-0.0006280242295253443,0.0004256130454407207,0.0012082082548228873
0.02,6,seg6,-1.022585251854418,-0.018842979939463537,0.08706582106516149,-0.002050485129887576,-0.012678446529255165,0.001230237788594865
0.04,0,head,-0.0037073871263386244,-0.03405314894134342,0.08803321796677364,0.007675535770895339,-0.03695703663152556,0.0006735072705194162
0.04,1,seg1,-0.14904124842891567,-0.005819271316820523,0.08648894941740075,0.001800935312421566,-0.007514472325850428,0.0006622261177313404
0.04,2,seg2,-0.32302629531838273,0.015093161532374838,0.08648265656828429,0.00012103300167456472,0.014863421301526254,0.0006539827724008351
0.04,3,seg3,-0.4984863329353053,0.020871342488970893,0.08655310450176634,3.784539528234273e-05,0.022166483254128164,0.0007225559960015865
0.04,4,seg4,-0.6733209890340496,0.01444589544276631,0.08669866571020697,-0.0005729441200207431,0.017322556950249507,0.0008663119141895104
0.04,5,seg5,-0.846532310191084,-0.005873357360538011,0.0869251878107957,-0.002700980742140553,-0.0013764967309120475,0.0010912026833414662
0.04,6,seg6,-1.0154123661839407,-0.04511244703541459,0.08726424998801029,-0.009004472135104432,-0.03900670615785177,0.001428666711443663
0.06,0,head,-0.010911709721399198,-0.05754379204783103,0.08888844456969128,0.015075129858779531,-0.060386901866772244,0.0015287338734370493
0.06,1,seg1,-0.1514515201595317,-0.011067756062932635,0.08765653032319039,0.004254808572983814,-0.012742713709556442,0.0018298070235209796
0.06,2,seg2,-0.32301386546221966,0.024851217043947934,0.08776733395619929,2.7383779668029986e-05,0.024621035338340858,0.0019386601603158388
0.06,3,seg3,-0.498075207664083,0.035963086074697205,0.08765173586792238,-0.0004988796301857805,0.037254282122516656,0.0018211873621576252
0.06,4,seg4,-0.6732453805463454,0.025232343439820722,0.08733824090255563,-0.0007383294646328385,0.028108001990873276,0.0015058871065381646
0.06,5,seg5,-0.843760503127432,-0.00929865626279229,0.0868407006915907,-0.005444181799482585,-0.004824747726135699,0.001006715564136465
0.06,6,seg6,-1.0042193572603717,-0.07319911350200925,0.08610744283760134,-0.019963317934940585,-0.06718556313765704,0.000271859561034718
0.08,0,head,-0.021690163000433534,-0.08024984059671458,0.09026219908593124,0.026042200361529346,-0.08300245095081205,0.0029024883896770076
0.08,1,seg1,-0.15597912061720925,-0.013198028526491263,0.08807656348287854,0.008799983217386793,-0.01483522753829973,0.0022498401832091314
0.08,2,seg2,-0.32287871814396446,0.03909083249455951,0.08753465496427448,-0.0002262802845108046,0.03885903265261934,0.0017059811683910325
0.08,3,seg3,-0.49745072047178224,0.056153788441202716,0.08732450278168717,-0.0012913996489386877,0.0574390872572207,0.0014939542759224156
0.08,4,seg4,-0.6725671735823031,0.04121055552933697,0.08741428602759574,-0.0015495053266147093,0.044080015639269575,0.0015819322315782786
0.08,5,seg5,-0.8414819978335862,-0.008181456825609319,0.08782494261495538,-0.00773190701804519,-0.0037265518053477566,0.001990957487501152
0.08,6,seg6,-0.9907777301304969,-0.09600788055813175,0.08864614880216361,-0.03321463389947691,-0.09010541958804316,0.0028105655255969836
0.1,0,head,-0.040402978471285614,-0.10541686530678415,0.09028343836938246,0.04496384179879608,-0.10801285040577308,0.0029237276731282347
0.1,1,seg1,-0.1639932254164346,-0.01962181539098864,0.08777156650680647,0.016867277892058125,-0.02119208761543285,0.0019448432071370592
0.1,2,seg2,-0.32360723268819114,0.047819186995308856,0.08703200272623164,0.0004295597985948328,0.047593148493225455,0.0012033289303481909
0.1,3,seg3,-0.4971962322503786,0.07063579636319607,0.08682116021643912,-0.0016664180018112235,0.07191847532932048,0.000990611710674369
0.1,4,seg4,-0.6712984699554198,0.05200537344932899,0.0871175111137397,-0.0029080141477050296,0.05486389975407926,0.0012851573177222464
0.1,5,seg5,-0.8342222804118988,-0.010794467288911055,0.08794716248619219,-0.014969623941183874,-0.006399896986860021,0.0021131773587379638
0.1,6,seg6,-0.9693055816283478,-0.1208563127705941,0.08933282266727777,-0.054479216195906274,-0.1151317114512945,0.003497239390711143
0.12,0,head,-0.06500703829864066,-0.1313420367297544,0.08927959136473725,0.06978283384811629,-0.13373233537158902,0.0019198806684830177
0.12,1,seg1,-0.17399696940853912,-0.033222925890967765,0.08757006621044638,0.026983882278165155,-0.03470946222664108,0.0017433429107769766
0.12,2,seg2,-0.32636167798450166,0.04962468099292933,0.08738566690652591,0.0031688819072776186,0.04942150618523539,0.00155699311064246
0.12,3,seg3,-0.4971695012588283,0.07904248375019172,0.08739314151345515,-0.0017631199421559243,0.08032464901913233,0.001562593007690391
0.12,4,seg4,-0.6692395576429444,0.05550811455788463,0.08756862608140867,-0.0049960097106203786,0.05834938246282625,0.0017362722853912077
0.12,5,seg5,-0.8239320670622897,-0.020873066593712204,0.08791754932066448,-0.02517559304251656,-0.01656379630841803,0.0020835641932102494
0.12,6,seg6,-0.9411457500401941,-0.14511369419920195,0.08842161789780861,-0.08243616944605808,-0.13962263698981275,0.0025860346212419894
0.14,0,head,-0.08494885041787915,-0.15045363785435623,0.08713618615947809,0.08988302789888632,-0.1526772916194846,-0.00022352453677614015
0.14,1,seg1,-0.18425743507590636,-0.0434076515710773,0.08567781391913835,0.03732876365037463,-0.04480843357410493,-0.00014890938053105374
0.14,2,seg2,-0.3294480710443003,0.05007365800700002,0.08563621993978765,0.006251431058306646,0.04989615680341401,-0.00019245385609580057
0.14,3,seg3,-0.49757372997026517,0.08451462105273719,0.08557958780206376,-0.0014044517948413045,0.08579996130877424,-0.00025096070370099477
0.14,4,seg4,-0.6662200886208743,0.05678423343459404,0.085512805351502,-0.00802599573407743,0.059600325011309116,-0.00031954844451545505
0.14,5,seg5,-0.8129824344327478,-0.029432697909616317,0.08544621140397855,-0.036053601497085336,-0.025214268840958728,-0.0003877737234756762
0.14,6,seg6,-0.9167815407761993,-0.1632632083706342,0.08539649856681165,-0.10664846982181553,-0.15797431452001728,-0.0004390847097549694
0.16,0,head,-0.09240679650885397,-0.1559342229614537,0.08772522217407604,0.0973863325239611,-0.1580956117199202,0.0003655114778218088
0.16,1,seg1,-0.18868488370977768,-0.04615758505776341,0.08616474594399691,0.04177894760118904,-0.04752142056062764,0.0003380226443275014
0.16,2,seg2,-0.3305838632164304,0.04999037423576167,0.0861050808387143,0.0073878770875312,0.04982232952277441,0.00027640704283085626
0.16,3,seg3,-0.49749595444046746,0.08585434669290191,0.08614458772963461,-0.0014933756475970816,0.0871389931875438,0.0003140392238698553
0.16,4,seg4,-0.6645479322732916,0.05677249690827123,0.08629158270893601,-0.009697996471187045,0.05957467093443497,0.0004592289129185523
0.16,5,seg5,-0.808328722883248,-0.03220801752617499,0.08652028748108954,-0.04068405186224199,-0.02802822683170238,0.0006863023536353152
0.16,6,seg6,-0.9076507280546844,-0.1687867530792992,0.08679924989929207,-0.11573299180983794,-0.1635736669240759,0.0009636666227254426
0.18,0,head,-0.09634806534741795,-0.15745447425192816,0.08709169844899657,0.10134011843460905,-0.1595830057549499,-0.0002680122472576568
0.18,1,seg1,-0.19135158760328963,-0.046881000846275035,0.0857830369137755,0.04445158036973249,-0.048222615357115424,-4.368638589390128e-05
0.18,2,seg2,-0.3311140882619463,0.04959692780328623,0.08590103509570135,0.007921358561953537,0.049433309972436515,7.236129981789963e-05
0.18,3,seg3,-0.4971705139499536,0.08578017047272306,0.08587684218101986,-0.0018181874696299174,0.08706211077886909,4.629367525510464e-05
0.18,4,seg4,-0.6633110845517529,0.055976143190640926,0.08574603207618473,-0.010928173010915046,0.05876805007504148,-8.63217198327354e-05
0.18,5,seg5,-0.8049895732413539,-0.03374824999145469,0.08554279186744979,-0.04401026592935689,-0.029596198883972934,-0.0002911932600044437
0.18,6,seg6,-0.9016557161627894,-0.1707045664074436,0.08528540360620773,-0.12171183338746105,-0.1655413124540979,-0.0005501796703588913
0.2,0,head,-0.09754767312531226,-0.15696542659290244,0.0871230425189956,0.10253561413923867,-0.1590839902705652,-0.00023666817725863376
0.2,1,seg1,-0.19213149476675578,-0.04656815101645203,0.0857828432224486,0.045228856556015315,-0.04790328491724967,-4.388007722080922e-05
0.2,2,seg2,-0.3312840873430874,0.04969370085695183,0.08587706866035845,0.008090546277521267,0.04953149463724056,4.8394864474998744e-05
