cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0663678076566466,-0.008970110693099045,-0.041812560063182756,6.0,-21425.317963502624,False,0.125,0.06697125337781942,0.033632192343353406,0.06602988930690096,0.07410175870856178,0.041812560063182756,0.05847631254117671,0.03264459603950872,True,True,0.4781535198,0.0815232961,0.4390958868,0.4687907426,0.1164618516,0.412994124,-0.0208061716,0.0776412344,-0.0580039173,0.8004144327,0.0544411093,0.7874827981,0.0961537838,0.013643362,0.0959754735,0.7798339357,0.0633639667,0.7662810683,0.5,0.0,0.5,0.073631286,0.0412522753,0.0609041132,8.3896891305,1.8410283581,9.0,1.7154498544,1.2661352587,3.0,1.0,0.0,1.0,1.5621422001,1.3104796076,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06594749577067989,0.011696803018502263,-0.02539140287035598,6.0,-20236.201591938843,False,0.10680004681646915,0.06697676760845872,0.034052504229320116,0.04919680301850226,0.059832252769966614,0.02539140287035598,0.05764154274626074,0.034107769629638365,True,True,0.4869540285,0.0848016045,0.4751795399,0.4813628979,0.1211451493,0.4645421999,-0.0124247347,0.0807634328,-0.0236385334,0.7957971376,0.0618016112,0.8375458717,0.0857674726,0.0145886657,0.0864017308,0.7773335507,0.0682769817,0.8119932413,0.5,0.0,0.5,0.0748809314,0.0418850285,0.0248204601,8.4706893499,1.7692548996,9.0,1.6974385133,1.2790631908,2.3648916607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06940911253468565,0.00424609869549186,-0.027613104651733094,6.0,-15286.94239701757,False,0.1,0.06953886867777267,0.030590887465314354,0.00424609869549186,0.03088416665619107,0.027613104651733094,0.06940911253468565,0.00424609869549186,True,True,0.4895615782,0.0856663485,0.4511417584,0.4850879688,0.1223804979,0.4302025121,-0.0099413541,0.0815869986,-0.0465316586,0.7935536452,0.061582131,0.8041632771,0.0475259255,0.0091925301,0.035100352,0.7834314678,0.0633036841,0.7922075391,0.5,0.0,0.5,0.0764234923,0.0400890727,0.0488582416,8.5545263745,1.5437039826,9.0,0.5248682077,0.6038523944,0.650762631,0.0,0.0,0.0,0.0,0.0,0.0,0.0148270278,0.0075852591,0.019421777,0.0148270278,0.0075852591,0.019421777,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06719911034802271,-0.0030943420432047804,-0.03470553875954333,6.0,-20167.180663643474,False,0.10680004681646915,0.06727031577334894,0.03280088965197729,-0.04059434204320478,0.05219002747538934,0.03470553875954333,0.061833991697873854,0.026492505637507085,True,True,0.4981650257,0.0800120632,0.4792718144,0.4973786081,0.1143029474,0.4703883063,-0.0017475946,0.076201965,-0.0197411291,0.797932114,0.0631711931,0.8432410359,0.0903875639,0.0177002932,0.0649438426,0.7882114327,0.0641290734,0.8223409653,0.5,0.0,0.5,0.0696881515,0.039355545,0.0207281856,8.4523382604,1.6953787463,9.0,1.6226898711,1.0586410469,0.6842980302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06774863687009605,0.00857615030677335,-0.011099913232754647,6.0,-22159.095518429334,False,0.125,0.06828929749119189,0.032251363129903954,-0.06642384969322665,0.07383954382175782,0.011099913232754647,0.05934459968014085,0.033788261876638956,True,True,0.5042135264,0.0759378531,0.4940876096,0.5060193235,0.1084826472,0.491553728,0.0040128823,0.0723217648,-0.005630848,0.8002260611,0.0621032971,0.8638867736,0.104577938,0.0182629108,0.0815985352,0.7956172158,0.0584588249,0.8529013991,0.5,0.0,0.5,0.0660790915,0.0376545481,0.0059123904,8.6219999464,1.4168629496,9.0,1.7732043707,1.0913116393,1.1791319585,1.0,0.0,1.0,1.5676237666,1.1586383132,0.9291319585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04824253902904801,-0.07147918818861045,-0.008123867815350719,6.0,-30320.24702038328,False,0.09013878188659974,0.0862358215364822,0.0017574609709519948,0.0035208118113895515,0.003935071139844832,0.008123867815350719,0.08623442543717964,0.0004906990844820088,True,True,0.0059915273,0.0146854749,0.0,0.4095418721,0.0919250378,0.3937839754,-0.0603054186,0.0612833585,-0.0708106831,1.2707799137,0.1747256974,1.3118803501,0.1115186184,0.0202711943,0.1092245728,1.2832864533,0.1783518288,1.3362984657,0.28,0.0,0.28,0.2740084727,0.0146854749,0.28,9.0,0.0,9.0,2.3688922656,1.0790525208,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03665282245352918,0.018439663874110248,0.014296554370747247,6.0,-17157.0038621827,False,0.0625,0.04102987445264852,0.013347177546470822,0.05593966387411024,0.05750993951314372,0.014296554370747247,0.018258459638357198,0.036743424571405704,True,True,0.5222118241,0.0682386235,0.4949952585,0.5317311773,0.0974837479,0.4928503693,0.0211541182,0.0649891653,-0.0047664205,0.4771102969,0.0413836919,0.5190917253,0.0464500515,0.0056937419,0.0511311218,0.4777868385,0.0423275451,0.5155249238,0.5,0.0,0.5,0.0633168228,0.0337765424,0.0050047415,7.8739722228,2.3918276214,9.0,1.3894837927,1.3114390331,2.1082619479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03460397681262344,0.023476301673048174,0.017301525124285178,6.0,-12120.253949705571,False,0.05,0.04181592939888513,0.01539602318737656,0.023476301673048174,0.028074441583586327,0.017301525124285178,0.03460397681262344,0.023476301673048174,True,True,0.4531321188,0.0649080731,0.432144537,0.5401887411,0.0927258187,0.5102064814,0.0267924941,0.0618172124,0.006804321,0.4879576353,0.0254415171,0.4667236209,0.025216036,0.0034298629,0.0226060115,0.4887203804,0.0274220921,0.4645963013,0.425,0.0,0.425,0.0598441081,0.0377247502,0.007144537,7.8848941166,2.3401568627,9.0,0.3502287192,0.4686048275,0.3102127107,0.0,0.0,0.0,0.0,0.0,0.0,0.001376001,0.0021855615,0.0046655149,0.001376001,0.0021855615,0.0046655149,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03807092027583081,0.018524524891512562,0.015762322899099884,6.0,-17178.321151875127,False,0.0625,0.04233855209032229,0.011929079724169192,-0.018975475108487436,0.022413647598247162,0.015762322899099884,0.04157145115557219,0.008022932252288435,True,True,0.5384867716,0.0687360224,0.5115582983,0.5549811023,0.0981943177,0.5165118547,0.0366540682,0.0654628785,0.0110079031,0.4727095133,0.0483044109,0.5130175948,0.0522181871,0.0090525066,0.0426442847,0.4783846507,0.041637739,0.5131387711,0.5,0.0,0.5,0.0653534398,0.0439863647,0.0115582983,8.0510901373,2.2001721102,9.0,1.3213951105,1.1436849999,0.5188271696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.0194873183371739,0.05984672480697106,0.12462837143313865,6.0,-20123.09826203348,False,0.09013878188659974,0.06293954278588049,0.030512681662826103,-0.015153275193028934,0.03406824755300206,0.12462837143313865,0.06060510429633007,0.01698256103556334,True,False,0.0303055943,0.047710939,0.0,0.4564236299,0.142330976,0.4676704099,-0.0290509134,0.0948873173,-0.02155306,0.921458112,0.1161030183,0.8790714741,0.1168436277,0.0126651566,0.1011093482,0.9484015308,0.1077866972,0.8646156192,0.28,0.0,0.28,0.2496944057,0.047710939,0.28,8.4974443271,1.5035240616,9.0,2.1017817754,1.1437266042,1.4013528689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
