cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.053446163452618406,-0.0185242324713433,-0.07785972007097297,6.0,-23931.37621261479,False,0.125,0.056565356681067366,0.0465538365473816,0.0564757675286567,0.07318997209475624,0.07785972007097297,0.05387147024490071,0.0172483120944964,True,False,0.4841504998,0.0691806866,0.5263359353,0.4773578568,0.0988295524,0.5376227647,-0.0150947621,0.0658863682,0.0250818431,0.8127998453,0.0562736264,0.8332556486,0.0742442488,0.0129983852,0.0698803961,0.797099935,0.0771755301,0.6847432256,0.5,0.0,0.5,0.0584137035,0.0403114537,0.0263359353,8.7650366104,1.1721652939,9.0,2.0698726021,1.0851933931,2.5190621753,1.0,0.0,1.0,1.922619003,1.1531231351,2.2690621753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.055488045248988684,-0.016459130376305038,-0.07096735243570129,6.0,-21478.944965788334,False,0.10680004681646915,0.05787768255811581,0.04451195475101132,0.02104086962369496,0.04923446262809627,0.07096735243570129,0.05773426227617976,0.0040719894060899375,True,False,0.4875033846,0.07178883,0.4159082916,0.4821476924,0.1025554714,0.3798689879,-0.0119015384,0.0683703143,-0.0800873414,0.8092856721,0.0557068823,0.7554744482,0.070210031,0.0154214381,0.0515056066,0.7968407506,0.0747153196,0.8566105962,0.5,0.0,0.5,0.0600595048,0.0412632692,0.0840917084,8.661901919,1.3984731353,9.0,1.8566684883,1.2085452486,1.8499752823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.062242860817331574,0.021599761756810807,-0.017775537743495533,6.0,-15212.633723490702,False,0.1,0.06588416676771967,0.03775713918266843,0.021599761756810807,0.043498865125545315,0.017775537743495533,0.062242860817331574,0.021599761756810807,True,True,0.4907995505,0.0731048593,0.4648888201,0.4868565007,0.1044355133,0.4498411715,-0.0087623328,0.0696236755,-0.033439219,0.8097106955,0.0594735929,0.8232395649,0.0406524465,0.008141041,0.0376792885,0.8001172423,0.0768641418,0.8304798007,0.5,0.0,0.5,0.0595039387,0.0434539988,0.0351111799,8.6682467009,1.3366778829,9.0,0.6243542958,0.707297587,0.8126102503,0.0,0.0,0.0,0.0,0.0,0.0,0.0115595093,0.0089137789,0.0234694416,0.0115595093,0.0089137789,0.0234694416,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.060725014538058224,-0.023916777316850466,-0.06995170557770265,6.0,-21136.038251166603,False,0.10680004681646915,0.06526514864666437,0.03927498546194178,-0.06141677731685047,0.07290092605051966,0.06995170557770265,0.04846086175709261,0.0437159525302967,True,False,0.4888702742,0.0707391862,0.5683613595,0.4841003917,0.1010559803,0.5976590849,-0.0105997388,0.0673706535,0.0651060566,0.8097076356,0.0584677533,0.7720202804,0.0722505679,0.015548157,0.0598871633,0.7997589109,0.0748711814,0.6918855906,0.5,0.0,0.5,0.0587024463,0.0410112918,0.0683613595,8.6992751395,1.3174619814,9.0,1.5717786646,1.2156715732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06514012013159978,-0.00286834904159816,-0.04087525582848225,6.0,-21634.187756699634,False,0.125,0.06520324130734367,0.03485987986840022,-0.07786834904159816,0.08531524486809762,0.04087525582848225,0.05039108668032093,0.04137875131223839,True,True,0.4939787757,0.0689585133,0.4135851331,0.491398251,0.0985121618,0.3765501902,-0.0057344993,0.0656747746,-0.0822998732,0.8115372632,0.0558475822,0.7522753477,0.0812821089,0.0167759377,0.0639783964,0.8020411632,0.0718998094,0.7625320554,0.5,0.0,0.5,0.0569060479,0.0394110823,0.0864148669,8.4890069301,1.6861511077,9.0,1.538688809,1.2089219122,0.0,1.0,0.0,1.0,1.3809505775,1.2448691461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.02804521685842896,-0.12108190724299643,-0.010485582336244045,6.0,-31030.525039508633,False,0.09013878188659974,0.12428741871258692,0.02195478314157104,-0.046081907242996434,0.05104463417388295,0.010485582336244045,0.11630292385507231,0.04382912676519063,True,True,0.0091138037,0.0215279657,0.0,0.4300327076,0.0916505175,0.4693329632,-0.0466448616,0.061100345,-0.0204446912,1.2707799137,0.1747256974,1.3118803501,0.0941664115,0.0169017998,0.0857870579,1.2746247357,0.1939092478,1.304954052,0.28,0.0,0.28,0.2708861963,0.0215279657,0.28,8.974125974,0.4474037332,9.0,2.3629106171,1.12874887,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.029794511357879114,0.021334694804773607,0.0033957158310272315,6.0,-16827.320937870478,False,0.0625,0.036645355905866456,0.02020548864212089,0.0588346948047736,0.062207580599455324,0.0033957158310272315,0.011034792203439128,0.03494446265854635,True,True,0.5083450508,0.0619432974,0.5571071669,0.5119215012,0.0884904249,0.5815816671,0.0079476675,0.0589936166,0.054387778,0.4868247818,0.0349713638,0.4729865193,0.0387115404,0.0081210456,0.0663829148,0.4857832928,0.0461748752,0.4787108302,0.5,0.0,0.5,0.0512061296,0.0358405394,0.0571071669,8.1542325162,2.0593207641,9.0,1.5390644369,1.2643569648,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.02792340559430909,-0.003278536639489378,-0.03527664739558656,6.0,-11397.093970906666,False,0.05,0.028115216209034684,0.022076594405690913,-0.003278536639489378,0.02231871015650003,0.03527664739558656,0.02792340559430909,0.003278536639489378,True,True,0.4341828203,0.0610736562,0.4529085446,0.5131183147,0.0872480803,0.5398693494,0.0087455431,0.0581653869,0.0265795663,0.4874293011,0.0338311294,0.4839675725,0.0203527186,0.0041893131,0.0179805811,0.4862919951,0.0445631597,0.3850420713,0.425,0.0,0.425,0.0501397856,0.0360599165,0.0279085446,8.0230857591,2.2876198423,9.0,0.3006088347,0.3509918178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036546904,0.005969421,0.0022109866,0.0036546904,0.005969421,0.0022109866,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.031146936420082677,0.014176286852871716,-0.006440543241362266,6.0,-16918.97685744827,False,0.0625,0.03422132021549689,0.018853063579917326,-0.023323713147128285,0.029990558536278213,0.006440543241362266,0.03342332124778917,0.0073471323697522324,True,True,0.5178577696,0.0620838462,0.4094871067,0.5255110995,0.0886912088,0.3706958666,0.0170073997,0.0591274725,-0.0862027556,0.4830731002,0.035881745,0.447981447,0.0392210602,0.0088662376,0.0439163223,0.4831756348,0.0451747224,0.433093816,0.5,0.0,0.5,0.0535168055,0.0361836346,0.0905128933,8.1731823596,2.0692065956,9.0,1.3063339418,1.1022810135,0.1779150078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03618397161825293,0.016941788306601424,0.03380333943700601,6.0,-17572.756696653272,False,0.09013878188659974,0.03995377320224249,0.013816028381747072,-0.05805821169339857,0.05967946535686059,0.03380333943700601,0.034167676103970174,0.02070927093720143,True,True,0.0230894697,0.0374669018,0.0,0.4666364483,0.1159924276,0.3793356754,-0.0222423678,0.0773282851,-0.0804428831,0.921458112,0.1161030183,0.8790714741,0.0834351246,0.0163808597,0.0715119541,0.9324137032,0.1248840741,0.8977857828,0.28,0.0,0.28,0.2569105303,0.0374669018,0.28,8.5078967059,1.5807235755,9.0,1.9010501012,1.2218021301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.0486464877392187,-0.09102022294169487,0.036402387092846634,6.0,-26505.13125480507,False,0.075,0.1032044657644125,-0.0486464877392187,-0.016020222941694875,0.05121648477261557,0.036402387092846634,0.09102022294169487,0.0486464877392187,True,True,0.0098734975,0.0214755659,0.0129740171,0.4306908474,0.0921550264,0.5185343102,-0.0462061017,0.0614366843,0.0123562068,1.2707799137,0.1747256974,1.3118803501,0.0518344556,0.0105832518,0.0541826785,1.2710038346,0.1915615387,1.2803537846,0.0,0.0,0.0,0.0098734975,0.0214755659,0.0129740171,8.9733366976,0.461051599,9.0,1.1734011538,1.4294026064,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.005054762591325508,-0.027890470304612336,-0.09131187574888251,6.0,-15772.049331448978,False,0.0375,0.028344822431391702,0.005054762591325508,0.009609529695387663,0.010857885881754379,0.09131187574888251,0.027890470304612336,0.005054762591325508,True,False,0.0063257865,0.0167725409,0.017224469,0.4435585858,0.0726352744,0.5246063843,-0.0376276095,0.0484235163,0.0164042562,1.1413779688,0.023411709,1.1148432493,0.0285743942,0.0052399707,0.0251273923,1.1369279186,0.0701553683,1.1176886559,0.0,0.0,0.0,0.0063257865,0.0167725409,0.017224469,7.1761383684,3.0917575521,9.0,0.5063246369,0.5743990259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.4097273676860444e-06,-4.827673982169418e-05,-0.00021033109946285342,6.0,1785.6494802204058,False,0.0,4.833684302680645e-05,-2.4097273676860444e-06,-4.827673982169418e-05,4.833684302680645e-05,0.00021033109946285342,0.0,4.833684302680645e-05,True,True,0.5511043165,0.050749032,0.5114127611,0.5730061664,0.0724986171,0.5163039444,0.0486707776,0.0483324114,0.0108692963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.22511e-05,8.4289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0375,0.0,-0.02674070735997702,0.021016171594342697,0.02976518244794102,6.0,-12599.750115115074,False,0.0375,0.03401095262698159,-0.02674070735997702,-0.016483828405657302,0.03141308690687822,0.02976518244794102,0.021016171594342697,0.02674070735997702,True,True,0.031135295,0.0431530717,0.0226708436,0.5102951949,0.0967649207,0.5323869195,0.0068634633,0.0645099471,0.0215912797,0.5528748882,0.0696618143,0.5274428725,0.022303452,0.0053611512,0.0200097971,0.5566889733,0.0754732966,0.5447966456,0.0,0.0,0.0,0.031135295,0.0431530717,0.0226708436,7.6993949782,2.5150165774,9.0,1.1355827761,0.9983610659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.03423072041670477,0.040583206554723306,0.04914246057297741,6.0,-16916.860955259523,False,0.075,0.05309179667811163,-0.03423072041670477,-0.03441679344527669,0.048541300881841325,0.04914246057297741,0.040583206554723306,0.03423072041670477,True,True,0.0219996885,0.0389439593,0.0,0.4594618115,0.1159956944,0.477777204,-0.027025459,0.0773304629,-0.0148151973,0.921458112,0.1161030183,0.8790714741,0.0432187785,0.0084555795,0.0420118719,0.9235718578,0.1246998244,0.90106529,0.0,0.0,0.0,0.0219996885,0.0389439593,0.0,8.6772642456,1.1640082581,9.0,1.5925507725,1.3309153679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.048773640528556206,-0.07523891963317987,0.016798727248228246,6.0,-27140.76604325157,False,0.09013878188659974,0.08966472571740194,-0.09877364052855621,-0.00023891963317987375,0.0987739294847358,0.016798727248228246,0.035547817254639756,0.0823171654420125,True,True,0.2261168825,0.0594114732,0.2792961118,0.4230241179,0.0848735331,0.4989944454,-0.0513172548,0.0565823554,-0.0006703697,1.2707799137,0.1747256974,1.3118803501,0.0941861123,0.0167170248,0.0956855491,1.2755361327,0.188318806,1.2836734056,0.28,0.0,0.28,0.0661741565,0.0453221194,0.0007038882,8.97416854,0.4466676985,9.0,1.4860100315,1.452743849,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0375,0.0,0.03354980417332429,0.007139849907412974,0.024970955689497993,6.0,-20905.278770359884,False,0.0625,0.03430111975969287,-0.016450195826675715,0.04463984990741297,0.04757441689072329,0.024970955689497993,0.02255593339421165,0.02584176242992495,True,True,0.4803579651,0.0522725356,0.3837152723,0.4719399501,0.0746750508,0.3338789605,-0.0187066999,0.0497833672,-0.1107473597,0.854359499,0.0530980652,0.7499531507,0.0507915005,0.0087979392,0.0570995621,0.8563291794,0.0726127217,0.8003522158,0.5,0.0,0.5,0.0449532999,0.0331274559,0.1162847277,8.6464131142,1.426905463,9.0,1.5542869398,1.2657171124,0.6496295778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
