cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.060986200579723454,0.02625899884935928,-0.01802369914070427,6.0,-21874.99382698606,False,0.125,0.06639918434529835,0.03901379942027655,0.10125899884935928,0.10851479803777969,0.01802369914070427,0.0330335611541632,0.057598919427321496,True,True,0.4815164429,0.0803473091,0.4848206982,0.4735949184,0.1147818702,0.4783152831,-0.0176033877,0.0765212468,-0.0144564779,0.7996182269,0.0562912569,0.8509684205,0.0937729646,0.0139824949,0.0924787223,0.7797635696,0.0657288723,0.8353121877,0.5,0.0,0.5,0.071988804,0.0401863667,0.0151793018,8.4303176613,1.9069621212,9.0,1.7544556946,1.2990184626,3.0,1.0,0.0,1.0,1.6228248992,1.343356221,2.6554971245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.07005694097917055,-0.0078603918364071,-0.04066279331540231,6.0,-20579.49174197331,False,0.10680004681646915,0.0704965299797149,0.029943059020829457,0.0296396081635929,0.042131854405143374,0.04066279331540231,0.06835632576386241,0.017238720000207697,True,True,0.4872190106,0.0851297649,0.4477153929,0.4817414437,0.1216139499,0.4253077041,-0.0121723709,0.0810759666,-0.0497948639,0.7932348202,0.0602558872,0.7994152308,0.0854386865,0.0135912339,0.0806131065,0.775286204,0.0666755023,0.7789589763,0.5,0.0,0.5,0.0765252058,0.039424909,0.0522846071,8.4410961972,1.6829409013,9.0,1.6508178664,1.2669042223,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.060996559423514785,0.04977101319456256,0.022059529565406615,6.0,-15141.059582365075,False,0.1,0.07872568841184999,0.03900344057648522,0.04977101319456256,0.06323307782495435,0.022059529565406615,0.060996559423514785,0.04977101319456256,True,True,0.4898743354,0.0874606776,0.4859227347,0.4855347648,0.1249438251,0.479889621,-0.0096434901,0.0832958834,-0.0134069193,0.7918116874,0.0624998324,0.8525038362,0.0484024658,0.0084177113,0.0421834588,0.7819904155,0.0644318261,0.8390836716,0.5,0.0,0.5,0.0782709663,0.0403181727,0.0140772653,8.479761758,1.6411546676,9.0,0.8459242694,0.882585518,0.86368984,0.0,0.0,0.0,0.0,0.0,0.0,0.0145109002,0.0078147931,0.020515126,0.0145109002,0.0078147931,0.020515126,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0711256601322048,0.028165352784882813,0.006378664330199217,6.0,-21238.20182188707,False,0.10680004681646915,0.07649932435478637,0.02887433986779521,-0.009334647215117186,0.03034572690563933,0.006378664330199217,0.07648654645902193,0.0013981550381453175,True,True,0.4981287548,0.0832242341,0.4872929543,0.4973267926,0.118891763,0.4818470776,-0.0017821382,0.0792611754,-0.0121019483,0.79360666,0.0635952096,0.854413271,0.0914773089,0.0185036045,0.0688219443,0.7836909346,0.0638646258,0.8386484981,0.5,0.0,0.5,0.073682436,0.0387385252,0.0127070457,8.6348710232,1.2495364041,9.0,1.6541386608,1.1310263547,1.0548715703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07016534624160466,-0.003907093882740347,-0.052366440496017276,6.0,-22399.027896977215,False,0.125,0.07027404354249733,0.02983465375839535,-0.07890709388274035,0.08435897124730087,0.052366440496017276,0.05378802066363952,0.045224882851155064,True,False,0.5032964294,0.0771539199,0.4862935051,0.5047091848,0.1102198855,0.480419293,0.0031394565,0.0734799237,-0.0130538046,0.7987721688,0.063223013,0.8530204892,0.101801526,0.0171342355,0.0838231891,0.7937076785,0.0603481302,0.8443248868,0.5,0.0,0.5,0.0669415319,0.038502274,0.0137064949,8.6166536091,1.3977008575,9.0,1.6245976593,1.2232430759,0.6317098495,1.0,0.0,1.0,1.4649567035,1.2633081654,0.3817098495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.06451999560483117,-0.047414658342242816,0.024058774599837296,6.0,-29934.654117854556,False,0.09013878188659974,0.0800685934593524,-0.014519995604831165,0.02758534165775718,0.03117340768571043,0.024058774599837296,0.0752406346520422,0.027382961047281867,True,True,0.0057630294,0.0145499226,0.0,0.4075520198,0.0923252928,0.4117871579,-0.0616319868,0.0615501952,-0.0588085614,1.2707799137,0.1747256974,1.3118803501,0.1110475058,0.0203484138,0.1097243577,1.2845689722,0.180320838,1.3375203609,0.28,0.0,0.28,0.2742369706,0.0145499226,0.28,9.0,0.0,9.0,2.305827937,1.093250545,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03644824104051062,0.01697231819821822,0.012762361613020357,6.0,-16999.037754839635,False,0.0625,0.040206142067708166,0.01355175895948938,0.05447231819821822,0.05613273216924361,0.012762361613020357,0.01897520191347757,0.03544679918288095,True,True,0.5227480715,0.0692603857,0.4949261286,0.532497245,0.0989434082,0.4927516123,0.02166483,0.0659622721,-0.0048322584,0.4765851768,0.0419367343,0.5190338492,0.0467348278,0.0057586134,0.054323364,0.477019858,0.0426764395,0.5147272348,0.5,0.0,0.5,0.0642702191,0.0344066087,0.0050738714,7.8605815792,2.3896543644,9.0,1.3873303664,1.2972959665,2.2707794526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03556439027184453,0.01847160260131,0.014107539482409578,6.0,-12100.426001852113,False,0.05,0.04007525368689251,0.014435609728155475,0.01847160260131,0.02344327048183208,0.014107539482409578,0.03556439027184453,0.01847160260131,True,True,0.4537839872,0.0640350135,0.4366731856,0.5411199818,0.0914785907,0.5166759794,0.0274133212,0.0609857271,0.0111173196,0.4885757105,0.0256090664,0.4704792798,0.0249493006,0.003249577,0.0231717955,0.489075178,0.027627772,0.4688510597,0.425,0.0,0.425,0.0594365021,0.0373671393,0.0116731856,7.9209496574,2.3301686707,9.0,0.3389438014,0.4777635273,0.3175962014,0.0,0.0,0.0,0.0,0.0,0.0,0.001410018,0.0022637437,0.0040130107,0.001410018,0.0022637437,0.0040130107,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03785529347859029,0.021230626769783517,0.01805504176197122,6.0,-17307.555655938882,False,0.0625,0.04340233585174937,0.012144706521409712,-0.01626937323021648,0.02030237428960604,0.01805504176197122,0.04302261084474234,0.005728674671327362,True,True,0.5372946101,0.0687580902,0.5059267223,0.5532780144,0.0982258432,0.5084667462,0.0355186763,0.0654838954,0.0056444975,0.4729632097,0.0478408024,0.5180139542,0.051354731,0.0089184792,0.0393859819,0.4782452965,0.041471778,0.5177578926,0.5,0.0,0.5,0.0653585584,0.0429746641,0.0059267223,7.9638076597,2.2993682253,9.0,1.3417215895,1.1484353292,0.5400012203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.017870392369642017,0.06876546999705055,0.1262259691161359,6.0,-20163.712685695,False,0.09013878188659974,0.07104956570845608,0.032129607630357986,-0.006234530002949448,0.03272890237753834,0.1262259691161359,0.06712903970538833,0.023275154469790654,True,False,0.0296076776,0.0460156964,0.0,0.4544151714,0.1416994714,0.4906602772,-0.0303898857,0.0944663143,-0.0062264819,0.921458112,0.1161030183,0.8790714741,0.1170096471,0.0126335218,0.100928247,0.9482812178,0.1080805965,0.8677607775,0.28,0.0,0.28,0.2503923224,0.0460156964,0.28,8.6094404973,1.3593318807,9.0,2.0707968836,1.1288760468,2.1796545814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
