cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.054246711137663585,-0.01733345380296428,-0.06948620862623385,6.0,-23474.05379580383,False,0.125,0.05694869875592076,0.04575328886233642,0.05766654619703572,0.07361245813050434,0.06948620862623385,0.05379744119190944,0.018681263640226726,True,False,0.4842763277,0.070053654,0.5205715161,0.477537611,0.1000766486,0.5293878801,-0.014974926,0.0667177657,0.0195919201,0.8121724546,0.0577185193,0.841735363,0.076443456,0.0134264887,0.074114807,0.7955641778,0.0785907139,0.6875082254,0.5,0.0,0.5,0.0587069342,0.0413309108,0.0205715161,8.7285798227,1.1087854361,9.0,1.9752657007,1.1407872248,3.0,1.0,0.0,1.0,1.8242297965,1.1972953113,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.04358927169878244,-0.05347068455282116,-0.12088380599737174,6.0,-21312.960371674668,False,0.10680004681646915,0.06898651110019685,0.056410728301217565,-0.015970684552821163,0.0586279202476048,0.12088380599737174,0.0595887177048284,0.034760946996188875,True,False,0.4871260155,0.0720188896,0.4694264935,0.4816085935,0.102884128,0.4563235622,-0.0122609377,0.0685894187,-0.0291176252,0.8082365761,0.0563746626,0.8295451999,0.0692601528,0.0153160207,0.0487071313,0.7960862031,0.075397043,0.806573987,0.5,0.0,0.5,0.0610934632,0.0402498285,0.0305735065,8.699026124,1.2983932249,9.0,1.9824288851,1.0506695451,2.4884211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05700656903511896,0.039218094970272406,-0.005934648143467521,6.0,-15203.890498381268,False,0.1,0.06919398735622258,0.04299343096488104,0.039218094970272406,0.05819359139311903,0.005934648143467521,0.05700656903511896,0.039218094970272406,True,True,0.4904372604,0.0717532402,0.4804964518,0.4863389434,0.1025046288,0.4721377883,-0.009107371,0.0683364192,-0.0185748078,0.8110893792,0.0581435714,0.8449459672,0.041114879,0.0083439101,0.036824774,0.801520261,0.0761271568,0.8612915277,0.5,0.0,0.5,0.0582571035,0.0429660721,0.0195035482,8.7352618895,1.1105395538,9.0,0.7288984146,0.763805847,0.9134315419,0.0,0.0,0.0,0.0,0.0,0.0,0.0112434831,0.0091518113,0.0245718582,0.0112434831,0.0091518113,0.0245718582,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05206319198128912,-0.050167915489282046,-0.09937988897802101,6.0,-21162.894792569965,False,0.10680004681646915,0.07230073100474375,0.047936808018710884,-0.08766791548928204,0.09991797120267526,0.09937988897802101,0.031133154585547416,0.06525429019898017,True,False,0.4894232694,0.0693823233,0.5337200316,0.4848903849,0.0991176047,0.5481714737,-0.0100730767,0.0660784031,0.0321143158,0.8114914177,0.0581040422,0.8224198222,0.0705709011,0.0153528913,0.0601439998,0.8012931452,0.074080199,0.7354269028,0.5,0.0,0.5,0.0571786854,0.0406985498,0.0337200316,8.6041174063,1.4646453518,9.0,1.5901012436,1.265120688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06118741863502659,-0.005414117070129172,-0.05109927238902512,6.0,-21694.50728577591,False,0.125,0.061426483399809426,0.03881258136497342,-0.08041411707012917,0.08929079849783583,0.05109927238902512,0.04570146466594377,0.041043744837119284,True,False,0.4954341015,0.0682954345,0.4095778704,0.4934772878,0.0975649064,0.3708255291,-0.0043484748,0.0650432709,-0.0861163139,0.8103350621,0.0567377397,0.7467606664,0.0810659227,0.0165111257,0.0620528236,0.8015543342,0.0723657809,0.7417600751,0.5,0.0,0.5,0.0568082465,0.0381829402,0.0904221296,8.4609049119,1.7487378575,9.0,1.5996058478,1.2248173953,0.0,1.0,0.0,1.0,1.437082547,1.272952293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.030037565772193162,-0.12890365621952485,-0.03059830581859324,6.0,-30628.589738601782,False,0.09013878188659974,0.13235712275612627,0.01996243422780684,-0.05390365621952485,0.05748132682995613,0.03059830581859324,0.12391616872664363,0.04651011795717425,True,True,0.0087778484,0.020864247,0.0,0.4261233853,0.092925445,0.4921428682,-0.0492510765,0.0619502967,-0.0052380878,1.2707799137,0.1747256974,1.3118803501,0.0954602501,0.0176157506,0.0807259008,1.2742709587,0.1943314447,1.2968835831,0.28,0.0,0.28,0.2712221516,0.020864247,0.28,8.974125974,0.4474037332,9.0,2.3835146097,1.1022879556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03340525457736337,0.008524841893875874,-0.011236766800835,6.0,-16856.58950023782,False,0.0625,0.034475846076551006,0.016594745422636635,0.04602484189387587,0.04892516374012856,0.011236766800835,0.021609298525565174,0.026863026261518718,True,True,0.5083601075,0.0642382488,0.551827714,0.5119430108,0.0917689269,0.5740395915,0.0079620072,0.0611792846,0.0493597277,0.4852063145,0.0348200265,0.4775888324,0.0389540321,0.0080453475,0.0597476661,0.4839899999,0.0461117319,0.4739539623,0.5,0.0,0.5,0.0538221479,0.0360502484,0.051827714,7.9642154224,2.3426171626,9.0,1.5023164067,1.2592975001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029712108126057086,0.012200308635281383,-0.0077880913451293665,6.0,-11458.058979401058,False,0.05,0.03211941624766286,0.020287891873942917,0.012200308635281383,0.023673742574525907,0.0077880913451293665,0.029712108126057086,0.012200308635281383,True,True,0.4354550766,0.0617688855,0.4371949909,0.5149358237,0.088241265,0.5174214155,0.0099572158,0.05882751,0.011614277,0.4875871579,0.0340030985,0.4709121883,0.0206171346,0.0042106981,0.0179292634,0.4866136088,0.0446893886,0.3846010268,0.425,0.0,0.425,0.0515529274,0.0355949367,0.0121949909,8.1180245879,2.2419553048,9.0,0.3128663465,0.3807807129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033825001,0.005729376,0.0030832027,0.0033825001,0.005729376,0.0030832027,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03516978224199139,0.008191668815397218,-0.01539900535300213,6.0,-16409.983757120935,False,0.0625,0.036111175845300915,0.014830217758008614,-0.02930833118460278,0.03284682078339263,0.01539900535300213,0.03305082708283144,0.01454853429287706,True,True,0.5195817625,0.0625445478,0.4073140424,0.5279739465,0.089349354,0.3675914891,0.0186492977,0.059566236,-0.0882723406,0.4827855025,0.0373161054,0.4461883307,0.0393641286,0.0086769447,0.0425843149,0.4831618692,0.0460416252,0.4470759034,0.5,0.0,0.5,0.0536835926,0.0375943848,0.0926859576,8.157353608,2.1477112348,9.0,1.2272568852,1.1776627887,0.01887555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.034373635624176876,0.011077471678260807,0.02484022321734643,6.0,-17706.115706887726,False,0.09013878188659974,0.03611450130911892,0.015626364375823126,-0.0639225283217392,0.06580480902372975,0.02484022321734643,0.02828407599612147,0.022455917924947468,True,True,0.0241972484,0.0390260434,0.0,0.4668812648,0.1181601133,0.3892911524,-0.0220791568,0.0787734089,-0.0738058984,0.921458112,0.1161030183,0.8790714741,0.0837921304,0.0158423676,0.0708485097,0.9326973834,0.1252086684,0.8994364142,0.28,0.0,0.28,0.2558027516,0.0390260434,0.28,8.5785676723,1.3635430322,9.0,1.9367311529,1.1879726557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
