time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.06415814906358719,0.5962372235953808,0.5673660565167665,0.5,0.06736605651676653,1.910144567489624,0.02210110053420067,1.918134331703186,-0.10970412939786911,-0.03291124105453491,-0.8652678728103638,-0.011518933810293674,-0.8767868280410767,-0.05376904085278511,-0.016130713745951653,-0.13403275609016418,-0.0056457496248185635,-0.13967850804328918,-0.04423229396343231,-0.013269688934087753,-0.8652678728103638,-0.004644391126930714,-0.8699122667312622,0.08221286535263062,0.024663859978318214,-0.8652678728103638,0.008632350713014603,-0.8566355109214783,0.02737068384885788,0.008211205713450909,-0.09464361518621445,0.002873921999707818,-0.09176969528198242,-0.06474176794290543,-0.019422531127929688,-0.8652678728103638,-0.006797885987907648,-0.8720657825469971,0.06272762268781662,0.018818287178874016,0.2164953500032425,0.006586400326341391,0.22308175265789032,0.026090560480952263,0.007827168330550194,-0.16326364874839783,0.002739508869126439,-0.1605241447687149,-0.06912440806627274,-0.02073732390999794,-0.45708101987838745,-0.007258063182234764,-0.46433907747268677,0.0656137615442276,0.01968412846326828,-0.5092520713806152,0.006889444775879383,-0.5023626089096069,-0.044984474778175354,-0.013495342805981636,-0.291873037815094,-0.00472337007522583,-0.2965964078903198
0.04,0.1,0.0,0.0,1.1004297462847783,-0.5772032961865865,-1.0371141873929624,0.14450854063034058,0.7167628109455109,0.6517339676618576,0.5,0.15173396766185765,1.6020610332489014,0.0189643707126379,1.608932375907898,-0.04577029123902321,-0.03676895424723625,-0.6965320706367493,-0.012869133614003658,-0.7094011902809143,0.04251725599169731,0.0014636777341365814,-0.10234405100345612,0.0005122871953062713,-0.10183176398277283,0.045063674449920654,0.004230320453643799,-0.6965320706367493,0.0014806120889261365,-0.6950514316558838,-0.0186783280223608,0.011661202646791935,-0.6965320706367493,0.004081421066075563,-0.6924506425857544,-0.058123715221881866,-0.011689271777868271,-0.08104051649570465,-0.004091245122253895,-0.08513176441192627,0.05901729688048363,0.004109417088329792,-0.6965320706367493,0.0014382959343492985,-0.6950937509536743,-0.06152665615081787,-0.00528519693762064,0.1855095624923706,-0.0018498188583180308,0.18365974724292755,-0.06835371255874634,-0.01502709649503231,-0.1952396184206009,-0.005259483586996794,-0.20049910247325897,-0.000346344371791929,-0.014620029367506504,-0.4724508821964264,-0.005117010325193405,-0.4775678813457489,-0.1315501481294632,-0.02568615786731243,-0.49746644496917725,-0.008990155532956123,-0.5064566135406494,0.07192040979862213,0.012129383161664009,-0.2563491761684418,0.004245284013450146,-0.25210389494895935
0.06,0.1,0.0,0.0,1.0661325879603782,-0.717312230539994,-2.7382013947034105,-0.014239504002034664,0.478640743996948,0.4850485207978636,0.5,0.014951479202136408,2.1003034114837646,0.034997012466192245,2.1011769771575928,-0.09714677929878235,-0.05488230288028717,-0.9878341555595398,-0.01920880563557148,-1.0,0.06469927728176117,0.020434357225894928,-0.135003000497818,0.007152025122195482,-0.1278509795665741,0.09258541464805603,0.030736848711967468,-0.9701641201972961,0.010757897049188614,-0.9594061970710754,0.043071869760751724,0.02108440361917019,-0.9701348543167114,0.007379541173577309,-0.9627553224563599,-0.014554530382156372,-0.012548848986625671,-0.12006796151399612,-0.0043920972384512424,-0.12446005642414093,0.05191643908619881,0.018451523035764694,-0.9804167151451111,0.006458032876253128,-0.9739586710929871,0.007689383812248707,-0.0013928224798291922,0.08717609941959381,-0.000487487850477919,0.08668860793113708,-0.02596774697303772,-0.01830929145216942,-0.2745421826839447,-0.0064082518219947815,-0.2809504270553589,-0.042528338730335236,-0.02299252152442932,-0.49216148257255554,-0.008047382347285748,-0.500208854675293,-0.13473883271217346,-0.058401960879564285,-0.45145994424819946,-0.020440686494112015,-0.4719006419181824,0.0387643426656723,0.02011987194418907,-0.17380057275295258,0.007041954901069403,-0.16675861179828644
0.08,0.1,0.0,0.0,0.9503155987862557,-0.653515164454325,-3.588510900588323,-0.06558454781770706,0.4016231782734394,0.43113622479140756,0.5,0.06886377520859244,1.918324589729309,0.03931707516312599,1.9219005107879639,-0.07172924280166626,-0.05993638560175896,-0.9601753354072571,-0.02097773551940918,-0.9811530709266663,-0.010484266094863415,0.011158769950270653,-0.11419565230607986,0.0039055694360285997,-0.11029008030891418,0.05505487322807312,0.038032256066799164,-0.864820122718811,0.013311289250850677,-0.8515088558197021,0.03214285522699356,0.024401940405368805,-0.8626636862754822,0.008540678769350052,-0.8541229963302612,0.06189996376633644,0.009785794652998447,-0.11285781860351562,0.0034250281751155853,-0.10943278670310974,0.02775679901242256,0.021243106573820114,-0.8974699974060059,0.007435087114572525,-0.8900349140167236,0.08616582304239273,0.024874772876501083,0.028063379228115082,0.00870617013424635,0.036769550293684006,0.022037385031580925,-0.006205287761986256,-0.2844037115573883,-0.002171850763261318,-0.2865755558013916,-0.034374501556158066,-0.026407115161418915,-0.4475958049297333,-0.00924248993396759,-0.45683830976486206,-0.077316053211689,-0.06407618522644043,-0.3758581876754761,-0.02242666482925415,-0.3982848525047302,0.05039948597550392,0.029203755781054497,-0.10684391856193542,0.010221314616501331,-0.09662260115146637
0.1,0.1,0.0,0.0,0.9343539394017081,-0.6815704300974768,-4.367288810079622,-0.09260575473308563,0.36109136790037155,0.40276395753026006,0.5,0.09723604246973994,1.833590030670166,0.04914374649524689,1.8381754159927368,-0.11821763962507248,-0.07742076367139816,-0.9675411581993103,-0.027097266167402267,-0.9946384429931641,0.09843657165765762,0.03734211251139641,-0.10513747483491898,0.013069739565253258,-0.09206773340702057,0.08579966425895691,0.05236247926950455,-0.8152961730957031,0.01832686737179756,-0.7969692945480347,0.033466849476099014,0.027121413499116898,-0.8094449043273926,0.00949249416589737,-0.7999523878097534,0.088032066822052,0.03325967490673065,-0.11299987882375717,0.011640885844826698,-0.10135899484157562,0.009623461402952671,0.01775721274316311,-0.840095579624176,0.006215024273842573,-0.8338805437088013,0.05782150477170944,0.0347587913274765,-0.020271027460694313,0.01216557715088129,-0.008105450309813023,0.013133775442838669,-0.0004035686142742634,-0.30019626021385193,-0.0001412490091752261,-0.3003375232219696,-0.06315718591213226,-0.03743213415145874,-0.42255744338035583,-0.013101247139275074,-0.43565869331359863,-0.05214359983801842,-0.060496412217617035,-0.32313087582588196,-0.021173743531107903,-0.344304621219635,0.045314494520425797,0.03403697907924652,-0.05410255864262581,0.011912942864000797,-0.042189616709947586
0.12,0.1,0.0,0.0,0.8730853932591878,-0.6056255814757866,-4.57375936472435,-0.18704181909561157,0.21943727135658264,0.30360608994960786,0.5,0.19639391005039214,1.5607751607894897,0.05234449729323387,1.5598937273025513,-0.06877318024635315,-0.07482648640871048,-0.9834915995597839,-0.026189269497990608,-1.0,0.07382392883300781,0.04828665778040886,-0.09555825591087341,0.016900330781936646,-0.07865792512893677,0.035144150257110596,0.04719698056578636,-0.6452881097793579,0.01651894301176071,-0.6287691593170166,0.06435467302799225,0.03829139098525047,-0.6279880404472351,0.01340198703110218,-0.6145860552787781,0.09148667752742767,0.05072777718305588,-0.10088840126991272,0.017754722386598587,-0.08313368260860443,-0.04062725231051445,0.0002418719232082367,-0.6515613198280334,8.46551702124998e-05,-0.6514766812324524,0.04824615269899368,0.038805000483989716,-0.0501384362578392,0.013581749983131886,-0.03655668720602989,0.13144667446613312,0.03915150836110115,-0.2495681643486023,0.013703027740120888,-0.23586513102054596,-0.03686254844069481,-0.03726125881075859,-0.3180070221424103,-0.013041440397500992,-0.33104845881462097,-0.023257650434970856,-0.04932478070259094,-0.2195335030555725,-0.01726367324590683,-0.23679718375205994,0.0411875955760479,0.03618216514587402,-0.00583341158926487,0.012663757428526878,0.006830345839262009
0.14,0.1,0.0,0.0,0.8521670400001222,-0.48116570838197675,-4.464428516763922,-0.21791312098503113,0.1731303185224533,0.2711912229657173,0.5,0.2288087770342827,1.4993832111358643,0.059504564851522446,1.4882231950759888,-0.0932455062866211,-0.08035219460725784,-1.0,-0.028123266994953156,-1.0,0.024903718382120132,0.04127177596092224,-0.11155472695827484,0.01444512140005827,-0.0971096083521843,-0.02352774329483509,0.02597956359386444,-0.6146335005760193,0.009092846885323524,-0.6055406332015991,0.05143506079912186,0.04223449155688286,-0.5884092450141907,0.014782072044909,-0.5736271739006042,0.13917028903961182,0.07726053148508072,-0.11534937471151352,0.027041185647249222,-0.088308185338974,0.001289830543100834,0.0005562595324590802,-0.5707793235778809,0.00019469083053991199,-0.5705846548080444,0.12196648865938187,0.06375344842672348,-0.07538048923015594,0.022313706576824188,-0.05306678265333176,0.048846758902072906,0.04206008464097977,-0.2410217821598053,0.014721029438078403,-0.22630074620246887,0.01543838158249855,-0.02145136520266533,-0.2801579236984253,-0.007507977541536093,-0.2876659035682678,-0.0947503000497818,-0.0629524365067482,-0.17224757373332977,-0.02203335240483284,-0.19428092241287231,0.0668543130159378,0.04538381099700928,0.02607039362192154,0.015884334221482277,0.04195472598075867
0.16,0.1,0.0,0.0,0.8451069693834793,-0.39113898916404916,-4.425099282640213,-0.11618184298276901,0.3257272355258465,0.37800906486809255,0.5,0.12199093513190745,1.803964614868164,0.06290039420127869,1.7937129735946655,-0.060468900948762894,-0.07438720762729645,-1.0,-0.026035523042082787,-1.0,0.03448737785220146,0.03923645615577698,-0.12155462056398392,0.013732759281992912,-0.10782185941934586,-0.0319962352514267,0.008586823008954525,-0.812649130821228,0.0030053879600018263,-0.8096437454223633,-0.037001289427280426,0.018463756889104843,-0.7956523299217224,0.006462314631789923,-0.7891899943351746,0.14147458970546722,0.09652474522590637,-0.1526016741991043,0.03378365933895111,-0.1188180148601532,0.06472939252853394,0.019808201119303703,-0.7623589038848877,0.006932870484888554,-0.7554260492324829,0.11094112694263458,0.07790975272655487,-0.146448016166687,0.027268413454294205,-0.1191796064376831,0.007971972227096558,0.031833648681640625,-0.3571245074272156,0.011141777038574219,-0.34598273038864136,0.023826010525226593,-0.007868152111768723,-0.3803570568561554,-0.0027538530994206667,-0.383110910654068,-0.08679807186126709,-0.0701061263680458,-0.20395153760910034,-0.024537144228816032,-0.22848868370056152,0.077908456325531,0.055141206830739975,0.07950203865766525,0.019299421459436417,0.09880146384239197
0.18,0.1,0.0,0.0,0.8190708511624067,-0.35875500612554595,-4.4312849416348,-0.08536287397146225,0.3719556890428066,0.41036898232996466,0.5,0.08963101767003534,1.9104634523391724,0.06202493607997894,1.8994688987731934,0.08041869103908539,-0.027945438399910927,-1.0,-0.009780903346836567,-1.0,0.09367971122264862,0.05556943267583847,-0.12525910139083862,0.019449301064014435,-0.10580980032682419,0.021534506231546402,0.01247112825512886,-0.8778231739997864,0.004364894703030586,-0.8734582662582397,-0.02514471672475338,0.005381213966757059,-0.8633166551589966,0.0018834248185157776,-0.861433207988739,0.07958698272705078,0.09144341200590134,-0.1740289330482483,0.0320051945745945,-0.1420237421989441,0.009614222683012486,0.01675000786781311,-0.8216848373413086,0.005862502846866846,-0.8158223628997803,0.08642059564590454,0.08046300709247589,-0.20198208093643188,0.028162052854895592,-0.17382003366947174,0.060298845171928406,0.04037320613861084,-0.4059918522834778,0.014130622148513794,-0.391861230134964,0.04322429373860359,0.007459582295268774,-0.39690864086151123,0.002610853873193264,-0.3942977786064148,-0.07875804603099823,-0.07270170748233795,-0.17949995398521423,-0.025445597246289253,-0.20494554936885834,0.11317060887813568,0.07255002856254578,0.13212288916110992,0.02539250999689102,0.15751540660858154
0.2,0.1,0.0,0.0,0.7827236886313674,-0.3309193091162398,-4.378638032503517,-0.13830018043518066,0.292549729347229,0.3547848105430603,0.5,0.14521518945693968,1.796226978302002,0.07507631182670593,1.7858198881149292,-0.03287453576922417,-0.029424168169498444,-1.0,-0.010298458859324455,-1.0,0.02149205282330513,0.0453462190926075,-0.16450883448123932,0.01587117649614811,-0.14863765239715576,0.023588716983795166,0.015806404873728752,-0.8302512168884277,0.005532241426408291,-0.8247189521789551,-0.04813182353973389,-0.01067269779741764,-0.8038490414619446,-0.003735444275662303,-0.8075844645500183,0.19667038321495056,0.1230115070939064,-0.20535922050476074,0.04305402562022209,-0.16230519115924835,0.058871086686849594,0.029386334121227264,-0.7096452713012695,0.010285216383635998,-0.6993600726127625,0.1471390575170517,0.1004658192396164,-0.2096867859363556,0.0351630374789238,-0.1745237410068512,-0.04437977448105812,0.014947311021387577,-0.36257609724998474,0.005231558810919523,-0.35734453797340393,-0.01334189809858799,0.0012191380374133587,-0.32516002655029297,0.00042669830145314336,-0.32473331689834595,-0.16677168011665344,-0.10092270374298096,-0.11707719415426254,-0.035322945564985275,-0.15240013599395752,0.09375390410423279,0.078911192715168,0.15245595574378967,0.02761891670525074,0.18007487058639526
