time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0028384242591950027,0.011129377425927118,0.08881881671451422,0.0025826830832730756,0.010532498093598117,0.0014592354859597478
0.02,1,seg1,-0.1515346695854363,-0.0017599001662506905,0.08728841946326163,0.0005746343160476086,0.0011856156042220835,0.0014617027561737994
0.02,2,seg2,-0.32663723420979035,-0.01236468547899812,0.0872725150852501,0.0003927247310048753,-0.005302718377063725,0.001443738142330897
0.02,3,seg3,-0.5018220812884446,-0.018060850657165898,0.08727555619416329,0.00015694149464967836,-0.007017045644607466,0.0014450691283891676
0.02,4,seg4,-0.6772412063250098,-0.02003888450555428,0.0872879850990407,6.905273178815449e-05,-0.0051856636844364425,0.0014557543517972477
0.02,5,seg5,-0.852011858414853,-0.018610539709864034,0.08732322721831567,-0.000749399571920998,-0.00011086556152691737,0.001489281266149431
0.02,6,seg6,-1.0242306968080048,-0.01006835164884201,0.08742277311103568,-0.004287932328488756,0.011946940186894394,0.0015871101852148323
0.04,0,head,-0.011714899324152503,0.03398923649985429,0.08816426150110972,0.010912614736728306,0.03359712913564972,0.0008046802725552443
0.04,1,seg1,-0.15493867765438893,0.00371634150075713,0.08650809667593927,0.0038473521852797885,0.006741316413020123,0.0006813799688514394
0.04,2,seg2,-0.327644173753965,-0.022387702670214178,0.08633536080680838,0.001637911435352001,-0.015298933207246873,0.0005065838638891873
0.04,3,seg3,-0.5021540954986105,-0.03344155145609065,0.08624739999332148,0.0008548986255325871,-0.02238548884304623,0.00041691292754736375
0.04,4,seg4,-0.6767423167035415,-0.029954883736904865,0.08624949427635534,-0.00019371010574607798,-0.01511072727624405,0.00041726352911188036
0.04,5,seg5,-0.8483648871531899,-0.01651787962915247,0.08635683744068136,-0.004445140007871335,0.0018944095380658541,0.0005228914885151148
0.04,6,seg6,-1.0129620648482254,0.01324757258000452,0.0866444619650757,-0.016108255780226052,0.03498808474086176,0.0008087990392548622
0.06,0,head,-0.021282565622357717,0.05133536503887594,0.08846267650473277,0.02006476014389608,0.05116604054554563,0.0011030952761783008
0.06,1,seg1,-0.16088039894836983,0.011791563548571606,0.08729317642575604,0.00959521281539334,0.014955655171060584,0.0014664597186682116
0.06,2,seg2,-0.3298738580601583,-0.026821707565506833,0.08755058154049915,0.00397248671989854,-0.01967861924124658,0.0017218045975799512
0.06,3,seg3,-0.5030110308142002,-0.04372000342520921,0.08756904401056229,0.0019562025397270094,-0.03264063597529389,0.0017385569447881666
0.06,4,seg4,-0.6748388108691434,-0.03492239938581965,0.08736592098903559,-0.001978457612389619,-0.020122136511306333,0.0015336902417921322
0.06,5,seg5,-0.842148041097462,-0.012235773631873269,0.08709243609545292,-0.010762132824759574,0.006027351395671851,0.0012584901432866752
0.06,6,seg6,-1.0004362669623386,0.03084833553816198,0.08670022489541025,-0.02904937707635059,0.0522857680816088,0.0008645619695894086
0.08,0,head,-0.030769767845113035,0.06501850696346577,0.08880220543224643,0.029223637696347393,0.06507108786365234,0.0014426242036919557
0.08,1,seg1,-0.16762199542231368,0.016917961712700207,0.08730020012628772,0.016212899542053974,0.02024104101687325,0.0014734834191998947
0.08,2,seg2,-0.33311902750824846,-0.03414292638488081,0.08722170245724861,0.007390970775120384,-0.02692053449272207,0.0013929255143294156
0.08,3,seg3,-0.5037617869291088,-0.056614907459821756,0.08701827036757617,0.003013624849071262,-0.04551402103378402,0.0011877833018020534
0.08,4,seg4,-0.671996594299034,-0.042891764828407807,0.0867325804475342,-0.00463021059498679,-0.028156885213543356,0.0009003497002907368
0.08,5,seg5,-0.8349383351410601,-0.009813294810656301,0.08643630342137971,-0.018027448082719208,0.008277564232934917,0.0006023574692134714
0.08,6,seg6,-0.9877250070441465,0.04488125102307069,0.0861334145315116,-0.04209099861097512,0.06601220073669786,0.0002977516056907603
0.1,0,head,-0.04054467720488908,0.07517104544195041,0.08756133325595714,0.038754163816620134,0.07545337867126209,0.00020175202740266296
0.1,1,seg1,-0.1747609085674086,0.021483836808267386,0.08591961737413223,0.023241129994914622,0.02497551807131289,9.290066704439881e-05
0.1,2,seg2,-0.3359541229590171,-0.039552748499185525,0.0857211003869471,0.010354008682262824,-0.03226135352002823,-0.00010767655597210268
0.1,3,seg3,-0.5037223006382284,-0.06693445235186667,0.08566108431189891,0.0032197389925997613,-0.055831582902042945,-0.0001694027538752113
0.1,4,seg4,-0.6693326759011314,-0.05064082136174555,0.0858358061463409,-0.007108958915824011,-0.03596714418168332,3.575399097441312e-06
0.1,5,seg5,-0.8277590676083332,-0.009792278500036476,0.08617092670984784,-0.025205182434282342,0.00812771909751531,0.00033698075768159863
0.1,6,seg6,-0.9762544407376489,0.05410939195689782,0.08662131423817641,-0.05377793170428139,0.07496474625956567,0.0007856513123555703
0.12,0,head,-0.047949825709467084,0.0797294704109184,0.08872707342663665,0.04604873152638762,0.0801867437000578,0.0013674921980821736
0.12,1,seg1,-0.18027428217709052,0.02518567285715493,0.0877848597587928,0.028664844099849218,0.02880751546149608,0.001958143051704969
0.12,2,seg2,-0.33786687509862406,-0.039601569484400724,0.08841167481753283,0.012267380949748101,-0.03226464012737033,0.002582897874613632
0.12,3,seg3,-0.5036673926648239,-0.07079345250949311,0.08857200246548694,0.00325668482182652,-0.0596907968255943,0.0027415153997128183
0.12,4,seg4,-0.6668937809341654,-0.05325240072991089,0.08817524431202417,-0.009485011569825673,-0.03863602582783519,0.002343013564780713
0.12,5,seg5,-0.821297466028364,-0.006666642226552686,0.08748489989462821,-0.031739339259286944,0.011098693966656978,0.0016509539424619663
0.12,6,seg6,-0.9649894552827433,0.06311100623686965,0.08653161029209919,-0.06525395118636047,0.08369572179340044,0.0006959473662783433
0.14,0,head,-0.05432420643859202,0.08188780539468436,0.08807883751026442,0.05236994183792012,0.08249616782213653,0.0007192562817099485
0.14,1,seg1,-0.18641486686948255,0.028393296284520055,0.0870413822152301,0.03472735314469539,0.032160366859072906,0.001214665508142268
0.14,2,seg2,-0.3404522660781111,-0.03851530310691187,0.08761295378639465,0.014826188221610989,-0.031117153088424228,0.0017841768434754546
0.14,3,seg3,-0.5024322894291895,-0.07525919313885078,0.08795607957559182,0.0021282091351561847,-0.0641846662046439,0.0021255925098176975
0.14,4,seg4,-0.6639885807140128,-0.05837883891798534,0.0879540094316122,-0.0122673876475805,-0.04383015137280797,0.002121778684368747
0.14,5,seg5,-0.8161052885701547,-0.006164388123432726,0.08774945367875941,-0.03694199904401684,0.011477240004750186,0.0019155077265931714
0.14,6,seg6,-0.956544540712884,0.07022187839102202,0.0873851350012101,-0.0738657017474026,0.09060360404112085,0.0015494720753892605
0.16,0,head,-0.059325576563623215,0.08380012216251724,0.08716529346446154,0.05732438526822943,0.08452696787179968,-0.00019428776409292914
0.16,1,seg1,-0.19100235479383323,0.029942095788615352,0.08541340533813625,0.03927668274563696,0.033817902843604336,-0.00041331136895157716
0.16,2,seg2,-0.3422632680156844,-0.03905128455857062,0.0851177236540301,0.016649432772782947,-0.031609883684830975,-0.0007110532888890964
0.16,3,seg3,-0.5015949482801298,-0.08017081760625724,0.08493669859909694,0.0014079942270974115,-0.0691148270128666,-0.0008937884666771756
0.16,4,seg4,-0.6618949710923366,-0.06381713401554856,0.08504898208718266,-0.014230981274930866,-0.04931673089767656,-0.000783248660060798
0.16,5,seg5,-0.8116265861963626,-0.0056135243627194855,0.08539976598864404,-0.041432542652078956,0.011921361539564607,-0.00043417996352219934
0.16,6,seg6,-0.9482479138507329,0.07851123843941989,0.08588672328012376,-0.08235725279340797,0.09869316942645633,5.1060354302912e-05
