time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.004252265656133763,-0.0015337443600118717,0.09127773124603318,0.004297486813340331,-0.002093389955428626,0.003918150017478708
0.02,1,seg1,-0.15116289024641547,-0.007757497910936613,0.08950163805282405,0.0003456938489352743,-0.004819131255254509,0.003674921345736215
0.02,2,seg2,-0.3269359303451693,-0.006340688847841246,0.08909020196643892,0.0005479744405738047,0.0007266806245807865,0.003261425023519726
0.02,3,seg3,-0.5020087923662682,-0.004434403527060246,0.08869279780365423,1.931126804410144e-05,0.006609985592457304,0.002862310737880111
0.02,4,seg4,-0.6772323904573145,-0.007734868716641926,0.08831010448164098,-0.00023257723639412818,0.007114657515221604,0.0024778737343975205
0.02,5,seg5,-0.8527633352858681,-0.01678633457099213,0.08793731268013798,-4.154880532528199e-05,0.0017307069101871895,0.002103366727971734
0.02,6,seg6,-1.0242639623903351,-0.03370567621778235,0.08766223114857756,-0.0036921443025931754,-0.011682898069035054,0.0018265682227567165
0.04,0,head,-0.013282122825996837,-0.010965729550689376,0.0919130668706335,0.013549253214973073,-0.011307807114500804,0.004553485642079025
0.04,1,seg1,-0.15371684598278168,-0.015060073217532721,0.08992055820637665,0.003072716273519999,-0.012058858094418335,0.0040938414992888195
0.04,2,seg2,-0.3293618606599121,-0.004110427193815472,0.08896680595522205,0.002920140887675686,0.0030140440159672683,0.0031380290123028537
0.04,3,seg3,-0.5023775591313846,0.008534919229365537,0.08806289861280084,7.932371279783439e-05,0.019584411213390964,0.002232411547026719
0.04,4,seg4,-0.676445032006873,0.0063794720436672865,0.08725971948524586,-0.0013556122277730022,0.021206262847262337,0.0014274887380023998
0.04,5,seg5,-0.8510177164240358,-0.014667642062317323,0.08657432596407097,-0.001837094880668228,0.003807256319154708,0.000740380011904726
0.04,6,seg6,-1.0139469547922975,-0.05487704207203724,0.08624280403194354,-0.01350238403072875,-0.03309379656456719,0.0004071411061226937
0.06,0,head,-0.02163534512206774,-0.01980889565804188,0.08628381479275507,0.02211056339572456,-0.01994967482392273,-0.0010757664357994023
0.06,1,seg1,-0.15905554548007378,-0.021485909168634493,0.08531525050497879,0.008562828709960203,-0.018355821284965133,-0.0005114662021090399
0.06,2,seg2,-0.33391868701698696,-0.0029935487610219537,0.08589882743935387,0.007449096660693242,0.004239051561344113,7.00504964346732e-05
0.06,3,seg3,-0.5032754556670055,0.019961856637425435,0.08660921117270129,0.0007050224583217562,0.03102948079797313,0.00077872410692717
0.06,4,seg4,-0.6756317078241676,0.02072781668412227,0.08708556653024468,-0.0025101745287176977,0.035531187839696554,0.0012533357830012276
0.06,5,seg5,-0.848633901654647,-0.009628738814590686,0.08721565839328138,-0.004340152622805817,0.008788001316931698,0.0013817124411151377
0.06,6,seg6,-1.0037199431461865,-0.0677064130747005,0.08722468794449684,-0.023421179906192333,-0.04616292109181999,0.0013890250186759934
0.08,0,head,-0.02567764725739231,-0.02101034186701052,0.08645171346559818,0.026180313222873824,-0.021054580199375457,-0.0009078677629562881
0.08,1,seg1,-0.16228973384084328,-0.02315755559262416,0.08547603917862202,0.011835883679181319,-0.0199500255651065,-0.00035067752846580647
0.08,2,seg2,-0.3363946429291363,-0.0017818804496834361,0.08574157379605132,0.00989551548719769,0.005509300631571435,-8.7203146867873e-05
0.08,3,seg3,-0.5043115814481461,0.029184462209348387,0.08605134104911595,0.0015213709972118291,0.040274132507612324,0.0002208539833418316
0.08,4,seg4,-0.6746818872375967,0.034279979711473396,0.08646596288753204,-0.003782246680229963,0.049056908312416186,0.0006337321402885843
0.08,5,seg5,-0.8448694808686595,-0.0035236027615758335,0.08698936334529363,-0.0082488000576855,0.01480182084421464,0.0011554173931273837
0.08,6,seg6,-0.9919329972561909,-0.07596667938154883,0.08780428685580446,-0.03500820585968569,-0.05470135902953853,0.0019686239299836206
0.1,0,head,-0.028937924095496226,-0.020009561188891526,0.08846464405836647,0.029415849637637336,-0.019976493405780883,0.0011050628298120008
0.1,1,seg1,-0.16588077511799695,-0.024179782095468203,0.08689480177932687,0.015450235303251214,-0.02088650130603349,0.0010680850722390445
0.1,2,seg2,-0.33955255108571497,-0.0031180826002483604,0.0865193264323828,0.01308432880027203,0.00424863026798424,0.0006905494894636072
0.1,3,seg3,-0.5053009716999252,0.031339374020500035,0.08627810988691485,0.0024591974532232365,0.042451979959233985,0.0004476228211407335
0.1,4,seg4,-0.6721737515579558,0.04025390761280948,0.08605801881692056,-0.006431842266541816,0.054969454497032826,0.00022578806967710197
0.1,5,seg5,-0.8404869533716751,-0.0004789234598046295,0.08571857715456933,-0.012702544991191845,0.0177413404268919,-0.00011536879759690977
0.1,6,seg6,-0.9807139879770692,-0.07970113253573012,0.0856711883839262,-0.04613516342742942,-0.05870174961545092,-0.00016447454189463806
0.12,0,head,-0.03258598505887763,-0.015575222756535832,0.0866007386464588,0.032957346969687495,-0.015456592657805268,-0.0007588425820956729
0.12,1,seg1,-0.16971163978418566,-0.023842046284134062,0.08546884003184002,0.019271977387355237,-0.020457692479187377,-0.0003578766752478091
0.12,2,seg2,-0.3434727062259461,-0.0058363188750924925,0.0856295412815324,0.017068063491204315,0.0016244575070180184,-0.0001992356613867985
