time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,0.0,0.125,0.0,0.0,0.0,0.06421095877885818,0.5963164381682873,0.9174215067178011,0.85,0.06742150671780112,0.6286745071411133,0.006122781429439783,0.6303544044494629,-0.11087514460086823,-0.03326254338026047,-0.15559999644756317,-0.003638090565800667,-0.1592380851507187,-0.012144908308982849,-0.0036434726789593697,-0.11589878797531128,-0.0003985048388130963,-0.11629728972911835,-0.027181582525372505,-0.008154475130140781,-0.13577289879322052,-0.0008918957319110632,-0.13666479289531708,0.08031494170427322,0.024094482883810997,-0.1853993982076645,0.002635334152728319,-0.18276406824588776,-0.01727616786956787,-0.005182850640267134,-0.19030916690826416,-0.0005668742815032601,-0.1908760368824005,-0.004135166294872761,-0.0012405499583110213,-0.14313463866710663,-0.00013568515714723617,-0.1432703286409378,0.05308844894170761,0.015926536172628403,0.25,0.0017419648356735706,0.2517419755458832,0.0031575169414281845,0.0009472551173530519,0.25,0.00010360602755099535,0.25010359287261963,-0.03803549334406853,-0.011410648003220558,0.25,-0.001248039654456079,0.2487519532442093,0.0963006243109703,0.02889018878340721,0.21136654913425446,0.003159864339977503,0.21452641487121582,-0.03639575466513634,-0.010918727144598961,0.126093789935112,-0.0011942357523366809,0.12489955127239227
0.04,0.0,0.0,0.125,0.3023659725259355,1.318222506049339,6.926956363576786,0.06740764528512955,0.6011114679276943,0.920778027549386,0.85,0.070778027549386,0.6493300199508667,0.008077071979641914,0.650744616985321,-0.12909522652626038,-0.06201234832406044,-0.161698117852211,-0.0067826006561517715,-0.16848072409629822,0.026533368974924088,0.005409580655395985,-0.11786311119794846,0.000591672898735851,-0.11727143824100494,-0.04143395274877548,-0.01813831925392151,-0.13065578043460846,-0.001983878668397665,-0.13263966143131256,0.010071232914924622,0.01988750882446766,-0.18087954819202423,0.0021751963067799807,-0.17870435118675232,0.010550817474722862,-0.0004627502057701349,-0.19316904246807098,-5.061330375610851e-05,-0.19321966171264648,-0.00704655796289444,-0.0029823523946106434,-0.1490827351808548,-0.00032619480043649673,-0.14940893650054932,-0.020585158839821815,0.0049730269238352776,0.25,0.0005439248052425683,0.2505439221858978,0.006538519635796547,0.0026246346533298492,0.25,0.00028706941520795226,0.2502870559692383,-0.04829155281186104,-0.022474920377135277,0.25,-0.0024581945035606623,0.24754180014133453,-0.01208303403109312,0.01659822091460228,0.24367065727710724,0.0018154303543269634,0.2454860806465149,0.006387190893292427,-0.005726951174438,0.1593354493379593,-0.000626385270152241,0.1587090641260147
0.06,0.0,0.0,0.125,0.32264945236300907,1.2031262060841272,6.51385601406619,0.02491796761751175,0.5373769514262676,0.8761638659983874,0.85,0.02616386599838738,0.6622844934463501,0.009150401689112186,0.6627156734466553,-0.09622607380151749,-0.07227646559476852,-0.16766057908535004,-0.007905238308012486,-0.17556582391262054,0.0010005508083850145,0.0040868716314435005,-0.12066689878702164,0.0004470015992410481,-0.1202198937535286,-0.02312079630792141,-0.019633062183856964,-0.1260935515165329,-0.0021473662927746773,-0.1282409131526947,0.02400878071784973,0.021123889833688736,-0.17579734325408936,0.0023104255087673664,-0.17348691821098328,0.03845597803592682,0.011212868615984917,-0.19519315659999847,0.0012264074757695198,-0.19396674633026123,0.03653226047754288,0.008872032165527344,-0.1551758050918579,0.0009703785181045532,-0.15420542657375336,-0.043498679995536804,-0.00956848543137312,0.25,-0.0010465531377121806,0.2489534467458725,-0.02028941921889782,-0.004249581601470709,0.25,-0.00046479798038490117,0.2495352029800415,-0.01640736684203148,-0.02065465599298477,0.25,-0.0022591031156480312,0.24774089455604553,0.004800518974661827,0.013058910146355629,0.25,0.0014283183263614774,0.2514283061027527,0.026553841307759285,0.003957286477088928,0.19226539134979248,0.0004328282084316015,0.19269822537899017
0.08,0.0,0.0,0.125,0.3929861041793508,1.1675977105783701,6.7281222075226355,0.0618610605597496,0.5927915908396244,0.914954113587737,0.85,0.06495411358773706,0.6741751432418823,0.01074356958270073,0.6764889359474182,-0.12005385756492615,-0.08660968393087387,-0.17335474491119385,-0.009472934529185295,-0.1828276813030243,-0.010467933490872383,-0.00027956999838352203,-0.12424781173467636,-3.057796857319772e-05,-0.12427838891744614,-0.028978755697607994,-0.022436771541833878,-0.12218772619962692,-0.0024540219455957413,-0.12464174628257751,-0.05670735612511635,-0.0022254837676882744,-0.17026583850383759,-0.000243412287090905,-0.1705092489719391,0.01399410329759121,0.012047238647937775,-0.1963365077972412,0.001317666727118194,-0.19501884281635284,0.004977361299097538,0.007703631184995174,-0.16127832233905792,0.000842584646306932,-0.1604357361793518,0.03967345133423805,0.005204096436500549,0.25,0.0005691980477422476,0.2505691945552826,0.00429968535900116,-0.0016848015366122127,0.25,-0.00018427516624797136,0.24981573224067688,-0.019019195809960365,-0.020164016634225845,0.25,-0.0022054393775761127,0.24779455363750458,0.06108258664608002,0.02746601402759552,0.25,0.00300409528426826,0.2530041038990021,-0.06124623492360115,-0.01560377050191164,0.22481924295425415,-0.00170666235499084,0.2231125831604004
0.1,0.0,0.0,0.125,0.5385367402146372,1.1815656220279642,6.980830845521729,-0.006035648286342621,0.49094652757048607,0.8436625692993402,0.85,0.00633743070065973,0.6846520900726318,0.012257033959031105,0.6879439949989319,-0.11257416754961014,-0.09439903497695923,-0.17865394055843353,-0.010324894450604916,-0.18897883594036102,-0.027613386511802673,-0.008479715324938297,-0.12852618098258972,-0.0009274688782170415,-0.129453644156456,-0.06105056405067444,-0.034020908176898956,-0.11902517080307007,-0.003721036948263645,-0.12274620682001114,-0.02655778080224991,-0.009525172412395477,-0.16440807282924652,-0.0010418157326057553,-0.16544988751411438,0.013086453080177307,0.01235900353640318,-0.1965736597776413,0.0013517660554498434,-0.1952219009399414,0.007028545252978802,0.007501105312258005,-0.1672545075416565,0.0008204333717003465,-0.16643407940864563,0.03445599228143692,0.013979665003716946,0.25,0.0015290258452296257,0.2515290379524231,0.013490138575434685,0.0028676807414740324,0.25,0.0003136525920126587,0.2503136396408081,-0.03599121421575546,-0.02491217479109764,0.25,-0.0027247690595686436,0.2472752332687378,0.03352782875299454,0.029284559190273285,0.25,0.0032029985450208187,0.25320300459861755,-0.03321768343448639,-0.020887944847345352,0.25,-0.002284619025886059,0.24771538376808167
0.12,0.0,0.0,0.125,0.6906812866245581,1.1818141014229198,6.781731682456168,0.010727621614933014,0.5160914324223995,0.8612640026956796,0.85,0.01126400269567962,0.6862454414367676,0.011478877626359463,0.687412440776825,-0.0833040177822113,-0.09107053279876709,-0.18344029784202576,-0.00996083952486515,-0.19340114295482635,0.013113715685904026,-0.0020016860216856003,-0.13340680301189423,-0.00021893440862186253,-0.13362573087215424,-0.008746698498725891,-0.026438646018505096,-0.11667624861001968,-0.002891726791858673,-0.11956797540187836,0.0023822810035198927,-0.005952936131507158,-0.15835435688495636,-0.000651102396659553,-0.15900546312332153,0.0014151595532894135,0.009075850248336792,-0.19589929282665253,0.0009926711209118366,-0.19490662217140198,0.05521617457270622,0.021815627813339233,-0.1729714423418045,0.0023860842920839787,-0.17058536410331726,-0.028387462720274925,0.0012695267796516418,0.25,0.00013885449152439833,0.2501388490200043,-0.04342152178287506,-0.011019080877304077,0.25,-0.0012052119709551334,0.2487947940826416,-0.05371531844139099,-0.0335531160235405,0.25,-0.00366987194865942,0.246330127120018,-0.026459570974111557,0.012561318464577198,0.25,0.0013738941634073853,0.25137388706207275,0.03489958494901657,-0.0041516851633787155,0.25,-0.000454090564744547,0.2495459020137787
0.14,0.0,0.0,0.125,0.7820588394614516,1.1631231816266645,6.47065333176483,0.08030880987644196,0.6204632148146629,0.934324250370264,0.85,0.08432425037026403,0.6877195239067078,0.01182813011109829,0.6862257122993469,-0.05765041708946228,-0.08104449510574341,-0.1876073181629181,-0.008864241652190685,-0.19647155702114105,0.00935838557779789,0.0014063355047255754,-0.13878114521503448,0.00015381794946733862,-0.1386273205280304,0.02538205310702324,-0.010892435908317566,-0.11519322544336319,-0.0011913601774722338,-0.1163845881819725,-0.022474154829978943,-0.010909302160143852,-0.1522393822669983,-0.0011932048946619034,-0.15343259274959564,-0.009697254747152328,0.0034439186565577984,-0.19432847201824188,0.0003766785957850516,-0.1939518004655838,0.06525256484746933,0.0348467081785202,-0.17830193042755127,0.003811358707025647,-0.1744905710220337,-0.08450830727815628,-0.024463824927806854,0.25,-0.002675730735063553,0.24732427299022675,-0.09983133524656296,-0.03766275942325592,0.25,-0.00411936454474926,0.2458806335926056,-0.046640656888484955,-0.037479378283023834,0.25,-0.004099307116121054,0.2459006905555725,-0.029703333973884583,-0.00011807773262262344,0.25,-1.2914752005599439e-05,0.24998708069324493,0.061241667717695236,0.015466321259737015,0.25,0.001691628945991397,0.25169163942337036
0.16,0.0,0.0,0.125,0.7543169942544363,1.065665237831252,5.790158957955553,0.028866101056337357,0.543299151584506,0.8803094061091542,0.85,0.030309406109154224,0.6890303492546082,0.01325260940939188,0.6887732744216919,-0.10893610119819641,-0.08941197395324707,-0.1910623162984848,-0.009779434651136398,-0.2008417546749115,-0.027000587433576584,-0.0071157412603497505,-0.14452962577342987,-0.0007782842149026692,-0.14530791342258453,-0.005170082673430443,-0.009175729937851429,-0.11460906267166138,-0.0010035954182967544,-0.11561265587806702,0.04428354650735855,0.005648552905768156,-0.14619916677474976,0.0006178104667924345,-0.14558134973049164,-0.03507812321186066,-0.008112695068120956,-0.19189608097076416,-0.0008873260230757296,-0.1927834004163742,0.014898276887834072,0.028862178325653076,-0.18312738835811615,0.003156800754368305,-0.17997059226036072,-0.06404402107000351,-0.03633788228034973,0.25,-0.003974455874413252,0.24602554738521576,-0.057894088327884674,-0.043732158839702606,0.25,-0.004783204756677151,0.24521680176258087,-0.022455908358097076,-0.03297233581542969,0.25,-0.003606349229812622,0.24639365077018738,0.11543860286474228,0.03454893082380295,0.25,0.0037787891924381256,0.2537787854671478,-0.0015193792060017586,0.01037061121314764,0.25,0.001134285586886108,0.2511342763900757
0.18,0.0,0.0,0.125,0.6726694629925042,0.9387973360233076,5.086601616507455,0.0808623805642128,0.6212935708463192,0.9349054995924234,0.85,0.08490549959242344,0.6901373863220215,0.01386302150785923,0.692837655544281,-0.07395891845226288,-0.08477605879306793,-0.19372843205928802,-0.009272381663322449,-0.20300081372261047,-0.041446082293987274,-0.017414843663573265,-0.15052439272403717,-0.0019047484965994954,-0.15242914855480194,0.010158449411392212,-0.0033754759933799505,-0.11493678390979767,-0.0003691926831379533,-0.11530597507953644,-0.0008854561019688845,0.0036883498542010784,-0.14036807417869568,0.00040341325802728534,-0.13996465504169464,-0.06880974769592285,-0.026321811601519585,-0.1886562705039978,-0.002878948114812374,-0.19153521955013275,0.03813188523054123,0.0316430926322937,-0.18734049797058105,0.0034609632566571236,-0.1838795393705368,-0.012548869475722313,-0.02920117788016796,0.25,-0.0031938788015395403,0.24680611491203308,-0.019945641979575157,-0.036596205085515976,0.25,-0.004002709873020649,0.24599729478359222,0.02458706498146057,-0.01570451445877552,0.25,-0.001717681298032403,0.2482823133468628,0.13907691836357117,0.06590732932090759,0.25,0.007208614144474268,0.25720861554145813,0.004317648243159056,0.008554722182452679,0.25,0.0009356727241538465,0.2509356737136841
0.2,0.0,0.0,0.125,0.6028815308786301,0.8318808504604908,4.527091652573799,0.09042667597532272,0.6356400139629841,0.9449480097740888,0.85,0.09494800977408879,0.691005527973175,0.014075853861868382,0.69501793384552,-0.07781857997179031,-0.0826888158917427,-0.19554634392261505,-0.00904408935457468,-0.20459043979644775,-0.03156207501888275,-0.021659012883901596,-0.15663205087184906,-0.002368954475969076,-0.15900100767612457,-0.006766946986317635,-0.004392917267978191,-0.11616907268762589,-0.00048047531163319945,-0.11664954572916031,-0.008830759674310684,-6.738328374922276e-05,-0.1348758190870285,-7.370046660071239e-06,-0.13488319516181946,-0.06910419464111328,-0.03915652632713318,-0.18468110263347626,-0.004282745067030191,-0.1889638453722,0.04077189043164253,0.03438173234462738,-0.1908475160598755,0.0037605019751936197,-0.1870870143175125,0.01695997081696987,-0.015352833084762096,0.25,-0.0016792161623016,0.2483207881450653,-0.036698415875434875,-0.036626867949962616,0.25,-0.004006063565611839,0.2459939420223236,0.016045723110437393,-0.006179443094879389,0.25,-0.0006758765666745603,0.24932412803173065,0.0794249027967453,0.06996260583400726,0.25,0.007652159780263901,0.2576521635055542,-0.00908747874200344,0.0032620616257190704,0.25,0.00035678799031302333,0.2503567934036255
