time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0014694884600999734,-0.010115077435054421,0.08878146040162875,0.0017197202559120128,-0.010738518401144054,0.001421879173074278
0.02,1,seg1,-0.1510305655921593,-0.00436509431516726,0.08720251691182625,0.00013267269918563346,-0.0014308375902392179,0.0013758002047384171
0.02,2,seg2,-0.3265721452734642,-0.0019982395621584207,0.08713730333721575,8.09488063795329e-05,0.005059242503415153,0.001308526394296558
0.02,3,seg3,-0.5020965942742387,-0.004029650466427837,0.08708886167074159,9.745580992666723e-05,0.007016713567532205,0.0012583746049674716
0.02,4,seg4,-0.6773869286585759,-0.00896534819322765,0.08705429591996977,-4.8799290396045926e-05,0.0058882043100433904,0.0012220651727263138
0.02,5,seg5,-0.8521426712293504,-0.018086697016175157,0.08704154789921101,-0.0006310904547850585,0.0004159419108673502,0.0012076019470447646
0.02,6,seg6,-1.0259572490130424,-0.03477170652954465,0.08706286258068419,-0.001973967381257009,-0.012708328846229988,0.0012271996548633424
0.04,0,head,-0.006771585085814665,-0.036495403104669956,0.08801542711859764,0.0076481262639030954,-0.036985190823641864,0.0006558458900431663
0.04,1,seg1,-0.1525440890646458,-0.01048818399832394,0.08648231522482035,0.0017914875961781934,-0.007516173546975283,0.0006555985177325169
0.04,2,seg2,-0.3268622042573153,0.007826410572646877,0.08648453866094641,0.0001371141196264131,0.014888013023811602,0.0006557617180272118
0.04,3,seg3,-0.5023429683146305,0.011151967401302976,0.08655908902055016,-1.753901683065813e-05,0.022199894967959176,0.0007286019547760453
0.04,4,seg4,-0.6770567728364907,0.0024974336076315404,0.08670328614109188,-0.0006516581306092772,0.017339882383531013,0.0008710553938484217
0.04,5,seg5,-0.8500382086613649,-0.019850315911946446,0.08692214245602568,-0.0026929855802044385,-0.001397260449883962,0.0010881965038594399
0.04,6,seg6,-1.0184747774371983,-0.0609764251298948,0.08724701747957594,-0.008830687862657146,-0.03908369693933098,0.0014113545537551009
0.06,0,head,-0.013502135532345255,-0.05945480868684973,0.08882810104364217,0.014923168899631549,-0.059777917045687703,0.0014685198150876932
0.06,1,seg1,-0.15485816714264708,-0.015482640383739815,0.08769129071389885,0.004223770631229246,-0.012454143896523768,0.0018645740068110178
0.06,2,seg2,-0.3270056554077168,0.017600646490608763,0.08790528924161632,4.791290279949503e-05,0.024662894565547495,0.002076512298697125
0.06,3,seg3,-0.5021899770940486,0.026194302637435437,0.08788051139011574,-0.0005284712831592304,0.03723432890767206,0.0020500243243416205
0.06,4,seg4,-0.6771620882354139,0.013357194164736571,0.08764651323956957,-0.0008048181100105966,0.028199073546366308,0.0018142824923261108
0.06,5,seg5,-0.8474237892337063,-0.022858835815605598,0.08720937035625781,-0.005235066409774243,-0.004467147420110565,0.0013754244040915659
0.06,6,seg6,-1.0073837348022239,-0.08802498824340949,0.08651425124913621,-0.019274875173413704,-0.0663885489743059,0.0006785883233153683
0.08,0,head,-0.023314798346757218,-0.08029470200372664,0.09174553162110777,0.025229009854079013,-0.0803783817775046,0.004385950392553295
0.08,1,seg1,-0.15915247383774755,-0.016313880315646234,0.08915385497537083,0.008536643306186443,-0.013182950526173116,0.0033271382682830003
0.08,2,seg2,-0.32712124169112056,0.03250374365746235,0.08824672474087851,-0.0001912042757114358,0.03956452160179271,0.0024179477979593134
0.08,3,seg3,-0.5020016866453852,0.046599039109574344,0.08781754689654321,-0.0012023096581376693,0.05762880525869275,0.0019870598307690918
0.08,4,seg4,-0.6769082143550179,0.0293793131795265,0.08782544426574579,-0.0014399218064745625,0.044210612915343686,0.001993213518502332
0.08,5,seg5,-0.8451632321815578,-0.02156366820512849,0.08831160722330339,-0.00752580621053667,-0.003226144402489104,0.0024776612711371465
0.08,6,seg6,-0.9940696878567357,-0.11067730425538454,0.08939071510306637,-0.032046061087717244,-0.08935130310154962,0.003555052177245527
0.1,0,head,-0.04121003736025126,-0.10391391185564441,0.09258641089176313,0.04368128127902403,-0.1035650230301869,0.005226829663208657
0.1,1,seg1,-0.16702253585752597,-0.020874419400262044,0.08923667029331585,0.016513010135598725,-0.017554902622382757,0.003409953586228018
0.1,2,seg2,-0.3280906855709515,0.04305538715175001,0.08777831219909753,0.0005268521951802737,0.05013624789275711,0.0019495352561783308
0.1,3,seg3,-0.502038826112622,0.06229948251115948,0.08719723909857523,-0.0015388270453509543,0.07332568578933121,0.001366752032801108
0.1,4,seg4,-0.675863125560654,0.040682625502507244,0.08744888089985603,-0.0027537160055830473,0.05548585237443788,0.0016166501526125726
0.1,5,seg5,-0.8379671827136161,-0.024150160361372554,0.08859499287465288,-0.01465826306473803,-0.0059831588815288375,0.002761046922486632
0.1,6,seg6,-0.9718611503258712,-0.13548091734293996,0.09071141227934748,-0.05365802090694864,-0.11467642016346102,0.004875749353526637
0.12,0,head,-0.0649962485714155,-0.1279941114589709,0.0922110460641907,0.06803382728517876,-0.1270723274193272,0.004851464835636227
0.12,1,seg1,-0.17654560933441993,-0.03295283076196651,0.08934345950627247,0.026320834014705863,-0.02940325863530707,0.0035167427991846384
0.12,2,seg2,-0.33052797898341957,0.04574244436786437,0.0881734051202551,0.0028995074919219957,0.052880547895238425,0.0023446281773358973
0.12,3,seg3,-0.5020204912403152,0.07103059300081395,0.08779071832261957,-0.0017649436870736499,0.08205388708249535,0.0019602312568454544
0.12,4,seg4,-0.6736656570301508,0.044214208951068805,0.08817514277535715,-0.005034608400217746,0.05896413923434873,0.0023429120281136945
0.12,5,seg5,-0.8273661695263643,-0.034528975496364044,0.08933853523084893,-0.02500927400510549,-0.01661132225568396,0.0035045892786826904
0.12,6,seg6,-0.9428110449733246,-0.16000162442463867,0.09122607621269156,-0.08211634358196934,-0.13988153010660223,0.005390413286870718
0.14,0,head,-0.08744028238788822,-0.14875614133809706,0.08785020284654509,0.09096560871145982,-0.14729434361935526,0.0004906216179906137
0.14,1,seg1,-0.18834476705574738,-0.04384047248016428,0.08602500533596134,0.03837575901700454,-0.04000701496424676,0.00019828862887351362
0.14,2,seg2,-0.33360695366307835,0.046118971336642736,0.08574830184771758,0.005968649372660831,0.05333024307102691,-8.047509520162088e-05
0.14,3,seg3,-0.5022465479935797,0.07685563519212746,0.08571012377793391,-0.0016775779776532077,0.08788265928759682,-0.00012036328784020833
