cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0677374628976161,0.03462209952169999,0.008931328653387194,6.0,-21722.329576481476,False,0.125,0.07607268665622646,0.0322625371023839,0.10962209952169999,0.1142710637205596,0.008931328653387194,0.0334167106050729,0.06834015735592966,True,True,0.4813496099,0.0800641639,0.4549982112,0.4733565855,0.1143773771,0.4357117303,-0.0177622763,0.0762515847,-0.0428588465,0.7996130111,0.0555249841,0.8095105886,0.0946359077,0.0127657933,0.1017633006,0.7801512104,0.0640835351,0.7905303836,0.5,0.0,0.5,0.0723289654,0.0390720892,0.0450017888,8.5299461836,1.7388428495,9.0,1.7750707979,1.2865631247,3.0,1.0,0.0,1.0,1.6311483341,1.3253726948,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06791694363504054,-0.004137867122818876,-0.04031900989232081,6.0,-20771.54210613025,False,0.10680004681646915,0.06804287748950201,0.032083056364959464,0.03336213287718112,0.0462855745976201,0.04031900989232081,0.06504551812180027,0.019972825271301262,True,True,0.4857053424,0.0842948172,0.4679364082,0.4795790605,0.1204211675,0.4541948689,-0.0136139597,0.0802807783,-0.0305367541,0.7965227962,0.059381837,0.8274740577,0.0865125,0.0145923011,0.0763740763,0.7776492325,0.0663499448,0.8109267354,0.5,0.0,0.5,0.0746990445,0.0415933432,0.0320635918,8.5265850626,1.5688777119,9.0,1.6733674762,1.2603806392,2.0296478961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0652021243655382,0.04557097535161664,0.01608067041710215,6.0,-15484.8796622281,False,0.1,0.07954892089951164,0.03479787563446181,0.04557097535161664,0.05733764856679355,0.01608067041710215,0.0652021243655382,0.04557097535161664,True,True,0.4910668942,0.0873318436,0.4693711235,0.4872384203,0.1247597766,0.4562444622,-0.0085077198,0.0831731844,-0.0291703586,0.7920828619,0.0633739599,0.8294682503,0.0476335873,0.0086189309,0.0385332927,0.7829892552,0.0645689992,0.8168114424,0.5,0.0,0.5,0.0776086292,0.0410311097,0.0306288765,8.6230456234,1.4167225602,9.0,0.7770443055,0.8019148927,0.928701718,0.0,0.0,0.0,0.0,0.0,0.0,0.0133629247,0.0081180865,0.0208483365,0.0133629247,0.0081180865,0.0208483365,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06910467938063754,0.02470890381910136,-0.00849278724325823,6.0,-20928.733478105667,False,0.10680004681646915,0.07338928150787628,0.030895320619362468,-0.012791096180898638,0.03343849544585108,0.00849278724325823,0.07338060295748426,0.0011286052624200171,True,True,0.4996533073,0.0833123011,0.4717536476,0.4995047248,0.119017573,0.4596480681,-0.0003301835,0.0793450486,-0.026901288,0.7934959674,0.0650058173,0.8327807784,0.08989301,0.0178883978,0.0631638914,0.783606567,0.0647463096,0.8150019646,0.5,0.0,0.5,0.0733428692,0.0395206685,0.0282463524,8.5386345248,1.4955798833,9.0,1.6522245779,1.0808352092,0.9284439282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06898987321861538,0.001571806861144885,-0.034797705211424036,6.0,-22438.01562363746,False,0.125,0.06900777625405247,0.031010126781384623,-0.07342819313885511,0.07970776317671044,0.034797705211424036,0.05613498269157924,0.04013647844225332,True,True,0.5032469023,0.0781977804,0.4687344906,0.5046384319,0.1117111149,0.4553349866,0.0030922879,0.0744740766,-0.0297766756,0.7974225664,0.0628621196,0.8285833001,0.1036102494,0.0181191351,0.0798487142,0.7928588953,0.0599124901,0.8156697154,0.5,0.0,0.5,0.0684429602,0.0379604588,0.0312655094,8.5860167677,1.4402431945,9.0,1.7018396044,1.1584181107,0.5515573229,1.0,0.0,1.0,1.5167770208,1.2084104693,0.3015573229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03265938919517738,-0.11396941924233732,-0.024526217362668728,6.0,-30741.785313024837,False,0.09013878188659974,0.11855658659491558,0.017340610804822625,-0.03896941924233732,0.042653398682512764,0.024526217362668728,0.11294445842126088,0.036044604824658384,True,True,0.0058032515,0.0145169348,0.0,0.4106886158,0.089857146,0.4755512429,-0.0595409228,0.059904764,-0.0162991714,1.2707799137,0.1747256974,1.3118803501,0.1123377208,0.0202638743,0.10604541,1.2831552402,0.1779503743,1.3438239098,0.28,0.0,0.28,0.2741967485,0.0145169348,0.28,9.0,0.0,9.0,2.3884048979,1.084696763,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03679552863395385,0.019902100507722734,0.018897126651888845,6.0,-16857.915067989765,False,0.0625,0.041833055495285244,0.013204471366046154,0.057402100507722736,0.05890126659720855,0.018897126651888845,0.01749516260252944,0.037998997586550495,True,True,0.5238677535,0.068891081,0.4920412509,0.5340967907,0.09841583,0.4886303584,0.0227311938,0.0656105533,-0.0075797611,0.4763085479,0.0424667671,0.5166196227,0.0469701727,0.0059072943,0.0507252924,0.4773257742,0.0433089126,0.5136401057,0.5,0.0,0.5,0.0639690737,0.034980113,0.0079587491,7.8022864089,2.4979783106,9.0,1.3944216726,1.3124644682,1.9857972863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03495986068184991,0.01859856777526975,0.01485016947309692,6.0,-11981.095872718433,False,0.05,0.03959922451495304,0.01504013931815009,0.01859856777526975,0.02391887359389373,0.01485016947309692,0.03495986068184991,0.01859856777526975,True,True,0.4539051791,0.064013423,0.4315299789,0.541293113,0.0914477472,0.5093285413,0.027528742,0.0609651648,0.0062190276,0.488430066,0.0254003705,0.4662142098,0.0251717015,0.003121591,0.0224552155,0.4891557297,0.0274390884,0.4643019438,0.425,0.0,0.425,0.0591842032,0.0378213934,0.0065299789,7.8219684248,2.3968331697,9.0,0.3215586611,0.4400300177,0.2695181932,0.0,0.0,0.0,0.0,0.0,0.0,0.0013859146,0.0022397903,0.0045337855,0.0013859146,0.0022397903,0.0045337855,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.036009766459276955,0.02737404701949128,0.02729336627705603,6.0,-17436.417744938695,False,0.0625,0.045233192797734134,0.013990233540723047,-0.01012595298050872,0.01727025067239748,0.02729336627705603,0.04523224137911633,0.00029337774002684974,True,True,0.5388622379,0.0684489553,0.5100278516,0.5555174827,0.0977842219,0.5143255023,0.0370116552,0.0651894813,0.0095503349,0.4724424328,0.0481863126,0.5143744349,0.0518071025,0.0090738485,0.0407456197,0.4781377017,0.0417424383,0.5138093233,0.5,0.0,0.5,0.0654854014,0.0436714463,0.0100278516,7.913747224,2.3876011779,9.0,1.3769416249,1.1216978868,0.487070004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.013400390791719811,0.06400111396493076,0.13264932988426992,6.0,-20430.50677942013,False,0.09013878188659974,0.06538893684808512,0.03659960920828019,-0.010998886035069239,0.03821657870887017,0.13264932988426992,0.06068534511413225,0.024351631372487744,True,False,0.0300650895,0.0461993044,0.0,0.455895994,0.1416398699,0.4742230214,-0.0294026707,0.0944265799,-0.0171846524,0.921458112,0.1161030183,0.8790714741,0.1161916141,0.0121907315,0.0996428952,0.9480500225,0.1084320882,0.8645856977,0.28,0.0,0.28,0.2499349105,0.0461993044,0.28,8.5216579344,1.4976163821,9.0,2.109519143,1.1254030173,1.3239841993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
