cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06045426944436164,0.01096255249479323,-0.03710951648057407,6.0,-22792.991304047573,False,0.125,0.061440184336088825,0.03954573055563836,0.08596255249479323,0.09462254084835829,0.03710951648057407,0.04178588405861337,0.04504260366245157,True,True,0.4840786803,0.0697915955,0.5132862179,0.4772552575,0.0997022792,0.5189803112,-0.0151631616,0.0664681862,0.0126535408,0.8117096092,0.0564654465,0.8524775505,0.0764726565,0.0127764781,0.0724906996,0.7956667215,0.0777162635,0.7369594574,0.5,0.0,0.5,0.0593756177,0.0399861382,0.0132862179,8.692914858,1.2706868083,9.0,1.8848374284,1.2187667196,3.0,1.0,0.0,1.0,1.7435873876,1.2635614234,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.04249134589529238,-0.05067927103885194,-0.12369772938720776,6.0,-21559.6343778673,False,0.10680004681646915,0.06613548963319768,0.057508654104707624,-0.013179271038851942,0.05899947865914093,0.12369772938720776,0.05758056702029351,0.03253277256312909,True,False,0.4885197602,0.0710426878,0.4365651891,0.4835996574,0.101489554,0.4093788415,-0.0109335617,0.0676597027,-0.0604141057,0.808935535,0.055654986,0.7839828134,0.0704428126,0.0151127825,0.0430506803,0.7964761251,0.0739460751,0.8418388367,0.5,0.0,0.5,0.059933929,0.0398344518,0.0634348109,8.600749945,1.4734068386,9.0,1.9952956146,1.0839672691,2.4550214212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05641623875930837,-0.01844476737816747,-0.07574828976715516,6.0,-15101.7290556963,False,0.1,0.05935487713222898,0.04358376124069164,-0.01844476737816747,0.047326036042756904,0.07574828976715516,0.05641623875930837,0.01844476737816747,True,False,0.4889217284,0.071879448,0.4729939137,0.4841738978,0.1026849257,0.4614198767,-0.0105507348,0.0684566171,-0.0257200822,0.8109564829,0.0589261043,0.834505558,0.040424647,0.0079395719,0.037071202,0.8016983968,0.0764068984,0.8496263027,0.5,0.0,0.5,0.0585040727,0.0432048218,0.0270060863,8.627285314,1.4294007506,9.0,0.6117207016,0.6985230219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109310345,0.0090888017,0.0245965991,0.0109310345,0.0090888017,0.0245965991,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06269725948930667,0.00040736691572722104,-0.06483144349565044,6.0,-20390.581927011226,False,0.10680004681646915,0.06269858288090317,0.037302740510693336,-0.037092633084272776,0.05260568295091899,0.06483144349565044,0.05884830948689487,0.021633048000874098,True,False,0.4920966621,0.0705000937,0.5950602949,0.4887095172,0.1007144196,0.6358004212,-0.0075269885,0.0671429464,0.0905336142,0.8092645137,0.0607039734,0.7337319851,0.0713177433,0.0156308898,0.0707850829,0.8008425921,0.0762908842,0.7547454834,0.5,0.0,0.5,0.057899227,0.0409927491,0.0950602949,8.5445152448,1.5622531702,9.0,1.5119639786,1.2113106354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06176261096982381,0.014659898286271221,-0.03314012991782193,6.0,-21714.299779668967,False,0.125,0.0634786005798302,0.0382373890301762,-0.06034010171372878,0.07143546594422251,0.03314012991782193,0.058206027747621784,0.0253296479528773,True,True,0.4943626632,0.066695021,0.4442233171,0.4919466617,0.0952786015,0.4203190245,-0.0053688922,0.0635190677,-0.0531206504,0.8126454637,0.0561894805,0.7945788503,0.0809919081,0.0170375644,0.0645618215,0.8033370733,0.0720440869,0.7452691793,0.5,0.0,0.5,0.0551238632,0.0379653145,0.0557766829,8.5045388374,1.7276175823,9.0,1.6261233958,1.1617239195,0.0102711331,1.0,0.0,1.0,1.4521929671,1.2100555049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03788999188030752,-0.061035305844044346,0.03537327934526946,6.0,-30243.782960289827,False,0.09013878188659974,0.0718398221334505,0.012110008119692484,0.013964694155955651,0.018484181873385682,0.03537327934526946,0.07180203012351632,0.002329917231889898,True,True,0.0087649512,0.0209529161,0.0,0.4285274894,0.089009006,0.4882331826,-0.0476483404,0.0593393374,-0.0078445449,1.2707799137,0.1747256974,1.3118803501,0.0954822156,0.0176621376,0.0841618925,1.2745091101,0.1947001452,1.3000113964,0.28,0.0,0.28,0.2712350488,0.0209529161,0.28,8.974125974,0.4474037332,9.0,2.2698837835,1.1213383027,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03329768301069838,0.014803841943646178,0.00010769974113652066,6.0,-16499.80482765842,False,0.0625,0.03644021720809866,0.01670231698930162,0.05230384194364618,0.05490591293182397,0.00010769974113652066,0.017755841242371,0.03182168336133597,True,True,0.5076267998,0.0618565442,0.5676195644,0.5108954283,0.0883664917,0.5965993777,0.0072636188,0.0589109945,0.0643995851,0.4871270176,0.0347532319,0.4638548791,0.0388882778,0.008159498,0.0670392364,0.485772259,0.0458164808,0.4720999002,0.5,0.0,0.5,0.0511033481,0.0356769946,0.0676195644,8.040038913,2.2733362682,9.0,1.4927622938,1.2670590415,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029887046842504473,0.012837957195071853,-0.0067971681014601755,6.0,-11806.491463307375,False,0.05,0.03252766075063735,0.02011295315749553,0.012837957195071853,0.023860931030831686,0.0067971681014601755,0.029887046842504473,0.012837957195071853,True,True,0.4351833407,0.0614295506,0.4384013975,0.5145476296,0.0877565008,0.5191448536,0.0096984197,0.0585043339,0.0127632357,0.4876125949,0.0337655843,0.4719132781,0.0204373759,0.0042692141,0.0161266606,0.4864284005,0.0445548061,0.3860662282,0.425,0.0,0.425,0.0508965557,0.035872423,0.0134013975,8.1641781779,2.1205700768,9.0,0.342428112,0.4124732446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035066212,0.0057772782,0.0034255073,0.0035066212,0.0057772782,0.0034255073,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.031871729769156185,0.01687823068684594,-0.0007742261509152323,6.0,-17006.323330670475,False,0.0625,0.03606496679045337,0.018128270230843818,-0.02062176931315406,0.027457085627710758,0.0007742261509152323,0.03562432222743251,0.005620453312016959,True,True,0.5188355457,0.0617651051,0.4167573258,0.5269079224,0.0882358644,0.381081894,0.017938615,0.0588239096,-0.0792787373,0.4832021778,0.0361583093,0.4539863765,0.0393966111,0.0088315095,0.0432947949,0.4835098647,0.0453798585,0.4413720369,0.5,0.0,0.5,0.053093264,0.036753385,0.0832426742,8.1099542905,2.1860127681,9.0,1.327222893,1.1155007859,0.0980174939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.033574529009092365,0.010009290511126985,0.033877321637183044,6.0,-17684.51427491673,False,0.09013878188659974,0.035034766942546106,0.016425470990907638,-0.064990709488873,0.06703423317335878,0.033877321637183044,0.026952030945409374,0.02238354133367231,True,True,0.0240913948,0.0388442484,0.0,0.4682410477,0.1175088687,0.3619969934,-0.0211726349,0.0783392458,-0.0920020044,0.921458112,0.1161030183,0.8790714741,0.083615523,0.015932674,0.0666045845,0.9323792885,0.1257132957,0.8949634433,0.28,0.0,0.28,0.2559086052,0.0388442484,0.28,8.6007868634,1.343827006,9.0,1.9498580381,1.187057098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
