cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06736812138991505,0.009087517373363269,-0.011560349838873515,6.0,-21211.812759377815,False,0.125,0.0679782814700218,0.03263187861008496,0.08408751737336327,0.09019728421432094,0.011560349838873515,0.04844198668791408,0.04769088673263964,True,True,0.4802605571,0.0795120845,0.4652706699,0.4718007959,0.1135886922,0.4503866713,-0.0187994694,0.0757257948,-0.0330755524,0.8009355813,0.0556414114,0.8237699866,0.0933384173,0.0134198889,0.0981656089,0.7814321735,0.0652075181,0.8039650321,0.5,0.0,0.5,0.0715203916,0.0399581128,0.0347293301,8.5230023862,1.640041717,9.0,1.7372628867,1.2679205527,3.0,1.0,0.0,1.0,1.588310087,1.3163342483,2.9556012269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06974443390068492,0.03022400228681163,0.0005454968274418714,6.0,-20582.964878665716,False,0.10680004681646915,0.07601168577501885,0.03025556609931508,0.06772400228681164,0.07417506161597773,0.0005454968274418714,0.05469139273272618,0.052788520866897844,True,True,0.4880807242,0.0850040588,0.4533310518,0.4829724632,0.1214343698,0.433330074,-0.0113516912,0.0809562465,-0.0444466174,0.7934299082,0.0608554473,0.8071985245,0.0865994715,0.0137016593,0.0784695074,0.7752855142,0.0675473293,0.7806847095,0.5,0.0,0.5,0.0762676477,0.0393828017,0.0466689482,8.4151835123,1.7915487434,9.0,1.6622818748,1.2836313854,2.1842351946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0666297962928157,0.03824225767643602,0.01889494316696368,6.0,-15406.660312773518,False,0.1,0.07682447543727874,0.03337020370718431,0.03824225767643602,0.05075471177782322,0.01889494316696368,0.0666297962928157,0.03824225767643602,True,True,0.4900575633,0.0882129896,0.4796181748,0.4857965189,0.1260185566,0.4708831068,-0.0094689874,0.084012371,-0.0194112621,0.7908073533,0.0625440523,0.8437231183,0.0476488653,0.0090276791,0.0389772356,0.7813798594,0.0639126384,0.8310220242,0.5,0.0,0.5,0.0790948283,0.0403037432,0.0203818252,8.5249951656,1.5260913305,9.0,0.6549515057,0.7212839433,1.0648180315,0.0,0.0,0.0,0.0,0.0,0.0,0.0136933357,0.0085719642,0.020108113,0.0136933357,0.0085719642,0.020108113,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06448937274544841,-0.003564388877909261,-0.04499238811855447,6.0,-21008.149925390677,False,0.10680004681646915,0.06458780121024672,0.03551062725455159,-0.04106438887790926,0.054288937012321944,0.04499238811855447,0.059131740854718375,0.0259811718108475,True,True,0.49787732,0.0820152467,0.473302242,0.4969676,0.1171646381,0.4618603457,-0.0020216,0.0781097587,-0.0254264362,0.7957823829,0.0633890193,0.8349344134,0.0884188779,0.0183808864,0.0694194287,0.7861402386,0.0637109325,0.8174197078,0.5,0.0,0.5,0.0716702862,0.0399296448,0.026697758,8.6259809828,1.3710102571,9.0,1.6063943732,1.1623917066,0.1703796578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06670781947300204,0.042367051374125685,0.004999909491722798,6.0,-22848.177173005177,False,0.125,0.07902468108749593,0.033292180526997964,-0.03263294862587431,0.04661843648451945,0.004999909491722798,0.07878648640287704,0.006131050584500669,True,True,0.5049059961,0.0776763701,0.4752817625,0.5070085658,0.1109662429,0.4646882322,0.0046723772,0.0739774953,-0.0235411786,0.7974977187,0.0639511285,0.8376880884,0.1020179431,0.0177125068,0.0813074484,0.7934991656,0.0606392534,0.8310456276,0.5,0.0,0.5,0.0675008934,0.0387468277,0.0247182375,8.5928720567,1.3617440198,9.0,1.8148088366,1.085665966,1.0212037599,1.0,0.0,1.0,1.6064122109,1.1315803674,0.7712037599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.045322960911729764,-0.09528819426409858,-0.002242594683899165,6.0,-30438.596740982553,False,0.09013878188659974,0.10551782196349001,0.004677039088270239,-0.020288194264098586,0.020820315106429357,0.002242594683899165,0.10442522539560974,0.015145397089375909,True,True,0.0063966129,0.0155081817,0.0,0.406082599,0.0960673331,0.3652163707,-0.0626116007,0.0640448887,-0.0898557529,1.2707799137,0.1747256974,1.3118803501,0.112246768,0.0210445376,0.1124033183,1.2831362279,0.1782974749,1.3416726589,0.28,0.0,0.28,0.2736033871,0.0155081817,0.28,9.0,0.0,9.0,2.400656188,1.056188476,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03351395725133296,0.03451475558966359,0.03589377222117237,6.0,-17191.121728331378,False,0.0625,0.04810876930517333,0.016486042748667044,0.07201475558966358,0.07387770047957543,0.03589377222117237,0.006102312447268214,0.04772017882253065,True,True,0.5241531646,0.0688690447,0.4951068914,0.5345045209,0.0983843495,0.4930098448,0.0230030139,0.0655895663,-0.0046601035,0.4762883569,0.0424078873,0.5191851854,0.0465218913,0.0055938769,0.051650323,0.4776142003,0.0429221461,0.5169103146,0.5,0.0,0.5,0.06397557,0.0351204659,0.0048931086,7.8771401286,2.3593418524,9.0,1.4124274319,1.3106045231,2.1359591359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03628165185913882,0.011614863489676268,0.0024573481378532915,6.0,-11696.24949203913,False,0.05,0.038095450063118645,0.013718348140861182,0.011614863489676268,0.017974930586727843,0.0024573481378532915,0.03628165185913882,0.011614863489676268,True,True,0.4547198361,0.0643354715,0.4300195565,0.5424569087,0.0919078164,0.507170795,0.0283046058,0.0612718776,0.00478053,0.4880634758,0.0253831845,0.4649624228,0.0253617261,0.003569932,0.0224984009,0.4889825182,0.0274364229,0.462955147,0.425,0.0,0.425,0.0596572804,0.0382535024,0.0050195565,7.8384294059,2.4315438062,9.0,0.2928289961,0.4006641952,0.1961701415,0.0,0.0,0.0,0.0,0.0,0.0,0.0012130221,0.0020133002,0.0047677958,0.0012130221,0.0020133002,0.0047677958,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03753617912577399,0.027513042700569913,0.025641682190133224,6.0,-17524.843802960917,False,0.0625,0.04653957737244264,0.012463820874226011,-0.009986957299430086,0.015971416558509515,0.025641682190133224,0.04653676892096114,0.0005112733150084662,True,True,0.5391756422,0.0685108,0.5137977876,0.5559652031,0.0978725714,0.5197111252,0.0373101354,0.065248381,0.0131407501,0.4724093714,0.0486079436,0.5110334158,0.0516365955,0.009144,0.0404047705,0.4781213564,0.0420807031,0.509898603,0.5,0.0,0.5,0.0655832889,0.0439009438,0.0137977876,7.7899741174,2.4811409106,9.0,1.3946338814,1.0724604984,0.4351320268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.019262352141253193,0.05527048467956542,0.12070147889895814,6.0,-19878.50981046532,False,0.09013878188659974,0.05853088660466128,0.03073764785874681,-0.019729515320434578,0.036524741897343845,0.12070147889895814,0.056672653558340294,0.014631302928449556,True,False,0.0304615081,0.0472832909,0.0001665921,0.455588697,0.1433026276,0.5002379888,-0.0296075353,0.0955350851,0.0001586592,0.921458112,0.1161030183,0.8790714741,0.1148944007,0.0127107788,0.1032950282,0.9484224008,0.1089044921,0.8696564436,0.28,0.0,0.28,0.2495384919,0.0472832909,0.2798334079,8.4998265243,1.5644335816,9.0,2.1127034281,1.1430545017,2.1495761157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
