cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05559922079171687,-0.020992001195409726,-0.07998718485921685,6.0,-23665.261187390508,False,0.125,0.05943010572794032,0.044400779208283135,0.05400799880459027,0.06991632948874914,0.07998718485921685,0.057074577350619334,0.016565931518702337,True,False,0.4845899938,0.0691519278,0.5144258699,0.4779857054,0.0987884682,0.5206083856,-0.0146761964,0.0658589788,0.0137389237,0.8132308968,0.0566411155,0.850795269,0.0775830535,0.0128205576,0.0710429922,0.7965770922,0.0786156688,0.7122142315,0.5,0.0,0.5,0.0579219333,0.0407983707,0.0144258699,8.782321509,1.066649711,9.0,2.035154402,1.1074443015,3.0,1.0,0.0,1.0,1.8920948763,1.1748510963,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05145456501553109,-0.017318504755965483,-0.0753779954614852,6.0,-21219.507563605344,False,0.10680004681646915,0.054290909625092074,0.048545434984468915,0.020181495244034516,0.05257330128607377,0.0753779954614852,0.05425934353624468,0.0018510826388081845,True,False,0.4866609285,0.0720450267,0.434037691,0.4809441836,0.1029214667,0.40576813,-0.0127038776,0.0686143112,-0.0628212467,0.8077097648,0.0558334891,0.7804887891,0.0720071556,0.014678353,0.0506722033,0.7941879584,0.0744009825,0.8100678325,0.5,0.0,0.5,0.0616419801,0.0396066029,0.065962309,8.6818322973,1.282350321,9.0,1.8137227824,1.2025594269,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06761008747758661,0.0001417899150884983,-0.06060743544790322,6.0,-15391.867041931511,False,0.1,0.06761023615627249,0.0323899125224134,0.0001417899150884983,0.03239022287032945,0.06060743544790322,0.06761008747758661,0.0001417899150884983,True,False,0.4895445727,0.0740758355,0.49187732,0.4850636753,0.1058226221,0.4883961715,-0.0099575498,0.0705484147,-0.0077358857,0.808425408,0.0599611274,0.8608041406,0.0412112011,0.0079337828,0.0373325162,0.7984562584,0.0773318512,0.8307493329,0.5,0.0,0.5,0.0607365622,0.0436762564,0.00812268,8.8034353214,1.0846638789,9.0,0.5387546272,0.6747724879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118296864,0.0094175999,0.0203891412,0.0118296864,0.0094175999,0.0203891412,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05907460743281642,-0.02434410392873043,-0.06544763251091346,6.0,-20505.93931810862,False,0.10680004681646915,0.06389401098251853,0.04092539256718358,-0.06184410392873043,0.07415915956593423,0.06544763251091346,0.04676549303894185,0.04353657428253719,True,False,0.4904357168,0.0707770422,0.5715005856,0.4863367383,0.1011100603,0.6021436937,-0.0091088412,0.0674067069,0.0680957958,0.8091258184,0.0589764738,0.7674915195,0.0717917996,0.0150665495,0.0691124946,0.79949417,0.0750841356,0.7189742327,0.5,0.0,0.5,0.058743431,0.0406211095,0.0715005856,8.5856709426,1.4968361993,9.0,1.5418165877,1.2405219417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.057346302026051725,-0.01657220982005906,-0.07961010941452325,6.0,-21465.791203381334,False,0.125,0.059692851283744235,0.04265369797394828,-0.09157220982005906,0.10101884755916453,0.07961010941452325,0.03593371572880595,0.04766554907167828,True,False,0.49591415,0.068998208,0.4260455083,0.4941630714,0.0985688686,0.3943507262,-0.0038912857,0.065712579,-0.0704328492,0.8090305499,0.0571506326,0.7694509029,0.0812211663,0.0166821125,0.0566120893,0.7998320945,0.072735818,0.783893168,0.5,0.0,0.5,0.058037092,0.0375385512,0.0739544917,8.5900546842,1.5434866209,9.0,1.5884253641,1.2277598513,0.3681068393,1.0,0.0,1.0,1.4249571491,1.2641878109,0.1181068393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04449539053100621,-0.08219145610391525,-0.0026835224541205496,6.0,-30367.345610703414,False,0.09013878188659974,0.09346269434907482,0.005504609468993796,-0.00719145610391525,0.00905636606485604,0.0026835224541205496,0.09306902710198599,0.008569214040878077,True,True,0.0082480998,0.0196935716,0.0,0.4265655996,0.0904031989,0.4411157612,-0.0489562669,0.0602687993,-0.0392561592,1.2707799137,0.1747256974,1.3118803501,0.0960590333,0.0173777739,0.0877942443,1.2744303642,0.194299407,1.3018407822,0.28,0.0,0.28,0.2717519002,0.0196935716,0.28,8.974125974,0.4474037332,9.0,2.3565953688,1.1037936928,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03256086369960347,0.004693297007555361,-0.015718878107511047,6.0,-16567.292238050977,False,0.0625,0.03289736891706209,0.017439136300396535,0.04219329700755536,0.04565520547836345,0.015718878107511047,0.02323271275514956,0.02329115582580637,True,True,0.5095073106,0.063200367,0.556454391,0.5135818723,0.0902862386,0.58064913,0.0090545816,0.0601908257,0.0537660867,0.4855016913,0.0351014839,0.4735550284,0.039358483,0.0080834133,0.0634771511,0.484499985,0.0459102716,0.4730088413,0.5,0.0,0.5,0.0530112416,0.0356999106,0.056454391,7.8346129826,2.537294216,9.0,1.4992508652,1.2387942731,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030076918674983712,0.008667560123415909,-0.008863614585599514,6.0,-11253.276338167101,False,0.05,0.031300920680941854,0.01992308132501629,0.008667560123415909,0.021726844409077045,0.008863614585599514,0.030076918674983712,0.008667560123415909,True,True,0.4356648786,0.0619736979,0.4319997244,0.5152355409,0.0885338541,0.5099996063,0.0101570273,0.0590225694,0.0066664042,0.4875465232,0.0333241653,0.4666035771,0.0206308337,0.0041025419,0.0169785637,0.4865796922,0.0441901937,0.3853919208,0.425,0.0,0.425,0.0518086203,0.0356419097,0.0069997244,7.9240840446,2.4485318897,9.0,0.3303568549,0.3902703141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033502697,0.0056026103,0.0037944126,0.0033502697,0.0056026103,0.0037944126,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.033631965731778714,-0.000139680313872379,-0.026463134155332302,6.0,-16669.53943103802,False,0.0625,0.03363225579073787,0.01636803426822129,-0.037639680313872374,0.041044586487576876,0.026463134155332302,0.026821764397099546,0.02029092369016513,True,True,0.5201869738,0.0626977934,0.4132735074,0.528838534,0.0895682763,0.3761050105,0.0192256894,0.0597121842,-0.0825966597,0.4822407354,0.0371357684,0.4511078,0.0399413278,0.0086934253,0.0443798788,0.4828650293,0.0458113591,0.4460690022,0.5,0.0,0.5,0.0544848198,0.0370125874,0.0867264926,8.0772970086,2.2524976589,9.0,1.2429246647,1.1827981117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02862340969115791,0.029778403703089634,0.05338090039560813,6.0,-17741.089129866235,False,0.09013878188659974,0.04130439334322749,0.02137659030884209,-0.04522159629691036,0.05001951004231068,0.05338090039560813,0.04065454053838728,0.007298030081102717,True,False,0.0248330103,0.0395007278,0.0,0.4672621458,0.1205000236,0.389223963,-0.0218252362,0.0803333491,-0.0738506913,0.921458112,0.1161030183,0.8790714741,0.0857294497,0.0163337167,0.0713955835,0.9334454201,0.125667748,0.8933117986,0.28,0.0,0.28,0.2551669897,0.0395007278,0.28,8.4737207175,1.5870064049,9.0,1.9320125227,1.1973568095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
