time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.05,0.075,0.0,0.0,0.0,0.0,0.08190425485372543,0.6228563822805882,0.3659994675964117,0.28,0.0859994675964117,0.8589937686920166,0.036805905401706696,0.8707631826400757,-0.1010807529091835,-0.03032422624528408,-0.2104874700307846,-0.019104262813925743,-0.2295917272567749,-0.04929085075855255,-0.01478725578635931,-0.2700388431549072,-0.009315971285104752,-0.2793548107147217,-0.03727225959300995,-0.011181678622961044,-0.3307926058769226,-0.0070444573648273945,-0.3378370702266693,0.05930234491825104,0.01779070496559143,-0.37378913164138794,0.011208144016563892,-0.3625809848308563,-0.03504083305597305,-0.01051225047558546,-0.38561034202575684,-0.0066227177157998085,-0.39223307371139526,-0.028776217252016068,-0.008632865734398365,-0.3625671863555908,-0.005438705440610647,-0.3680059015750885,0.03951200097799301,0.011853600852191448,0.09934528917074203,0.007467768620699644,0.10681305825710297,0.06598962098360062,0.019796887412667274,0.19806495308876038,0.012472039088606834,0.21053698658943176,-0.01137570571154356,-0.003412711899727583,0.1177990511059761,-0.0021500084549188614,0.11564904451370239,0.04706788435578346,0.014120365492999554,0.046093348413705826,0.008895830251276493,0.054989177733659744,-0.10027118027210236,-0.030081355944275856,0.16202345490455627,-0.018951253965497017,0.1430722028017044
0.04,0.05,0.075,0.0,0.41954026599263,1.1480151820009652,6.08136741984906,0.10293465107679367,0.6544019766151905,0.3880813836306334,0.28,0.10808138363063335,0.8501384258270264,0.05279029905796051,0.8711190223693848,-0.15327909588813782,-0.06721068918704987,-0.19852861762046814,-0.04234273359179497,-0.2408713549375534,0.004136384464800358,-0.00911016296595335,-0.2548799216747284,-0.005739402491599321,-0.26061931252479553,-0.012387359514832497,-0.01154338289052248,-0.3171643018722534,-0.007272331044077873,-0.32443663477897644,-0.05199252814054489,-0.003144265152513981,-0.36594444513320923,-0.0019808870274573565,-0.36792534589767456,-0.025522202253341675,-0.015015236102044582,-0.3859974145889282,-0.009459598921239376,-0.395456999540329,-0.010504228994250298,-0.009194274432957172,-0.3710651993751526,-0.005792392883449793,-0.37685757875442505,-0.06501615792512894,-0.01120732817798853,0.08853752911090851,-0.007060616742819548,0.08147691190242767,0.0364970862865448,0.024806946516036987,0.20883165299892426,0.015628376975655556,0.22446003556251526,-0.055808860808610916,-0.019131558015942574,0.13948678970336914,-0.01205288153141737,0.1274339109659195,-0.06856885552406311,-0.010686402209103107,0.05724256858229637,-0.006732433568686247,0.05051013454794884,-0.020905407145619392,-0.027328571304678917,0.15160223841667175,-0.0172169990837574,0.13438524305820465
0.06,0.05,0.075,0.0,0.4376793341209898,0.9994864384519838,4.700801797880006,0.05862530320882797,0.587937954813242,0.3415565683692694,0.28,0.06155656836926937,0.8405541181564331,0.06814058125019073,0.8499768972396851,-0.13047274947166443,-0.08618930727243423,-0.18795974552631378,-0.054299261420965195,-0.24225901067256927,-0.024957764893770218,-0.013864443637430668,-0.24007165431976318,-0.008734599687159061,-0.24880625307559967,0.036193691194057465,0.002777739427983761,-0.30273786187171936,0.0017499758396297693,-0.3009878993034363,0.004238370805978775,-0.0009294742485508323,-0.3564019799232483,-0.0005855687777511775,-0.35698753595352173,0.017219291999936104,-0.005344877485185862,-0.3843168318271637,-0.0033672729041427374,-0.3876841068267822,0.0362696647644043,0.004444907419383526,-0.3777709901332855,0.0028002916369587183,-0.3749707043170929,-0.11113034933805466,-0.041184235364198685,0.07588900625705719,-0.02594606764614582,0.04994294047355652,-0.06636583805084229,-0.0025448910892009735,0.2176453024148941,-0.001603281358256936,0.21604202687740326,0.0034761810675263405,-0.012349236756563187,0.16104169189929962,-0.007780019193887711,0.1532616764307022,-0.12566865980625153,-0.04518108069896698,0.07021060585975647,-0.02846408076584339,0.04174652695655823,0.02659820206463337,-0.011150537990033627,0.14315181970596313,-0.007024839054793119,0.13612698018550873
0.08,0.05,0.075,0.0,0.43154860851001003,0.8639549616786809,4.084162746075223,0.08788573741912842,0.6318286061286926,0.3722800242900849,0.28,0.09228002429008486,0.8304261565208435,0.08675477653741837,0.8442004919052124,-0.17888027429580688,-0.11399659514427185,-0.17897579073905945,-0.07181785255670547,-0.2507936358451843,-0.03490190953016281,-0.020175684243440628,-0.22588713467121124,-0.012710681185126305,-0.2385978102684021,0.012044687755405903,0.0055578239262104034,-0.28777942061424255,0.0035014289896935225,-0.284278005361557,-0.013660491444170475,-0.004748779349029064,-0.3453376889228821,-0.002991731045767665,-0.34832942485809326,-0.00323677621781826,-0.0047124470584094524,-0.38059961795806885,-0.0029688416980206966,-0.3835684657096863,-0.019912326708436012,-0.0028622630052268505,-0.3825608789920807,-0.001803225721232593,-0.3843640983104706,-0.08334361761808395,-0.053832050412893295,0.06152861565351486,-0.03391418978571892,0.027614425867795944,-0.04388030990958214,-0.014945517294108868,0.22441606223583221,-0.009415675885975361,0.21500039100646973,-0.017887607216835022,-0.014010747894644737,0.18224407732486725,-0.008826770819723606,0.17341729998588562,-0.03369922935962677,-0.041736528277397156,0.08486530184745789,-0.026294013485312462,0.058571286499500275,-0.042077042162418365,-0.02042848989367485,0.13675831258296967,-0.012869948521256447,0.12388836592435837
0.1,0.05,0.075,0.0,0.4671087595147767,0.7947334553435452,3.756353435149623,0.07655934989452362,0.6148390248417854,0.36038731738924984,0.28,0.08038731738924981,0.8199833035469055,0.09412501752376556,0.8507204055786133,-0.1440650224685669,-0.12301712483167648,-0.17174240946769714,-0.07750079035758972,-0.24924319982528687,-0.024794721975922585,-0.0215613953769207,-0.21258799731731415,-0.013583678752183914,-0.22617167234420776,-0.029967056587338448,-0.005099640693515539,-0.2725648283958435,-0.0032127737067639828,-0.2757776081562042,-0.06795468181371689,-0.023710550740361214,-0.3329557180404663,-0.014937646687030792,-0.3478933572769165,-0.08114694058895111,-0.02764279581606388,-0.3749143183231354,-0.017414961010217667,-0.39232927560806274,-0.032259680330753326,-0.01168148871511221,-0.38534650206565857,-0.007359337992966175,-0.3927058279514313,-0.06578908115625381,-0.05741916224360466,0.045602697879076004,-0.036174070090055466,0.009428627789020538,-0.014752306044101715,-0.014887554571032524,0.22907495498657227,-0.009379159659147263,0.2196957916021347,-0.034797850996255875,-0.020246878266334534,0.20287790894508362,-0.012755532748997211,0.19012238085269928,0.03299049660563469,-0.019318420439958572,0.10105733573436737,-0.012170604430139065,0.08888673037290573,-0.054159559309482574,-0.030547812581062317,0.13248687982559204,-0.019245121628046036,0.1132417619228363
0.12,0.05,0.075,0.0,0.4416349561689278,0.6809800634081926,3.1306189810914113,0.10709600150585175,0.6606440022587776,0.39245080158114437,0.28,0.11245080158114434,0.8094971776008606,0.08604153245687485,0.8418145775794983,-0.046632543206214905,-0.10010174661874771,-0.16639305651187897,-0.0630640983581543,-0.22945715487003326,-0.02237793430685997,-0.02180635742843151,-0.20041953027248383,-0.013738005422055721,-0.21415753662586212,-0.0011072345077991486,-0.0039019188843667507,-0.25737470388412476,-0.002458208939060569,-0.2598329186439514,-0.024979693815112114,-0.024091292172670364,-0.3194843530654907,-0.015177514404058456,-0.3346618711948395,-0.08257924020290375,-0.044123731553554535,-0.3673657774925232,-0.02779795043170452,-0.39516371488571167,-0.015273043885827065,-0.012758955359458923,-0.3860764801502228,-0.008038141764700413,-0.39411461353302,-0.07158482819795609,-0.06166886165738106,0.02827354706823826,-0.038851384073495865,-0.010577837005257607,-0.044642504304647446,-0.023814041167497635,0.23157449066638947,-0.015002845786511898,0.216571643948555,0.010997089557349682,-0.010873687453567982,0.22273290157318115,-0.006850422825664282,0.21588248014450073,0.02423439919948578,-0.006252574268728495,0.11862168461084366,-0.003939121961593628,0.11468256264925003,-0.030032282695174217,-0.030393153429031372,0.1303810328245163,-0.019147686660289764,0.11123334616422653
0.14,0.05,0.075,0.0,0.41185237024161553,0.5831420674347788,2.582164935943898,0.08533456921577454,0.6280018538236618,0.3696012976765633,0.28,0.08960129767656327,0.7992790937423706,0.09584171324968338,0.8231142163276672,-0.12113932520151138,-0.10641302168369293,-0.163026362657547,-0.06704020500183105,-0.23006656765937805,-0.03960833698511124,-0.027146950364112854,-0.18960615992546082,-0.017102578654885292,-0.20670874416828156,0.020454391837120056,0.0034049744717776775,-0.24248920381069183,0.002145133912563324,-0.2403440773487091,0.04536677151918411,-0.0032538725063204765,-0.3051721155643463,-0.0020499397069215775,-0.30722206830978394,-0.0026274099946022034,-0.031674835830926895,-0.3580932319164276,-0.019955147057771683,-0.3780483901500702,-0.026371721178293228,-0.016842786222696304,-0.3847373425960541,-0.010610954836010933,-0.39534831047058105,-0.09852815419435501,-0.07272665202617645,0.009717750363051891,-0.0458177886903286,-0.03610003739595413,-0.11831792443990707,-0.052165206521749496,0.23188920319080353,-0.032864078879356384,0.19902512431144714,0.06235561892390251,0.011095105670392513,0.2416067272424698,0.006989916320890188,0.24859663844108582,-0.03517390042543411,-0.014928972348570824,0.13737936317920685,-0.009405252523720264,0.12797410786151886,-0.054570719599723816,-0.037646424025297165,0.13046224415302277,-0.0237172469496727,0.10674499720335007
0.16,0.05,0.075,0.0,0.3754075792952837,0.4889298474918719,2.1179359599508194,0.090347521007061,0.6355212815105915,0.3748648970574141,0.28,0.09486489705741408,0.7896743416786194,0.10023443400859833,0.8211988210678101,-0.126179501414299,-0.112342968583107,-0.1617044359445572,-0.07077606767416,-0.2324804961681366,-0.05078548192977905,-0.034238509833812714,-0.18034732341766357,-0.02157026156783104,-0.2019175887107849,0.008363518863916397,0.004892537835985422,-0.22818289697170258,0.003082298906520009,-0.2251005917787552,-0.028406130149960518,-0.010799549520015717,-0.2902829349040985,-0.006803716067224741,-0.2970866560935974,-0.04441830888390541,-0.03549787774682045,-0.3472677171230316,-0.022363662719726562,-0.3696313798427582,-0.005067471414804459,-0.01331019215285778,-0.38135382533073425,-0.00838542077690363,-0.3897392451763153,-0.04046665504574776,-0.06304865330457687,-0.00987559650093317,-0.039720650762319565,-0.04959624633193016,-0.0600305013358593,-0.05452479422092438,0.23001588881015778,-0.034350618720054626,0.19566527009010315,0.05819651111960411,0.025225527584552765,0.25930705666542053,0.015892082825303078,0.27519914507865906,0.0429283045232296,0.002428211271762848,0.15713922679424286,0.0015297731151804328,0.15866899490356445,-0.07382269203662872,-0.04849930480122566,0.1327296793460846,-0.03055456094443798,0.10217511653900146
0.18,0.05,0.075,0.0,0.3386326691090644,0.42593063471008,1.7756512778189597,0.07988498359918594,0.6198274753987789,0.36387923277914525,0.28,0.08387923277914522,0.781053364276886,0.09131381660699844,0.8038952350616455,-0.03186839818954468,-0.08820059150457382,-0.16245165467262268,-0.055566370487213135,-0.21801802515983582,-0.02302445098757744,-0.03087429329752922,-0.1728138029575348,-0.019450804218649864,-0.1922646015882492,0.005558019503951073,0.005092182196676731,-0.21471962332725525,0.0032080747187137604,-0.2115115523338318,0.00807487778365612,-0.005137220956385136,-0.2750914394855499,-0.0032364490907639265,-0.2783278822898865,-0.07421610504388809,-0.04711334407329559,-0.3350888788700104,-0.029681406915187836,-0.3647702932357788,0.0250571109354496,-0.0018000011332333088,-0.37598830461502075,-0.0011340007185935974,-0.37712231278419495,-0.007813154719769955,-0.04647800326347351,-0.030306827276945114,-0.029281141236424446,-0.05958797037601471,-0.09817429631948471,-0.06761964410543442,0.22597363591194153,-0.042600374668836594,0.18337325751781464,0.030253585427999496,0.026733944192528725,0.2756534814834595,0.01684238389134407,0.29249587655067444,-0.02324962057173252,-0.005275138653814793,0.17769992351531982,-0.003323337296023965,0.17437659204006195,-0.05434620380401611,-0.05025337636470795,0.13716024160385132,-0.031659625470638275,0.10550061613321304
0.2,0.05,0.075,0.0,0.30953874351530963,0.38252418212887124,1.483535918748381,0.059094563126564026,0.588641844689846,0.34204929128289224,0.28,0.062049291282892216,0.7737987041473389,0.0949544832110405,0.7884659171104431,-0.04414435476064682,-0.07498372346162796,-0.16525423526763916,-0.047239746898412704,-0.21249398589134216,-0.025641677901148796,-0.02930450811982155,-0.1671445071697235,-0.018461840227246284,-0.18560634553432465,0.055432215332984924,0.020194193348288536,-0.20234769582748413,0.01272234134376049,-0.1896253526210785,-0.0074857790023088455,-0.005841788370162249,-0.2598778307437897,-0.0036803267430514097,-0.26355814933776855,0.018502136692404747,-0.027428697794675827,-0.32178130745887756,-0.017280079424381256,-0.3390613794326782,0.024303190410137177,0.006030956748872995,-0.3687397241592407,0.0037995027378201485,-0.36494022607803345,-0.11406368762254715,-0.06675371527671814,-0.05136774107813835,-0.04205483943223953,-0.09342257678508759,-0.10815490037202835,-0.0797802209854126,0.21980364620685577,-0.05026153847575188,0.1695421040058136,0.08558009564876556,0.04438779130578041,0.29047948122024536,0.027964308857917786,0.31844377517700195,-0.030959270894527435,-0.012980379164218903,0.19885189831256866,-0.008177638985216618,0.19067426025867462,-0.033491477370262146,-0.04522480443120003,0.14370878040790558,-0.028491627424955368,0.11521714925765991
