time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006229103350533238,0.004253372680495333,0.08880992330660215,0.0025869348870325875,0.010523624226994535,0.0014498982603361327
0.02,1,seg1,-0.15553095137484785,0.00028131827208920145,0.08727175980021339,0.000636752649042979,0.0011814039946868298,0.0014450586989076253
0.02,2,seg2,-0.3309153270528312,0.00010049236549053962,0.08725116002820102,0.00037803649610353553,-0.005297417448040014,0.0014226660213080555
0.02,3,seg3,-0.5061541862609874,0.00464501769799363,0.0872497297582719,0.00014542710724082473,-0.007015271606827662,0.0014194162559185292
0.02,4,seg4,-0.6814216180786971,0.012672008546566315,0.08725826805312717,6.552562703942516e-05,-0.005210842155399773,0.0014261563687800877
0.02,5,seg5,-0.8557904969143197,0.023932804836621566,0.08729167852090522,-0.0007954512843113098,-0.00010692321776549382,0.0014577596010240529
0.02,6,seg6,-1.0273484103305353,0.04210689171117505,0.08738972242098936,-0.004208029829593017,0.012023523655908832,0.0015538386617945238
0.04,0,head,-0.013788230409793458,0.02750075436689179,0.08816676248493145,0.010977740206885186,0.03348392786701384,0.0008067374386654391
0.04,1,seg1,-0.15862314643934966,0.005874890890248927,0.08653057580786029,0.003928233770812461,0.006660078740887864,0.0007038747065545303
0.04,2,seg2,-0.33265837859311886,-0.009859370884608495,0.08636724053397987,0.0017615459974699974,-0.015313554732055175,0.0005387465270869085
0.04,3,seg3,-0.5075245386599412,-0.010662862146655426,0.08626826406723952,0.0009640265173385626,-0.02236254973818728,0.00043795056488614426
0.04,4,seg4,-0.681544983213054,0.0027543742749263876,0.08623980783625201,-0.00016808257093470317,-0.01512649219521887,0.00040769615190493214
0.04,5,seg5,-0.8519044745146955,0.025810869594017728,0.08630552645946885,-0.004611373166230685,0.0019097665234266614,0.000471607539587679
0.04,6,seg6,-1.0147547887265607,0.06479739954883587,0.08652258126059698,-0.015976959823844474,0.035152525748662566,0.000686697501402142
0.06,0,head,-0.022286246932166534,0.044836944286767454,0.08841551662386633,0.020094108251872175,0.050503081765073884,0.0010554915776003204
0.06,1,seg1,-0.16384184819504766,0.013955908689361338,0.08739462593066612,0.009434356813285165,0.014548063636939227,0.0015679248293603565
0.06,2,seg2,-0.33556604572957727,-0.014443963204712768,0.08779258819680597,0.004502349890792204,-0.0199998121871366,0.0019640941899130016
