time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.007135668923163412,0.0006598281750602145,0.08800302752335536,0.0033635969143773615,0.006899783813119147,0.0006430024770893439
0.02,1,seg1,-0.15517912137217577,0.0008105171843985787,0.08666661371279057,0.00030419414106387904,0.0017229210104166475,0.0008399126114848054
0.02,2,seg2,-0.3304221725450658,0.0014262159827636972,0.0868408346885965,-6.709144895062404e-05,-0.003954805966474216,0.0010123406817035413
0.02,3,seg3,-0.5058370742080408,0.004955743739841277,0.08699547214258119,-0.00016029784608498604,-0.00669333530861544,0.0011651586402278147
0.02,4,seg4,-0.6812162286463501,0.011979571049387981,0.08712987785839345,-0.00016464865245405946,-0.005895440072039703,0.0012977661740463664
0.02,5,seg5,-0.8560376200430999,0.023586917468752067,0.08724424134233044,-0.0005609352299702189,-0.00046147946475364273,0.0014103224224492755
0.02,6,seg6,-1.0270841345257673,0.042602856811354985,0.08736993036233805,-0.004454286791621132,0.01252867768214908,0.0015340466031432132
0.04,0,head,-0.018238994048959546,0.015421522478920311,0.087692848610983,0.014990940977851162,0.021252355623633947,0.00033282356471699137
0.04,1,seg1,-0.15853634039367923,0.0077109877083947126,0.08629593305291369,0.003907557255696562,0.00849811010538966,0.00046923195160793185
0.04,2,seg2,-0.331137009093306,-0.005466997942837323,0.08628395948603386,0.00039922468348025866,-0.010869279104713135,0.00045546547914089575
0.04,3,seg3,-0.5061079738878073,-0.010248214032791176,0.08621561426658005,-0.00043669933044738964,-0.02189719405591444,0.00038530076422667314
0.04,4,seg4,-0.6810472907022399,-0.0006714505901126428,0.08611420804035971,-0.0007887335780508042,-0.01853218833088892,0.0002820963560126316
0.04,5,seg5,-0.8529244759909822,0.024271184769991537,0.08600784773524688,-0.003647439042478551,0.00033437343790800674,0.00017392881536570926
0.04,6,seg6,-1.0139916140934802,0.06695656376007951,0.08599340681689345,-0.016661941024811885,0.037337754882176125,0.0001575230576986164
0.06,0,head,-0.02856274105904013,0.026626532076018828,0.08730299698749332,0.025711221917154366,0.03207860007690947,-5.702805877269568e-05
0.06,1,seg1,-0.16654879106918524,0.015397385898586864,0.08598531163013906,0.01219141903668152,0.01589119585814309,0.00015861052883330007
0.06,2,seg2,-0.33379968860995235,-0.009782039087588668,0.0860904712119747,0.0029048996337306316,-0.015277343910507682,0.00026197720508173983
0.06,3,seg3,-0.5064750107642455,-0.02390586285434238,0.0861113758365116,-0.000561380810757055,-0.03555920495950731,0.00028106233415822746
0.06,4,seg4,-0.6801332709093151,-0.012666883629069703,0.08610856154101058,-0.0021338259231401518,-0.030486960288422824,0.0002764498566635021
0.06,5,seg5,-0.8475260259333862,0.024570044448723436,0.08613863353531347,-0.009031637854724188,0.000827306777812168,0.00030471461543229994
0.06,6,seg6,-0.9983580791634633,0.08915237996409142,0.08628709569371674,-0.03148661724897032,0.060081779288342074,0.0004512119345219112
0.08,0,head,-0.037259778589809965,0.03330766677166363,0.08759331251732706,0.034643051995931255,0.03844243807481116,0.00023328747106104997
0.08,1,seg1,-0.1756934245720585,0.02138390740309239,0.08631597733543181,0.021545559009993377,0.02154476349026782,0.0004892762341260487
0.08,2,seg2,-0.3385813503763575,-0.01225510416032896,0.08648092840357753,0.007594469251914152,-0.01792087883465454,0.0006524343966845675
0.08,3,seg3,-0.5070229930678269,-0.03507879534142792,0.08660027212501886,-0.00041581970046578737,-0.0467446203263665,0.0007699586226654898
0.08,4,seg4,-0.678247655253611,-0.02351324195321716,0.08675555168642526,-0.004408534525280174,-0.041258438184749814,0.0009234400020781824
0.08,5,seg5,-0.8409174158382726,0.024152616240733855,0.08700937709757611,-0.015650989039044282,0.0006479646752253983,0.0011754581776949463
0.08,6,seg6,-0.981209804293686,0.10844957925044586,0.08741910625555992,-0.047929361201748934,0.07998357324192958,0.0015832224963650832
0.1,0,head,-0.04540097677992975,0.03372441492024835,0.08784336239266284,0.042793974150637445,0.03856594923851871,0.00048333734639682824
0.1,1,seg1,-0.1841003783808806,0.02500005791484594,0.08634083904736006,0.03007719752269428,0.024856041362038887,0.0005141379460543022
0.1,2,seg2,-0.3451567802743809,-0.012399248615407671,0.08620942093414956,0.014160453120822723,-0.018301551652431025,0.0003809269272565946
0.1,3,seg3,-0.5082367322727156,-0.04463231216420991,0.08608461417254692,0.0004533429770659848,-0.0563356266750562,0.0002543006701935524
0.1,4,seg4,-0.6755527030159795,-0.03556085337293147,0.08603495183240101,-0.007535283488847817,-0.05320126655161345,0.00020284014805392603
0.1,5,seg5,-0.8343692274579281,0.022418035625727053,0.08610478824572211,-0.022257356350363685,-0.0008498510395237824,0.0002708693258409445
0.1,6,seg6,-0.9619081138793064,0.12607873955153967,0.08641659578570622,-0.06658415155982882,0.098295900849833,0.0005807120265113874
0.12,0,head,-0.05429768140714925,0.029895836598115528,0.08767720537048047,0.051547142179945826,0.0344196961551082,0.0003171803242144611
0.12,1,seg1,-0.19087171980256198,0.028215805569163713,0.0863653151375563,0.03695987423495725,0.027826034441487048,0.000538614036250537
0.12,2,seg2,-0.3506955303657628,-0.008671736307633519,0.08654578266487671,0.019829753078899337,-0.014775769674000579,0.0007172886579837473
0.12,3,seg3,-0.5099038831413367,-0.04985464859069161,0.0867558125571116,0.001931484385845874,-0.06161457427334617,0.000925499054758222
0.12,4,seg4,-0.6741776096222847,-0.045343301534474925,0.08685985441939674,-0.009261514895808698,-0.06292789489876452,0.0010277427350496582
0.12,5,seg5,-0.828939184298983,0.019877902199517305,0.08680368141264994,-0.027775291074912122,-0.0031929350972585446,0.0009697624927687692
0.12,6,seg6,-0.9427531525387628,0.13873625665074069,0.08672408523085393,-0.08527121615008178,0.11163452521749723,0.0008882014716590919
0.14,0,head,-0.06086592536804481,0.025486605252837972,0.0876546933090446,0.05795246244916693,0.02977695752057595,0.0002946682627785885
0.14,1,seg1,-0.19740068206742142,0.03150515001984294,0.08620927902996262,0.04360297721389992,0.03087829884273391,0.0003825779286568548
0.14,2,seg2,-0.3557949797013843,-0.0033401949850436117,0.08629024853185276,0.02511775898929314,-0.009631189041145268,0.00046175452495979263
0.14,3,seg3,-0.5114513827331335,-0.053446483518282246,0.08643584264788796,0.0033487268219664274,-0.06525977070298754,0.0006055291455345918
0.14,4,seg4,-0.674481576861451,-0.053876239846968786,0.08641172316049002,-0.009264808652678532,-0.07146624494303315,0.0005796114761429383
0.14,5,seg5,-0.8243409986237983,0.017498038489767446,0.0861883252816401,-0.032456139682324046,-0.00540578825356175,0.0003544063617589299
0.14,6,seg6,-0.9215510022823,0.1476982044589273,0.08594227685693132,-0.10613713150226851,0.1213536435140896,0.00010639309773648187
0.16,0,head,-0.06599708008180831,0.019613980404794423,0.08791319314699016,0.06286896296796757,0.023723487941269744,0.000553168100724144
