time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006109427386564928,0.004231374699146043,0.0888126241599028,0.002466544823101874,0.010505947122038412,0.0014525991136367933
0.02,1,seg1,-0.1555433755824234,0.0002410734565146193,0.08729168049307733,0.0006477205699467316,0.0011407381512116557,0.0014649793917715648
0.02,2,seg2,-0.3309285074035264,5.478461533345843e-05,0.08729312567708196,0.00038956348262056916,-0.0053435698981449805,0.0014646316701889955
0.02,3,seg3,-0.506185800598588,0.004631181879457937,0.08731243899083112,0.0001765230761432083,-0.0070302361293509506,0.0014821254884777452
0.02,4,seg4,-0.6813509927819352,0.012752170239535187,0.08734325130051271,-2.1692479446378147e-06,-0.005128190879169075,0.001511139616165627
0.02,5,seg5,-0.855752853330394,0.02395865801257169,0.08739531191471349,-0.000832140140891591,-7.973215452561667e-05,0.0015613929948323224
0.02,6,seg6,-1.0273851240803396,0.04201530593418424,0.08750925674855155,-0.004174635641312413,0.011930676027179605,0.001673372989356714
0.04,0,head,-0.01326819862558306,0.02763813814603793,0.08830673298238328,0.010462989102765403,0.033639936392832206,0.000946707936117272
0.04,1,seg1,-0.15870662526617169,0.005799807518363083,0.08659006919221415,0.004008956597821136,0.006582039952711092,0.0007633680909083923
0.04,2,seg2,-0.33269831566819175,-0.010006146848068338,0.08636982561955411,0.001796175363465449,-0.01546167279451064,0.00054133161266115
0.04,3,seg3,-0.507488169791063,-0.010881581788888425,0.08624917405626333,0.0009198104158173032,-0.02257981895572128,0.0004188605539099527
0.04,4,seg4,-0.6813596708894287,0.0023998145648470026,0.08623316358729392,-0.0003660339626745942,-0.01547415365670144,0.0004010519029468418
0.04,5,seg5,-0.8519249093997058,0.025799751066942968,0.0863295501959908,-0.004591351625274891,0.0018979198332817763,0.0004956312761096315
0.04,6,seg6,-1.014668372640313,0.06539837320449408,0.08662092103149915,-0.01604169345570073,0.03575621990273728,0.0007850372723043203
0.06,0,head,-0.02249027069440042,0.047910626734549835,0.08777760593518336,0.020408608612463193,0.05356743145277612,0.00041758088891734324
0.06,1,seg1,-0.16458077659930886,0.014894184647945221,0.08669115770671425,0.010206571172757735,0.015459140990407206,0.0008644566054084868
