time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,-0.075,0.0,0.0,0.0,0.0,0.046100616455078125,0.5691509246826172,0.04840564727783203,0.0,0.04840564727783203,1.2883882522583008,0.021502118557691574,1.2933297157287598,-0.062073782086372375,-0.018622135743498802,-0.3790796399116516,-0.006517747417092323,-0.3855973780155182,-0.010397427715361118,-0.003119228407740593,-0.3793761134147644,-0.001091729965992272,-0.38046783208847046,-0.02203451283276081,-0.006610353942960501,-0.37921208143234253,-0.0023136239033192396,-0.3815256953239441,0.0877881571650505,0.02633644826710224,-0.37914785742759705,0.009217756800353527,-0.36993008852005005,0.013828663155436516,0.004148599226027727,-0.3794028162956238,0.0014520096592605114,-0.3779508173465729,-0.0541437603533268,-0.01624312810599804,-0.3791060447692871,-0.005685094743967056,-0.38479113578796387,0.04076750949025154,0.012230253778398037,0.01582365669310093,0.004280588589608669,0.020104244351387024,-0.01819860190153122,-0.005459580570459366,0.30081862211227417,-0.001910853199660778,0.2989077568054199,-0.0841255933046341,-0.025237679481506348,0.4703703224658966,-0.008833187632262707,0.46153712272644043,0.12526634335517883,0.03757990524172783,0.5173830986022949,0.013152966275811195,0.5305360555648804,0.04355949908494949,0.013067849911749363,0.46628138422966003,0.004573747515678406,0.47085511684417725
0.04,0.0,-0.075,0.0,0.49373166944682884,0.6586056170696957,2.7229497317794893,0.10363733023405075,0.6554559953510761,0.10881919674575329,0.0,0.10881919674575329,1.320197582244873,0.026951774954795837,1.32980477809906,-0.07323270291090012,-0.03500530868768692,-0.37907713651657104,-0.012251857668161392,-0.39132899045944214,0.01528291217982769,0.002401414094492793,-0.3793600797653198,0.0008404949330724776,-0.37851959466934204,-0.042227692902088165,-0.017295556142926216,-0.37923726439476013,-0.006053444463759661,-0.3852907121181488,-0.023176005110144615,0.011482711881399155,-0.37912821769714355,0.004018948879092932,-0.3751092553138733,0.02924344129860401,0.011677051894366741,-0.3794054388999939,0.004086968023329973,-0.3753184676170349,-0.022051647305488586,-0.01798568293452263,-0.37912195920944214,-0.00629498902708292,-0.3854169547557831,-0.046172868460416794,-0.005290684290230274,-0.03500565141439438,-0.0018517394782975316,-0.03685739263892174,-0.0464126393198967,-0.017745498567819595,0.2744539976119995,-0.006210924591869116,0.26824307441711426,-0.04132641851902008,-0.030064301565289497,0.47525209188461304,-0.010522505268454552,0.46472957730293274,0.003702128306031227,0.027416571974754333,0.5522555112838745,0.009595800191164017,0.5618513226509094,0.11129812896251678,0.042536936700344086,0.5221743583679199,0.014887928031384945,0.5370622873306274
0.06,0.0,-0.075,0.0,0.48484311916032674,0.554397799630647,1.927307098366349,-0.014161605387926102,0.47875759191811085,0.0,0.0,0.0,1.348227858543396,0.04026079922914505,1.3585063219070435,-0.08833225071430206,-0.051003389060497284,-0.3790785074234009,-0.01785118505358696,-0.39692968130111694,0.0225369855761528,0.008442086167633533,-0.3793412446975708,0.0029547300655394793,-0.37638652324676514,-0.00845860131084919,-0.014644469134509563,-0.3792625665664673,-0.005125564057379961,-0.38438811898231506,-0.04482433199882507,-0.005409402772784233,-0.37911123037338257,-0.0018932909006252885,-0.3810045123100281,0.0787893608212471,0.03181074559688568,-0.3794041872024536,0.011133761145174503,-0.3682704269886017,0.009324233047664165,-0.009792707860469818,-0.379140704870224,-0.0034274477511644363,-0.3825681507587433,-0.03304237872362137,-0.01361619308590889,-0.09014780074357986,-0.004765667486935854,-0.09491346776485443,-0.13386017084121704,-0.05257990211248398,0.2409430593252182,-0.018402965739369392,0.22254009544849396,-0.04907442256808281,-0.035767339169979095,0.47199225425720215,-0.012518568895757198,0.45947369933128357,0.0021616704761981964,0.019840100780129433,0.580085277557373,0.006944035179913044,0.5870293378829956,0.12645496428012848,0.06771234422922134,0.5739352107048035,0.0236993208527565,0.5976345539093018
0.08,0.0,-0.075,0.0,0.4741684105156561,0.4836077776239554,1.5531511053864744,-0.04822930693626404,0.42765603959560394,0.0,0.0,0.0,1.3723136186599731,0.04745272174477577,1.3859882354736328,-0.02031368389725685,-0.041796475648880005,-0.3790838122367859,-0.014628766104578972,-0.39371258020401,-0.010258723981678486,0.002831842750310898,-0.37932005524635315,0.0009911449160426855,-0.37832891941070557,-0.013510366901755333,-0.014304238371551037,-0.37928733229637146,-0.005006483290344477,-0.3842938244342804,-0.0004965002881363034,-0.003935531713068485,-0.3790974020957947,-0.0013774360995739698,-0.38047483563423157,0.07198764383792877,0.04386381804943085,-0.37939906120300293,0.015352335758507252,-0.36404672265052795,0.03214794769883156,0.0027894889935851097,-0.3791618347167969,0.0009763211128301919,-0.378185510635376,-0.07679544389247894,-0.032569967210292816,-0.14866995811462402,-0.011399487964808941,-0.16006945073604584,-0.10790520161390305,-0.06917749345302582,0.20085270702838898,-0.024212121963500977,0.176640585064888,-0.01528684701770544,-0.02962319180369377,0.46064603328704834,-0.01036811713129282,0.4502779245376587,0.0536179356276989,0.029973451048135757,0.6004016399383545,0.01049070805311203,0.6108923554420471,0.11793870478868484,0.08278025686740875,0.6206883192062378,0.028973089531064034,0.6496614217758179
0.1,0.0,-0.075,0.0,0.4580817938822337,0.3498574050619696,0.9574406204486574,-0.07052335143089294,0.3942149728536606,0.0,0.0,0.0,1.3924777507781982,0.05457193776965141,1.411842703819275,-0.09885431081056595,-0.05891382694244385,-0.3790927827358246,-0.020619839429855347,-0.39971262216567993,-0.01189875602722168,-0.001587337115779519,-0.3792969584465027,-0.0005555679672397673,-0.3798525333404541,-0.026582887396216393,-0.01798783242702484,-0.3793110251426697,-0.006295741070061922,-0.3856067657470703,-0.030812788754701614,-0.011998709291219711,-0.3790869116783142,-0.0041995481587946415,-0.3832864463329315,0.08249637484550476,0.0554535835981369,-0.379390150308609,0.019408753141760826,-0.35998138785362244,0.03297237679362297,0.01184435561299324,-0.37918487191200256,0.004145524464547634,-0.37503933906555176,-0.016274310648441315,-0.027681268751621246,-0.20958209037780762,-0.009688443504273891,-0.2192705273628235,-0.10441932827234268,-0.07975004613399506,0.15486115217208862,-0.02791251614689827,0.12694863975048065,-0.02593981847167015,-0.028518179431557655,0.4414052963256836,-0.009981363080441952,0.43142393231391907,0.08008410036563873,0.0450066477060318,0.6128609776496887,0.01575232669711113,0.628613293170929,0.08948256075382233,0.08479094505310059,0.6616427898406982,0.029676830396056175,0.6913196444511414
0.12,0.0,-0.075,0.0,0.46651051763390833,0.21997040854564592,0.2517890029302272,-0.07157932966947556,0.39263100549578667,0.0,0.0,0.0,1.4089045524597168,0.05724586173892021,1.431276559829712,0.009891169145703316,-0.03827232867479324,-0.3791053295135498,-0.013395315036177635,-0.392500638961792,0.0386132076382637,0.010472826659679413,-0.3792725205421448,0.0036654893774539232,-0.37560704350471497,-0.044695161283016205,-0.02600003033876419,-0.3793330192565918,-0.009100010618567467,-0.388433039188385,0.03989396244287491,0.0035690926015377045,-0.3790801763534546,0.0012491823872551322,-0.37783098220825195,0.0393303707242012,0.05061661824584007,-0.37937772274017334,0.01771581545472145,-0.3616619110107422,0.021154265850782394,0.014637328684329987,-0.3792092204093933,0.00512306485325098,-0.3740861415863037,0.05558105558156967,-0.0027025695890188217,-0.2718537747859955,-0.0009458993445150554,-0.27279967069625854,-0.07764127850532532,-0.07911741733551025,0.1037464290857315,-0.02769109606742859,0.07605533301830292,-0.028480667620897293,-0.02850692719221115,0.4145955443382263,-0.009977424517273903,0.40461811423301697,0.11075325310230255,0.06473062932491302,0.6172524094581604,0.02265571989119053,0.6399081349372864,0.14278613030910492,0.10218949615955353,0.6961058378219604,0.035766322165727615,0.7318721413612366
0.14,0.0,-0.075,0.0,0.4621014443028003,0.11800738987525228,-0.31643435268640846,0.00810062512755394,0.5121509376913309,0.008505656383931637,0.0,0.008505656383931637,1.4219095706939697,0.06031728908419609,1.4479378461837769,-0.018681727349758148,-0.032395146787166595,-0.3791210651397705,-0.011338301002979279,-0.3904593586921692,0.02855139970779419,0.015896398574113846,-0.37924742698669434,0.005563739221543074,-0.3736836910247803,-0.022091692313551903,-0.02482752874493599,-0.379352867603302,-0.008689634501934052,-0.38804250955581665,0.0202394500374794,0.008570199832320213,-0.3790772259235382,0.0029995699878782034,-0.37607765197753906,0.06697233021259308,0.055523328483104706,-0.3793620765209198,0.019433164969086647,-0.3599289059638977,0.004093206487596035,0.011474091559648514,-0.3792344033718109,0.004015931859612465,-0.3752184808254242,0.005445759743452072,-0.00025807064957916737,-0.334431529045105,-9.032472735270858e-05,-0.3345218598842621,-0.1104254350066185,-0.08850982785224915,0.048373229801654816,-0.03097843937575817,0.017394790425896645,0.06425224244594574,-0.0006791763007640839,0.38067036867141724,-0.00023771170526742935,0.380432665348053,0.0417107492685318,0.05782466381788254,0.613501787185669,0.020238632336258888,0.6337404251098633,0.1461888998746872,0.11538931727409363,0.7234943509101868,0.04038625955581665,0.7638806104660034
0.16,0.0,-0.075,0.0,0.4522342809494849,0.03528701800418362,-0.7890617598837419,-0.03319096565246582,0.45021355152130127,0.0,0.0,0.0,1.4319056272506714,0.06178742274641991,1.4538259506225586,-0.008365334942936897,-0.0251862034201622,-0.3791397213935852,-0.00881517119705677,-0.3879548907279968,0.044344618916511536,0.024430863559246063,-0.3792220950126648,0.008550802245736122,-0.3706713020801544,-0.012407708913087845,-0.021101582795381546,-0.3793700933456421,-0.007385553792119026,-0.38675564527511597,-0.005032306537032127,0.004489447921514511,-0.3790781497955322,0.0015713067259639502,-0.3775068521499634,0.07653921097517014,0.061828091740608215,-0.37934350967407227,0.021639831364154816,-0.35770368576049805,0.023257020860910416,0.01500897016376257,-0.3792596459388733,0.005253139417618513,-0.3740065097808838,0.11383295804262161,0.03396923840045929,-0.39625680446624756,0.011889233253896236,-0.38436758518218994,-0.08938692510128021,-0.0887729600071907,-0.010321686044335365,-0.031070536002516747,-0.04139222204685211,0.03247389942407608,0.009266747161746025,0.3402036428451538,0.0032433613669127226,0.3434469997882843,0.02554401382803917,0.04814046993851662,0.6016722917556763,0.01684916391968727,0.6185214519500732,0.12491317093372345,0.11824647337198257,0.7433451414108276,0.04138626530766487,0.784731388092041
0.18,0.0,-0.075,0.0,0.43811192293627943,-0.018492579966859275,-1.15640811927247,-0.1160982996225357,0.32585255056619644,0.0,0.0,0.0,1.4393666982650757,0.06735201179981232,1.459388256072998,0.02076025679707527,-0.011402265168726444,-0.37916073203086853,-0.003990792669355869,-0.3831515312194824,0.03473016619682312,0.02752065472304821,-0.37919729948043823,0.009632228873670101,-0.36956506967544556,-0.023494185879826546,-0.02181936427950859,-0.37938421964645386,-0.007636777590960264,-0.387021005153656,0.02282952331006527,0.009991470724344254,-0.37908297777175903,0.0034970147535204887,-0.37558597326278687,0.08509442210197449,0.06880798935890198,-0.3793225586414337,0.024082796648144722,-0.35523974895477295,0.031369730830192566,0.01991719752550125,-0.3792845606803894,0.0069710188545286655,-0.372313529253006,0.09980405122041702,0.05371968448162079,-0.4562836289405823,0.018801888450980186,-0.43748173117637634,-0.10287369787693024,-0.09300318360328674,-0.07134538888931274,-0.0325511135160923,-0.10389649868011475,0.027122460305690765,0.014623461291193962,0.29387998580932617,0.005118211265653372,0.2989982068538666,0.05537552759051323,0.05031098425388336,0.581964373588562,0.017608843743801117,0.5995731949806213,0.1477789580821991,0.1271062195301056,0.7553222179412842,0.04448717460036278,0.7998093962669373
0.2,0.0,-0.075,0.0,0.42596781652627724,-0.09092147124763068,-1.611134668826904,-0.10485536605119705,0.3427169509232044,0.0,0.0,0.0,1.4447886943817139,0.06920141726732254,1.4668115377426147,0.021079454571008682,-0.001657748594880104,-0.37918370962142944,-0.0005802119849249721,-0.3797639310359955,-0.0032798144966363907,0.0182805135846138,-0.3791734576225281,0.006398179568350315,-0.37277528643608093,-0.027635594829916954,-0.023564234375953674,-0.3793949484825134,-0.008247481659054756,-0.38764244318008423,-0.030976995825767517,-0.0022990694269537926,-0.3790915608406067,-0.0008046742877922952,-0.37989622354507446,0.11960101127624512,0.0840459018945694,-0.37929967045783997,0.02941606566309929,-0.3498836159706116,0.02900547906756401,0.02264368161559105,-0.37930840253829956,0.007925288751721382,-0.37138310074806213,0.030663657933473587,0.04680287465453148,-0.5134965181350708,0.016381006687879562,-0.49711552262306213,-0.09733553975820541,-0.09430289268493652,-0.133665531873703,-0.03300601243972778,-0.1666715443134308,0.05529114603996277,0.02682376652956009,0.242482990026474,0.009388318285346031,0.2518713176250458,0.07755668461322784,0.058484695851802826,0.5547111630439758,0.02046964317560196,0.5751808285713196,0.11700867116451263,0.1240769475698471,0.7592231035232544,0.04342693090438843,0.8026500344276428
