time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.007538844624323596,0.001369610970718357,0.08775331968491144,0.0037920535406177603,0.007594598308086248,0.00039329463864543057
0.02,1,seg1,-0.15523833779945845,0.0014588929791148097,0.08648521958650837,0.0003867044981977628,0.002368745907271733,0.000658518485202611
0.02,2,seg2,-0.330415053584098,0.001668142408667251,0.08673671343889644,-6.549989702135057e-05,-0.0037127800543941924,0.0009082194320034764
0.02,3,seg3,-0.5058626772583755,0.004846159133242257,0.0869744435992819,-0.00013865486215150271,-0.0068037702824068555,0.0011441300969285279
0.02,4,seg4,-0.6812354034688735,0.011777217462129968,0.08720076704003352,-0.0001527680934032529,-0.006098352615791008,0.001368655355686435
0.02,5,seg5,-0.8559736237459792,0.02342838517816204,0.08741935152491678,-0.0006305949790273522,-0.0006176061202781981,0.0015854326050356166
0.02,6,seg6,-1.0271477035618435,0.04256018929577534,0.08766284197568187,-0.004392294351208493,0.012483750223234691,0.0018269582164870402
0.04,0,head,-0.016933074010160646,0.014888537790678988,0.08788402514868551,0.013666686929554337,0.02076671064948016,0.0005240001024195001
0.04,1,seg1,-0.15847411410414908,0.007257854699272472,0.08636459049236701,0.003829064942322287,0.008047509848172034,0.0005378893910612526
0.04,2,seg2,-0.33119991047634717,-0.006271825379270827,0.08623449121645395,0.00043312301294330045,-0.011675848810122551,0.00040599720956098484
0.04,3,seg3,-0.506231870872712,-0.011627368030257226,0.08603779909912401,-0.00036251247327462874,-0.02327991330500944,0.00020748559677064016
0.04,4,seg4,-0.6811741007955022,-0.0021418120878266573,0.08578949616756733,-0.0007149176689125915,-0.020006160835812616,-4.2615516779753726e-05
0.04,5,seg5,-0.8528159834570423,0.023182813298127884,0.08552100088440354,-0.003795027161263484,-0.0007493889151359212,-0.0003129180354776301
0.04,6,seg6,-1.014229997979206,0.06647128939505673,0.08531691320139244,-0.01644117449767839,0.03684421640666186,-0.0005189705578023951
0.06,0,head,-0.026121991493592598,0.02422905727179135,0.08804209932657181,0.02318577830703082,0.02977051029331212,0.0006820742803057972
0.06,1,seg1,-0.1651820243105553,0.013585071697613487,0.08686334523338278,0.010760320056863573,0.014129239602966552,0.0010366441320770192
0.06,2,seg2,-0.3334551580397013,-0.010941879697544774,0.08705822549322198,0.002518854489708804,-0.016424035107425582,0.0012297314863290165
0.06,3,seg3,-0.5070323911423782,-0.024881792970564445,0.08725579236630535,-3.948101549957379e-05,-0.036554560715681715,0.0014254788639519733
0.06,4,seg4,-0.68025873591479,-0.01452131822359799,0.08763026400812565,-0.0020751753859901676,-0.032344708723349935,0.0017981523237785707
0.06,5,seg5,-0.8475697280675847,0.020667078362866985,0.08820848608273073,-0.009128415157244467,-0.0030747040240164105,0.0023745671628495613
