time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.008413421754586047,-0.00824797868125362,0.09126983856963425,0.004319968109356604,-0.0020482343710908272,0.003909813523368236
0.02,1,seg1,-0.15547116910603867,-0.0057228562177552246,0.08949410280046576,0.00036094442629102383,-0.004816730302608122,0.0036674016991599945
0.02,2,seg2,-0.33075878216031585,0.006083984941478511,0.08908661295305587,0.0004369134178908386,0.0006878330244418522,0.0032581189461629023
0.02,3,seg3,-0.505538725081826,0.018234114898988678,0.08868921756771425,1.937830747847927e-05,0.006587171809750215,0.002858904065360879
0.02,4,seg4,-0.6807272835066072,0.024979088361272203,0.08830808677073435,-0.00018547982665024796,0.007113252550733908,0.0024759750863872637
0.02,5,seg5,-0.8564980929121978,0.025803966853170778,0.0879383643387576,-2.0978440236056747e-05,0.0017375634864607345,0.00210444541887643
0.02,6,seg6,-1.0286158719233265,0.018463023904141188,0.08766754745531295,-0.0037922312965946764,-0.011650640644982925,0.0018316636961181187
0.04,0,head,-0.01799029732204075,-0.01701911820445756,0.09189401525796838,0.01357500480176171,-0.01115832383166562,0.004533990211702366
0.04,1,seg1,-0.15840908438558488,-0.012855156986577144,0.08990451205057456,0.0030402956918971365,-0.012050134566252122,0.004077810949268804
0.04,2,seg2,-0.3330483610973079,0.008376036727113508,0.08895806254981595,0.002807490586710275,0.0028960080588246707,0.0031295685429229836
0.04,3,seg3,-0.5051226868493683,0.0311380820103929,0.08805817267716584,6.796837413576287e-05,0.019497752510417687,0.0022278591748124688
0.04,4,seg4,-0.679130121506081,0.039001027159234265,0.087258035575632,-0.0012770174773634108,0.02118358444684576,0.0014259238912849165
0.04,5,seg5,-0.8546118950619535,0.027835090577192332,0.08657701053840955,-0.0018328631119412533,0.003835247888012495,0.0007430916185283826
0.04,6,seg6,-1.0195095004564811,-0.0031995082054522995,0.08624803008379575,-0.013672246890871112,-0.03297144247160779,0.0004121463246009177
0.06,0,head,-0.02683038896287854,-0.02530018788411388,0.08625639728887055,0.02211137030703343,-0.019752147148877613,-0.0011036277573954617
0.06,1,seg1,-0.16410224040286472,-0.01894525279327555,0.08529397590112987,0.00851060765401901,-0.01834115828299188,-0.0005327252001758875
0.06,2,seg2,-0.33756054516027134,0.009724805691444832,0.08588992655083603,0.007365288575267424,0.004081529138080863,6.14325439430713e-05
0.06,3,seg3,-0.5053399663984167,0.04254811196541887,0.0866122683603145,0.0006957055872686014,0.03089257326232509,0.0007819548579611341
0.06,4,seg4,-0.6775272585789165,0.0532446830101915,0.08709265311567102,-0.002366273709555423,0.03547569494265315,0.0012605414313239388
0.06,5,seg5,-0.8519771584928922,0.03274470001113726,0.08722102253805286,-0.004289217232044021,0.008836490335451667,0.001387103618171695
0.06,6,seg6,-1.0100764706275271,-0.016496281451884434,0.08722160494651063,-0.023577661230803834,-0.04592014886484176,0.0013857211873157943
0.08,0,head,-0.030889934174042226,-0.02624905706133507,0.0863824121019434,0.026134140402857362,-0.02084648749383394,-0.000977612944322609
0.08,1,seg1,-0.167434502735949,-0.020434026396654096,0.08541739619527762,0.011787137069009955,-0.019948881545767943,-0.0004093049060281406
0.08,2,seg2,-0.34000379023402283,0.011064412831697991,0.08570269950948844,0.009855157924430279,0.00533234663224639,-0.00012579449740451887
0.08,3,seg3,-0.50592349657294,0.05179839324427307,0.08603246267597654,0.001611736047709826,0.04011586439932138,0.00020214917362317009
0.08,4,seg4,-0.675968762642169,0.0667039976054565,0.0864593115461661,-0.0034394167898277373,0.04898237561883647,0.0006271998618190139
0.08,5,seg5,-0.848029076394617,0.03862301296102511,0.08698931426550696,-0.00802320671696228,0.01485307058640069,0.0011553953456257954
0.08,6,seg6,-0.9988523914624745,-0.025352534639629734,0.08780228226197045,-0.03511316944055285,-0.054366759069500024,0.001966398502775621
0.1,0,head,-0.03403439468272054,-0.025209043531683403,0.08849333319728007,0.029313989913651573,-0.019920303322319255,0.001133308151014062
0.1,1,seg1,-0.17110322366878133,-0.02132610956367174,0.08691653701313032,0.015421379508797153,-0.020972408558934893,0.0010898359118245576
0.1,2,seg2,-0.34324124546003854,0.009898648918918241,0.0865286816343467,0.013048565382020321,0.004050835551904533,0.0007001876274537328
0.1,3,seg3,-0.5068509940374778,0.0540431512764396,0.0862687578448773,0.002619412058868919,0.04232579182483722,0.00043844434252392206
0.1,4,seg4,-0.6731715731650009,0.0725840473580982,0.08603463956879273,-0.006023196582800172,0.054959275822559606,0.00020252788444564962
0.1,5,seg5,-0.8435524671711265,0.04147561739878054,0.08569795999391114,-0.01239426336803535,0.017864921507077528,-0.00013595892597002834
0.1,6,seg6,-0.9880086233245327,-0.029664016361601365,0.08566556712199133,-0.04610506597549681,-0.05828522721583144,-0.00017031663720350199
0.12,0,head,-0.037417544469120656,-0.02066060281410259,0.08671011181958171,0.03285862745988489,-0.015496553769934373,-0.0006499132266842983
0.12,1,seg1,-0.17512408138234498,-0.020884866388324336,0.08555861406724868,0.019455511389393994,-0.020676144724018134,-0.0002680870340570768
0.12,2,seg2,-0.34755115411032167,0.007236710982524497,0.0856764778954673,0.017259890706834393,0.0012355264823867367,-0.00015201611142566518
0.12,3,seg3,-0.5076409502098542,0.05159366118135937,0.08592428288419852,0.0033207098604380644,0.039849461097000737,9.396938184515202e-05
0.12,4,seg4,-0.6695933178033564,0.07305884194901939,0.0862503264566754,-0.009582048484727976,0.05556252906529631,0.0004182147723283125
0.12,5,seg5,-0.8403582601765385,0.04312075401238838,0.08648746731071018,-0.015527200023550403,0.019623938480489073,0.0006535483908290118
0.12,6,seg6,-0.9826906543728908,-0.02961437444260449,0.08703187381230365,-0.05141780409515984,-0.0580442463904969,0.001195990053108817
0.14,0,head,-0.04090427170598506,-0.016203636700819403,0.08863716332677783,0.036503483588295624,-0.011167946885480116,0.0012771382805118192
0.14,1,seg1,-0.1776751994985276,-0.020371503680141147,0.08700896156982586,0.022023450892935097,-0.02025491839772084,0.0011822604685201021
0.14,2,seg2,-0.3503149503767258,0.004450197394993334,0.08657247172999093,0.01992162211232995,-0.0016486395495280406,0.0007439777230979633
0.14,3,seg3,-0.5076438321252849,0.04850590550817342,0.0863999630977548,0.0032124747299370014,0.03676360164471744,0.000569649595401428
0.14,4,seg4,-0.6648502791058077,0.07302917695373067,0.08628508319184941,-0.014323082648862716,0.05570356505130729,0.0004529715075023283
0.14,5,seg5,-0.8363680692152105,0.046881854990089664,0.08584007341307151,-0.01937946054175509,0.023526193388876782,6.1544931903440014e-06
0.14,6,seg6,-0.9801000249933236,-0.025477984986570706,0.08568675175773248,-0.05385790448855966,-0.053817310338985215,-0.00014913200146235428
0.16,0,head,-0.04428758572063081,-0.00459383230913114,0.08701626530334003,0.04030239366845897,0.00031258681008374694,-0.00034375974292598366
0.16,1,seg1,-0.17958557185383664,-0.01682483944552478,0.08576633113697438,0.02406021525092999,-0.01677929749228588,-6.03699643313832e-05
0.16,2,seg2,-0.3515417329271962,-0.00047432842412137814,0.08581316309433422,0.02097039736375588,-0.006614122450630827,-1.5330912558744747e-05
0.16,3,seg3,-0.507215226113513,0.04049253111406792,0.08609912120803719,0.00249577910054264,0.028770841191152086,0.00026880770568381285
0.16,4,seg4,-0.6619507195244364,0.06812163258728914,0.0864419424985006,-0.017397365821119157,0.05090354208785974,0.0006098308141535141
0.16,5,seg5,-0.8331335629558011,0.048779258590075404,0.08647685174063631,-0.02254359234568027,0.025538764155154693,0.0006429328207551432
0.16,6,seg6,-0.9798915765243721,-0.019429355555721513,0.08668506202956767,-0.05384855352737555,-0.04776509741184363,0.0008491782703728412
0.18,0,head,-0.04642947882231387,0.005307055384162878,0.08889180260797726,0.042799190264248735,0.010129984119565477,0.001531777561711245
0.18,1,seg1,-0.18069695181000764,-0.013558940637295621,0.08731313986989253,0.025288401162263857,-0.01355550782801102,0.0014864387685867703
0.18,2,seg2,-0.3516192501424868,-0.00462411211744816,0.08686411511384148,0.02089853132564463,-0.010764007857798779,0.00103562110694852
0.18,3,seg3,-0.5055649125084688,0.03299080205768317,0.08663494898161374,0.000576579110963749,0.021333358738759946,0.0008046354792603655
0.18,4,seg4,-0.6598780538131042,0.06366122764797487,0.0864434420713721,-0.01962920005561995,0.046520612551305913,0.0006113303870250164
0.18,5,seg5,-0.8304523734268682,0.051734408092078944,0.08604914376303015,-0.025116702029284836,0.02858848421188682,0.00021522484314898116
0.18,6,seg6,-0.9806153766237131,-0.010790353682444605,0.08599505310498559,-0.0528143413375177,-0.039157737474188596,0.0001591693457907578
0.2,0,head,-0.047134320922234484,0.019653560153703266,0.08718686533540719,0.04401984546098187,0.02444183244109513,-0.0001731597108588223
0.2,1,seg1,-0.18054834186089735,-0.00862575751690223,0.08602807049546346,0.0253174117228252,-0.008620172074115673,0.0002013693941576994
0.2,2,seg2,-0.34908661870446667,-0.010153589062470632,0.08614161534188577,0.018168557933232764,-0.016198764757766656,0.0003131213349928108
0.2,3,seg3,-0.5045865492119407,0.022927486173196114,0.08632272842118463,-0.0007632863930282744,0.01131176795876332,0.0004924149188312577
0.2,4,seg4,-0.6591788342071546,0.05624533986649697,0.0865257237309352,-0.020594833004522577,0.039134689951348015,0.0006936120465881185
0.2,5,seg5,-0.828420523578178,0.052687029777623365,0.08663442807215031,-0.027112955057335696,0.02961360651228962,0.0008005091522691465
0.2,6,seg6,-0.9814957090563525,-0.0019259603356393358,0.08703785467169549,-0.05161558732039161,-0.03033076498046804,0.001201970912500655
0.22,0,head,-0.046672264602690215,0.029199189584362396,0.08902763583758987,0.04390159497264765,0.033997906639838926,0.0016676107913238536
0.22,1,seg1,-0.17896562604493405,-0.005462340207537702,0.08717051444103058,0.0238495589460478,-0.005401848496116326,0.001343813339724817
