time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.005427081607382802,0.004425548081721087,0.08878402487701159,0.0017916284702644322,0.01072454945841792,0.0014239998307455787
0.02,1,seg1,-0.15505509660260455,0.0005066500401869854,0.08720228456212027,0.00016931481723623585,0.0014237138032859816,0.0013755834608145112
0.02,2,seg2,-0.3305709606978384,0.00032733011293331675,0.08713522755829076,4.205611072400262e-05,-0.005058334343787052,0.001306733551397793
0.02,3,seg3,-0.5060702008675392,0.004644937385730211,0.08708462262566968,6.149322075433583e-05,-0.007012329590363536,0.0012543091233163106
0.02,4,seg4,-0.6813356437971403,0.011994550767598587,0.08704783211003957,-4.477179018096611e-05,-0.005884767298961514,0.0012157204256924847
0.02,5,seg5,-0.8559346575091532,0.023624665698548777,0.08703484151507646,-0.0006624726773662084,-0.0004200505011624975,0.001200922595195289
0.02,6,seg6,-1.0295403847266018,0.04285972677790108,0.08705563378672863,-0.0019903838394482046,0.012696991288615218,0.0012197500275338002
0.04,0,head,-0.010589037337929399,0.030972983302914103,0.08795481420980551,0.007905569976667956,0.03706903318909487,0.0005947891635394997
0.04,1,seg1,-0.15646453289190165,0.006725374286725506,0.08643028456284495,0.0018016236262980707,0.007587690592614939,0.0006035834615391866
0.04,2,seg2,-0.3309954216313786,-0.009491315923536787,0.0864380234880155,0.00011291085829387106,-0.014885895418556594,0.0006095294811225421
0.04,3,seg3,-0.5065120935584543,-0.0105987908123789,0.08651802199032828,-4.545717233465696e-05,-0.022262086314372573,0.0006877084879749057
0.04,4,seg4,-0.6811195854738687,0.00041828134199833693,0.08666761627040225,-0.0006772708192358288,-0.017445763795423654,0.0008355045860551635
0.04,5,seg5,-0.8537012103147477,0.025246284856905617,0.08689349412358421,-0.002836118106684043,0.0012808905947749728,0.0010595752037030476
0.04,6,seg6,-1.021660232352224,0.06892365032114801,0.08722129713690005,-0.008927502634762266,0.03902760644902701,0.0013854133777052163
0.06,0,head,-0.017112367464047616,0.053705815481953335,0.08894797716915256,0.015242732799714389,0.0595523945150231,0.0015879521228865517
0.06,1,seg1,-0.1588060718196477,0.01139032808546778,0.08772521858316898,0.004309517771432972,0.012165360900775558,0.0018985174818632183
0.06,2,seg2,-0.33122951694542285,-0.019607302260137807,0.0878695560741801,-1.7176725814368304e-05,-0.025003753759073974,0.0020410620672871305
0.06,3,seg3,-0.5065225460499009,-0.025966181737138317,0.08781637674742908,-0.0005880184175081875,-0.037619899973354035,0.001986063245075706
0.06,4,seg4,-0.6812238258062325,-0.010835939422998809,0.087594438658036,-0.0009780894889779197,-0.028696446405916145,0.0017623269736889158
0.06,5,seg5,-0.8511196803814545,0.027722224907222374,0.08720707988142423,-0.0053268774515758295,0.003848125257632578,0.0013731609615430657
0.06,6,seg6,-1.0102678686609199,0.09515974866506365,0.08661518832426218,-0.019368362061518977,0.06565667442376302,0.0007793045650673486
0.08,0,head,-0.027846573597144545,0.0774411486840057,0.08954248535840269,0.026824120002718305,0.0828860760494464,0.002182460312136675
0.08,1,seg1,-0.16344378115911923,0.013968238834542526,0.08759444959136928,0.009036991313467654,0.014574710533624727,0.001767748490063517
0.08,2,seg2,-0.33155598187306345,-0.03407222918125311,0.08728074959931076,-0.00021145437810060036,-0.039471059879286,0.001452255592417795
0.08,3,seg3,-0.5064798548053904,-0.04670570329101365,0.08723808477004398,-0.0013770090849687042,-0.05834445233407578,0.001407771267690608
0.08,4,seg4,-0.6811606609544638,-0.027291388733285172,0.08743554581803183,-0.001633374984111942,-0.045138964544009196,0.0016034341336847446
0.08,5,seg5,-0.8485716183002198,0.02639619589618281,0.08788764527553154,-0.00792100729954101,0.002614649015972834,0.002053726355650376
0.08,6,seg6,-0.9958375490527668,0.11827071520947306,0.08865557232358627,-0.03295766991821629,0.0892719578343127,0.002819688564391437
0.1,0,head,-0.04613701611005575,0.1032279756638095,0.08906817649624682,0.04603067396254004,0.10799800584245141,0.0017081514499808076
0.1,1,seg1,-0.17133362703972121,0.02055326372350291,0.08710729848343485,0.0171586939746892,0.020871548365390076,0.0012805973821290867
0.1,2,seg2,-0.33278401186071976,-0.04306310096311628,0.08680623034194038,0.0006922370254433248,-0.048500299874744975,0.0009777363350474133
0.1,3,seg3,-0.5069745407810102,-0.06154027944757029,0.08677719961052292,-0.0014164767475394698,-0.07318722182843601,0.0009468861081695507
0.1,4,seg4,-0.6804202017145716,-0.03834044755144216,0.08701394910699588,-0.0027709632121174364,-0.05615422094938448,0.001181837422648796
0.1,5,seg5,-0.8411708922585049,0.028821226278109485,0.08752421265554691,-0.01522967339786771,0.005304429332789407,0.001690293735665746
0.1,6,seg6,-0.9733052112303904,0.142445960137939,0.08829536870386238,-0.05460544949161483,0.11424238743747775,0.0024594849446675504
0.12,0,head,-0.06999494910703376,0.128922063080594,0.08736305839387162,0.07079777505948574,0.13281690586277928,3.0333476056104702e-06
0.12,1,seg1,-0.18126792947258383,0.03255945129570587,0.08626289616847309,0.027518613562711892,0.03251246632566271,0.0004361950671673276
0.12,2,seg2,-0.3358999896891386,-0.047098717583055505,0.08655783228703604,0.003660971986553833,-0.05264543341418055,0.0007293382801430714
0.12,3,seg3,-0.5073292197474882,-0.07240339736401467,0.08667641381390209,-0.0014529448651893324,-0.0840560671264519,0.0008461003115487198
0.12,4,seg4,-0.6786046932198984,-0.04426212341215961,0.08659731043436455,-0.00479839170834409,-0.06200672894045353,0.0007651987500174734
0.12,5,seg5,-0.83132917091173,0.03729994599167175,0.08632081142011473,-0.02475990727372342,0.014131819054944471,0.00048689250023356556
0.12,6,seg6,-0.9448377984489206,0.16529893558514597,0.08590068732485491,-0.08223204274446752,0.13810498206567223,6.48035656600765e-05
0.14,0,head,-0.08774064610873755,0.14375266397905606,0.08820965247110153,0.08906566841178551,0.14699930895601107,0.0008496274248355196
0.14,1,seg1,-0.19023270736956643,0.03982285962725081,0.0864317466091348,0.03673896414205624,0.039448565987055206,0.0006050455078290412
0.14,2,seg2,-0.3381491369576996,-0.04875098742188062,0.08614336126612594,0.0058492043336591335,-0.05437757031706525,0.00031486725923297876
0.14,3,seg3,-0.5081215662193944,-0.07859433100583585,0.08603113261350652,-0.0008838969348361488,-0.09027150409756808,0.0002008191111531471
0.14,4,seg4,-0.6769614327155906,-0.047488198807514384,0.08612200358385937,-0.006556680595499247,-0.06517158086910389,0.00028989189951228456
0.14,5,seg5,-0.8227931367372718,0.042053562503286165,0.08639934602277465,-0.033119350269595275,0.019189532189871773,0.0005654271028934788
0.14,6,seg6,-0.9242202191489791,0.17828135072779155,0.08684743014491768,-0.10236908626416279,0.15182092743412284,0.0010115463857228446
0.16,0,head,-0.0991996339095375,0.15063054746190974,0.08762754064850026,0.10076474000576524,0.15346037747747066,0.00026751560223424453
0.16,1,seg1,-0.19821548331705982,0.04383637140740278,0.08616845599249134,0.0448609988721343,0.04317221211281907,0.00034175489118558333
0.16,2,seg2,-0.34076029757679654,-0.0471502118869944,0.08618406820996946,0.00851627880832501,-0.05287179615165179,0.00035557420307649745
0.16,3,seg3,-0.5085126601593856,-0.0788443627266759,0.0861406052220625,-0.0005020538821035755,-0.09053544767938437,0.00031029171970912983
0.16,4,seg4,-0.6742559272080203,-0.0467823250466034,0.08611337703970513,-0.009235032365095189,-0.06436880467673849,0.0002812653553580513
0.16,5,seg5,-0.8146760773123163,0.044717936521254185,0.08610087660007312,-0.04113527282606882,0.02214427890907034,0.00026695768019195654
0.16,6,seg6,-0.9105180859608747,0.18441274766300386,0.08606499149782153,-0.11584170175765213,0.15844143451580484,0.00022910773862669376
0.18,0,head,-0.10484377557365634,0.15217048033358505,0.08739807667455521,0.10646064160539814,0.15479620431354943,3.805162828919573e-05
0.18,1,seg1,-0.20204962938412438,0.04524733605378363,0.08578620135205255,0.04874343618550631,0.04444428829065532,-4.049974925321442e-05
0.18,2,seg2,-0.34277286158747605,-0.04608980883566455,0.08568913295614679,0.010565698678761023,-0.05188450352921096,-0.00013936105074617566
0.18,3,seg3,-0.5083888080949894,-0.07796520124025007,0.0856593304610043,-0.000594188449417043,-0.08965239871439146,-0.0001709830413490765
0.18,4,seg4,-0.6725213601557907,-0.04585232472624532,0.08575209552481292,-0.01093500919237094,-0.06337698703178823,-8.001615953416585e-05
0.18,5,seg5,-0.8105549597588688,0.04576511745064903,0.08596863336327419,-0.04521603756261741,0.02333908305644583,0.00013471444339302474
0.18,6,seg6,-0.903612859018036,0.1852292905059813,0.0862376680000742,-0.12271307230795857,0.15950593820275155,0.0004017842408793604
0.2,0,head,-0.10650739762722213,0.1519433418065357,0.08722727101386364,0.10811501238807446,0.1545093462291589,-0.00013275403240237127
0.2,1,seg1,-0.20289216145806493,0.0454444736631516,0.08581637374890312,0.04959251669741257,0.04461097907273772,-1.0327352402639267e-05
0.2,2,seg2,-0.3433119167018811,-0.04595828718224296,0.085870496673721,0.011109137553274,-0.0517724653602432,4.200266682803655e-05
0.2,3,seg3,-0.5084163103221983,-0.07781155070986442,0.08587991908163076,-0.0005611748069486361,-0.08949983739098356,4.960557927738418e-05
0.2,4,seg4,-0.672314945242811,-0.04564826909713433,0.08588535589989281,-0.01113394731785925,-0.06316563557498296,5.3244215545728e-05
0.2,5,seg5,-0.8092857910760425,0.045891757195813225,0.08591875698810103,-0.04647982698392815,0.023511312754394317,8.483806821986406e-05
0.2,6,seg6,-0.9004596696313569,0.18398277129428514,0.08594661265493245,-0.1259090763033048,0.15837369621736758,0.00011072889573761346
0.22,0,head,-0.10723053885008554,0.15141196492902495,0.08720976664046423,0.10881856324351677,0.15395229074907624,-0.0001502584058017814
0.22,1,seg1,-0.20328525157884828,0.04527921319623779,0.08583952852741127,0.049979405194499046,0.04443168000474982,1.2827426105505024e-05
0.22,2,seg2,-0.3434300737605198,-0.04597928428257467,0.08592203742961632,0.011226462485744049,-0.05179770083026554,9.35434227233578e-05
0.22,3,seg3,-0.508432457335962,-0.07783192772957175,0.08593205804818471,-0.0005457715337276184,-0.08952078227483819,0.0001017445458313393
0.22,4,seg4,-0.6723794598651263,-0.045644007928415255,0.08591143618824673,-0.011069321140130274,-0.06316369877276919,7.932450389964985e-05
0.22,5,seg5,-0.8090079730931874,0.04576811745613949,0.08590642392302558,-0.04676191429279121,0.02339775058204059,7.250500314441577e-05
0.22,6,seg6,-0.8997588122191847,0.18338325239979547,0.08588785374421233,-0.12663105390479926,0.15779978650330115,5.1969985017497056e-05
0.24,0,head,-0.10768576142217327,0.15097506707023484,0.08722465898833846,0.10925776887579804,0.15349929434545065,-0.00013536605792754952
0.24,1,seg1,-0.20359449670587293,0.04506686234810898,0.08584538704440149,0.050280808421634744,0.044208338280148,1.8685943095730906e-05
0.24,2,seg2,-0.3433677148782096,-0.04599242854322033,0.08592112132866928,0.011163670987099424,-0.05180859254676159,9.262732177631183e-05
0.24,3,seg3,-0.5083865919391798,-0.07789141154471431,0.08592014319177535,-0.000593747792876761,-0.08957857706217719,8.982968942197744e-05
0.24,4,seg4,-0.6724973058227353,-0.045642825528863847,0.08589093017595653,-0.010951508961428132,-0.06316675791329304,5.881849160944974e-05
0.24,5,seg5,-0.8089196488952837,0.045695210031729,0.08589112702042281,-0.04685280491117973,0.02332806879132681,5.720810054164749e-05
