time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,0.0,-0.125,0.0,0.0,0.0,0.0703330934047699,0.6054996401071548,0.9238497480750083,0.85,0.07384974807500833,0.6286745071411133,0.0052023520693182945,0.6281149983406067,-0.03253458812832832,-0.009760376997292042,-0.15559999644756317,-0.0010675411904230714,-0.1566675305366516,-0.044656530022621155,-0.013396959751844406,-0.11589878797531128,-0.001465292414650321,-0.1173640787601471,-0.017708299681544304,-0.005312490276992321,-0.13577289879322052,-0.0005810536094941199,-0.13635395467281342,0.06603235006332397,0.019809706136584282,-0.1853993982076645,0.0021666865795850754,-0.18323270976543427,-0.014567799866199493,-0.004370340146124363,-0.19030916690826416,-0.0004780059680342674,-0.1907871663570404,-0.07010985910892487,-0.02103295922279358,-0.14313463866710663,-0.0023004799149930477,-0.1454351246356964,0.018774883821606636,0.005632465239614248,-0.25,0.0006160509074106812,-0.24938395619392395,0.0481402724981308,0.0144420824944973,-0.25,0.0015796027146279812,-0.24842040240764618,-0.040378596633672714,-0.012113579548895359,-0.25,-0.0013249227777123451,-0.25132492184638977,0.08892472088336945,0.026677416637539864,-0.21136654913425446,0.002917842473834753,-0.20844870805740356,-0.008673729375004768,-0.0026021189987659454,-0.126093789935112,-0.0002846067654900253,-0.1263784021139145
0.04,0.0,0.0,-0.125,0.2996218824899453,-1.319069328473956,-6.928222533759909,0.08707877993583679,0.6306181699037552,0.9414327189326286,0.85,0.09143271893262861,0.6493300199508667,0.007619510870426893,0.647631049156189,0.019759012386202812,-0.0009045600891113281,-0.161698117852211,-9.893625974655151e-05,-0.16179704666137695,-0.020367156714200974,-0.015488019213080406,-0.11786311119794846,-0.001694002072326839,-0.11955711245536804,0.03008088655769825,0.005305523052811623,-0.13065578043460846,0.0005802916130051017,-0.13007548451423645,0.07622352242469788,0.036733850836753845,-0.18087954819202423,0.004017764702439308,-0.17686177790164948,-0.08341050893068314,-0.028082391247153282,-0.19316904246807098,-0.0030715116299688816,-0.19624055922031403,-0.014761792495846748,-0.019151609390974045,-0.1490827351808548,-0.0020947072189301252,-0.15117743611335754,0.013596686534583569,0.008021731860935688,-0.25,0.0008773769368417561,-0.24912261962890625,-9.033456444740295e-05,0.010082356631755829,-0.25,0.0011027577565982938,-0.2488972395658493,-0.0021844464354217052,-0.009134840220212936,-0.25,-0.000999123090878129,-0.2509991228580475,0.07973581552505493,0.04259493947029114,-0.24367065727710724,0.004658821504563093,-0.23901183903217316,0.019272590056061745,0.003960293717682362,-0.1593354493379593,0.00043315713992342353,-0.15890228748321533
0.06,0.0,0.0,-0.125,0.3219263649148747,-1.2106008856198873,-6.537158413445,0.07130300998687744,0.6069545149803162,0.9248681604862212,0.85,0.07486816048622125,0.6622844934463501,0.012557851150631905,0.660909116268158,0.05180080235004425,0.014907049015164375,-0.16766057908535004,0.001630458515137434,-0.1660301238298416,0.01583227887749672,-0.0060919299721717834,-0.12066689878702164,-0.0006663048407062888,-0.12133320420980453,0.01506807655096054,0.008234289474785328,-0.1260935515165329,0.0009006254258565605,-0.12519292533397675,0.16225934028625488,0.07439149916172028,-0.17579734325408936,0.008136570453643799,-0.16766077280044556,-0.11582158505916595,-0.05440414696931839,-0.19519315659999847,-0.005950453691184521,-0.20114360749721527,-0.09830770641565323,-0.04289843887090683,-0.1551758050918579,-0.004692016635090113,-0.15986782312393188,0.04817666485905647,0.0200682133436203,-0.25,0.0021949608344584703,-0.24780504405498505,-0.033497631549835205,-0.0029916404746472836,-0.25,-0.000327210669638589,-0.2503271996974945,-0.026221085339784622,-0.014260713942348957,-0.25,-0.0015597655437886715,-0.2515597641468048,0.044906970113515854,0.04328855127096176,-0.25,0.004734685178846121,-0.24526531994342804,-0.028136121109128,-0.005668630823493004,-0.19226539134979248,-0.0006200064672157168,-0.1928853988647461
0.08,0.0,0.0,-0.125,0.3905506901360735,-1.1755760631716987,-6.7517259800780645,-0.01336132362484932,0.479958014562726,0.8359706101939082,0.85,0.014029389806091808,0.6741751432418823,0.011333959177136421,0.6712219715118408,0.04093979299068451,0.02271687239408493,-0.17335474491119385,0.0024846578016877174,-0.1708700805902481,-0.08250083774328232,-0.029014604166150093,-0.12424781173467636,-0.003173472359776497,-0.1274212896823883,0.03279712051153183,0.015603138133883476,-0.12218772619962692,0.0017065932042896748,-0.12048113346099854,-0.010641471482813358,0.04888160526752472,-0.17026583850383759,0.00534642580896616,-0.1649194061756134,-0.023969357833266258,-0.045273710042238235,-0.1963365077972412,-0.004951811861246824,-0.20128831267356873,0.007248320616781712,-0.02785441093146801,-0.16127832233905792,-0.003046576166525483,-0.16432489454746246,0.05028892308473587,0.02913442626595497,-0.25,0.003186577931046486,-0.24681341648101807,0.03362284228205681,0.007992705330252647,-0.25,0.0008742021163925529,-0.24912579357624054,0.03103029727935791,-0.0006734095513820648,-0.25,-7.365416968241334e-05,-0.25007364153862,0.08097155392169952,0.05459345132112503,-0.25,0.005971158854663372,-0.24402883648872375,-0.004457572475075722,-0.005305313039571047,-0.22481924295425415,-0.0005802686209790409,-0.22539950907230377
0.1,0.0,0.0,-0.125,0.5349709987176711,-1.1816133346778148,-6.978821932281642,-0.03134278953075409,0.45298581570386887,0.8170900709927081,0.85,0.03290992900729184,0.6846520900726318,0.013477204367518425,0.680515468120575,0.006908608600497246,0.01797439157962799,-0.17865394055843353,0.0019659490790218115,-0.17668798565864563,-0.052513740956783295,-0.03606434538960457,-0.12852618098258972,-0.003944537602365017,-0.13247071206569672,0.007793933153152466,0.013260376639664173,-0.11902517080307007,0.0014503536513075233,-0.11757481843233109,0.0805165097117424,0.058372076600790024,-0.16440807282924652,0.006384445820003748,-0.1580236256122589,-0.003270411863923073,-0.03267271816730499,-0.1965736597776413,-0.0035735785495489836,-0.20014724135398865,-0.03829452767968178,-0.030986446887254715,-0.1672545075416565,-0.0033891426865011454,-0.1706436574459076,0.10296908766031265,0.051284827291965485,-0.25,0.005609278101474047,-0.24439072608947754,0.03455105423927307,0.01596021093428135,-0.25,0.001745648100040853,-0.24825435876846313,-0.009627393446862698,-0.003359604626893997,-0.25,-0.00036745675606653094,-0.2503674626350403,0.10137513279914856,0.06862795352935791,-0.25,0.007506182417273521,-0.24249382317066193,-0.04933200031518936,-0.01851332001388073,-0.25,-0.0020248943474143744,-0.25202488899230957
0.12,0.0,0.0,-0.125,0.6731770584424636,-1.1593991719921326,-6.801980687155301,0.08567353338003159,0.6285103000700474,0.9399572100490331,0.85,0.08995721004903312,0.6862454414367676,0.01653241738677025,0.6846392154693604,0.006875650025904179,0.01464476902037859,-0.18344029784202576,0.0016017715679481626,-0.1818385273218155,0.05089263617992401,-0.009977249428629875,-0.13340680301189423,-0.0010912616271525621,-0.13449805974960327,-0.012426991015672684,0.0055541666224598885,-0.11667624861001968,0.0006074869888834655,-0.1160687580704689,0.2239890694618225,0.1080571785569191,-0.15835435688495636,0.01181875355541706,-0.14653560519218445,-0.09181781858205795,-0.0504162460565567,-0.19589929282665253,-0.005514277145266533,-0.2014135718345642,-0.11359430104494095,-0.055768802762031555,-0.1729714423418045,-0.006099713034927845,-0.17907115817070007,0.025654226541519165,0.04359564557671547,-0.25,0.004768273793160915,-0.2452317327260971,-0.09820142388343811,-0.018288280814886093,-0.25,-0.0020002806559205055,-0.25200027227401733,-0.033441945910453796,-0.012384306639432907,-0.25,-0.0013545334804803133,-0.25135454535484314,0.0072615984827280045,0.050218045711517334,-0.25,0.005492598749697208,-0.24450740218162537,-0.010957589372992516,-0.016246600076556206,-0.25,-0.0017769718542695045,-0.25177696347236633
0.14,0.0,0.0,-0.125,0.6822395487476907,-1.0468873114390431,-6.227645169774509,0.0214956384152174,0.5322434576228261,0.8725704203359782,0.85,0.022570420335978225,0.6877195239067078,0.015623786486685276,0.6867163181304932,-0.03483828902244568,-0.00020014867186546326,-0.1876073181629181,-2.1891260985285044e-05,-0.18762920796871185,0.04857803136110306,0.007589335553348064,-0.13878114521503448,0.0008300835615955293,-0.13795106112957,0.028910823166370392,0.012561163865029812,-0.11519322544336319,0.0013738772831857204,-0.11381934583187103,0.10979422181844711,0.10857829451560974,-0.1522393822669983,0.011875750496983528,-0.1403636336326599,-0.047744132578372955,-0.04961460828781128,-0.19432847201824188,-0.005426597781479359,-0.19975507259368896,-0.06716403365135193,-0.059187375009059906,-0.17830193042755127,-0.006473619025200605,-0.18477554619312286,0.006692545022815466,0.0325247161090374,-0.25,0.0035573907662183046,-0.24644261598587036,-0.011320920661091805,-0.01619807258248329,-0.25,-0.001771664246916771,-0.2517716586589813,-0.006341081578284502,-0.01057133823633194,-0.25,-0.001156240119598806,-0.2511562407016754,-0.011997519060969353,0.03155337646603584,-0.25,0.0034511506091803312,-0.2465488463640213,0.02849888987839222,-0.002822953276336193,-0.25,-0.0003087605000473559,-0.2503087520599365
0.16,0.0,0.0,-0.125,0.6663982036933702,-0.9322813626636253,-5.60308900501043,0.06376699358224869,0.595650490373373,0.9169553432613611,0.85,0.0669553432613611,0.6890303492546082,0.017064087092876434,0.6891958117485046,-0.04620905965566635,-0.014002823270857334,-0.1910623162984848,-0.0015315588098019361,-0.19259387254714966,0.012372750788927078,0.009024360217154026,-0.14452962577342987,0.0009870394133031368,-0.1435425877571106,-0.07492536306381226,-0.01368479523807764,-0.11460906267166138,-0.0014967744937166572,-0.11610583961009979,0.13495324552059174,0.11649078130722046,-0.14619916677474976,0.012741179205477238,-0.1334579885005951,-0.027565613389015198,-0.042999908328056335,-0.19189608097076416,-0.004703114740550518,-0.19659920036792755,-0.08918879926204681,-0.06818780303001404,-0.18312738835811615,-0.007458040956407785,-0.1905854344367981,0.05364260450005531,0.03886008262634277,-0.25,0.004250321537256241,-0.24574968218803406,-0.006966164335608482,-0.013428499922156334,-0.25,-0.0014687421498820186,-0.2514687478542328,-0.06496488302946091,-0.02688940241932869,-0.25,-0.0029410284478217363,-0.2529410421848297,0.04834826663136482,0.03659184277057648,-0.25,0.004002233035862446,-0.24599777162075043,-0.018050523474812508,-0.00739122461527586,-0.25,-0.0008084151777438819,-0.2508084177970886
0.18,0.0,0.0,-0.125,0.6079859112350238,-0.8186741560957267,-4.955708644037901,0.05945281684398651,0.5891792252659798,0.9124254576861858,0.85,0.06242545768618579,0.6901373863220215,0.01953502744436264,0.6926371455192566,-0.05777135491371155,-0.027133382856845856,-0.19372843205928802,-0.0029677138663828373,-0.19669614732265472,0.0706104189157486,0.027500178664922714,-0.15052439272403717,0.003007831983268261,-0.14751656353473663,-0.01899093948304653,-0.01527663879096508,-0.11493678390979767,-0.0016708823386579752,-0.116607666015625,0.18055503070354462,0.13571006059646606,-0.14036807417869568,0.014843287877738476,-0.12552478909492493,-0.03192392736673355,-0.03967711329460144,-0.1886562705039978,-0.0043396842665970325,-0.19299595057964325,-0.1314810961484909,-0.08717579394578934,-0.18734049797058105,-0.00953485257923603,-0.19687534868717194,-0.052899397909641266,0.011332236230373383,-0.25,0.0012394633376970887,-0.24876053631305695,-0.07605193555355072,-0.032215531915426254,-0.25,-0.0035235737450420856,-0.253523588180542,-0.03322625905275345,-0.028790459036827087,-0.25,-0.0031489564571529627,-0.2531489431858063,-0.004557858221232891,0.024246931076049805,-0.25,0.0026520080864429474,-0.24734799563884735,0.016448374837636948,-0.0002393447794020176,-0.25,-2.6178335247095674e-05,-0.2500261664390564
0.2,0.0,0.0,-0.125,0.5469753632101982,-0.7236539899336414,-4.412156522675806,0.08162717521190643,0.6224407628178596,0.9357085339725018,0.85,0.08570853397250178,0.691005527973175,0.016453830525279045,0.6938601136207581,-0.023483626544475555,-0.026038456708192825,-0.19554634392261505,-0.002847956260666251,-0.1983942985534668,-0.02075708471238613,0.013022998347878456,-0.15663205087184906,0.0014243904734030366,-0.15520766377449036,-0.06126314401626587,-0.029072590172290802,-0.11616907268762589,-0.0031798146665096283,-0.11934888362884521,0.04026781767606735,0.10707738995552063,-0.1348758190870285,0.011711589992046356,-0.12316422909498215,-0.007430623285472393,-0.03000316582620144,-0.18468110263347626,-0.0032815963495522738,-0.18796269595623016,-0.05832403153181076,-0.078520268201828,-0.1908475160598755,-0.00858815386891365,-0.19943566620349884,-0.015823714435100555,0.003185450565069914,-0.25,0.0003484086482785642,-0.24965159595012665,0.03478492796421051,-0.012115392833948135,-0.25,-0.0013251211494207382,-0.2513251304626465,-0.042005185037851334,-0.03275487571954727,-0.25,-0.0035825646482408047,-0.25358256697654724,0.053980570286512375,0.033167023211717606,-0.25,0.003627643221989274,-0.24637235701084137,-0.028658414259552956,-0.008765066042542458,-0.25,-0.0009586791275069118,-0.2509586811065674
