time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006207040381149097,-0.017017039151217835,0.08879617788729033,0.001799454653211754,-0.010732216879540249,0.0014361528410243157
0.02,1,seg1,-0.15514391708891706,-0.002342648821070564,0.08721308103266352,0.00015554364082859888,-0.0014269358479778304,0.0013863799313577618
0.02,2,seg2,-0.3301950310428665,0.010439530337562538,0.08714350109842306,3.0264973483364327e-05,0.0050608443510251275,0.001315007091530096
0.02,3,seg3,-0.5055573293663382,0.018667009082515007,0.08709004021343146,5.354856050316961e-05,0.007019116120212772,0.001259726711078088
0.02,4,seg4,-0.6809135251187923,0.023767977856504037,0.08705019082339878,-4.294155281355008e-05,0.005896224435463237,0.0012180791390516976
0.02,5,seg5,-0.855957975615132,0.024481637739517493,0.08703298940152712,-0.0006083308995929366,0.0004355273626038074,0.0011990704816459558
0.02,6,seg6,-1.0303512824913217,0.017513279595767782,0.08705230236669051,-0.00209212200195645,-0.012662219844375917,0.0012164186074956757
0.04,0,head,-0.013144950523510638,-0.04316569627114508,0.08793881038316192,0.007791892303010662,-0.03711360344901937,0.0005787853368959123
0.04,1,seg1,-0.15700457123185477,-0.00845392674059361,0.0864325370974203,0.001795073773191134,-0.0076012125338772605,0.0006058359961145371
0.04,2,seg2,-0.32976788826505865,0.0202158585392717,0.08646537150106198,-4.4792720020627045e-05,0.014846211508306477,0.0006368774941690192
0.04,3,seg3,-0.5047350127945143,0.03382732437608667,0.0865660778790161,-0.00022268020331331077,0.022199203801607347,0.0007357643766627286
0.04,4,seg4,-0.6798690510759496,0.03522281684914868,0.08673095404217532,-0.0006745282115233879,0.017381230341692342,0.0008988423578282362
0.04,5,seg5,-0.8538042692881661,0.02270021136145948,0.0869722715793114,-0.002824748228393738,-0.0012672424712327625,0.001138352659430228
0.04,6,seg6,-1.0244372543070184,-0.008926630684284776,0.08731226868724955,-0.008953779482505217,-0.03887218439207999,0.0014763849280547137
0.06,0,head,-0.020818329405030617,-0.06494632012835737,0.08931961303286848,0.014676509249806737,-0.059156252304335744,0.001959587986602465
0.06,1,seg1,-0.1592962999179085,-0.012849240580758987,0.08816776903067328,0.00392714948394498,-0.01207614910181121,0.0023410679293675157
0.06,2,seg2,-0.32930733580948574,0.03018699969085919,0.08835183636721883,-0.00014622796338107765,0.024827467707834124,0.0025233423603258642
0.06,3,seg3,-0.5036501223713181,0.048915983332709904,0.08828845663416664,-0.0007638913567588832,0.037317130472517474,0.0024581431318132646
0.06,4,seg4,-0.6791025981360376,0.04626619212856466,0.08800590500037336,-0.0010430806677080733,0.028445034242618822,0.002173793316026282
0.06,5,seg5,-0.8512329516496271,0.020047663012193784,0.08751195053836612,-0.005489854353913403,-0.003825542000601349,0.0016780316184849542
