cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06257712242674603,0.0368179682982469,0.00975411041266668,6.0,-21704.672753354433,False,0.125,0.07260481417111866,0.03742287757325398,0.11181796829824689,0.11791407804079419,0.00975411041266668,0.027970916962448685,0.06700064809464513,True,True,0.4817661848,0.0802676181,0.4591534246,0.4739516926,0.1146680259,0.4416477494,-0.0173655383,0.0764453506,-0.0389015004,0.7997545691,0.0555186432,0.8152757287,0.0943589021,0.0124528338,0.1021687165,0.7800109257,0.0646385143,0.7949994802,0.5,0.0,0.5,0.0722014278,0.0395261478,0.0408465754,8.4512012641,1.8708869068,9.0,1.8363270407,1.2731835115,3.0,1.0,0.0,1.0,1.7032328047,1.3073575178,2.9710964624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0658185564104482,0.04809074873059824,0.021608538052900233,6.0,-21176.87934637285,False,0.10680004681646915,0.08151565789113702,0.0341814435895518,0.08559074873059824,0.0921636986786561,0.021608538052900233,0.0447420455897265,0.0681392092548169,True,True,0.4882540931,0.084965312,0.4665126629,0.4832201329,0.1213790171,0.452160947,-0.011186578,0.0809193448,-0.031892702,0.7943247312,0.0612271053,0.8254955411,0.0853767294,0.0152827092,0.0829673931,0.7767498396,0.0672045473,0.8045678139,0.5,0.0,0.5,0.0755374861,0.0406344529,0.0334873371,8.5695804482,1.6206361642,9.0,1.6915199755,1.2947090546,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07031359668000704,0.023833591292504227,-0.009906640589091076,6.0,-15540.582884434078,False,0.1,0.07424312730466592,0.029686403319992963,0.023833591292504227,0.03806997000229213,0.009906640589091076,0.07031359668000704,0.023833591292504227,True,True,0.4908878361,0.0867733476,0.4746308583,0.4869826229,0.1239619252,0.463758369,-0.0086782514,0.0826412835,-0.0241610873,0.792190269,0.0628265913,0.8367825747,0.0477531659,0.0090708568,0.0422104038,0.7823950982,0.064610486,0.8243927956,0.5,0.0,0.5,0.0772479175,0.0405635876,0.0253691417,8.5287478543,1.4887421607,9.0,0.660466429,0.7121946949,0.9213986862,0.0,0.0,0.0,0.0,0.0,0.0,0.0142125316,0.0077448242,0.0203468285,0.0142125316,0.0077448242,0.0203468285,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06438093040749544,0.038213068141345216,0.012327367672051523,6.0,-20612.614642618362,False,0.10680004681646915,0.07486750147366923,0.03561906959250456,0.0007130681413452175,0.03562620643304427,0.012327367672051523,0.07369924761902096,0.013174356807833083,True,True,0.4996951257,0.082886609,0.4562435094,0.4995644652,0.1184094414,0.4374907278,-0.0002903565,0.0789396276,-0.0416728482,0.793218746,0.0650001738,0.8112379909,0.0906084695,0.0191256078,0.0632359385,0.7830456344,0.0660455873,0.7906231284,0.5,0.0,0.5,0.0730430473,0.0391790267,0.0437564906,8.5394500159,1.4552473385,9.0,1.7196433446,1.0076537043,0.9833293218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06977086466373326,0.0274340896469262,-0.0009003107836979366,6.0,-22573.345714689007,False,0.125,0.07497067980671221,0.03022913533626674,-0.047565910353073795,0.056358818749996736,0.0009003107836979366,0.07227714551914233,0.019915247080699,True,True,0.5025613574,0.079124439,0.4832328836,0.503659082,0.1130349128,0.4760469766,0.002439388,0.0753566085,-0.0159686822,0.7967728664,0.0626794372,0.8487566113,0.1023486508,0.0182204619,0.0763907954,0.7910582209,0.0596450777,0.8337623477,0.5,0.0,0.5,0.0694966107,0.0379138298,0.0167671164,8.5685672933,1.4517653029,9.0,1.7861908008,1.0652875844,0.8639294606,1.0,0.0,1.0,1.574229336,1.1327010448,0.6139294606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03299760112052973,-0.08440976690623464,-0.006168694745883514,6.0,-30756.301536210794,False,0.09013878188659974,0.09063029531494671,0.01700239887947027,-0.009409766906234643,0.019432582970008917,0.006168694745883514,0.08853694721584099,0.019366450541434682,True,True,0.0060541612,0.0153450005,0.0,0.4106076435,0.0911638057,0.4074938186,-0.0595949044,0.0607758705,-0.0616707876,1.2707799137,0.1747256974,1.3118803501,0.1107665419,0.020941136,0.1077065691,1.2834836278,0.1783926145,1.3386362791,0.28,0.0,0.28,0.2739458388,0.0153450005,0.28,9.0,0.0,9.0,2.3851238526,1.0620832829,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.038478437262275435,0.013162989772735384,0.005994401843109287,6.0,-16941.098924762024,False,0.0625,0.0406676091491005,0.011521562737724568,0.05066298977273538,0.051956567829597955,0.005994401843109287,0.022884955946179116,0.03361745417555357,True,True,0.5247204781,0.0702322522,0.5012177589,0.5353149687,0.1003317888,0.5017396556,0.0235433125,0.0668878592,0.0011597704,0.4755078261,0.0432158267,0.5221989155,0.0475128468,0.0058299972,0.0510355048,0.4768567721,0.0440643516,0.518576622,0.5,0.0,0.5,0.0652562755,0.0358509385,0.0012177589,7.8673078754,2.362612127,9.0,1.3814005393,1.3092160729,1.9037321282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03618707196265965,0.015802194668864473,0.01039127359287025,6.0,-11962.748114169945,False,0.05,0.03948687799235838,0.013812928037340355,0.015802194668864473,0.020988242835393155,0.01039127359287025,0.03618707196265965,0.015802194668864473,True,True,0.4549401424,0.0643982018,0.4321956884,0.5427716319,0.0919974311,0.5102795549,0.0285144213,0.0613316207,0.0068530366,0.4879613896,0.0255373507,0.4667660296,0.0252063193,0.0034254841,0.0227743704,0.4886804238,0.0276449706,0.4649486542,0.425,0.0,0.425,0.0596110619,0.0386013188,0.0071956884,7.8686952391,2.3498543152,9.0,0.3158118003,0.4414085817,0.2564913166,0.0,0.0,0.0,0.0,0.0,0.0,0.0013468712,0.0021354063,0.0047965399,0.0013468712,0.0021354063,0.0047965399,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03791396953394076,0.02482059655617457,0.022555248670256267,6.0,-17417.959763442195,False,0.0625,0.045315903380876925,0.012086030466059244,-0.01267940344382543,0.01751683202288029,0.022555248670256267,0.04522353356085735,0.0028919044754247974,True,True,0.5388064311,0.0685823272,0.5095499007,0.5554377587,0.0979747532,0.5136427153,0.0369585058,0.0653165021,0.0090951435,0.472466493,0.0482438511,0.5147984028,0.0511980676,0.0089104809,0.0391996093,0.4782595726,0.0420088993,0.5148278475,0.5,0.0,0.5,0.0655979299,0.0436621838,0.0095499007,7.9350496677,2.3374151856,9.0,1.3542429107,1.0979059512,0.5773097544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.01375406664629849,0.06556790184172602,0.13236695392959041,6.0,-20394.09309245522,False,0.09013878188659974,0.06699495578949985,0.036245933353701514,-0.009432098158273977,0.037453066100765195,0.13236695392959041,0.06218517549411962,0.02492645281628701,True,False,0.0315353659,0.0488460782,0.0098941234,0.4570010482,0.1454300773,0.514134462,-0.0286659679,0.0969533849,0.0094229747,0.921458112,0.1161030183,0.8790714741,0.1155303722,0.0134562532,0.0957079977,0.9490786735,0.1081677713,0.8681870699,0.28,0.0,0.28,0.2484646341,0.0488460782,0.2701058766,8.551293475,1.4194645881,9.0,2.1161914969,1.1224450093,1.7773769109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
