cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.059928977042332354,-0.01419247920224978,-0.05922979026394574,6.0,-23205.046701644827,False,0.125,0.061586595580911035,0.04007102295766765,0.06080752079775022,0.07282335797285616,0.05922979026394574,0.05645866915521575,0.024603402863599584,True,False,0.4835683746,0.0702009626,0.5161048139,0.4765262495,0.1002870895,0.5230068769,-0.015649167,0.0668580597,0.015337918,0.8120197721,0.0562790626,0.8483182788,0.0784165471,0.0132092945,0.0782917365,0.7944277545,0.0784476866,0.7340222597,0.5,0.0,0.5,0.0593653459,0.0409136796,0.0161048139,8.8082050503,0.9614165225,9.0,1.9149004336,1.2368839888,3.0,1.0,0.0,1.0,1.7941173137,1.2846658573,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05524819346747014,-0.02965150230764856,-0.0821531825065922,6.0,-21056.216533218936,False,0.10680004681646915,0.06270226846390406,0.044751806532529866,0.00784849769235144,0.0454348225918384,0.0821531825065922,0.06214183309009947,0.008364630937567789,True,False,0.4875496032,0.0724637154,0.4125275817,0.4822137189,0.1035195934,0.3750394024,-0.0118575207,0.0690130622,-0.0833070651,0.8083422703,0.0559332474,0.7508195639,0.0729113854,0.014809662,0.0433058552,0.7946431315,0.0751350911,0.8355967999,0.5,0.0,0.5,0.0612447599,0.0406826967,0.0874724183,8.5724842022,1.4676162921,9.0,1.8422926147,1.1785063838,2.9763610018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06722111338214136,-0.0053121409840750635,-0.050393973477271,6.0,-15181.276157896049,False,0.1,0.0674306823795325,0.032778886617858646,-0.0053121409840750635,0.03320653926173462,0.050393973477271,0.06722111338214136,0.0053121409840750635,True,False,0.4893105146,0.073109244,0.4594272099,0.4847293065,0.1044417771,0.4420388713,-0.0101804623,0.0696278514,-0.0386407524,0.809985373,0.0592616972,0.8156557679,0.04170381,0.0081549964,0.0349030942,0.8002535417,0.0770342654,0.8549001813,0.5,0.0,0.5,0.0596179928,0.0436454074,0.0405727901,8.7245303069,1.1092855099,9.0,0.5471216794,0.6561523685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115526132,0.0091738885,0.0220286659,0.0115526132,0.0091738885,0.0220286659,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.059662028742216315,-0.0020197673160215614,-0.05179546812851835,6.0,-21007.76797392933,False,0.10680004681646915,0.05969620702898899,0.04033797125778369,-0.03951976731602156,0.05647091228151241,0.05179546812851835,0.05515411065309085,0.022839903934003838,True,False,0.4914765653,0.0711654116,0.5392637178,0.4878236647,0.1016648738,0.5560910255,-0.0081175569,0.0677765825,0.037394017,0.8071877279,0.0586917097,0.8143050671,0.0725646804,0.0160172224,0.0383983515,0.7983652306,0.0748136916,0.7334427834,0.5,0.0,0.5,0.0598913867,0.0393724086,0.0392637178,8.7387920913,1.2055553731,9.0,1.6410108046,1.1842863076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.055370048693994055,-0.017675122724564406,-0.07049721306946351,6.0,-22247.868715186927,False,0.125,0.05812273441351229,0.04462995130600595,-0.09267512272456441,0.10286161055315796,0.07049721306946351,0.0336909653204566,0.047362127396047955,True,False,0.4954219646,0.0698092866,0.4269332513,0.4934599495,0.0997275523,0.3956189305,-0.0043600337,0.0664850349,-0.0695873797,0.8086584616,0.0577482891,0.7706761956,0.0818434554,0.0178278594,0.0588409193,0.7993727368,0.0736890453,0.739599824,0.5,0.0,0.5,0.0583845387,0.0385427108,0.0730667487,8.6061291535,1.4964863156,9.0,1.6514138975,1.2381189789,0.0,1.0,0.0,1.0,1.5072344272,1.2694099832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.024652588658335337,-0.10316945434843174,0.0019106836364239192,6.0,-30409.796238365365,False,0.09013878188659974,0.10607396682556104,0.025347411341664666,-0.02816945434843174,0.037894714935092604,0.0019106836364239192,0.09951697062352581,0.03671592292216721,True,True,0.0077788574,0.0201128534,0.0,0.4246410516,0.0918730631,0.4274339862,-0.0502392989,0.0612487088,-0.0483773425,1.2707799137,0.1747256974,1.3118803501,0.0965510042,0.0176729209,0.082555607,1.2740134919,0.1942967791,1.3032066822,0.28,0.0,0.28,0.2722211426,0.0201128534,0.28,8.974125974,0.4474037332,9.0,2.3550549659,1.1125015918,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03196386827111168,-0.011978873940817694,-0.03447506177167514,6.0,-16940.200751569726,False,0.0625,0.034134766671869626,0.01803613172888832,0.025521126059182303,0.03125107875050853,0.03447506177167514,0.03275841898137996,0.009595221810012855,True,True,0.5094643462,0.0635663016,0.5502502739,0.5135204945,0.0908090023,0.5717861056,0.009013663,0.0605393349,0.0478574038,0.4854728096,0.0355983917,0.4789660573,0.0398143788,0.007954701,0.0594605468,0.4847822897,0.0465510042,0.478196919,0.5,0.0,0.5,0.0530788705,0.0362337144,0.0502502739,8.0526171141,2.2339380135,9.0,1.5087768783,1.1731547805,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.031278767186659305,0.007790488563845827,-0.00785343734834291,6.0,-11388.8592182108,False,0.05,0.0322343448635248,0.018721232813340698,0.007790488563845827,0.020277481848462276,0.00785343734834291,0.031278767186659305,0.007790488563845827,True,True,0.4364633995,0.0614160683,0.436372828,0.5163762849,0.0877372404,0.5162468972,0.0109175233,0.0584914936,0.0108312648,0.4880682661,0.0330898575,0.4702300429,0.0208295448,0.0041718005,0.0180810094,0.4869814163,0.0440922764,0.3974473178,0.425,0.0,0.425,0.0512307714,0.0357596285,0.011372828,7.9595735702,2.3647839052,9.0,0.3021390659,0.3703763009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034127402,0.005669028,0.0037210689,0.0034127402,0.005669028,0.0037210689,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03439160324179943,0.006093421117687004,-0.020393045493958633,6.0,-16536.62184056215,False,0.0625,0.03492724086524475,0.015608396758200575,-0.03140657888231299,0.03507128806377597,0.020393045493958633,0.031169335264051745,0.01576022505093005,True,True,0.5220469149,0.0620345355,0.4166731883,0.5314955927,0.088620765,0.3809616975,0.0209970618,0.05908051,-0.0793588683,0.4820832863,0.0376796097,0.4539168179,0.0402577243,0.0087288617,0.044413399,0.4826363427,0.0463189292,0.453230232,0.5,0.0,0.5,0.0539692176,0.0377050873,0.0833268117,8.1961217869,2.079347557,9.0,1.1944479122,1.2068512357,0.1597340471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03181504687886464,0.02495655205934254,0.04129313320167216,6.0,-17905.044384132947,False,0.09013878188659974,0.04043546337801793,0.018184953121135362,-0.05004344794065746,0.05324508617522545,0.04129313320167216,0.03841291923325476,0.012628314795509164,True,True,0.0231696478,0.0375649323,0.0,0.4641913821,0.1177684003,0.3624190949,-0.0238724119,0.0785122669,-0.0917206034,0.921458112,0.1161030183,0.8790714741,0.0841264658,0.0150151369,0.066505529,0.9335604419,0.1255561797,0.8970738649,0.28,0.0,0.28,0.2568303522,0.0375649323,0.28,8.6135093605,1.3671897491,9.0,1.9611893073,1.1962966704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
