cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.060590083632612986,0.028170201800588084,-0.0002929151995992492,6.0,-21351.7032866275,False,0.125,0.06681854910197386,0.03940991636738702,0.10317020180058808,0.11044107952957771,0.0002929151995992492,0.03156994582573754,0.05889021162003826,True,True,0.4819712727,0.0804417254,0.4540454973,0.4742446753,0.1149167506,0.4343507104,-0.0171702165,0.0766111671,-0.0437661931,0.7984306167,0.055859419,0.8081892729,0.0944065098,0.0125968781,0.1022378504,0.7782882738,0.0659686212,0.788569212,0.5,0.0,0.5,0.0729398696,0.0384146016,0.0459545027,8.4638045171,1.7866776739,9.0,1.7743669451,1.2921069829,3.0,1.0,0.0,1.0,1.6288453207,1.3206437837,2.5318094295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.062128729721917,0.021961916054550053,-0.006338626749847827,6.0,-20452.304101715672,False,0.10680004681646915,0.06589616691163543,0.03787127027808301,0.05946191605455005,0.07049789055960448,0.006338626749847827,0.050461598854983025,0.04237843619867174,True,True,0.4876261666,0.085474546,0.4810576973,0.4823230952,0.1221064943,0.4729395676,-0.0117846032,0.0814043295,-0.0180402882,0.7936289263,0.061806343,0.8457273841,0.0871705847,0.014492348,0.0773835704,0.7754870512,0.0687774603,0.8252603412,0.5,0.0,0.5,0.076393537,0.0402869366,0.0189423027,8.5170128256,1.7293135838,9.0,1.6362561841,1.3076613412,2.6289761492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06500616727574828,0.04335272116201639,0.0231681630742581,6.0,-15109.827624437119,False,0.1,0.07813616458487138,0.03499383272425173,0.04335272116201639,0.055713793273160415,0.0231681630742581,0.06500616727574828,0.04335272116201639,True,True,0.4938436684,0.0884108381,0.4700170796,0.4912052405,0.1263011973,0.4571672566,-0.005863173,0.0842007982,-0.0285551623,0.7889277492,0.0642526119,0.8303661942,0.0483277594,0.0090950932,0.0399665795,0.7792658859,0.0660692196,0.8179808259,0.5,0.0,0.5,0.0792981258,0.039575042,0.0299829204,8.3863738563,1.7638523574,9.0,0.7872992459,0.8478293869,0.9604435657,0.0,0.0,0.0,0.0,0.0,0.0,0.0140025285,0.0074821623,0.0205518539,0.0140025285,0.0074821623,0.0205518539,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06369477661744709,0.040601055832143344,0.020444764845797787,6.0,-20698.703317912255,False,0.10680004681646915,0.0755345636316998,0.03630522338255292,0.0031010558321433457,0.03643742296226693,0.020444764845797787,0.07389526026156285,0.0156512240386238,True,True,0.5018947538,0.0828989359,0.4800814476,0.5027067911,0.1184270513,0.4715449251,0.0018045274,0.0789513676,-0.0189700499,0.7932104754,0.0666434654,0.8443681002,0.0910522336,0.0178822702,0.0697303414,0.7837225588,0.0677926694,0.8258864284,0.5,0.0,0.5,0.0724582103,0.0403191199,0.0199185524,8.4952186429,1.5813580172,9.0,1.7542636895,0.998708644,0.7600424925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06224192837041997,0.032776788162852066,-0.0031501512030935133,6.0,-23146.9785224282,False,0.125,0.07034469055686413,0.03775807162958004,-0.04222321183714793,0.05664337199557567,0.0031501512030935133,0.06945961559404722,0.011123726491970323,True,True,0.5053440281,0.0797855129,0.4727795253,0.5076343259,0.1139793041,0.4611136075,0.0050895506,0.0759862027,-0.0259242617,0.7953075127,0.0657416626,0.834207356,0.1021583681,0.0188851911,0.0737633035,0.7902510053,0.0638971877,0.8228755593,0.5,0.0,0.5,0.0695783413,0.0394099115,0.0272204747,8.731476675,1.1105529218,9.0,1.8504293587,1.0402728213,0.5536853269,1.0,0.0,1.0,1.647673015,1.1121919298,0.3036853269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03171481078336992,-0.1048044712817545,-0.0021707137489801465,6.0,-30612.894184461427,False,0.09013878188659974,0.1094979745185867,0.018285189216630082,-0.029804471281754508,0.03496647899164133,0.0021707137489801465,0.10479480294268723,0.03174674313809866,True,True,0.0057614923,0.0142792511,0.0,0.4062284909,0.0942937535,0.3816323727,-0.0625143394,0.0628625024,-0.0789117515,1.2707799137,0.1747256974,1.3118803501,0.1114982821,0.0202108782,0.1120838374,1.2827254889,0.1792900015,1.3545244932,0.28,0.0,0.28,0.2742385077,0.0142792511,0.28,9.0,0.0,9.0,2.4278049659,1.0604508941,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03489334214764326,0.02923722287710359,0.025645143026325663,6.0,-17035.409345050837,False,0.0625,0.0455231867052157,0.015106657852356743,0.0667372228771036,0.06842563868036872,0.025645143026325663,0.010372339991852456,0.04432578359026883,True,True,0.5261526936,0.0689112918,0.5051589213,0.5373609908,0.0984447025,0.5073698875,0.0249073272,0.0656298017,0.0049132584,0.4759293768,0.0436805947,0.5186958313,0.0476843531,0.0052433033,0.0531752296,0.4772020989,0.0447721724,0.5159248114,0.5,0.0,0.5,0.0639340634,0.0366764918,0.0051589213,7.9519907633,2.3164583847,9.0,1.3965782427,1.3028528922,2.2390701753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03445900591048788,0.022207494695157384,0.01996687165115955,6.0,-12157.697614772946,False,0.05,0.040995071764475324,0.015540994089512122,0.022207494695157384,0.027105263657188322,0.01996687165115955,0.03445900591048788,0.022207494695157384,True,True,0.4556093433,0.0637804395,0.4329993222,0.5437276332,0.0911149136,0.5114276032,0.0291517555,0.0607432757,0.0076184021,0.4882632109,0.0255036173,0.4674322605,0.0250912847,0.0033337613,0.0235598162,0.4890434351,0.0274556005,0.4652466774,0.425,0.0,0.425,0.0595371297,0.038212649,0.0079993222,7.828085152,2.4086525131,9.0,0.372540823,0.4992247772,0.2745458413,0.0,0.0,0.0,0.0,0.0,0.0,0.0011662242,0.0018867687,0.0050595334,0.0011662242,0.0018867687,0.0050595334,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03691891182436686,0.029866297327080838,0.02960549257808265,6.0,-17420.272475746704,False,0.0625,0.04748685888037838,0.013081088175633145,-0.0076337026729191605,0.015145569793085449,0.02960549257808265,0.04745490785574199,0.0017416907670445582,True,True,0.5404904694,0.0684968669,0.5129812036,0.5578435277,0.097852667,0.5185445766,0.0385623518,0.0652351113,0.0123630511,0.4718317318,0.0490290504,0.5117567182,0.0508026776,0.0093235869,0.0413750671,0.4775699703,0.0433673498,0.5120111704,0.5,0.0,0.5,0.0657898373,0.0447548455,0.0129812036,7.9127264517,2.35322555,9.0,1.3637712921,1.1020044867,0.5364533265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.015169754855255966,0.06941381546719273,0.133060325615351,6.0,-20051.447287383715,False,0.09013878188659974,0.07105208821760306,0.03483024514474404,-0.005586184532807265,0.035275365830527414,0.133060325615351,0.06617045158548958,0.025881858068045,True,False,0.0311077099,0.0479254517,0.0064952531,0.454821828,0.1461188369,0.5092789331,-0.0301187813,0.0974125579,0.0061859554,0.921458112,0.1161030183,0.8790714741,0.1158038826,0.0133939997,0.1019054577,0.9495262351,0.108400905,0.8700670004,0.28,0.0,0.28,0.2488922901,0.0479254517,0.2735047469,8.5623528217,1.493585606,9.0,2.0649765012,1.1356829539,2.7156067804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
