cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.04655155255491006,-0.047999925377286666,-0.11404898324080011,6.0,-24047.467942471405,False,0.125,0.06686583493457358,0.05344844744508995,0.02700007462271333,0.05988105346370111,0.11404898324080011,0.06604119727030004,0.010469008768883297,True,False,0.4826600355,0.071362351,0.4927762804,0.4752286221,0.1019462157,0.4896804006,-0.0165142519,0.0679641438,-0.0068797329,0.8116579107,0.0563922533,0.8620577455,0.0796327746,0.0128396581,0.0768811479,0.7941569028,0.0781437268,0.7406492233,0.5,0.0,0.5,0.0603149945,0.041897028,0.0072237196,8.6988815792,1.2605323586,9.0,2.156397294,0.9882908565,3.0,1.0,0.0,1.0,1.9936208503,1.0729836151,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.04838957598810483,-0.02452588163648513,-0.08443788087437169,6.0,-21241.919746537427,False,0.10680004681646915,0.0542500685193618,0.051610424011895174,0.012974118363514867,0.05321619691407964,0.08443788087437169,0.053920183856049166,0.005973584123899487,True,False,0.4887532602,0.0705788238,0.4574184779,0.4839332288,0.1008268912,0.4391692542,-0.0107111808,0.0672179274,-0.0405538306,0.8075648461,0.0554004413,0.8128681183,0.0727766796,0.014719074,0.0426518396,0.7943110987,0.0744883327,0.7996450663,0.5,0.0,0.5,0.0604416912,0.0381400249,0.0425815221,8.6635851303,1.2756369469,9.0,1.8793335634,1.131773782,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06590426170684316,0.0035563143221729065,-0.05390096368287001,6.0,-15130.552111621393,False,0.1,0.06600014456561565,0.034095738293156846,0.0035563143221729065,0.034280705087753584,0.05390096368287001,0.06590426170684316,0.0035563143221729065,True,False,0.4911586494,0.0737168888,0.4326289758,0.4873694991,0.1053098411,0.4037556797,-0.0084203339,0.0702065607,-0.0641628802,0.8082423047,0.0599123595,0.7785421014,0.0418872087,0.0085746523,0.0396716818,0.7985461865,0.0774201054,0.8590793014,0.5,0.0,0.5,0.0601449365,0.0435308602,0.0673710242,8.6873236616,1.2486787557,9.0,0.5716611945,0.6355077797,0.0222187319,0.0,0.0,0.0,0.0,0.0,0.0,0.0114895423,0.0088515037,0.0217167242,0.0114895423,0.0088515037,0.0217167242,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.057311028519047486,-0.01685920524040633,-0.06480447745312135,6.0,-20473.42700396565,False,0.10680004681646915,0.05973932365912104,0.04268897148095252,-0.05435920524040633,0.06911780870709225,0.06480447745312135,0.04774232603241926,0.035909011351795805,True,False,0.4917658673,0.0718705206,0.5771946281,0.4882369533,0.1026721723,0.6102780402,-0.0078420311,0.0684481149,0.0735186934,0.8083924733,0.0599381983,0.7592947483,0.0736412303,0.0166616757,0.0510793366,0.799309755,0.0761413012,0.6793231964,0.5,0.0,0.5,0.0591632835,0.041627858,0.0771946281,8.6109922286,1.4320755332,9.0,1.5725053466,1.2265993399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06273886232094465,0.002459592189128497,-0.04852625401724272,6.0,-21624.196147769308,False,0.125,0.06278705630194228,0.03726113767905535,-0.0725404078108715,0.08155061708230701,0.04852625401724272,0.051666845170232824,0.035675643641263986,True,True,0.4957702035,0.0685724858,0.4248788871,0.4939574336,0.097960694,0.3926841244,-0.0040283776,0.0653071293,-0.0715439171,0.8094943126,0.0579612182,0.7678411007,0.0829467434,0.0173178547,0.0582529716,0.799985594,0.0737725261,0.7738426924,0.5,0.0,0.5,0.0574897614,0.0376165431,0.0751211129,8.5617547959,1.5287232142,9.0,1.6653054529,1.1536631007,0.0,1.0,0.0,1.0,1.487706764,1.2063950356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.059633937495126195,-0.08632963377528485,0.010347658666745474,6.0,-29978.044353094363,False,0.09013878188659974,0.10492383985037633,-0.009633937495126192,-0.011329633775284856,0.014871898101522674,0.010347658666745474,0.10490955402303356,0.0017313704501416417,True,True,0.0083151729,0.0198631544,0.0,0.4251129281,0.0913235033,0.4419531245,-0.0499247146,0.0608823355,-0.038697917,1.2707799137,0.1747256974,1.3118803501,0.0972896094,0.0179237433,0.084306471,1.273621347,0.1944703754,1.3011620045,0.28,0.0,0.28,0.2716848271,0.0198631544,0.28,8.974125974,0.4474037332,9.0,2.3195629801,1.0730693745,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03317440718479697,-0.006207769903810229,-0.032993494061604935,6.0,-17007.059461990168,False,0.0625,0.03375022517319493,0.01682559281520303,0.03129223009618977,0.03552892114849389,0.032993494061604935,0.030264187690123717,0.01493842838783,True,True,0.5102300244,0.0640384224,0.5482403293,0.5146143205,0.0914834606,0.5689147562,0.0097428804,0.0609889738,0.0459431708,0.4850848323,0.0361321026,0.4807221293,0.0400581225,0.0077832421,0.0622922853,0.4837940894,0.0471621487,0.4747465849,0.5,0.0,0.5,0.0537113717,0.0363409067,0.0482403293,8.0301780558,2.2422113238,9.0,1.507889036,1.2271145151,2.7346791341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03116900124030209,0.015890159103571052,0.0005070836853128627,6.0,-11511.45015447465,False,0.05,0.03498576560052324,0.018830998759697914,0.015890159103571052,0.024639473830107377,0.0005070836853128627,0.03116900124030209,0.015890159103571052,True,True,0.4386826628,0.0613724687,0.4467512371,0.5195466611,0.0876749553,0.5310731959,0.0130311074,0.0584499702,0.0207154639,0.4878530753,0.0328470103,0.4788477421,0.021064607,0.004075856,0.0193593968,0.4867801655,0.0439488614,0.3974382877,0.425,0.0,0.425,0.0515757301,0.035968587,0.0217512371,7.9739652723,2.2969492724,9.0,0.3555413722,0.42446768,0.088757531,0.0,0.0,0.0,0.0,0.0,0.0,0.0033350742,0.0055777622,0.0044030193,0.0033350742,0.0055777622,0.0044030193,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.034405145035964875,0.012738014583604558,-0.012596095261311557,6.0,-16672.08184707839,False,0.0625,0.03668747770667671,0.015594854964035128,-0.02476198541639544,0.02926355110220001,0.012596095261311557,0.035166924778934634,0.010452675354695276,True,True,0.5229832429,0.0629358171,0.4197821859,0.5328332042,0.0899083102,0.3854031228,0.0218888028,0.0599388735,-0.0763979182,0.481122685,0.0381275282,0.4564873576,0.0404728262,0.0087475793,0.0442857184,0.4818484908,0.0466285063,0.4514762461,0.5,0.0,0.5,0.055218792,0.0379477476,0.0802178141,8.0319118955,2.2215355425,9.0,1.2509768657,1.1535431895,0.0470589545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.032019897344133394,0.012530131578001842,0.026792327962782192,6.0,-17179.187862034323,False,0.09013878188659974,0.034384269997934806,0.01798010265586661,-0.062469868421998156,0.06500591167099545,0.026792327962782192,0.028187143007470827,0.019691698564808166,True,True,0.0260297461,0.0403055665,0.0,0.4668377685,0.1234813508,0.3902047239,-0.0221081544,0.0823209005,-0.0731968507,0.921458112,0.1161030183,0.8790714741,0.0861756657,0.0156186458,0.0712479055,0.9338288522,0.1268188882,0.894472003,0.28,0.0,0.28,0.2539702539,0.0403055665,0.28,8.5128283096,1.4789272369,9.0,1.8947317947,1.2076516016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
