time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.0032951353854058945,0.0029235905955598113,0.08735983717244745,1.1520590095572173e-05,-2.2172786184035994e-05,-4.324599807425944e-08
0.02,1,seg1,-0.14744793507085174,-0.00562799442438361,0.08582673000396965,4.218787788785433e-06,-7.734283471720219e-06,3.110671993600267e-08
0.02,2,seg2,-0.32267179085268927,-0.015493228360771714,0.08582860018296672,1.5113851333419108e-06,6.093768358932445e-06,1.3356260056274216e-08
0.02,3,seg3,-0.4979088843830834,-0.025170024260949775,0.08583042028494225,-1.8916567314877037e-06,1.2471273301180115e-05,8.144869181880843e-09
0.02,4,seg4,-0.673160974021436,-0.03459821509094621,0.0858322135114716,-5.919194478965079e-06,8.618589649745639e-06,1.4640429410461842e-08
0.02,5,seg5,-0.8484248069766318,-0.04382007965742321,0.08583399278343945,-9.84458638506366e-06,-3.897484183263662e-06,2.004721359749606e-08
0.02,6,seg6,-1.0236934917562277,-0.05294579944230404,0.08583577536351897,-1.17120902559401e-05,-2.0672140734032444e-05,-1.1125935450717606e-08
0.04,0,head,0.000863703531696764,0.010669528252123023,0.08851526963436936,0.0019995788097894704,0.007849233413073035,0.0011553892159238272
0.04,1,seg1,-0.14793746541802102,-0.002809120571409067,0.08696124363070405,0.0003330349006710832,0.002834372280975077,0.0011345447334543401
0.04,2,seg2,-0.32276961635324225,-0.019028050033743922,0.08690211742841403,0.00029972361238281373,-0.003517484463440193,0.0010735306017073676
0.04,3,seg3,-0.4978685985185376,-0.03198338714472285,0.08685680518271612,0.0003444361523088829,-0.006792203133677442,0.0010263930426430423
0.04,4,seg4,-0.6727222452437626,-0.04009170090300881,0.08684198605911438,-0.00013227434062978202,-0.005500909855192195,0.001009787188072181
0.04,5,seg5,-0.8483565839441513,-0.04260176052914271,0.086840055734045,-0.00014707775461242432,0.0012085887788349586,0.0010060829978191521
0.04,6,seg6,-1.0220496028322834,-0.04359525120487409,0.08688017367409102,-0.0021834465161763576,0.009221551223556817,0.0010443871846366054
0.06,0,head,-0.0049812031795363745,0.02836103326264956,0.08767700085200728,0.006831362893835836,0.025843847789759636,0.00031712043356174613
0.06,1,seg1,-0.1498506785028305,0.003275907828851868,0.08623294449529291,0.0018979389221338526,0.009018143811641278,0.0004062455980431978
0.06,2,seg2,-0.32316077898005013,-0.025039864785973514,0.08625419542779374,0.0010313300255693383,-0.009497424000866355,0.0004256086010870769
0.06,3,seg3,-0.4971116073530547,-0.04337225239668246,0.08628701221662102,0.00023479921978067266,-0.01820567180424069,0.00045660007654795
0.06,4,seg4,-0.6714675292757578,-0.047435043418385635,0.08633026443823744,-0.000968352771568481,-0.012903609654297972,0.0004980655671952411
0.06,5,seg5,-0.8471064117098399,-0.03844477991542659,0.08634937993298658,-0.0016310781856011133,0.005287946713397074,0.0005154071967607282
0.06,6,seg6,-1.0176954120969595,-0.026666097302629994,0.08645753361003782,-0.007491081371821363,0.02587640760339518,0.0006217471205833963
0.08,0,head,-0.009334202944626549,0.0392706527504346,0.08778420092807346,0.010558405948012013,0.036982858266249995,0.000424320509627929
0.08,1,seg1,-0.15195079516661933,0.006733963900191821,0.08624965255399192,0.00379848392194836,0.012589777961105029,0.000422953656742206
0.08,2,seg2,-0.3238112858159332,-0.02896854082747551,0.08615048204226132,0.0019036783054278848,-0.013382866454537503,0.00032189521555466005
0.08,3,seg3,-0.49686761906757626,-0.050146601745099814,0.0860831365539974,0.000375539313656077,-0.02498295235054991,0.0002527244139243212
0.08,4,seg4,-0.6699471953522153,-0.0509037349446102,0.0860585897098813,-0.002289445476456953,-0.016452968780710318,0.00022639083883910227
0.08,5,seg5,-0.8450538509355401,-0.03490803861084823,0.08600360736033684,-0.003880986169103817,0.008702541689708292,0.00016963462411098695
0.08,6,seg6,-1.0137532214549687,-0.01696428916127521,0.08606661801247448,-0.011977344070642137,0.035338933442758715,0.0002308315230200586
0.1,0,head,-0.012599541267515989,0.04507999746906188,0.08765865058121448,0.01348889800136296,0.04296810151508972,0.00029877016276895485
0.1,1,seg1,-0.15394005822935064,0.00781793795202958,0.08613026960095023,0.005723044848807682,0.01378486478484849,0.00030357070370051753
0.1,2,seg2,-0.324575874612328,-0.031621887997919096,0.08603980005172694,0.0028175703913899527,-0.01598856184912499,0.00021121322502028195
0.1,3,seg3,-0.49705256884805227,-0.05338014182775592,0.085968927616593,0.0007436426069906396,-0.028200791354089094,0.00013851547651992646
0.1,4,seg4,-0.6686997403903104,-0.05204279627196895,0.08594063447939003,-0.0034702677905085718,-0.017660968471111288,0.00010843560834783439
0.1,5,seg5,-0.8433682312796588,-0.03305003031212522,0.08584431652017935,-0.005669302949303018,0.010461925546473629,1.0343783953495334e-05
0.1,6,seg6,-1.0108583566449207,-0.013941285754335024,0.08588214823374517,-0.015039053054472075,0.03819283077156329,4.6361744290748796e-05
0.12,0,head,-0.015793442334843047,0.04946643261563068,0.08742020018567749,0.016428795098903354,0.04752867410835185,6.031976723196164e-05
0.12,1,seg1,-0.15567305324708391,0.008537532760745342,0.08597330903821462,0.007412423155827494,0.014601620167883748,0.00014661014096491176
0.12,2,seg2,-0.32515008065803547,-0.03325358435917331,0.08597595490353833,0.003483424114159174,-0.017585053132529404,0.00014736807683167485
0.12,3,seg3,-0.49713244220270125,-0.054647628951995875,0.08598158938660902,0.0008952968257700092,-0.029461705451399003,0.00015117724653594677
0.12,4,seg4,-0.667573915901336,-0.05174591733523357,0.08602390697460804,-0.004611122058135071,-0.017428440143998157,0.0001917081035658491
0.12,5,seg5,-0.8420662428662041,-0.031720243375875506,0.08596597564975,-0.007044638320233862,0.011715703733273944,0.00013200291352415128
0.12,6,seg6,-1.009211803885381,-0.01384834451424642,0.08604811817237104,-0.01668822668830462,0.03819220692134517,0.0002123316829166222
0.14,0,head,-0.01831534998993959,0.05194145723488577,0.08738784666690948,0.018806222953610587,0.05014278999753008,2.796624846394813e-05
0.14,1,seg1,-0.15661490306476944,0.008195121757797661,0.08592109630475316,0.00837218228653358,0.014313195507172189,9.439740750344372e-05
0.14,2,seg2,-0.32587068157108945,-0.035256830200926154,0.08588673781014575,0.004316516369631017,-0.019544189899588543,5.815098343908698e-05
0.14,3,seg3,-0.497084221190901,-0.05558699623623079,0.08589212397551362,0.0009004474705092059,-0.030402295495744032,6.171183544054215e-05
0.14,4,seg4,-0.6664343129124485,-0.05106120898523977,0.08595920742886688,-0.005787735716116832,-0.016809488775585274,0.00012700855782468712
0.14,5,seg5,-0.8408553123471154,-0.030719069747498624,0.08592202321086848,-0.008310418939453402,0.012646563969798496,8.805047464262306e-05
0.14,6,seg6,-1.007879074351994,-0.015198347172052684,0.08602696171898855,-0.01794221869636213,0.03676876769578069,0.00019117522953412958
0.16,0,head,-0.020427558243630167,0.053515758953442044,0.08751481526568056,0.020825712837043337,0.05183438989656298,0.0001549348472350276
0.16,1,seg1,-0.15731842985600208,0.007604475060487238,0.08604332150301547,0.009108085633680008,0.013763413977300364,0.00021662260576575665
0.16,2,seg2,-0.32654782049346237,-0.03685112209819705,0.08598084015801417,0.005083015076700202,-0.021097497179487404,0.00015225333130751417
0.16,3,seg3,-0.49695299026792294,-0.05582500960595419,0.08597531430658942,0.0007829313482593784,-0.030647370750153287,0.0001449021665163447
0.16,4,seg4,-0.665468657493121,-0.04986488280071687,0.08602612128030901,-0.006819708061406284,-0.015669874890539292,0.00019392240926681403
0.16,5,seg5,-0.8398776498153527,-0.029826156008304048,0.08595541028611949,-0.00933716528025239,0.01348257289506066,0.00012143754989363265
0.16,6,seg6,-1.0069926638678515,-0.01734529101580918,0.08602948122003264,-0.018705396928419223,0.03457499231968785,0.00019369473057821718
0.18,0,head,-0.022227942052769033,0.05458113138769344,0.08754639050888877,0.02256275407439814,0.053000189203195,0.00018651009044323708
0.18,1,seg1,-0.15817868759247825,0.006781052693554556,0.0860807624825208,0.010013673761136752,0.012990123662613281,0.0002540635852710943
0.18,2,seg2,-0.3271933013402237,-0.038160409746522427,0.08601156013467173,0.005801737290413166,-0.02236805534382764,0.00018297330796507305
0.18,3,seg3,-0.4967163553469594,-0.05556213936155526,0.08600238210452912,0.000531763907643619,-0.03039834912865855,0.00017196996445605073
0.18,4,seg4,-0.664620661898436,-0.04830034825315596,0.0860295318862969,-0.007755099996642497,-0.014155970400027473,0.00019733301525470814
0.18,5,seg5,-0.8391021203482114,-0.02911840269404295,0.08591750332963961,-0.010151599248510057,0.014145187428163257,8.35305934137609e-05
0.18,6,seg6,-1.0063905432247415,-0.020335457900277326,0.08595604653028827,-0.019136903866687323,0.03155548093073097,0.00012026004083384723
0.2,0,head,-0.023726601212712122,0.05509727390972321,0.08748564693145118,0.024029716606243978,0.053600525201344514,0.00012576651300565123
0.2,1,seg1,-0.1592076659420658,0.005532000472735548,0.08602969300186387,0.011111858399331613,0.011801461223382144,0.00020299410461416256
0.2,2,seg2,-0.32763257655311906,-0.039357917688317964,0.08598604276990159,0.006308244297715342,-0.023538712695403953,0.00015745594319492573
0.2,3,seg3,-0.4963622638109609,-0.054962359116516,0.08601327049731393,0.0001442148102644939,-0.029819623930235562,0.00018285835724085597
0.2,4,seg4,-0.6638379357558833,-0.04647766605830205,0.08607095288099578,-0.008639973335071756,-0.012380631059961933,0.0002387540099535873
0.2,5,seg5,-0.8384282025714443,-0.028492996198514527,0.08598585145485163,-0.010859913331045102,0.014731352605295091,0.00015187871862577806
0.2,6,seg6,-1.0057869281683312,-0.023728995337172026,0.08604968658735038,-0.019547018018500773,0.028133163900649554,0.0002139000978959582
0.22,0,head,-0.025006893213330904,0.055047605185197246,0.08754744480189577,0.025310764385474135,0.053623572460854516,0.00018756438345024495
0.22,1,seg1,-0.16001083944027822,0.004258702625265602,0.0860652932121368,0.01198597743180573,0.010575781414667128,0.00023859431488708338
0.22,2,seg2,-0.32811175645541735,-0.04020756332091888,0.08600090790672861,0.006834856128783054,-0.024359804078305833,0.00017232108002195046
0.22,3,seg3,-0.4959852538925477,-0.05391126280971047,0.08603068380859452,-0.00029182068512683215,-0.028791609839155366,0.0002002716685214484
0.22,4,seg4,-0.6631533407965453,-0.04433573422905897,0.0860875969104734,-0.00944498583014917,-0.01028098892330675,0.0002553980394311983
