time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.007074789748675286,0.00014431637025663646,0.09124868864465246,0.010522422360202899,-0.002208644023067013,0.0038888082262069357
0.02,1,seg1,-0.14791553449636713,-0.01053285038222345,0.08956353711472417,0.0007493367735612066,-0.004878161408137045,0.0037368382174744613
0.02,2,seg2,-0.3238026587203634,-0.01463949685429292,0.08911625751309797,0.0010821222671315157,0.000922608766005272,0.0032876706863913113
0.02,3,seg3,-0.49824172453714227,-0.018433299633731443,0.08869955794286082,-5.178839478155921e-05,0.006757228614099564,0.0028691458027877426
0.02,4,seg4,-0.6727475546498732,-0.027481576722345583,0.08829546262199545,-0.0008224274791838813,0.0070903395292487015,0.0024632637509532512
0.02,5,seg5,-0.848266388935448,-0.04223022623881839,0.08788215731681054,-0.00025820608607730265,0.0015744075350822499,0.002048184580584686
0.02,6,seg6,-1.0142806266243494,-0.06392441475238576,0.08767249287720187,-0.008786556354433527,-0.011515633308694479,0.0018367063877474527
0.04,0,head,-0.02844858016237693,-0.012627554475363685,0.09182112259175987,0.03258638503762189,-0.013747324729159823,0.004461242173314339
0.04,1,seg1,-0.15383518355096376,-0.019525103576505068,0.0900847202360637,0.007169617026096368,-0.013520086188485781,0.0042580213388139915
0.04,2,seg2,-0.3294139065970822,-0.009905692181659128,0.08898760237587561,0.006415765000663416,0.005967136950250674,0.0031590155491689476
0.04,3,seg3,-0.499108397163253,-0.003246725130888179,0.08806238953201288,-4.8105595618264705e-05,0.0219685123536897,0.00223197739193981
0.04,4,seg4,-0.669573516368603,-0.013323238208982319,0.0872538880608145,-0.004794611492941002,0.0210457980535548,0.0014216891897722989
0.04,5,seg5,-0.8435058782888406,-0.04175676916307675,0.08647662264286717,-0.005037910215838382,0.001777019598053739,0.0006426499066413127
0.04,6,seg6,-0.9917117786906876,-0.08409194794406058,0.08635716458230931,-0.03017487019137141,-0.032931102560413886,0.0005213780928548933
0.06,0,head,-0.048051432515808463,-0.03088860443642191,0.08661606483185871,0.05319368469475847,-0.030866815575368012,-0.0007438155865868157
0.06,1,seg1,-0.16617560472362636,-0.02689213481606729,0.0859237355415471,0.019908122464329936,-0.020175131130285018,9.703664429738801e-05
0.06,2,seg2,-0.34057587628274105,-0.0017765410170129676,0.08635497079981545,0.017098557866913545,0.014716457066075578,0.0005263839731087933
0.06,3,seg3,-0.5011148577676169,0.012858483745761566,0.08698444774684241,0.0010414116347037955,0.03816161549425586,0.0011540356067693408
0.06,4,seg4,-0.6642472400322529,0.001771117840779146,0.08746873145832479,-0.01096867096930215,0.035813661600392406,0.0016365325872825937
0.06,5,seg5,-0.8354533291556779,-0.03935958580891726,0.08761235781663529,-0.013213490990837372,0.0037134892098793374,0.0017783850804094364
0.06,6,seg6,-0.9715543590818306,-0.09856135293777872,0.08810553771118787,-0.049478916859994275,-0.04852081161306379,0.0022697512217334515
0.08,0,head,-0.06149815038789552,-0.04211358106459085,0.09221224310775623,0.06725558132391708,-0.041310827495612525,0.004852362689310705
0.08,1,seg1,-0.17872381303180723,-0.025601265975355548,0.09026291493209386,0.032362883749674456,-0.01817443239816453,0.004436216034844148
0.08,2,seg2,-0.3511061512520954,0.012620054999911165,0.088641188998744,0.0267950967496375,0.029687288756276128,0.00281260217203734
0.08,3,seg3,-0.504601151306739,0.030874936586670888,0.08772056743273009,0.003499945920478104,0.056346840947207405,0.0018901552926570142
0.08,4,seg4,-0.6580352297346372,0.016275616988476817,0.08710286643745616,-0.017993572890874936,0.04994236714765629,0.0012706675664139605
0.08,5,seg5,-0.8238720008512408,-0.040491085615636906,0.08638466753862645,-0.024711971223289216,0.0019267577145316104,0.0005506948024005948
0.08,6,seg6,-0.9495580714117187,-0.11066288147169681,0.08665330097145896,-0.0707532087017788,-0.061850784257988886,0.0008175144820045388
0.1,0,head,-0.0784376569626752,-0.05844646860261506,0.08829999792071067,0.08509443274985086,-0.0566563635915206,0.0009401175022651365
0.1,1,seg1,-0.1933997701164178,-0.025958473356182864,0.08860238371800455,0.04703546854368155,-0.017698439857797694,0.0027756848207548396
0.1,2,seg2,-0.3610390435349083,0.02794227901398545,0.09066549029070656,0.0358427006248498,0.04554836570437864,0.004836903463999898
0.1,3,seg3,-0.5075160656914696,0.05044930506580332,0.09210136941091797,0.005299634691278034,0.07605505617725958,0.006270957270844896
0.1,4,seg4,-0.655848313621127,0.03132758526904667,0.09209011313431047,-0.021030923780973286,0.06484601941048425,0.006257914263268272
0.1,5,seg5,-0.8128521522986246,-0.041640329434911943,0.0898119009733606,-0.03564886937289445,0.00015416573379014141,0.003977928237134748
0.1,6,seg6,-0.9304332770790744,-0.12230960974059374,0.08779466849905865,-0.08918643482486202,-0.07456377809508741,0.001958882009604229
0.12,0,head,-0.09091870872950002,-0.06584711483894805,0.09129287591036946,0.09797524938387077,-0.06333699086263928,0.003932995491923927
0.12,1,seg1,-0.20458124809867712,-0.01943974611905222,0.09098049434421696,0.05782910394786079,-0.010555843032306748,0.005153795446967244
0.12,2,seg2,-0.36764968235833234,0.04654281486375931,0.09198659583518479,0.04138741059923658,0.06449398975987938,0.006158009008478127
