time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.05,-0.075,0.0,0.0,0.0,0.0,0.04919705539941788,0.5737955830991268,0.3316569081693888,0.28,0.05165690816938878,1.2883882522583008,0.04040614888072014,1.2964870929718018,-0.07855356484651566,-0.023566070944070816,-0.3790796399116516,-0.014846624806523323,-0.3939262628555298,-0.024009525775909424,-0.007202858105301857,-0.3793761134147644,-0.004537800792604685,-0.38391390442848206,-0.029501527547836304,-0.00885045900940895,-0.37921208143234253,-0.005575789138674736,-0.3847878575325012,0.08735451102256775,0.026206353679299355,-0.37914785742759705,0.016510002315044403,-0.36263784766197205,0.03102533146739006,0.009307599626481533,-0.3794028162956238,0.005863787606358528,-0.3735390305519104,-0.06742693483829498,-0.020228080451488495,-0.3791060447692871,-0.012743690982460976,-0.39184972643852234,0.05076991021633148,0.01523097325116396,0.01582365669310093,0.009595513343811035,0.025419170036911964,-0.022567402571439743,-0.006770221050828695,0.30081862211227417,-0.004265239462256432,0.296553373336792,-0.09541095793247223,-0.028623288497328758,0.4703703224658966,-0.018032671883702278,0.4523376524448395,0.10811955481767654,0.03243586793541908,0.5173830986022949,0.02043459750711918,0.5378177165985107,0.03268951550126076,0.009806854650378227,0.46628138422966003,0.006178318522870541,0.47245970368385315
0.04,0.05,-0.075,0.0,0.5087871190867903,0.653649519438865,2.7165686553233037,0.1065421923995018,0.6598132885992527,0.3918693020194769,0.28,0.11186930201947687,1.320197582244873,0.05038800835609436,1.3348350524902344,-0.0855109766125679,-0.04214954376220703,-0.37907713651657104,-0.026554211974143982,-0.4056313633918762,0.01019611768424511,-0.0019831652753055096,-0.3793600797653198,-0.0012493941467255354,-0.3806094825267792,-0.04176897183060646,-0.018726013600826263,-0.37923726439476013,-0.011797388084232807,-0.39103466272354126,-0.024389328435063362,0.011027648113667965,-0.37912821769714355,0.006947418209165335,-0.3721807897090912,0.03968946635723114,0.018422160297632217,-0.3794054388999939,0.011605961248278618,-0.3677994906902313,-0.025498557835817337,-0.021809224039316177,-0.37912195920944214,-0.0137398112565279,-0.3928617835044861,-0.04436267539858818,-0.0026471223682165146,-0.03500565141439438,-0.0016676870873197913,-0.03667333722114563,-0.046358078718185425,-0.01864657923579216,0.2744539976119995,-0.011747344397008419,0.2627066671848297,-0.05099385604262352,-0.03533446043729782,0.47525209188461304,-0.02226071059703827,0.4529913663864136,-0.01314632035791874,0.01876121200621128,0.5522555112838745,0.011819563806056976,0.5640750527381897,0.1006729006767273,0.03706666827201843,0.5221743583679199,0.02335200086236,0.545526385307312
0.06,0.05,-0.075,0.0,0.5138355986090499,0.6306693093174516,2.1643672259701434,-0.008508051745593548,0.4872379223816097,0.2710665456671268,0.28,0.008933454332873236,1.348227858543396,0.06670234352350235,1.3654857873916626,-0.05835658311843872,-0.04701165854930878,-0.3790785074234009,-0.029617344960570335,-0.40869584679603577,0.03691769763827324,0.009687094017863274,-0.3793412446975708,0.006102869287133217,-0.37323838472366333,-0.01714688539505005,-0.01825227588415146,-0.3792625665664673,-0.011498933658003807,-0.39076149463653564,-0.025270536541938782,0.00013819243758916855,-0.37911123037338257,8.706123480806127e-05,-0.3790241777896881,0.03779798373579979,0.02423490770161152,-0.3794041872024536,0.015267991460859776,-0.3641361892223358,-0.026020031422376633,-0.023072466254234314,-0.379140704870224,-0.014535653404891491,-0.39367637038230896,-0.005386278964579105,-0.0034688692539930344,-0.09014780074357986,-0.002185387536883354,-0.09233319014310837,-0.10400526225566864,-0.044254183769226074,0.2409430593252182,-0.02788013592362404,0.21306292712688446,-0.05702328681945801,-0.041841112077236176,0.47199225425720215,-0.02635990083217621,0.44563233852386475,0.00993809662759304,0.01611427776515484,0.580085277557373,0.010151995345950127,0.5902372598648071,0.1099318340420723,0.05892621725797653,0.5739352107048035,0.03712351620197296,0.6110587120056152
0.08,0.05,-0.075,0.0,0.5283365468656924,0.594793125886705,1.8386448030060176,-0.047104403376579285,0.4293433949351311,0.23054037645459177,0.28,0.049459623545408254,1.3723136186599731,0.08450768142938614,1.4002771377563477,-0.0704905167222023,-0.05405531823635101,-0.3790838122367859,-0.03405484929680824,-0.41313865780830383,-0.01394745148718357,0.002596729900687933,-0.37932005524635315,0.0016359398141503334,-0.3776841163635254,-0.0502060167491436,-0.02783839777112007,-0.37928733229637146,-0.01753818988800049,-0.39682552218437195,-0.0035904415417462587,-0.0009803978027775884,-0.3790974020957947,-0.0006176506285555661,-0.37971505522727966,0.07740859687328339,0.04018701612949371,-0.37939906120300293,0.02531781978905201,-0.35408124327659607,-0.00428275391459465,-0.017435552552342415,-0.3791618347167969,-0.010984398424625397,-0.3901462256908417,-0.04225979745388031,-0.015106148086488247,-0.14866995811462402,-0.009516873396933079,-0.15818683803081512,-0.11704575270414352,-0.06609165668487549,0.20085270702838898,-0.04163774475455284,0.15921495854854584,-0.03321187570691109,-0.03925234079360962,0.46064603328704834,-0.02472897432744503,0.43591704964637756,0.06083405762910843,0.02953021228313446,0.6004016399383545,0.018604032695293427,0.6190056800842285,0.10655882954597473,0.07321600615978241,0.6206883192062378,0.04612608253955841,0.666814386844635
0.1,0.05,-0.075,0.0,0.5148970559969327,0.4827349789716611,1.1190217080243092,-0.07319188117980957,0.39021217823028564,0.2031485247612,0.28,0.07685147523880004,1.3924777507781982,0.09443075954914093,1.4337197542190552,-0.03168404847383499,-0.047343939542770386,-0.3790927827358246,-0.029826682060956955,-0.40891945362091064,0.01569744385778904,0.006526944227516651,-0.3792969584465027,0.0041119749657809734,-0.3751849830150604,-0.03561243787407875,-0.030170610174536705,-0.3793110251426697,-0.019007483497262,-0.39831849932670593,-0.03408226743340492,-0.010910958983004093,-0.3790869116783142,-0.006873904261738062,-0.38596081733703613,0.046382684260606766,0.0420457161962986,-0.379390150308609,0.02648880146443844,-0.3529013395309448,0.0064483024179935455,-0.010270395316183567,-0.37918487191200256,-0.0064703491516411304,-0.3856552243232727,0.04596114531159401,0.003214040771126747,-0.20958209037780762,0.0020248456858098507,-0.20755724608898163,-0.06364037841558456,-0.06535627692937851,0.15486115217208862,-0.041174452751874924,0.1136866956949234,-0.04047069326043129,-0.03961784765124321,0.4414052963256836,-0.024959243834018707,0.4164460599422455,0.12011844664812088,0.05670668184757233,0.6128609776496887,0.03572520986199379,0.6485862135887146,0.13125453889369965,0.09062756597995758,0.6616427898406982,0.05709536746144295,0.7187381386756897
0.12,0.05,-0.075,0.0,0.48645441623813973,0.36717249627487475,0.40387707211635876,-0.06770014762878418,0.39844977855682373,0.20891484498977664,0.28,0.07108515501022339,1.4089045524597168,0.10688921064138412,1.459479808807373,-0.0830339714884758,-0.05805094912648201,-0.3791053295135498,-0.03657209873199463,-0.41567742824554443,-0.01271845679730177,0.0007533237803727388,-0.3792725205421448,0.00047459398047067225,-0.3787979185581207,-0.005091259256005287,-0.02264680527150631,-0.3793330192565918,-0.014267487451434135,-0.3936004936695099,-0.0024304462131112814,-0.008366805501282215,-0.3790801763534546,-0.005271087400615215,-0.3843512535095215,0.10159800946712494,0.05991140380501747,-0.37937772274017334,0.0377441830933094,-0.34163352847099304,0.0010406449437141418,-0.006877083331346512,-0.3792092204093933,-0.004332562442868948,-0.3835417926311493,0.018066368997097015,0.0076697394251823425,-0.2718537747859955,0.004831935744732618,-0.2670218348503113,-0.10703853517770767,-0.07786095142364502,0.1037464290857315,-0.0490523986518383,0.054694030433893204,0.018246503546833992,-0.022258542478084564,0.4145955443382263,-0.014022882096469402,0.40057265758514404,0.11436481028795242,0.07400412112474442,0.6172524094581604,0.04662259668111801,0.6638749837875366,0.1065698117017746,0.09541024267673492,0.6961058378219604,0.060108453035354614,0.7562142610549927
0.14,0.05,-0.075,0.0,0.4568814147001916,0.27277144331299147,-0.10599835062254924,-0.05377227067947388,0.4193415939807892,0.22353911578655244,0.28,0.05646088421344758,1.4219095706939697,0.11463788151741028,1.4744277000427246,-0.05285262316465378,-0.05649144947528839,-0.3791210651397705,-0.035589613020420074,-0.41471067070961,0.026586512103676796,0.008503280580043793,-0.37924742698669434,0.005357066635042429,-0.37389037013053894,-0.0014507938176393509,-0.01628800295293331,-0.379352867603302,-0.010261441580951214,-0.3896143138408661,-0.0047716423869132996,-0.007288256194442511,-0.3790772259235382,-0.004591601435095072,-0.38366883993148804,0.06475469470024109,0.06136438995599747,-0.3793620765209198,0.03865956515073776,-0.34070250391960144,0.016019051894545555,-8.242670446634293e-06,-0.3792344033718109,-5.192882326809922e-06,-0.37923958897590637,0.085645891726017,0.03106258623301983,-0.334431529045105,0.019569428637623787,-0.31486210227012634,-0.1095082089304924,-0.0873551294207573,0.048373229801654816,-0.05503373220562935,-0.006660502403974533,0.034666888415813446,-0.005180912092328072,0.38067036867141724,-0.0032639745622873306,0.37740638852119446,0.061285585165023804,0.07018855959177017,0.613501787185669,0.044218793511390686,0.6577205657958984,0.145774245262146,0.11051943898200989,0.7234943509101868,0.06962724775075912,0.7931215763092041
0.16,0.05,-0.075,0.0,0.427187789939839,0.18781469273793353,-0.6149113110538228,-0.06856530159711838,0.39715204760432243,0.20800643332302574,0.28,0.07199356667697429,1.4319056272506714,0.12084502726793289,1.4782912731170654,0.02408323995769024,-0.03231903910636902,-0.3791397213935852,-0.020360995084047318,-0.3995007276535034,-0.012232288718223572,0.0022826094646006823,-0.3792220950126648,0.0014380438951775432,-0.37778404355049133,0.002012241631746292,-0.01079792995005846,-0.3793700933456421,-0.00680269580334425,-0.3861728012561798,0.02090434730052948,0.0011695250868797302,-0.3790781497955322,0.0007368007791228592,-0.37834134697914124,0.08761659264564514,0.06924004852771759,-0.37934350967407227,0.043621230870485306,-0.33572226762771606,0.030417557805776596,0.009119498543441296,-0.3792596459388733,0.005745284259319305,-0.3735143542289734,0.0632721409201622,0.040725454688072205,-0.39625680446624756,0.025657035410404205,-0.37059977650642395,-0.1459648460149765,-0.10493804514408112,-0.010321686044335365,-0.06611096858978271,-0.07643265277147293,0.032601479440927505,0.006153806112706661,0.3402036428451538,0.0038768977392464876,0.34408053755760193,0.007811158895492554,0.05147533863782883,0.6016722917556763,0.03242946416139603,0.6341017484664917,0.1556532084941864,0.12405956536531448,0.7433451414108276,0.07815752923488617,0.821502685546875
0.18,0.05,-0.075,0.0,0.4072739191174634,0.10346823563148617,-1.0641942095529793,-0.08457423001527786,0.3731386549770832,0.1911970584839583,0.28,0.08880294151604173,1.4393666982650757,0.13051465153694153,1.4836170673370361,-0.014202592894434929,-0.026884105056524277,-0.37916073203086853,-0.01693698577582836,-0.39609771966934204,0.013375111855566502,0.005610360763967037,-0.37919729948043823,0.003534527262672782,-0.37566277384757996,-0.00561213493347168,-0.009242190979421139,-0.37938421964645386,-0.005822580307722092,-0.38520678877830505,-0.006661238148808479,-0.00117970397695899,-0.37908297777175903,-0.0007432135171256959,-0.3798261880874634,0.12767398357391357,0.08677023649215698,-0.3793225586414337,0.05466524884104729,-0.3246573209762573,0.0017141103744506836,0.006897882092744112,-0.3792845606803894,0.0043456656858325005,-0.3749389052391052,0.092237688601017,0.05617912486195564,-0.4562836289405823,0.035392846912145615,-0.42089077830314636,-0.12428652495145798,-0.11074258387088776,-0.07134538888931274,-0.06976782530546188,-0.14111322164535522,0.0420893058180809,0.016934456303715706,0.29387998580932617,0.010668707080185413,0.3045486807823181,0.04527217149734497,0.04961438849568367,0.581964373588562,0.031257063150405884,0.6132214069366455,0.13651326298713684,0.12779566645622253,0.7553222179412842,0.08051127195358276,0.8358334898948669
0.2,0.05,-0.075,0.0,0.38525025780073635,0.01940209180872678,-1.4824796436590724,-0.13496921956539154,0.2975461706519127,0.13828231945633893,0.28,0.1417176805436611,1.4447886943817139,0.1381712108850479,1.483120322227478,0.023649947717785835,-0.011723889037966728,-0.37918370962142944,-0.007386050187051296,-0.3865697681903839,0.03135169669985771,0.013332761824131012,-0.3791734576225281,0.008399640209972858,-0.3707738220691681,-0.0013963580131530762,-0.006888441275805235,-0.3793949484825134,-0.004339717794209719,-0.38373467326164246,-0.043249111622571945,-0.013800526969134808,-0.3790915608406067,-0.008694332093000412,-0.3877858817577362,0.12574359774589539,0.09846223890781403,-0.37929967045783997,0.06203120946884155,-0.3172684609889984,0.0172413419932127,0.010000919923186302,-0.37930840253829956,0.0063005792908370495,-0.3730078339576721,0.12675251066684723,0.07735113799571991,-0.5134965181350708,0.04873121529817581,-0.4647653102874756,-0.09600991010665894,-0.10632278025150299,-0.133665531873703,-0.06698334962129593,-0.20064887404441833,0.021082015708088875,0.018178723752498627,0.242482990026474,0.011452595703303814,0.2539355754852295,0.055544570088386536,0.05139344558119774,0.5547111630439758,0.03237786889076233,0.5870890617370605,0.14268745481967926,0.1322632133960724,0.7592231035232544,0.0833258256316185,0.8425489068031311
