time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.00018443154954976484,0.013302257468644232,0.08882631826434237,0.0025283916622022284,0.010516259944694748,0.0014664378458968397
0.02,1,seg1,-0.14811720118754448,-0.0045005781395638786,0.0873109035039743,0.0006084441946800361,0.0011558362008073056,0.00148420460672459
0.02,2,seg2,-0.3227481198853295,-0.020840355244015195,0.08731446219915309,0.000381080947377032,-0.005328090234256697,0.0014858753724464324
0.02,3,seg3,-0.4977228402157707,-0.032190221095527945,0.08733425853288036,0.0002106471183609696,-0.007006973384004757,0.0015038463928072898
0.02,4,seg4,-0.6728875083155877,-0.03968983141169673,0.08736592367009852,9.922915905383548e-06,-0.005090311619455317,0.0015337247990563213
0.02,5,seg5,-0.8476559617408974,-0.04385081562920762,0.08741660940627467,-0.0007757076970370862,-7.82035549029548e-05,0.0015826366700488204
0.02,6,seg6,-1.0200617247158872,-0.04085426989665832,0.08753007011355936,-0.004323629439760556,0.01184533760781936,0.0016942836241049392
0.04,0,head,-0.009137669838025927,0.03602144379614749,0.08827945655380802,0.010546529752314097,0.033727732608690934,0.0009195761353624904
0.04,1,seg1,-0.15186343588680437,0.0008283356932969322,0.08656439728054198,0.004046314788500705,0.006688705514249872,0.0007376983832922679
0.04,2,seg2,-0.32350356123654606,-0.03096802781780063,0.0863513142080479,0.0017098881030288443,-0.01539659136094334,0.000522727381341237
0.04,3,seg3,-0.4975219823641778,-0.047759149169169166,0.08624156897465163,0.0008933991054647583,-0.022562220568157758,0.0004111568345785549
0.04,4,seg4,-0.6720577743935792,-0.05001081080626812,0.08624177357239077,-0.00023292495993488957,-0.01544174142180429,0.0004095747013485723
0.04,5,seg5,-0.8439625499509406,-0.04170995077194581,0.0863634237997698,-0.004584630290144275,0.0018496713540710025,0.0005294510635439481
0.04,6,seg6,-1.009442071260601,-0.016527518597801723,0.08668671057380391,-0.016306330148121693,0.035530412063258195,0.0008509240843494886
0.06,0,head,-0.02117324555522647,0.057301970077635,0.08758587255230656,0.02135539249542506,0.055656808463793485,0.00022599213386102768
0.06,1,seg1,-0.15907908663866452,0.01067818875700077,0.08648654484003584,0.01069152275851393,0.016932065909288942,0.0006598459427861331
0.06,2,seg2,-0.3255040138152982,-0.0347190767299429,0.08685024194173863,0.003919930330602213,-0.019028105069057857,0.0010216551150319664
0.06,3,seg3,-0.49699127132802945,-0.05769578264086028,0.08700012805348582,0.0009272870385388972,-0.03251295875995863,0.00116971591341275
0.06,4,seg4,-0.6693828155921596,-0.05484276081604985,0.08693488374010756,-0.00262943982952984,-0.020417669673495446,0.0011026848690653679
0.06,5,seg5,-0.8373048711804312,-0.036217535165019105,0.08680214720390794,-0.01154319203260885,0.006955524297336364,0.0009681744676820897
0.06,6,seg6,-0.9965186203108366,0.00452163071790258,0.0865537616540251,-0.030403166493038657,0.0558124601941468,0.0007179751645706861
0.08,0,head,-0.03149367322508286,0.07126844342717585,0.08871412466572653,0.030866824617680626,0.07018630481059657,0.0013542442472810057
0.08,1,seg1,-0.16596423352285983,0.01615937344200811,0.08710438971617962,0.017254610875632532,0.022795043611093697,0.001277690818929908
0.08,2,seg2,-0.3283717568559064,-0.041539062309574944,0.08693930386749212,0.00716997891289824,-0.025674407624838608,0.0011107170407854555
0.08,3,seg3,-0.4970762702524319,-0.07032960266683475,0.08674989225951325,0.001728915195922622,-0.04512160759958815,0.0009194801194401803
0.08,4,seg4,-0.6660410659983516,-0.062655269257878,0.08657224425030388,-0.005522572749831773,-0.02840718532882352,0.0007400453792616862
0.08,5,seg5,-0.8301962503177536,-0.03309217854655009,0.08644140850388102,-0.018817677014239743,0.009672547080822538,0.000607435767655165
0.08,6,seg6,-0.9835337318155833,0.02051731183055465,0.08637958949149444,-0.044274638366036394,0.07104569397850222,0.0005438030020400164
0.1,0,head,-0.04137344371730407,0.08190438645093714,0.08778752668434997,0.0401272633557594,0.08136563499432792,0.0004276462659044411
0.1,1,seg1,-0.17304112647391784,0.020261244826242596,0.08614450758145732,0.02408739007154777,0.02729180813121148,0.00031780868420761
0.1,2,seg2,-0.33102901045111127,-0.04780567707868883,0.08598103875000518,0.01017848218255707,-0.03178017255705873,0.00015245192329851887
0.1,3,seg3,-0.4969951073200723,-0.08128151568619511,0.08599274701217899,0.0022692279498153435,-0.0560604854365414,0.00016233487210591535
0.1,4,seg4,-0.6633249647668011,-0.06982255813300282,0.08625321088291127,-0.007827670853889244,-0.03571702516634165,0.00042101201186907355
0.1,5,seg5,-0.8234837666996524,-0.03125900231942924,0.0866828162123441,-0.025623352336823654,0.011121945162817653,0.000848843476118244
0.1,6,seg6,-0.9717340084803515,0.03239111593651605,0.08726954994416355,-0.056729003742890145,0.08223092878896422,0.001433763454709136
0.12,0,head,-0.04916033116882291,0.08698925853271537,0.08891565818547895,0.04761312400492144,0.08688409769760072,0.0015557777670334172
0.12,1,seg1,-0.17876106184540125,0.0233872778142534,0.08734729853460362,0.02962076043113033,0.03073732048165822,0.0015205996373539032
0.12,2,seg2,-0.3331649305496232,-0.049499903564845696,0.08724267005642783,0.012407082137463478,-0.033350491089633214,0.0014140832297211692
