time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.05617330223321915,0.5842599533498287,0.5589819673448801,0.5,0.05898196734488015,0.7879601716995239,0.017273271456360817,0.784739077091217,-0.03499799594283104,-0.010499399155378342,-0.3528144359588623,-0.0036747895646840334,-0.3564892113208771,-0.0024420435074716806,-0.0007326130871661007,-0.05465208366513252,-0.0002564145834185183,-0.054908499121665955,-0.01110181212425232,-0.0033305438701063395,-0.3528144359588623,-0.001165690366178751,-0.3539801239967346,0.06997694075107574,0.020993083715438843,-0.3528144359588623,0.00734757911413908,-0.34546685218811035,-0.06636940687894821,-0.019910823553800583,-0.03859109804034233,-0.0069687883369624615,-0.04555988684296608,-0.013187075033783913,-0.003956122789531946,-0.3528144359588623,-0.001384642906486988,-0.354199081659317,0.0086481599137187,0.002594448160380125,0.09326618164777756,0.0009080568561330438,0.09417423605918884,0.02482188679277897,0.007446566130965948,-0.07187365740537643,0.0026062980759888887,-0.06926736235618591,-0.01802923157811165,-0.005408769473433495,-0.19919419288635254,-0.00189306924585253,-0.20108726620674133,0.12334559112787247,0.03700367733836174,-0.22130201756954193,0.012951286509633064,-0.20835073292255402,-0.0017091268673539162,-0.000512738071847707,-0.1263951063156128,-0.00017945832223631442,-0.1265745609998703
0.04,-0.1,0.0,0.0,0.465427530945339,-0.461892659034512,-0.6676300579781191,0.12139986455440521,0.6820997968316078,0.6274698577821255,0.5,0.1274698577821255,0.6940604448318481,0.021704845130443573,0.6890235543251038,-0.03444734215736389,-0.017683781683444977,-0.29802411794662476,-0.006189323496073484,-0.30421343445777893,0.016659533604979515,0.004485031124204397,-0.04859687387943268,0.0015697608469054103,-0.047027114778757095,0.026992134749889374,0.00576626043766737,-0.29802411794662476,0.0020181911531835794,-0.2960059344768524,0.028646960854530334,0.02328924648463726,-0.29802411794662476,0.008151235990226269,-0.2898728847503662,-0.1064247339963913,-0.045864999294281006,-0.030581731349229813,-0.016052749007940292,-0.046634480357170105,0.03842590004205704,0.00875848438590765,-0.29802411794662476,0.00306546944193542,-0.2949586510658264,-0.05709325149655342,-0.015311862342059612,0.12156865745782852,-0.005359151866286993,0.11620950698852539,-0.03673916310071945,-0.005809152964502573,-0.040953703224658966,-0.0020332036074250937,-0.0429869070649147,-0.01189453899860382,-0.007354500237852335,-0.18196038901805878,-0.002574075013399124,-0.1845344603061676,-0.021549075841903687,0.019437849521636963,-0.22615717351436615,0.006803247146308422,-0.21935392916202545,0.02632259577512741,0.0075378622859716415,-0.14978885650634766,0.002638251753523946,-0.14715060591697693
0.06,-0.1,0.0,0.0,0.447338556591179,-0.44726405960505644,-0.7559410144512114,0.03016951121389866,0.545254266820848,0.5316779867745935,0.5,0.03167798677459355,0.8329564332962036,0.029579514637589455,0.8296715021133423,-0.045271243900060654,-0.02596002072095871,-0.37465760111808777,-0.009086007252335548,-0.38374361395835876,0.060828857123851776,0.021388180553913116,-0.06422113627195358,0.007485863287001848,-0.05673527345061302,0.02785991132259369,0.012394355610013008,-0.37465760111808777,0.0043380241841077805,-0.37031957507133484,0.052963607013225555,0.032191552221775055,-0.37465760111808777,0.011267042718827724,-0.36339056491851807,-0.09070214629173279,-0.05931614339351654,-0.035986971110105515,-0.02076064981520176,-0.05674762278795242,-0.0038482295349240303,0.004976470023393631,-0.37465760111808777,0.0017417644849047065,-0.3729158341884613,-0.003647235222160816,-0.011812474578619003,0.1336916983127594,-0.004134365823119879,0.12955732643604279,0.00825248472392559,-0.0015906617045402527,-0.02630854956805706,-0.0005567315965890884,-0.02686528116464615,-0.08064734190702438,-0.029342353343963623,-0.17254115641117096,-0.010269823484122753,-0.182810977101326,0.006278945133090019,0.015490178018808365,-0.22792236506938934,0.005421562120318413,-0.22250080108642578,0.002127201296389103,0.0059146638959646225,-0.16321490705013275,0.0020701324101537466,-0.16114477813243866
0.08,-0.1,0.0,0.0,0.36389544802809487,-0.3232690315155566,-0.44275723523864813,-0.0013701282441616058,0.4979448076337576,0.4985613653436303,0.5,0.001438634656369675,0.8801347017288208,0.0313534215092659,0.8726215362548828,0.03078177012503147,-0.008937482722103596,-0.3990032374858856,-0.0031281188130378723,-0.4021313488483429,0.007169175893068314,0.017122479155659676,-0.07200723141431808,0.0059928675182163715,-0.066014364361763,-0.00018795207142829895,0.008619662374258041,-0.39902564883232117,0.003016881877556443,-0.39600875973701477,0.0725918635725975,0.04431164264678955,-0.3991040289402008,0.015509074553847313,-0.38359495997428894,-0.03147760033607483,-0.05096457898616791,-0.03608904778957367,-0.017837602645158768,-0.05392665043473244,-0.014259054325520992,-0.0007941874209791422,-0.3999013900756836,-0.0002779655915219337,-0.40017935633659363,-0.011840061284601688,-0.011820750311017036,0.15040872991085052,-0.00413726270198822,0.1462714672088623,0.0900694951415062,0.02590738609433174,-0.004415424074977636,0.00906758476048708,0.004652160685509443,-0.058728206902742386,-0.0381581112742424,-0.15692205727100372,-0.01335533894598484,-0.170277401804924,0.04680439829826355,0.02488444373011589,-0.22706499695777893,0.008709555491805077,-0.2183554470539093,0.024160269647836685,0.011388346552848816,-0.17802830040454865,0.003985921386629343,-0.17404237389564514
0.1,-0.1,0.0,0.0,0.31285047901981,-0.23316442226707368,-0.16130250788567446,-0.004601506516337395,0.4930977402254939,0.49516841815784574,0.5,0.0048315818421542645,0.8783751130104065,0.03256676346063614,0.8728528618812561,-0.07357233762741089,-0.0283279400318861,-0.3964366614818573,-0.009914779104292393,-0.4063514471054077,0.028377262875437737,0.020498914644122124,-0.07584452629089355,0.007174619939178228,-0.06866990774869919,0.02191961742937565,0.012609649449586868,-0.3955188989639282,0.0044133770279586315,-0.3911055326461792,0.029774507507681847,0.039950501173734665,-0.39731869101524353,0.013982675038278103,-0.38333600759506226,-0.027918405830860138,-0.04405072703957558,-0.0345040000975132,-0.015417754650115967,-0.049921754747629166,0.03590182214975357,0.010214615613222122,-0.4000000059604645,0.0035751154646277428,-0.39642488956451416,-0.054761242121458054,-0.024702899158000946,0.16710473597049713,-0.008646014146506786,0.15845872461795807,0.021622279658913612,0.024621853604912758,0.02044866234064102,0.008617648854851723,0.029066311195492744,-0.06577862799167633,-0.04644426703453064,-0.13694030046463013,-0.016255492344498634,-0.1531957983970642,-0.03552292287349701,0.006762233562767506,-0.22245340049266815,0.0023667817004024982,-0.22008661925792694,0.022430025041103363,0.01470085047185421,-0.19120734930038452,0.005145297385752201,-0.1860620528459549
0.12,-0.1,0.0,0.0,0.28397011124870053,-0.14794159346882296,0.1385753911621057,0.0002496987581253052,0.500374548137188,0.5002621836960316,0.5,0.00026218369603159264,0.8835652470588684,0.03838919475674629,0.876532256603241,-0.04832847788929939,-0.03432810306549072,-0.3997902572154999,-0.012014836072921753,-0.41180509328842163,0.030197428539395332,0.023408468812704086,-0.07898791134357452,0.008192963898181915,-0.07079494744539261,0.052180662751197815,0.024480953812599182,-0.3924575746059418,0.008568333461880684,-0.38388922810554504,0.026318877935409546,0.03586101531982422,-0.3997902572154999,0.012551355175673962,-0.38723888993263245,-0.06021393835544586,-0.04889969155192375,-0.031025921925902367,-0.017114892601966858,-0.048140816390514374,0.01226792298257351,0.010830608196556568,-0.3997902572154999,0.0037907129153609276,-0.395999550819397,-0.05940340831875801,-0.035113051533699036,0.18460100889205933,-0.012289567850530148,0.1723114401102066,0.035292014479637146,0.02782290242612362,0.04549625515937805,0.009738015942275524,0.05523427203297615,-0.08616364747285843,-0.05836007744073868,-0.11748956888914108,-0.020426027476787567,-0.13791559636592865,0.04774633049964905,0.019057463854551315,-0.21880720555782318,0.006670112255960703,-0.21213708817958832,0.004304120317101479,0.01158183068037033,-0.2052760124206543,0.004053640644997358,-0.20122237503528595
0.14,-0.1,0.0,0.0,0.26765152856652363,-0.07637661735890705,0.40385743398025914,0.004082422703504562,0.5061236340552568,0.5042865438386798,0.5,0.004286543838679768,0.8775827884674072,0.040952153503894806,0.868071436882019,-0.04576824605464935,-0.03776014596223831,-0.39657077193260193,-0.013216051273047924,-0.40978682041168213,0.04451856017112732,0.029741495847702026,-0.081954225897789,0.010409523732960224,-0.07154469937086105,0.03726579621434212,0.028316406533122063,-0.3835127055644989,0.009910741820931435,-0.3736019730567932,0.039344239979982376,0.036905981600284576,-0.39657077193260193,0.012917093001306057,-0.3836536705493927,-0.05112109333276749,-0.0495661124587059,-0.028503218665719032,-0.017348138615489006,-0.04585135728120804,0.012117143720388412,0.011216568760573864,-0.39657077193260193,0.003925798926502466,-0.3926449716091156,-0.056520599871873856,-0.04153531789779663,0.19836585223674774,-0.014537361450493336,0.18382848799228668,0.0324091762304306,0.0291987843811512,0.07006721943616867,0.010219573974609375,0.08028679341077805,-0.049684301018714905,-0.055757343769073486,-0.09503689408302307,-0.01951506920158863,-0.11455196142196655,0.03267555683851242,0.023142892867326736,-0.21024177968502045,0.008100012317299843,-0.20214176177978516,0.040581464767456055,0.020281720906496048,-0.21504290401935577,0.007098602131009102,-0.20794430375099182
0.16,-0.1,0.0,0.0,0.25253271857388837,0.0016454513998245322,0.6889490531320945,0.04997684061527252,0.5749652609229088,0.5524756826460362,0.5,0.05247568264603619,0.8089842796325684,0.04281395673751831,0.7963296175003052,0.008744653314352036,-0.023808706551790237,-0.3580194413661957,-0.008333046920597553,-0.36635249853134155,0.02226586826145649,0.02749880775809288,-0.07730332016944885,0.009624582715332508,-0.06767873466014862,0.001636989414691925,0.020312581211328506,-0.3410055339336395,0.007109403144568205,-0.33389613032341003,0.06371039152145386,0.0449473038315773,-0.3580194413661957,0.015731556341052055,-0.34228789806365967,-0.08685536682605743,-0.06075289100408554,-0.023756125941872597,-0.02126351185142994,-0.045019637793302536,-0.0004284083843231201,0.007723075337707996,-0.3580194413661957,0.0027030762284994125,-0.3553163707256317,-0.07274287939071655,-0.05089758709073067,0.21078334748744965,-0.01781415566802025,0.1929691880941391,0.03948912024497986,0.03228588402271271,0.09662528336048126,0.011300059035420418,0.10792534053325653,-0.04478972405195236,-0.05246705561876297,-0.06867261230945587,-0.01836346834897995,-0.08703608065843582,0.009698990732431412,0.01910972222685814,-0.19778995215892792,0.006688402500003576,-0.1911015510559082,0.0412558950483799,0.026573974639177322,-0.22247235476970673,0.009300891309976578,-0.21317146718502045
0.18,-0.1,0.0,0.0,0.2352489956292476,0.07936340198728874,0.9920592554191449,0.030789615586400032,0.5461844233796,0.53232909636572,0.5,0.03232909636572001,0.8366157412528992,0.03850949928164482,0.822801411151886,-0.018846942111849785,-0.022320177406072617,-0.374136745929718,-0.007812061812728643,-0.3819487988948822,-0.007334043271839619,0.017048953101038933,-0.08431445062160492,0.005967133678495884,-0.07834731787443161,-0.0024004150182008743,0.013498681597411633,-0.35089442133903503,0.004724538419395685,-0.3461698889732361,0.06584841012954712,0.051217637956142426,-0.374136745929718,0.01792617328464985,-0.3562105596065521,-0.034851498901844025,-0.05298247188329697,-0.02283993922173977,-0.018543865531682968,-0.04138380289077759,0.025975357741117477,0.013198759406805038,-0.374136745929718,0.0046195657923817635,-0.36951717734336853,-0.0523102842271328,-0.05132139474153519,0.21864965558052063,-0.017962487414479256,0.20068717002868652,0.005297098308801651,0.02418924681842327,0.11734924465417862,0.008466236293315887,0.1258154809474945,0.0021512366365641356,-0.03608156740665436,-0.045843347907066345,-0.01262854877859354,-0.05847189575433731,-0.040443338453769684,0.0012438027188181877,-0.18493671715259552,0.0004353309341240674,-0.18450137972831726,0.043817441910505295,0.03174701705574989,-0.2266092598438263,0.011111455969512463,-0.21549780666828156
0.2,-0.1,0.0,0.0,0.21889313935749552,0.15894588831937861,1.2367675539298788,0.09270286560058594,0.6390542984008789,0.5973380088806153,0.5,0.09733800888061528,0.7460489869117737,0.03955855593085289,0.7293896675109863,0.02075313590466976,-0.009398182854056358,-0.32212957739830017,-0.003289364045485854,-0.32541894912719727,0.007541932165622711,0.014196846634149551,-0.07569042593240738,0.004968896042555571,-0.07072152942419052,0.013304519467055798,0.013440432958304882,-0.2974143624305725,0.004704151302576065,-0.29271021485328674,0.03238854184746742,0.045568909496068954,-0.32212957739830017,0.01594911888241768,-0.3061804473400116,-0.09545709192752838,-0.06572485715150833,-0.018024368211627007,-0.023003699257969856,-0.04102806746959686,0.02308167889714241,0.01616363599896431,-0.32212957739830017,0.0056572724133729935,-0.31647229194641113,-0.07093095779418945,-0.05720426142215729,0.22487545013427734,-0.02002149075269699,0.20485395193099976,-0.002221347764134407,0.016266068443655968,0.14118915796279907,0.005693123675882816,0.14688228070735931,0.006791051477193832,-0.02321978285908699,-0.017608536407351494,-0.008126923814415932,-0.025735460221767426,-0.04512718319892883,-0.012667493894696236,-0.1671927571296692,-0.00443362258374691,-0.17162637412548065,0.051086749881505966,0.037548936903476715,-0.2280585616827011,0.01314212754368782,-0.2149164378643036
