time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.0008546741957455574,0.013543113082884056,0.08880027686806344,0.0018455638698632437,0.010718702128125849,0.001440396449617909
0.02,1,seg1,-0.14766759039442007,-0.00420915945604045,0.08721536410336077,0.0001430242500390763,0.0014212773232719301,0.001388665206111056
0.02,2,seg2,-0.3224070196805065,-0.0205554928351372,0.08714261297008344,2.4368779880997236e-05,-0.005063038595401654,0.0013140261433767786
0.02,3,seg3,-0.49756728872160777,-0.03219362566507004,0.0870866372755462,5.553932028387969e-05,-0.0070191975159933275,0.0012562251354731324
0.02,4,seg4,-0.6728095995229918,-0.04049471788379333,0.08704486328898511,-2.2196026722436762e-05,-0.0058983217595206736,0.0012126644179429186
0.02,5,seg5,-0.8478018864565895,-0.04422850023063536,0.08702696021381699,-0.0006085904892700594,-0.0004470009514027061,0.0011929874775911398
0.02,6,seg6,-1.0222879295089464,-0.04018961173872263,0.08704593962376753,-0.002138718982085452,0.012635226548748716,0.0012101531343131078
0.04,0,head,-0.006704889981572386,0.03949884729054385,0.08801018868452912,0.007920381559211506,0.037061514029112855,0.0006503082660835879
0.04,1,seg1,-0.14957941490448787,0.0018980081864968274,0.08647840376427687,0.0017052858872845637,0.007627073658001352,0.0006517048670271613
0.04,2,seg2,-0.3217374708529889,-0.030244399883290075,0.0864842391771773,-9.441194825659564e-05,-0.014774326180376388,0.0006556523504706452
0.04,3,seg3,-0.49638095112842784,-0.04725396791552284,0.08656934479617308,-0.0002744552229830486,-0.022122588167949,0.0007389326561000054
0.04,4,seg4,-0.6713893641294099,-0.05188859406047542,0.08672854197331983,-0.000793724632992525,-0.01735442172905016,0.0008963431022776386
0.04,5,seg5,-0.8456506312570387,-0.04240000662407944,0.08697118286689942,-0.002860118345590438,0.0012564984216874818,0.0011372101306735688
0.04,6,seg6,-1.0168799411873373,-0.013617015145695396,0.08732697155290159,-0.009045564416628588,0.038858207186013224,0.0014911850634471702
0.06,0,head,-0.01553250057388953,0.06306314655870665,0.08890057556720582,0.015396878743413856,0.061088684037741495,0.0015406951487602905
0.06,1,seg1,-0.1521732831698316,0.007605329901066683,0.08778464773018169,0.003971177562083819,0.013472363099043809,0.0019579488329319744
0.06,2,seg2,-0.3210103184587264,-0.039453340374394845,0.08799002650832254,-0.00029793384740281893,-0.024009688350273253,0.002161439681615876
0.06,3,seg3,-0.4948038521297879,-0.06184082236995238,0.0879299222382592,-0.0010214446044460015,-0.036775423080997294,0.0020995100981861248
0.06,4,seg4,-0.6699781471967842,-0.06235263432969423,0.08763706644205947,-0.0016090025402588559,-0.027881671793536667,0.0018048675710172768
0.06,5,seg5,-0.8428506026397218,-0.03862951725252415,0.0871008153000239,-0.00586955169523191,0.004862058193890667,0.001266842563798054
0.06,6,seg6,-1.0074607996040599,0.01511779376375076,0.08627834222039403,-0.02007977326563817,0.06701234908845363,0.00044255573093961165
0.08,0,head,-0.0276045380300536,0.08557215475460785,0.09028092381960393,0.02617244790283736,0.08424633175062021,0.0029210434011583963
0.08,1,seg1,-0.15667338774423095,0.009999951564742647,0.08835124283057305,0.00832817769636811,0.01611843640128592,0.0025245439333233394
0.08,2,seg2,-0.3197988631098961,-0.05315282560138222,0.08798829523462923,-0.0007302124438510816,-0.03775583889362499,0.002159708407922567
0.08,3,seg3,-0.4928089356863397,-0.08149526260332512,0.08781652670020271,-0.0018980744588835373,-0.05651138600657144,0.0019861145601296343
0.08,4,seg4,-0.6685654785050005,-0.07781605298715441,0.08781374231229598,-0.002142095533583933,-0.043400330281549986,0.001981543441253786
0.08,5,seg5,-0.8399355402838553,-0.039397383473168214,0.08800114939380707,-0.008736354798233023,0.003930045833909204,0.0021671766575812185
0.08,6,seg6,-0.995140385503101,0.03905103366347438,0.08843086690668552,-0.033738169817922346,0.09020805514127986,0.0025950804172310965
0.1,0,head,-0.04804708384099725,0.11000231181586692,0.0892253010302168,0.04519604901698268,0.10979692575351886,0.0018654206117712652
0.1,1,seg1,-0.1653336345234438,0.014851865026445128,0.08693820903658782,0.01669920763878941,0.02145386480148952,0.0011115101393381066
0.1,2,seg2,-0.31984773561215546,-0.06397242441616255,0.08635607424263808,-6.758040252891696e-05,-0.04855523822000396,0.0005274874159314213
0.1,3,seg3,-0.4915666095145754,-0.0983751317117753,0.08615345243623646,-0.002180738510170368,-0.07343454931806485,0.00032304029616338215
0.1,4,seg4,-0.6663790344385961,-0.09036761560749522,0.08632728790927885,-0.0036129186160144084,-0.056055722070334525,0.0004950890382366541
0.1,5,seg5,-0.8324144551573525,-0.03707292868035151,0.08689369042945509,-0.01637720140119907,0.00582405606240254,0.0010597176932292396
0.1,6,seg6,-0.9735573300325016,0.06478645532516951,0.08786073979166659,-0.05674653355433204,0.11467753428607985,0.002024953302212168
0.12,0,head,-0.07417597832223678,0.13273140199784514,0.08758469176014673,0.06999334818541299,0.13397180157989433,0.00022481134170120043
0.12,1,seg1,-0.17607661623739113,0.026854137876373547,0.0866430345036478,0.02674395000619626,0.0340462974670631,0.0008163356063980859
0.12,2,seg2,-0.321576703351479,-0.06585633613914128,0.08706202799062358,0.0017654842446326775,-0.050338024472550015,0.0012334411639169235
0.12,3,seg3,-0.49003526745629855,-0.10652641631479398,0.08715922336131399,-0.0032471597571617217,-0.08165958396253183,0.0013288112212409137
0.12,4,seg4,-0.6630423320624937,-0.09395933289474274,0.08694872464396089,-0.006740474476767297,-0.059830958507366326,0.0011165257729186945
0.12,5,seg5,-0.8218205500052047,-0.026912098898520174,0.08645147709892549,-0.027530507016662053,0.015367486370890304,0.000617504362699639
0.12,6,seg6,-0.9460952754010914,0.08983484160427244,0.08572615864502896,-0.08558544913665461,0.13812754596303287,-0.00010962784442546114
0.14,0,head,-0.09377838573991222,0.14734360883185346,0.08811505066082746,0.08873517489392252,0.1496725944493536,0.0007551702423819334
0.14,1,seg1,-0.1856871302178116,0.035043726518936585,0.08615088444470877,0.03587435718917048,0.042767937551900746,0.0003241855474590549
0.14,2,seg2,-0.32391499352338005,-0.06646322476198063,0.08570985070809874,0.004134439382696713,-0.050811275232302035,-0.00011873611860792332
0.14,3,seg3,-0.48932955855711585,-0.11163619821490066,0.08556719294809674,-0.003661834036149245,-0.08680117334318885,-0.0002632191919763327
0.14,4,seg4,-0.6593117886954956,-0.09591690190518189,0.08574904378749304,-0.010353948620127612,-0.061997022878013744,-8.315508354915513e-05
0.14,5,seg5,-0.8118786536769347,-0.019964072369323252,0.08622977981591293,-0.03785057905318881,0.021740279196292938,0.0003958070796870744
0.14,6,seg6,-0.9244195155698307,0.10576481995260521,0.08697685269422276,-0.10813006667896079,0.15280211560664905,0.0011410662047683373
0.16,0,head,-0.10385389064983934,0.1534566984605159,0.08722435000607334,0.09844763199076789,0.15634746082494494,-0.00013553041237218677
0.16,1,seg1,-0.19191004460117092,0.03890957260561137,0.08624192066891985,0.04186792393207356,0.04698060738038743,0.00041522177167013785
0.16,2,seg2,-0.3258108923565893,-0.06495682645846054,0.08665420239335307,0.0059418206748192036,-0.04919974146000419,0.0008256155666464121
0.16,3,seg3,-0.4892463009441348,-0.11157760333481696,0.0867868278802787,-0.003748281866174596,-0.08674739637066364,0.0009564157402056211
0.16,4,seg4,-0.6565656904118554,-0.09451033630499163,0.086670321052661,-0.013175423837117145,-0.06074851970632012,0.0008381221816188
0.16,5,seg5,-0.803765443429325,-0.015998284386033592,0.08632184663361463,-0.04617571632777767,0.025239385396301047,0.0004878738973887742
0.16,6,seg6,-0.9106319378635163,0.11442019896673537,0.0857443149584963,-0.12238649078486705,0.16066133036165497,-9.147153095812044e-05
0.18,0,head,-0.10702302516644907,0.15423984727810663,0.08758975011231511,0.10156723098747512,0.15730914567642953,0.00022986969386958045
0.18,1,seg1,-0.19483980332147954,0.039582580805944914,0.08583850848057108,0.044754781395941516,0.04781874828701365,1.1809583321364947e-05
0.18,2,seg2,-0.3274309721723878,-0.06377651500678003,0.08561872491362678,0.007492327387303446,-0.04792941761669461,-0.00020986191307988122
0.18,3,seg3,-0.4889290400501641,-0.10998212720309639,0.085568701332726,-0.0041555493744228275,-0.08517248947234377,-0.0002617108073470764
0.18,4,seg4,-0.6542897091473958,-0.09259410336446328,0.0857344575028741,-0.015556454662686164,-0.05896449851664266,-9.774136816809165e-05
0.18,5,seg5,-0.7995091967827211,-0.013544790814819763,0.08609356408221529,-0.050564303891069445,0.02744745365089893,0.000259591345989435
0.18,6,seg6,-0.9040496521334078,0.11692295855414858,0.08657063247453728,-0.12910016601374122,0.16278661996540097,0.0007348459850828604
0.2,0,head,-0.1085314323451791,0.1541644888833594,0.0872182555428057,0.10307748400314794,0.1573194865115281,-0.0001416248756398314
0.2,1,seg1,-0.19581834471451612,0.039804433055303096,0.08555237802328554,0.045719160137765516,0.04809575969589365,-0.00027432087396417337
0.2,2,seg2,-0.327915693426311,-0.06339240751859768,0.08538149715973554,0.00795447599356104,-0.047518428660394116,-0.00044708966697111496
0.2,3,seg3,-0.48889209316105897,-0.10944235634114496,0.08530728919328079,-0.0042230600714660204,-0.08463568414281941,-0.0005231229467922843
0.2,4,seg4,-0.6538090420575283,-0.09179587633436284,0.0853782168583342,-0.016081634107066714,-0.05819482729202837,-0.000453982012707993
0.2,5,seg5,-0.7975633234503151,-0.012525983047112735,0.08560207791247995,-0.05256484403003102,0.028354223437056854,-0.0002318948237459012
0.2,6,seg6,-0.9000413232180954,0.11758372435322356,0.08591826734532207,-0.13313952668394938,0.16321891327830376,8.248085586765042e-05
0.22,0,head,-0.10912868268390383,0.1538683643635281,0.08717324330988432,0.10369057267592896,0.1570577233024978,-0.00018663710856120508
0.22,1,seg1,-0.1961052718040975,0.03976549299373836,0.08564800930051966,0.04600783430597565,0.048073160852390766,-0.00017868959673005003
0.22,2,seg2,-0.32799337411662705,-0.06328865212551543,0.08559389173670291,0.008026145116030243,-0.047410433252501535,-0.00023469509000374755
0.22,3,seg3,-0.4889049881434357,-0.10928495985096769,0.0855561051989191,-0.004219115578521523,-0.0844778095829123,-0.00027430694115397614
0.22,4,seg4,-0.6539131298019275,-0.09159724718799975,0.08557815551961107,-0.015988983023412447,-0.057990612765080524,-0.00025404335143112966
0.22,5,seg5,-0.7971867435462964,-0.012475558616538342,0.08568805654731784,-0.052943678165210575,0.028383201796458844,-0.00014591618890801017
0.22,6,seg6,-0.8993124589163527,0.11748494025569861,0.08582894690025102,-0.13386161261960305,0.16307893695976702,-6.839589203402885e-06
0.24,0,head,-0.10951920788889213,0.15359100727865324,0.08720158478080337,0.1040962044299676,0.15680296897309554,-0.00015829563764216403
0.24,1,seg1,-0.19627141299795145,0.0396575628466667,0.08574497246271041,0.04617983120220803,0.047974830385984456,-8.172643453929762e-05
0.24,2,seg2,-0.3278824521218285,-0.06322704229962949,0.08575068674341828,0.007911906412572946,-0.04735521569907763,-7.790008328838194e-05
0.24,3,seg3,-0.48887088201998097,-0.10923295315853757,0.08572910632269108,-0.004256117311942513,-0.08442782162998201,-0.0001013058173819914
0.24,4,seg4,-0.654097824190599,-0.09148179372754639,0.08572552177051326,-0.01581113624313875,-0.05786486682486357,-0.00010667710052893187
0.24,5,seg5,-0.797132856064817,-0.01244271050679395,0.08578282927357157,-0.05299934245399238,0.028412939750791403,-5.114346265427949e-05
0.24,6,seg6,-0.8992267814502133,0.11740155200245302,0.08584076852573784,-0.1339424211454477,0.1629908221986097,4.9820362834213094e-06
0.26,0,head,-0.10979254789784261,0.1534118486334669,0.08722703776440248,0.10437926855173756,0.1566396065429243,-0.00013284265404304996
0.26,1,seg1,-0.1964015236887201,0.03954312491751052,0.08579737513067741,0.04631622484045262,0.047867958467666796,-2.93237665723034e-05
0.26,2,seg2,-0.3276655327815881,-0.06316095994588947,0.08583047122465914,0.007691587345959726,-0.047301546466495356,1.8843979524840737e-06
0.26,3,seg3,-0.4887732317623469,-0.10922968188335593,0.08581243756482172,-0.004353795879888242,-0.08443009570566494,-1.797457525135049e-05
0.26,4,seg4,-0.6542608196031123,-0.09140896525256595,0.08579420944843547,-0.015652535206692637,-0.05778290828348917,-3.798942260672955e-05
0.26,5,seg5,-0.7972397553037432,-0.01227988790319466,0.08582820522038805,-0.052901852958648035,0.028581564914462215,-5.767515837806769e-06
0.26,6,seg6,-0.8992707717192674,0.1174115070526291,0.0858554563598777,-0.1338990665190488,0.16300325695494314,1.966987042327506e-05
0.28,0,head,-0.10996191104199139,0.1533565259953278,0.08724156532726017,0.10455149757856229,0.1565939816461967,-0.00011831509118535866
0.28,1,seg1,-0.1965005147914406,0.03945011041618943,0.08582155223392643,0.04642033357886628,0.04778070993497001,-5.14666332328273e-06
0.28,2,seg2,-0.32740446257481065,-0.06309257029974442,0.0858694843514898,0.00742705762336742,-0.04724807850952831,4.089752478314557e-05
0.28,3,seg3,-0.4886318122820637,-0.10924963710071374,0.08585115593303105,-0.0044938554429070805,-0.08445804206335482,2.0743792957980678e-05
0.28,4,seg4,-0.6543646506701871,-0.09137823780720583,0.08582425444322549,-0.01555061466522603,-0.05774633958629698,-7.944427816708455e-06
0.28,5,seg5,-0.7974616683746296,-0.01200098516914239,0.08584468222755211,-0.05269612056108094,0.028872608427843324,1.0709491326255094e-05
0.28,6,seg6,-0.8993880070389477,0.11755473937363997,0.08586235410225378,-0.13379014615739449,0.1631529097958089,2.6567612799358042e-05
0.3,0,head,-0.1100394287508381,0.1534233794812223,0.08724967327109825,0.10462509757193048,0.15666512533697044,-0.00011020714734727433
0.3,1,seg1,-0.1965619057713025,0.03939177701936984,0.08583226747357033,0.046484935160645176,0.04772595344472633,5.568576320613694e-06
0.3,2,seg2,-0.3271444416045816,-0.0630367519487628,0.08588984089164622,0.00716428866621116,-0.0472071020722645,6.125406493956431e-05
0.3,3,seg3,-0.48847264992488787,-0.10928110113523021,0.0858707590546476,-0.0046509763646544345,-0.0844984853243064,4.0346914574523884e-05
0.3,4,seg4,-0.6544078602021896,-0.0913796273800149,0.0858388043181311,-0.015507395893436407,-0.057745275474824,6.605447088900429e-06
0.3,5,seg5,-0.7977472215064177,-0.01165695638701747,0.08584838864604241,-0.052430545461514724,0.02923228364312934,1.4415909816559158e-05
0.3,6,seg6,-0.8995839680201921,0.11785159505781422,0.08586301166897232,-0.13361134259056048,0.16346040497932085,2.722517951790626e-05
0.32,0,head,-0.11004094315339781,0.1535970615827505,0.08725489009698653,0.10461675586879571,0.15683861361264007,-0.00010499032145899756
0.32,1,seg1,-0.19658347966571377,0.039372499644304594,0.08583691173307255,0.04650756798777705,0.0477079310906792,1.0212835822837052e-05
0.32,2,seg2,-0.326916895103574,-0.06300649139234252,0.08590106039185123,0.006935391866630163,-0.04718979986054347,7.247356514457348e-05
0.32,3,seg3,-0.4883120611788378,-0.1093197643361769,0.08588195112646979,-0.004809112940905755,-0.08454619708086843,5.1538986396718056e-05
0.32,4,seg4,-0.654409312596214,-0.09139720842208374,0.08584726876873712,-0.01550494839729492,-0.05776274579969962,1.5069897694924839e-05
0.32,5,seg5,-0.7980490076522416,-0.011298368741509718,0.08584735397019468,-0.052149589475271325,0.029607415234856563,1.3381233968823292e-05
0.32,6,seg6,-0.899859611870417,0.11829852819090016,0.08585950686597502,-0.13336149897925553,0.16392225660864002,2.372037652059733e-05
0.34,0,head,-0.10998301168354888,0.1538556875625954,0.08725846667457529,0.1045442448414816,0.1570935363530244,-0.00010141374387023783
0.34,1,seg1,-0.19657069164468272,0.03938923674463059,0.0858379453650525,0.04649385100266199,0.04772391571856121,1.124646780278904e-05
0.34,2,seg2,-0.3267382317927723,-0.06300481224798564,0.08590614283905103,0.006756921058313453,-0.04719825969076105,7.755601234436804e-05
0.34,3,seg3,-0.48815519740792623,-0.10936243146313873,0.08588823067714292,-0.004963303383290273,-0.08459769498201557,5.7818537069848075e-05
0.34,4,seg4,-0.6543918265237118,-0.09141546575435014,0.08585254789753125,-0.015521370495541222,-0.057781965778945545,2.0349026489049904e-05
0.34,5,seg5,-0.7983366953019266,-0.010958574509779656,0.08584519281962674,-0.051881643053159295,0.02996298381976221,1.1220083400889647e-05
0.34,6,seg6,-0.9002019635136479,0.11886693547590187,0.08585412189216762,-0.13305194672376897,0.16450917133020182,1.833540271320433e-05
0.36,0,head,-0.1098816766252621,0.1541755778509904,0.0872609816740879,0.10442492437001978,0.15740716226989435,-9.889874435763113e-05
0.36,1,seg1,-0.19653350279511114,0.03943333113565083,0.08583656849374556,0.046454220404243636,0.047765829219018556,9.869596495848398e-06
0.36,2,seg2,-0.3266130198597628,-0.06302903489269324,0.08590675512862815,0.006633285045505322,-0.047229547084705524,7.816830192149127e-05
0.36,3,seg3,-0.48800219187201194,-0.10940731052973122,0.08589139883135526,-0.00511351631299899,-0.08465118236730067,6.098669128218326e-05
0.36,4,seg4,-0.654371829386955,-0.09142402329842604,0.0858558914808939,-0.015540849920565715,-0.057791644055639094,2.369260985170263e-05
0.36,5,seg5,-0.7985987421523424,-0.010649798979912034,0.08584346454458842,-0.05163753631899408,0.03028612896051141,9.491808362571685e-06
0.36,6,seg6,-0.9005867726257368,0.11951049049276076,0.08584852322835239,-0.13270426880965405,0.1651735215243794,1.273673889796989e-05
0.38,0,head,-0.10975207276909783,0.15453387214357578,0.08726298538076387,0.10427520182256196,0.15775752653520608,-9.689503768166297e-05
0.38,1,seg1,-0.19648314506270184,0.039493745220884856,0.08583379481629326,0.0464005162534298,0.047823289005764144,7.095919043548227e-06
0.38,2,seg2,-0.3265374626105215,-0.06307358591947768,0.08590442487300583,0.006560377048160195,-0.047278313013622425,7.583804629916757e-05
