time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.002147402416029479,-0.007872367853132157,0.0887867078561689,0.001769901990654676,-0.010735627161056902,0.001426827437723377
0.02,1,seg1,-0.14754801435722797,-0.007053123309868709,0.08720357436891085,0.00018499002839863376,-0.0014248898720845373,0.0013768754716611403
0.02,2,seg2,-0.32300390657894623,-0.010445245433351392,0.08713552299980952,4.6700323019244474e-05,0.005064788308539003,0.00130693617310286
0.02,3,seg3,-0.49837069837746517,-0.018176221647438644,0.08708307614551815,6.239266978335232e-05,0.007021209725201396,0.0012526640054450755
0.02,4,seg4,-0.6734301897033591,-0.028723832289666133,0.08704413641433155,-7.041389450353313e-05,0.00588881338342344,0.0012119375432893542
0.02,5,seg5,-0.8477981546541409,-0.04336826300289433,0.08702761876119004,-0.0006611209113097369,0.0004116390017161837,0.00119364602496419
0.02,6,seg6,-1.021043547736973,-0.06551703584933635,0.087044665247447,-0.0019441724108584953,-0.01272200219769052,0.001208878757992582
0.04,0,head,-0.002331681874940251,-0.034469597023756356,0.08807698600988091,0.007750737051426793,-0.03703590106829491,0.0007171055914353824
0.04,1,seg1,-0.14876171358036167,-0.01325597687888523,0.0865190295992679,0.0017486465871467609,-0.007548894800882593,0.0006923307020181846
0.04,2,seg2,-0.32354491438915406,-0.0006762635585180466,0.08649979950667601,3.260411166697626e-05,0.01484872911056479,0.0006712126799693491
0.04,3,seg3,-0.4989669819776877,-0.0031307021891528314,0.08656510589530382,-0.00019587544487093182,0.022076325383353967,0.0007346937552307475
0.04,4,seg4,-0.6734639690970574,-0.017393249934956816,0.08670467364424822,-0.0006795172638755095,0.01720306239200316,0.0008724747732060251
0.04,5,seg5,-0.8451232256463618,-0.04511467122810242,0.08694072951517383,-0.0032326609167994836,-0.001483715552280891,0.001106756778947976
0.04,6,seg6,-1.0127280744601148,-0.09179240192528586,0.08727934534332414,-0.008755547713705746,-0.03942681683338988,0.0014435588538697225
0.06,0,head,-0.00858377214780963,-0.05941083051350678,0.08838074122785543,0.01540777124667677,-0.061582256970518535,0.0010208608094098987
0.06,1,seg1,-0.15087313775951539,-0.01947650871680737,0.0873091969105424,0.004209585124314489,-0.013639618068702767,0.0014824980132926852
0.06,2,seg2,-0.3239500820194024,0.008546443077396762,0.08756839127271893,-8.612115063846998e-05,0.024079567794674378,0.0017398044460122664
0.06,3,seg3,-0.49928625070643884,0.011608863210980471,0.08755441767362036,-0.0007133542794141453,0.03681026363351047,0.0017240055335472904
0.06,4,seg4,-0.6733945520384071,-0.006965076688722231,0.08730722613154265,-0.0013404536641778947,0.027610501032459593,0.0014750272605004583
0.06,5,seg5,-0.8418184499835475,-0.049028266959538984,0.08682622071697961,-0.00631008006155285,-0.005578500667234411,0.0009922479807537576
0.06,6,seg6,-0.9998407243176757,-0.12043374509521444,0.08602114428094486,-0.019997204959559842,-0.06875317826191538,0.00018535779149043974
0.08,0,head,-0.017661569275758595,-0.08113051413873282,0.09023718737356201,0.025703189873830017,-0.08275193842151618,0.002877306955116482
0.08,1,seg1,-0.15482359092174425,-0.021207400808124968,0.08810384032850252,0.008251875719675266,-0.015143597576194611,0.0022771414312528077
0.08,2,seg2,-0.3241475933974864,0.022621827844061887,0.08766361585387795,-0.0006874796543254602,0.03814348741268771,0.001835029027171295
0.08,3,seg3,-0.49937448306873056,0.031232734914514268,0.08761588378267678,-0.001738603202302845,0.056407533602258336,0.0017854716426037032
