cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,0.08696600782572052,-0.1623421493771813,-0.20130582899383834,6.0,-32879.087382876074,False,0.125,0.1841685640426898,0.18696600782572054,-0.08734214937718131,0.2063611861278987,0.20130582899383834,0.027832483365732356,0.18205332419717735,True,False,0.3634019372,0.0474774809,0.3852780871,0.3048599103,0.0678249727,0.336111553,-0.1300933931,0.0452166485,-0.1092589647,1.8744754334,0.1515388597,1.7184096575,0.1275734212,0.0159273312,0.1316961199,1.8476644429,0.144188835,1.7097741365,0.5,0.0,0.5,0.1375991101,0.0444929976,0.1147219129,9.0,0.0,9.0,2.3023312604,1.1994427002,3.0,1.0,0.0,1.0,2.2756151719,1.2125425213,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.010333783844105786,-0.08612889727551865,-0.05759998866989532,6.0,-27009.223717076726,False,0.10680004681646915,0.08674660820132131,0.08966621615589422,-0.04862889727551865,0.1020039213459389,0.05759998866989532,0.03991769815952101,0.07701656580294215,True,False,0.3528692749,0.0403837057,0.3043085113,0.2898132498,0.0576910082,0.2204407305,-0.1401245001,0.0384606721,-0.1863728464,1.9451743714,0.1700990284,1.5491482019,0.136510865,0.0197796642,0.1339433044,1.9024764951,0.16361296,1.5214612484,0.5,0.0,0.5,0.1482151494,0.036201705,0.1956914887,8.8688070849,0.810791272,9.0,2.554787713,0.8478533539,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07069030635335637,0.022460461903143922,-0.0013344380255716863,6.0,-15077.116567104847,False,0.1,0.07417271574665414,0.02930969364664364,0.022460461903143922,0.036926013737779526,0.0013344380255716863,0.07069030635335637,0.022460461903143922,True,True,0.4907977615,0.0861440083,0.4710533503,0.4868539451,0.123062869,0.4586476432,-0.0087640366,0.0820419127,-0.0275682379,0.7933361202,0.0620808565,0.8318070173,0.0484941163,0.0085855311,0.0406841524,0.7835045157,0.0636968004,0.8199355602,0.5,0.0,0.5,0.0765994307,0.0404721951,0.0289466497,8.4786174169,1.6479646492,9.0,0.5988384471,0.6194855202,0.7562400035,0.0,0.0,0.0,0.0,0.0,0.0,0.0146567398,0.0073597354,0.0195133587,0.0146567398,0.0073597354,0.0195133587,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.08047729644062183,-0.014691081520677165,-0.007612620866458197,6.0,-21713.1264005713,False,0.10680004681646915,0.08180723145687614,0.01952270355937817,-0.05219108152067716,0.055722930150570206,0.007612620866458197,0.07019485768503184,0.0420131535738158,True,True,0.3680408026,0.0723523029,0.3774547897,0.3114868609,0.1033604327,0.3249354139,-0.1256754261,0.0689069551,-0.1167097241,1.9198611315,0.168980762,1.6721482277,0.1384524386,0.0190244488,0.1113625765,1.878111608,0.1704438659,1.6298179626,0.5,0.0,0.5,0.1346801599,0.0671516196,0.1225452103,8.7957692555,0.9220325558,9.0,2.1413285175,1.0373767628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07967808329860844,-0.006027095921848657,0.042435529559389305,6.0,-26054.088985470527,False,0.125,0.07990571220752087,0.020321916701391565,-0.08102709592184866,0.08353664209164001,0.042435529559389305,0.060126209085777566,0.05262852671664399,True,True,0.3826318781,0.0926923818,0.39979515,0.3323312545,0.1324176882,0.3568502143,-0.1117791637,0.0882784588,-0.0954331905,1.7447871049,0.1658250413,1.5544509888,0.1273182824,0.0157469108,0.0979040489,1.7151971372,0.1721573004,1.504488945,0.5,0.0,0.5,0.1298064706,0.074279431,0.10020485,8.9592337163,0.2613560792,9.0,2.2617569559,1.0913367997,0.1474733823,1.0,0.0,1.0,2.1813412241,1.1334433085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,0.13729602375289063,-0.14784078552587007,-0.2752622744038237,6.0,-30427.206697288726,False,0.09013878188659974,0.20175999604297337,0.18729602375289062,-0.07284078552587007,0.2009616394978633,0.2752622744038237,0.04685283779526605,0.19624450971630036,True,False,0.0008924611,0.0074280086,0.0,0.3615258119,0.0942837528,0.4327149484,-0.0923161254,0.0628558352,-0.044856701,1.7335040641,0.355477029,1.4349398613,0.1163001256,0.0206264191,0.0904966891,1.7208536843,0.3619227702,1.4635608196,0.28,0.0,0.28,0.2791075389,0.0074280086,0.28,9.0,0.0,9.0,2.3051894306,1.2257715661,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.06391508339008327,-0.01568493292795189,0.05270617874501182,6.0,-27793.500449496158,False,0.0625,0.06581151119459001,-0.013915083390083266,0.021815067072048108,0.025875213952949814,0.05270617874501182,0.06054302646883775,0.025801103691688445,True,False,0.4106794666,0.0466832118,0.4014961444,0.3723992381,0.0666903026,0.3592802063,-0.0850671746,0.0444602017,-0.0938131958,1.1292808346,0.069024251,1.047315836,0.0570427126,0.0113712104,0.0603744164,1.1245276966,0.0615540327,1.0542556047,0.5,0.0,0.5,0.0916848453,0.041849362,0.0985038556,8.8440775392,0.9443314341,9.0,2.2192403025,1.0772129481,2.6453153499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03484885101460429,0.01610290943469519,0.011201132041091336,6.0,-11935.215522633873,False,0.05,0.03838940100210059,0.015151148985395713,0.01610290943469519,0.022110201442765123,0.011201132041091336,0.03484885101460429,0.01610290943469519,True,True,0.4547799325,0.0626929191,0.4326580518,0.5425427608,0.089561313,0.510940074,0.0283618405,0.059707542,0.0072933827,0.4893069914,0.0250606171,0.4671493173,0.0250212068,0.0033167425,0.0232499018,0.489723838,0.0270216361,0.4654355347,0.425,0.0,0.425,0.0583244798,0.0376231517,0.0076580518,7.8276255044,2.4182121198,9.0,0.3115455656,0.4279756455,0.2509918099,0.0,0.0,0.0,0.0,0.0,0.0,0.0012254999,0.0019450422,0.0041968965,0.0012254999,0.0019450422,0.0041968965,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.05739811044859905,-0.019813636636193226,-0.005050130719433128,6.0,-19032.324458664123,False,0.0625,0.06072168706336043,-0.007398110448599046,-0.057313636636193224,0.057789142428965504,0.005050130719433128,0.034030306377163304,0.050289775578114,True,True,0.4272763262,0.090279708,0.4129439667,0.3961090374,0.1289710115,0.3756342381,-0.0692606417,0.0859806743,-0.0829105079,1.0383074687,0.1024694529,0.9490988851,0.0516521705,0.0092890891,0.0363266915,1.0290302763,0.1046455674,0.9307163358,0.5,0.0,0.5,0.1013675288,0.0562475112,0.0870560333,8.3863232966,1.6845165711,9.0,1.7546456868,1.116712863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.05415165532721843,0.0299022023209127,0.0847533797979813,6.0,-21084.07246540487,False,0.09013878188659974,0.06185906140832288,-0.00415165532721843,-0.045097797679087295,0.0452884929917072,0.0847533797979813,0.0549180700783942,0.02847014325891678,True,False,0.0203119717,0.0411424857,0.0,0.389048289,0.1565301804,0.4455138911,-0.0739678073,0.1043534536,-0.0363240726,1.4041269771,0.3084225063,0.8543477058,0.1274906301,0.0192493931,0.1110556349,1.4086544844,0.320401553,0.8226017356,0.28,0.0,0.28,0.2596880283,0.0411424857,0.28,8.7021801623,1.2502060256,9.0,1.8963461336,1.3143006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
