cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,0.09929982037461547,-0.13871521096062725,-0.236110927206876,6.0,-32646.598581219107,False,0.125,0.17059415018775476,0.19929982037461547,-0.06371521096062725,0.20923681920042472,0.236110927206876,0.0037892702766839617,0.17055206099327108,True,False,0.3841399419,0.0520166655,0.4056973107,0.3344856313,0.0743095221,0.3652818725,-0.1103429125,0.0495396814,-0.089812085,1.8824670672,0.1368958215,1.7526152134,0.1147641167,0.0170156456,0.128754288,1.8509029734,0.1706537272,1.6704030037,0.5,0.0,0.5,0.117298258,0.0486868076,0.0943026893,8.9766664051,0.4034755739,9.0,2.3256631703,1.1889135491,3.0,1.0,0.0,1.0,2.2977795354,1.2024827527,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.03353021241083172,-0.04672738168454416,-0.025416795540788018,6.0,-25712.54650853524,False,0.10680004681646915,0.05751281025483424,0.06646978758916829,-0.009227381684544164,0.0671072070265289,0.025416795540788018,0.047802395283840955,0.03197896728376303,True,True,0.383807781,0.0529663597,0.3136794701,0.3340111157,0.0756662281,0.2338278145,-0.1106592562,0.0504441521,-0.1774481237,1.9663952911,0.1407154431,1.5714064837,0.1138448259,0.0191884041,0.1022244245,1.8519487822,0.1486399375,1.8073848486,0.5,0.0,0.5,0.118194062,0.0483345706,0.1863205299,8.8060449956,1.1097717696,9.0,2.4586958815,0.8241988653,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05996479373918254,0.027380943029599456,-0.011151495958788319,6.0,-14989.840673176188,False,0.1,0.06592034988812541,0.04003520626081747,0.027380943029599456,0.048502925494617016,0.011151495958788319,0.05996479373918254,0.027380943029599456,True,True,0.4914615042,0.0725159169,0.4601133592,0.4878021489,0.103594167,0.4430190846,-0.0081319008,0.069062778,-0.0379872769,0.8093612427,0.0600118174,0.8166081905,0.0422510969,0.0079521916,0.0367855653,0.8001071233,0.0776966879,0.838847816,0.5,0.0,0.5,0.0592527301,0.0426682328,0.0398866408,8.7132461896,1.301565494,9.0,0.6850969878,0.6915942238,0.8433380477,0.0,0.0,0.0,0.0,0.0,0.0,0.0107840474,0.0090764439,0.023577222,0.0107840474,0.0090764439,0.023577222,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05201290413820998,-0.06681924168114206,-0.08687120761993161,6.0,-23185.808786373702,False,0.10680004681646915,0.08467675747059221,0.04798709586179003,-0.10431924168114207,0.11482711158161714,0.08687120761993161,0.025239397651298585,0.08082775551710634,True,False,0.3924649709,0.0725173929,0.4720389115,0.3463785298,0.1035962756,0.4600555878,-0.1024143134,0.0690641837,-0.0266296081,1.9257502095,0.1616789012,1.9319814444,0.1145176767,0.0184247871,0.0972930342,1.8368796249,0.1739161693,1.72986269,0.5,0.0,0.5,0.1126397728,0.064302693,0.0279610885,8.7994181912,1.0679229354,9.0,2.039338778,1.1676473434,2.4042297724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.08373347694369775,0.009212816958596909,0.03325308014233741,6.0,-25955.77814684025,False,0.125,0.08423877466697491,0.01626652305630226,-0.06578718304140309,0.06776837924035285,0.03325308014233741,0.07251447173011634,0.04286983259934112,True,True,0.4030010041,0.0865676303,0.3511271156,0.3614300059,0.1236680432,0.2873244509,-0.0923799961,0.0824453621,-0.1417836994,1.7459633593,0.166494156,1.4542357922,0.1090060873,0.0179800611,0.0861095414,1.7160939137,0.1955720985,1.4586386681,0.5,0.0,0.5,0.1108043802,0.068008449,0.1488728844,8.8856154669,0.80727635,9.0,2.3367938442,1.0827006536,0.0,1.0,0.0,1.0,2.263753377,1.1142436869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,0.1639141580778423,-0.1172577939411545,-0.2920450029882394,6.0,-30297.62559945135,False,0.09013878188659974,0.20153719621527466,0.2139141580778423,-0.0422577939411545,0.21804813270222054,0.2920450029882394,0.006641166312271465,0.2014277447829044,True,False,0.0030152038,0.0114297626,0.0,0.3881800259,0.0894698876,0.396605134,-0.0745466494,0.0596465917,-0.0689299107,1.7334623782,0.355335777,1.4349398613,0.1028807644,0.0174695614,0.0639607906,1.7028078202,0.3676262985,1.4001504183,0.28,0.0,0.28,0.2769847962,0.0114297626,0.28,8.974125974,0.4474037332,9.0,2.2824081888,1.2343889844,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.05706964188206224,0.012117382019842434,0.09569826787070783,6.0,-27019.85774413589,False,0.0625,0.058341880082507055,-0.007069641882062237,0.049617382019842435,0.0501185039166533,0.09569826787070783,0.03838528429374433,0.04393569074511129,True,False,0.4343663706,0.0502908416,0.5170562663,0.4062376723,0.0718440595,0.5243660947,-0.0625082185,0.0478960397,0.0162440632,1.1307591089,0.0643067799,1.1241580248,0.0487291806,0.0111586068,0.0483250357,1.1215794132,0.0884532046,1.1150302887,0.5,0.0,0.5,0.0706855019,0.0429010709,0.0170562663,8.8981754012,0.700897652,9.0,2.1087801858,1.1187413239,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.028963420441851986,0.007197955173070769,-0.014511269173751376,6.0,-11588.348067442226,False,0.05,0.029844434696690535,0.021036579558148017,0.007197955173070769,0.022233943378983118,0.014511269173751376,0.028963420441851986,0.007197955173070769,True,True,0.4372963851,0.0605577429,0.4423226882,0.5175662645,0.0865110613,0.5247466974,0.011710843,0.0576740408,0.0164977983,0.4884501304,0.0329864821,0.4751686454,0.0208978093,0.0041217268,0.0179861914,0.4874080183,0.0440513069,0.3948453963,0.425,0.0,0.425,0.0512102976,0.0345824628,0.0173226882,8.0456900225,2.2780955516,9.0,0.3148444804,0.3684597659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033850256,0.0056856873,0.0028083072,0.0033850256,0.0056856873,0.0028083072,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.05115464888602958,-0.028407931073959832,-0.031345994826283606,6.0,-18460.316911966438,False,0.0625,0.05851332028312716,-0.0011546488860295773,-0.06590793107395983,0.06591804451362197,0.031345994826283606,0.02387896046444777,0.05341913419078561,True,True,0.4490726099,0.0792547043,0.3807794392,0.4272465855,0.1132210062,0.3296849132,-0.0485022763,0.0754806708,-0.1135433912,1.045148957,0.1033502435,0.9090442657,0.0441163099,0.0085592877,0.0354661494,1.0337537636,0.1207270782,1.0370861292,0.5,0.0,0.5,0.0787857768,0.0516498654,0.1192205608,8.4093476307,1.6429843265,9.0,1.677995214,1.155183308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.039027843412628334,0.022210338793909008,0.07472534988846198,6.0,-21291.18017038631,False,0.09013878188659974,0.044905141251095695,0.010972156587371669,-0.05278966120609099,0.05391786856350751,0.07472534988846198,0.040128871330047666,0.020153049311638537,True,False,0.0189585372,0.0372421427,0.0,0.414765363,0.139079479,0.3966226354,-0.0568230914,0.0927196527,-0.0689182431,1.4003325405,0.3116430383,0.8543477058,0.1050276074,0.0179280133,0.0871595144,1.399037357,0.3296210967,0.847191751,0.28,0.0,0.28,0.2610414628,0.0372421427,0.28,8.7624340916,0.9982266489,9.0,1.9827093111,1.2851276544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
