cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,0.11890471305437893,-0.17687399771202306,-0.23338761618401793,6.0,-32331.515831972243,False,0.125,0.21312611724792654,0.21890471305437892,-0.10187399771202306,0.24144892794802228,0.23338761618401793,0.011000628183710682,0.2128420260022458,True,False,0.3625528688,0.0477136937,0.3958647102,0.3036469555,0.0681624196,0.3512353003,-0.1309020297,0.0454416131,-0.0991764665,1.8746587467,0.1515355611,1.7360655069,0.1268417157,0.0158251414,0.1197212636,1.8490410757,0.1445795194,1.7364916801,0.5,0.0,0.5,0.1384596985,0.0446902935,0.1041352898,9.0,0.0,9.0,2.3376806533,1.1666992442,3.0,1.0,0.0,1.0,2.3102205683,1.1799883389,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.03391921832130782,-0.048927599347751045,-0.001617607517396591,6.0,-27222.91396078413,False,0.10680004681646915,0.05953505983420687,0.06608078167869219,-0.011427599347751047,0.06706161147869698,0.001617607517396591,0.048939180866215314,0.033902506184741825,True,True,0.3508064699,0.0389216668,0.3061657488,0.2868663856,0.0556023811,0.2230939269,-0.1420890763,0.0370682541,-0.1846040487,1.9452668536,0.1700753519,1.5535459518,0.1368621557,0.0182892716,0.1363786906,1.9034182771,0.1634530059,1.52245152,0.5,0.0,0.5,0.1502923117,0.0344358333,0.1938342512,8.8696161465,0.8144461231,9.0,2.6290087017,0.6819421938,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06279660109195735,0.04404744061979509,0.017137247223008245,6.0,-15295.384324600058,False,0.1,0.07670456397018885,0.037203398908042654,0.04404744061979509,0.057656481990018466,0.017137247223008245,0.06279660109195735,0.04404744061979509,True,True,0.4922071039,0.0859058779,0.4569648119,0.4888672913,0.1227226827,0.4385211598,-0.0074218058,0.0818151218,-0.0409858935,0.792882782,0.0629807741,0.8122386932,0.0477680575,0.0090383273,0.0431309156,0.78347992,0.0648741668,0.7984963655,0.5,0.0,0.5,0.0760493074,0.0407069028,0.0430351881,8.4978206672,1.6008208209,9.0,0.811429337,0.8009157924,0.9234920925,0.0,0.0,0.0,0.0,0.0,0.0,0.0137622398,0.0078298602,0.021884433,0.0137622398,0.0078298602,0.021884433,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0778018812576103,-0.0065616347452661025,0.006444494122276767,6.0,-22234.98695075145,False,0.10680004681646915,0.07807808769272961,0.022198118742389708,-0.0440616347452661,0.04933745161767553,0.006444494122276767,0.0705442277170589,0.033461914373766985,True,True,0.3686367271,0.0756798416,0.3721792679,0.3123381815,0.1081140595,0.3173989542,-0.125107879,0.0720760397,-0.1217340305,1.9201472235,0.1703257229,1.657836318,0.1388526617,0.0185671819,0.1143845022,1.8795828009,0.1728338608,1.6176100969,0.5,0.0,0.5,0.1353804729,0.0682339758,0.1278207321,8.7578306289,1.0215021439,9.0,2.2219659968,1.0165136375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.08470702265961101,-0.04534821156056762,-0.006222556638643499,6.0,-26353.663882668825,False,0.125,0.09608194408731462,0.015292977340388994,-0.12034821156056762,0.12131598073527161,0.006222556638643499,0.04055669119134825,0.08710278284422071,True,True,0.3820482796,0.0940199877,0.3923762292,0.3314975423,0.1343142681,0.346251756,-0.1123349718,0.0895428454,-0.1024988294,1.7428022877,0.1677702104,1.5390561819,0.1241123771,0.0172876071,0.1055306196,1.7142340867,0.1751566142,1.4921286106,0.5,0.0,0.5,0.1313619361,0.0741377649,0.1076237708,8.974739506,0.2393627305,9.0,2.2917586583,1.1001853499,0.0,1.0,0.0,1.0,2.2220482414,1.1394177142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,0.18213837103705718,-0.09641333719567541,-0.2965265998752116,6.0,-30704.57327552053,False,0.09013878188659974,0.20608230829753368,0.2321383710370572,-0.02141333719567541,0.23312390335955285,0.2965265998752116,-0.02081144456264372,0.20502878229276914,False,False,0.0007911144,0.007340864,0.0,0.3615677266,0.0921969235,0.4782872261,-0.0922881823,0.0614646157,-0.0144751826,1.7335099606,0.3555238504,1.4349398613,0.1177050699,0.0199774455,0.091202952,1.7210673181,0.361453887,1.4614076614,0.28,0.0,0.28,0.2792088856,0.007340864,0.28,9.0,0.0,9.0,2.3255041734,1.2101723389,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.05096327635928128,0.051047831063954885,0.14009588584041688,6.0,-27400.733646093155,False,0.0625,0.07213277059427675,-0.0009632763592812774,0.08854783106395489,0.088553070457636,0.14009588584041688,0.010141922449052095,0.07141623066673267,True,False,0.4128974853,0.0461322142,0.4019755524,0.3755678361,0.0659031631,0.3599650748,-0.082954776,0.0439354421,-0.0933566168,1.1313311261,0.0667337111,1.0478004217,0.0559389498,0.0114108729,0.0541828126,1.1272817268,0.0588808666,1.0589277744,0.5,0.0,0.5,0.0887946097,0.0427848868,0.0980244476,8.8510735409,0.7922173693,9.0,1.9307349425,1.2598322939,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03408547442795165,0.028938067169066984,0.02644607632497579,6.0,-12239.965257728867,False,0.05,0.044712764379536835,0.015914525572048352,0.028938067169066984,0.03302550310994237,0.02644607632497579,0.03408547442795165,0.028938067169066984,True,True,0.4568155884,0.0631893151,0.4338321979,0.5454508405,0.0902704501,0.5126174255,0.0303005604,0.0601803001,0.008411617,0.4885195237,0.0249766863,0.4681228697,0.0251741758,0.0031940288,0.0231231134,0.4895799953,0.0269900655,0.4661616981,0.425,0.0,0.425,0.0589343176,0.0391390778,0.0088321979,7.8381059808,2.4183498556,9.0,0.3824312354,0.5137847124,0.3033714203,0.0,0.0,0.0,0.0,0.0,0.0,0.0013118193,0.0020518589,0.0049359486,0.0013118193,0.0020518589,0.0049359486,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.056563499017216474,-0.014973804307235062,-0.0026676470683208255,6.0,-19141.122295111778,False,0.0625,0.058511915337835424,-0.006563499017216472,-0.05247380430723506,0.05288269714966326,0.0026676470683208255,0.036266516629432144,0.04591714285611793,True,True,0.4275936669,0.0890657595,0.4128866546,0.3965623813,0.1272367993,0.3755523637,-0.0689584125,0.0848245329,-0.0829650909,1.0392701632,0.1007127018,0.9490271211,0.0513186934,0.0097144535,0.0332868062,1.0302494746,0.1030712991,0.931235373,0.5,0.0,0.5,0.1000908483,0.0561890441,0.0871133454,8.3524701024,1.7611360585,9.0,1.7709290949,1.0911758773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.04949091714811762,0.01298460809064531,0.08286144352817937,6.0,-20952.24000153833,False,0.09013878188659974,0.05116591568055334,0.0005090828518823851,-0.062015391909354685,0.06201748139856161,0.08286144352817937,0.03825646843711038,0.033976367524352444,True,False,0.0210438069,0.0430381309,0.0,0.3912052185,0.1585741139,0.4514425676,-0.0725298544,0.1057160759,-0.0323716216,1.4038466177,0.3085931825,0.8543477058,0.1269937042,0.0181525461,0.1106559858,1.408835903,0.321458726,0.8238941431,0.28,0.0,0.28,0.2589561931,0.0430381309,0.28,8.7540147308,1.0595217377,9.0,1.9257399188,1.3101891678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
