cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,0.05357086446863371,-0.17110625107003385,-0.15997960913047052,6.0,-32230.804378459605,False,0.125,0.17929636548228794,0.15357086446863372,-0.09610625107003386,0.18116407455226838,0.15997960913047052,0.05980705906711334,0.16902751953720732,True,False,0.3827156937,0.0520136356,0.3907845236,0.3324509911,0.0743051937,0.3439778909,-0.1116993393,0.0495367958,-0.1040147394,1.8812022126,0.1388943992,1.7275716066,0.114097717,0.0171234432,0.1179410219,1.8513845964,0.1715817748,1.6649104357,0.5,0.0,0.5,0.1188447036,0.0483421474,0.1092154764,8.9766664051,0.4034755739,9.0,2.3064426289,1.1786143719,3.0,1.0,0.0,1.0,2.2709682752,1.1982727447,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.01966989715681285,-0.04996723034522243,-0.02653816410834553,6.0,-25855.75077744298,False,0.10680004681646915,0.05369943167792478,0.08033010284318716,-0.01246723034522243,0.0812918031247792,0.02653816410834553,0.03596216451316068,0.03987921370915527,True,True,0.3813983752,0.0494146977,0.3435923815,0.3305691075,0.0705924253,0.276560545,-0.1129539284,0.0470616169,-0.1489596367,1.9626698136,0.1409323783,1.6435447931,0.1135962908,0.0192224244,0.1149747297,1.8499240641,0.1489331153,1.6133540869,0.5,0.0,0.5,0.1203241365,0.0450584056,0.1564076185,8.8704835925,0.8300740781,9.0,2.522663962,0.8027517857,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06378683451296484,0.005747899516323859,-0.04140452315284526,6.0,-15671.26747074194,False,0.1,0.06404528558788788,0.03621316548703517,0.005747899516323859,0.03666649292530104,0.04140452315284526,0.06378683451296484,0.005747899516323859,True,True,0.4900488127,0.0732437975,0.4427982047,0.4857840182,0.1046339965,0.4182831496,-0.0094773212,0.0697559976,-0.0544779003,0.8096427637,0.0604899941,0.7926059365,0.0418545767,0.0081275502,0.0316001512,0.8001518706,0.077868076,0.8420180082,0.5,0.0,0.5,0.0602104373,0.0428763716,0.0572017953,8.7275959373,1.1446011863,9.0,0.6149394317,0.7079133041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112580582,0.0088850256,0.0212735907,0.0112580582,0.0088850256,0.0212735907,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06973440764857962,0.012190519888695255,0.015170238511420889,6.0,-22785.690876750825,False,0.10680004681646915,0.07079192316398075,0.030265592351420387,-0.025309480111304745,0.03945346453591733,0.015170238511420889,0.06957473785992946,0.013071045749176028,True,True,0.3927183421,0.0724116507,0.4711172318,0.3467404888,0.1034452153,0.4587389026,-0.1021730075,0.0689634769,-0.0275073983,1.9239852786,0.1614884881,1.9294240475,0.1140866358,0.0192325043,0.0985536799,1.8347297617,0.173633518,1.6062573195,0.5,0.0,0.5,0.1123001116,0.0643543799,0.0288827682,8.7532845429,1.2030652165,9.0,2.0926720041,1.1615583707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.08454438778243989,-0.01666782549831265,0.00011084800261640382,6.0,-26221.636392758417,False,0.125,0.08617174660148054,0.015455612217560116,-0.09166782549831265,0.0929616382203363,0.00011084800261640382,0.05763481492696433,0.06406089306811406,True,True,0.4011730733,0.0862958054,0.337273562,0.3588186762,0.123279722,0.2675336599,-0.0941208826,0.0821864813,-0.15497756,1.7477787399,0.1637147521,1.4260696173,0.1081883687,0.0174646612,0.0929006934,1.716510185,0.1929819441,1.5142827034,0.5,0.0,0.5,0.1109666458,0.0700009356,0.162726438,8.908002126,0.7157067488,9.0,2.2223854766,1.1240591948,0.0,1.0,0.0,1.0,2.1443289301,1.1575361794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,0.19058349531766547,-0.1278769286621789,-0.3260250232749355,6.0,-30704.612900765547,False,0.09013878188659974,0.22950942806684566,0.24058349531766549,-0.0528769286621789,0.24632577576049636,0.3260250232749355,0.0006833338823863075,0.22950841079658887,True,False,0.0030580703,0.0110842237,0.0,0.3841554829,0.091237827,0.3795641661,-0.0772296781,0.060825218,-0.080290556,1.7333815893,0.3554579238,1.4349398613,0.1041036836,0.0187500005,0.0687235743,1.7015472754,0.3664945653,1.4032450914,0.28,0.0,0.28,0.2769419297,0.0110842237,0.28,8.974125974,0.4474037332,9.0,2.3227682953,1.2060499264,2.6460948192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.07301399557378555,0.026728496512956824,0.08602383862714058,6.0,-26659.326478772386,False,0.0625,0.07775253099090679,-0.023013995573785542,0.06422849651295683,0.06822714823723125,0.08602383862714058,0.04237409855125435,0.06519119455463679,True,False,0.4327480245,0.0478930672,0.500470604,0.4039257493,0.0684186675,0.5006722915,-0.0640495005,0.045612445,0.0004481943,1.1305924179,0.0641725284,1.1500597,0.0486492565,0.0108786624,0.0479697511,1.1216584822,0.0886348032,1.1082131863,0.5,0.0,0.5,0.070997721,0.0421414014,0.000470604,8.8972508469,0.7491816797,9.0,2.004401254,1.1736251495,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.028921427979961164,-0.0027472381584550724,-0.026313904924311144,6.0,-11639.6134106632,False,0.05,0.029051614652190198,0.02107857202003884,-0.0027472381584550724,0.021256846330141164,0.026313904924311144,0.028921427979961164,0.0027472381584550724,True,True,0.4386009011,0.0609884603,0.4403748483,0.5194298587,0.0871263719,0.521964069,0.0129532391,0.0580842479,0.0146427127,0.4886937345,0.0324288255,0.473551333,0.0210192692,0.0040347136,0.0183028448,0.4877042964,0.0435758178,0.3981380761,0.425,0.0,0.425,0.051428559,0.0354919727,0.0153748483,8.0344178661,2.3210873412,9.0,0.3092559171,0.3530266758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033860363,0.0055132922,0.0037822809,0.0033860363,0.0055132922,0.0037822809,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.05291931268687463,-0.004273064988426048,-0.007338352271820818,6.0,-18541.109666120636,False,0.0625,0.05309155054852441,-0.002919312686874627,-0.04177306498842605,0.04187494889657793,0.007338352271820818,0.03977161115644408,0.03517003960286561,True,True,0.4491240735,0.0794750439,0.360918989,0.427320105,0.113535777,0.3013128415,-0.0484532633,0.075690518,-0.1324581057,1.0448957709,0.1038010046,0.8845474124,0.0438204164,0.008356017,0.0362261795,1.0337146431,0.1215646692,1.0527693033,0.5,0.0,0.5,0.0788481423,0.0518421929,0.139081011,8.2947957774,1.923466799,9.0,1.6898262973,1.1063462612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.047971557993803704,0.0021163638616735745,0.04690394582384805,6.0,-20771.75432393043,False,0.09013878188659974,0.04801821917093417,0.0020284420061962988,-0.07288363613832642,0.0729118577030956,0.04690394582384805,0.028370753806424346,0.038740801499235,True,True,0.0186562256,0.0368346223,0.0,0.4147063871,0.1385357281,0.3560235575,-0.0568624086,0.0923571521,-0.095984295,1.4004558772,0.311787886,0.8543477058,0.1059680732,0.0179076131,0.0839750618,1.3989470593,0.3301691193,0.844946146,0.28,0.0,0.28,0.2613437744,0.0368346223,0.28,8.7281400104,1.0811994209,9.0,1.9830484878,1.2721092946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
