cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06230157557809148,0.03513487161601422,0.012987941644695114,6.0,-22089.554613338132,False,0.125,0.07152583814948586,0.03769842442190852,0.11013487161601421,0.11640816616445034,0.012987941644695114,0.02876033749286466,0.06548884263966626,True,True,0.4807810026,0.0814856523,0.4569181979,0.4725442895,0.1164080747,0.4384545684,-0.018303807,0.0776053831,-0.0410302877,0.799302687,0.0557977338,0.8121740222,0.0945275015,0.0132284446,0.1006635129,0.7804351765,0.0647658748,0.7901778221,0.5,0.0,0.5,0.0734491371,0.0401809114,0.0430818021,8.4727705618,1.7526055075,9.0,1.7703128886,1.3040732689,3.0,1.0,0.0,1.0,1.6439577027,1.3412104541,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06748882130087248,0.016031570476436538,-0.014847981641549065,6.0,-20470.3004252106,False,0.10680004681646915,0.06936679502847203,0.03251117869912752,0.05353157047643654,0.06263070954476162,0.014847981641549065,0.0575626923439969,0.0387077344032483,True,True,0.488787066,0.0855758436,0.4690499027,0.4839815229,0.1222512051,0.4557855753,-0.0106789847,0.0815008034,-0.0294762831,0.7920433939,0.0619209784,0.8290217519,0.0863949376,0.0131826259,0.081437543,0.7742299827,0.0687012696,0.8055739999,0.5,0.0,0.5,0.076962419,0.0390607342,0.0309500973,8.3828816406,1.812543702,9.0,1.6540886068,1.2812190373,2.243269207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07054935499115698,0.022517541979265615,-0.005651377055989171,6.0,-14966.332679486337,False,0.1,0.07405573027427571,0.02945064500884302,0.022517541979265615,0.03707263395315849,0.005651377055989171,0.07054935499115698,0.022517541979265615,True,True,0.4907943026,0.0854837239,0.4734499716,0.4868490037,0.1221196055,0.462071388,-0.0087673309,0.0814130703,-0.0252857413,0.7920091883,0.0611939345,0.8351399302,0.0477917247,0.0086977228,0.0427583493,0.7822926698,0.0636175668,0.8216083646,0.5,0.0,0.5,0.0766491434,0.038950234,0.0265500284,8.544820719,1.4961719054,9.0,0.6240243802,0.6041777463,0.8130958595,0.0,0.0,0.0,0.0,0.0,0.0,0.0141196884,0.0078907344,0.0217366629,0.0141196884,0.0078907344,0.0217366629,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0678590503200173,0.020011345096984687,-0.023740136816848684,6.0,-20688.836615779528,False,0.10680004681646915,0.0707481776650484,0.03214094967998271,-0.01748865490301531,0.03659089636300185,0.023740136816848684,0.07056486113802445,0.00508969699457432,True,True,0.5000441154,0.0837418099,0.4692224805,0.5000630219,0.119631157,0.456032115,4.20146e-05,0.0797541046,-0.0293119233,0.7939847012,0.0664171306,0.8292616606,0.0888121766,0.0194323116,0.0620857738,0.7843178334,0.0664132773,0.8112893105,0.5,0.0,0.5,0.0726058973,0.041726207,0.0307775195,8.5806267221,1.4819107752,9.0,1.6371529552,1.0772549334,0.5893433477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06929334694173522,-0.0009287818459626553,-0.03314927091013309,6.0,-22711.703302848033,False,0.125,0.06929957118269257,0.030706653058264782,-0.07592878184596265,0.08190285986858108,0.03314927091013309,0.05487740844581059,0.042319033641811256,True,True,0.5032385299,0.0797384135,0.4707192996,0.5046264713,0.1139120193,0.4581704279,0.0030843142,0.0759413462,-0.0278863814,0.7961356819,0.0638831659,0.8313425183,0.1025631524,0.0179652419,0.0742237717,0.7900375448,0.0614116045,0.8137367964,0.5,0.0,0.5,0.0695035184,0.0392168789,0.0292807004,8.690373967,1.232807185,9.0,1.7364436577,1.1417139827,0.4014028396,1.0,0.0,1.0,1.5481966649,1.1885885168,0.1514028396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04495472955729079,-0.09557904349988232,-0.011151514246822961,6.0,-30561.770785754168,False,0.09013878188659974,0.1056232988782378,0.005045270442709214,-0.02057904349988232,0.021188482371565075,0.011151514246822961,0.10446296858328795,0.015613118224382475,True,True,0.0059974388,0.0148339674,0.0,0.4063747784,0.0943902552,0.4233345762,-0.0624168144,0.0629268368,-0.0511102825,1.2707799137,0.1747256974,1.3118803501,0.1122885572,0.0199007578,0.1055890769,1.2837857431,0.1781639198,1.352317214,0.28,0.0,0.28,0.2740025612,0.0148339674,0.28,9.0,0.0,9.0,2.4008613466,1.0821301918,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03752464079659227,0.02051802565911433,0.019031619245040376,6.0,-16852.044402970263,False,0.0625,0.0427678388963173,0.012475359203407733,0.05801802565911433,0.05934413103783473,0.019031619245040376,0.01770889724180522,0.038929205005246825,True,True,0.5245490945,0.0691387457,0.4969588131,0.535070135,0.0987696367,0.4956554472,0.02338009,0.0658464245,-0.0028963685,0.4760209412,0.0427527771,0.5207355022,0.0477283428,0.0055726805,0.0527873859,0.477514316,0.0439562739,0.5173646212,0.5,0.0,0.5,0.0641369877,0.03562683,0.0030411869,8.0111342786,2.3271377669,9.0,1.3759390606,1.3089539828,1.9647895519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03308006109143612,0.026623176193082004,0.023400840921828998,6.0,-12335.808051882086,False,0.05,0.042462736044925724,0.01691993890856388,0.026623176193082004,0.03154485446594139,0.023400840921828998,0.03308006109143612,0.026623176193082004,True,True,0.4548925218,0.0642260962,0.4320507301,0.5427036026,0.091751566,0.5100724716,0.0284690684,0.0611677107,0.006714981,0.4880740866,0.0254227395,0.4666458666,0.0250847709,0.0030161823,0.0229152273,0.4887248671,0.0275015136,0.4649057686,0.425,0.0,0.425,0.059473644,0.0384894787,0.0070507301,7.8573077489,2.3957002111,9.0,0.3811947879,0.5271673761,0.3641629887,0.0,0.0,0.0,0.0,0.0,0.0,0.001469706,0.0022853558,0.0046117654,0.001469706,0.0022853558,0.0046117654,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03790229797559469,0.020728249953507305,0.014109344722401143,6.0,-17048.95800266987,False,0.0625,0.043200052522720904,0.012097702024405313,-0.016771750046492694,0.020679603330173626,0.014109344722401143,0.04275878835258014,0.006158778822550968,True,True,0.5392898057,0.0688127903,0.5087934979,0.5561282938,0.0983039861,0.5125621399,0.0374188625,0.0655359908,0.0083747599,0.4720529471,0.0484225328,0.5154693127,0.0510902932,0.0090575297,0.0421861149,0.4773939605,0.0422103184,0.5158386827,0.5,0.0,0.5,0.0660861075,0.0437208798,0.0087934979,7.9290404877,2.3550320577,9.0,1.3356594644,1.1354948513,0.4551270918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.012029760696536803,0.06568456672676393,0.13412694547282858,6.0,-20244.806117072687,False,0.09013878188659974,0.06677707277575623,0.0379702393034632,-0.00931543327323607,0.03909624495818461,0.13412694547282858,0.06132577369736917,0.02642587612393784,True,False,0.0311243028,0.0484001707,0.0030031109,0.4560513982,0.1454053553,0.5042901584,-0.0292990678,0.0969369035,0.0028601056,0.921458112,0.1161030183,0.8790714741,0.1143965636,0.0126945781,0.1029844731,0.9483061105,0.107823801,0.8667231798,0.28,0.0,0.28,0.2488756972,0.0484001707,0.2769968891,8.5965690165,1.4027097316,9.0,2.0859044765,1.1108904792,2.4530319647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.051327945373222945,-0.08256041201792302,0.0007224725774321872,6.0,-26979.90170215152,False,0.075,0.09721512026843236,-0.051327945373222945,-0.007560412017923027,0.051881767569323556,0.0007224725774321872,0.08256041201792302,0.051327945373222945,True,True,0.0053919459,0.0138071558,0.0,0.4060549125,0.0911922254,0.4235526621,-0.0626300583,0.0607948169,-0.0509648919,1.2707799137,0.1747256974,1.3118803501,0.0618036362,0.0102226902,0.0561465546,1.2757778688,0.175375958,1.3263180256,0.0,0.0,0.0,0.0053919459,0.0138071558,0.0,9.0,0.0,9.0,1.123753412,1.415879907,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.006556515244565617,-0.03274622583062344,-0.09997985861462728,6.0,-15800.224949452791,False,0.0375,0.03339615544194288,0.006556515244565617,0.004753774169376557,0.008098534497404644,0.09997985861462728,0.03274622583062344,0.006556515244565617,True,False,0.0006109001,0.0074034138,0.0,0.4184239569,0.0442626762,0.4150460251,-0.0543840288,0.0295084508,-0.0566359833,1.1413779688,0.023411709,1.1148432493,0.0376248763,0.0059682235,0.0416487269,1.1382399241,0.0253364185,1.1058652401,0.0,0.0,0.0,0.0006109001,0.0074034138,0.0,7.1539073864,3.1004564886,8.3988383841,0.4792134878,0.4751188019,0.2337898071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.4097273676860444e-06,-4.827673982169418e-05,-0.00021033109946285342,6.0,1785.6574085201967,False,0.0,4.833684302680645e-05,-2.4097273676860444e-06,-4.827673982169418e-05,4.833684302680645e-05,0.00021033109946285342,0.0,4.833684302680645e-05,True,True,0.5926509888,0.0219289956,0.5673920996,0.6323585555,0.0313271366,0.5962744281,0.088239037,0.0208847577,0.064182952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.22511e-05,8.4289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
